B2 L D2 L2 U F L'
B L' R2 F' U' L2 F2
B L' R2 F' U' F2 L2
D2 R D F' R2 B L
B R2 L' F' U' L2 F2
B R2 L' F' U' F2 L2
R2 U2 F' B2 U L' F
R2 U2 B2 F' U L' F
L' D L2 B' R' U2 B'
B R2 F' L' U' F L2
B R2 F' U' L' F L2
L D B' L2 R' F U2
L D B' L2 F R' U2
L D B' R' L2 F U2
L' D B2 D2 R2 F L'
L' D B2 D2 F L' R2
L' D B2 D2 F R2 L'
L' D' F' R2 F2 B L
L' D' F' R2 B L F2
L' D' F' R2 B F2 L
L2 D' F' R2 B L F
L' D' F2 U2 F' L' R2
L' D' F2 U2 F' R2 L'
L D' F2 B' R' U2 R'
L D' B' R' F2 U2 R'
L D' B' F2 R' U2 R'
L' F2 D' F' R2 B L
L' B R2 F' U' L F2
L' B R2 F' U' F2 L
U2 B R2 F' U' L' F
R' B2 L U' B' U2 L
