L2 R' U R B' U'
L2 R' U B' R U'
R' L2 U R B' U'
R' L2 U B' R U'
R' U R U2 F U
R' U' F2 L' F' U
U' R' U' R F U
F' U' R' D' F L2
F' U' D' R' F L2
F' U' D' F L2 R'
F' U' D' F R' L2
F U' F R' F2 L'
F2 U2 F' U F' R'
F' U2 F2 U F' R'
L' F U' F' L' R'
L' F U' F' R' L'
U' F B' U B R'
U' F B2 U B2 R'
F' D' U' R' F L2
F' D' U' R' F L2
F' D' U' F L2 R'
F' D' U' F R' L2
U' B' F U B R'
U' B2 F U B2 R'
R' L U' F2 L' F U
U2 L U L' F U R'
F L U' F R' F2 L'
F2 L U2 F' U F' R'
L' R' U R B U' L
R' L' U R B U' L
L2 R' U R D B' U'
L2 R' U R D' B' U'
L2 R' U R D2 B' U'
L2 R' U R B' U' D
L2 R' U R B' U' D'
L2 R' U R B' U' D2
L2 R' U R B' D U'
L2 R' U R B' D' U'
L2 R' U R B' D2 U'
L2 R' U R' B' R2 U'
L2 R' U D R B' U'
L2 R' U D B' R U'
L2 R' U D' R B' U'
L2 R' U D' B' R U'
L2 R' U D2 R B' U'
L2 R' U D2 B' R U'
L' R' U B R U' L
R' L' U B R U' L
L2 R' U B R B2 U'
L2 R' U B' R U' D
L2 R' U B' R U' D'
L2 R' U B' R U' D2
L2 R' U B' R D U'
L2 R' U B' R D' U'
L2 R' U B' R D2 U'
L2 R' U B' D R U'
L2 R' U B' D' R U'
L2 R' U B' D2 R U'
R' L' U' F' U L' B'
L' R' U' F' U L' B'
L R' U' F2 L' F U
L2 R' D U R B' U'
L2 R' D U B' R U'
L2 R' D' U R B' U'
L2 R' D' U B' R U'
L2 R' D2 U R B' U'
L2 R' D2 U B' R U'
F L' U' F R' F2 L'
F2 L' U2 F' U F' R'
L2 R' B U R B2 U'
L2 R' B U B2 R U'
D2 L' F U' F' L' R'
D2 L' F U' F' R' L'
D' L' F U' F' L' R'
D' L' F U' F' R' L'
L2 R' B2 U B R U'
D L' F U' F' L' R'
D L' F U' F' R' L'
R' L2 U R D B' U'
R' L2 U R D' B' U'
R' L2 U R D2 B' U'
R' L2 U R B' U' D
R' L2 U R B' U' D'
R' L2 U R B' U' D2
R' L2 U R B' D U'
R' L2 U R B' D' U'
R' L2 U R B' D2 U'
R' L2 U R' B' R2 U'
R' L2 U D R B' U'
R' L2 U D B' R U'
R' L2 U D' R B' U'
R' L2 U D' B' R U'
R' L2 U D2 R B' U'
R' L2 U D2 B' R U'
R' L2 U B R B2 U'
R' L2 U B' R U' D
R' L2 U B' R U' D'
R' L2 U B' R U' D2
R' L2 U B' R D U'
R' L2 U B' R D' U'
R' L2 U B' R D2 U'
R' L2 U B' D R U'
R' L2 U B' D' R U'
R' L2 U B' D2 R U'
L2 R2 U B' R2 U' R'
R2 L2 U B' R2 U' R'
R' L2 D U R B' U'
R' L2 D U B' R U'
U' L' B' U B L R'
U' L' B' U B R' L
R' L2 D' U R B' U'
R' L2 D' U B' R U'
R' L2 D2 U R B' U'
R' L2 D2 U B' R U'
D2 L2 R' U R B' U'
D' L2 R' U R B' U'
D2 L2 R' U B' R U'
D' L2 R' U B' R U'
D L2 R' U R B' U'
D L2 R' U B' R U'
U2 L2 U L2 F U R'
F' L2 U' R' D' L2 F
F' L2 U' D' L2 R' F
F' L2 U' D' L2 F R'
F' L2 U' D' R' L2 F
R' L2 B U R B2 U'
R' L2 B U B2 R U'
F L2 U' F R' F2 L'
L2 R2 B D L2 R B2
L2 R2 B D L2 B2 R
L2 R2 B D R L2 B2
L2 R2 B D R B2 L2
L2 R2 B D B2 L2 R
L2 R2 B D B2 R L2
R2 L2 B D L2 R B2
R2 L2 B D L2 B2 R
R2 L2 B D R L2 B2
R2 L2 B D R B2 L2
R2 L2 B D B2 L2 R
R2 L2 B D B2 R L2
F2 L2 U2 F' U F' R'
R' L2 B2 U B R U'
F' L2 D' U' L2 R' F
F' L2 D' U' L2 F R'
F' L2 D' U' R' L2 F
R' U L2 R B' L2 U'
R' U L2 B' L2 R U'
R' U L2 B' R L2 U'
B L2 F B' U' F' R'
R' U R L2 B' L2 U'
R' U R U2 D F U
R' U R U2 D' F U
R' U R U2 D2 F U
R' U R U2 F U D
R' U R U2 F U D'
R' U R U2 F U D2
R' U R U2 F D U
R' U R U2 F D' U
R' U R U2 F D2 U
R' U R D U2 F U
R' U R D' U2 F U
R' U R D2 U2 F U
R' U R B U2 F U
R' U R B' U2 F U
R' U R B2 U2 F U
B L2 F' B' U' R' F
B L2 F' B' U' F R'
B2 L2 F2 B' U' R F2
B L2 F2 B' U' R' F2
B L2 F2 B' U' F2 R'
R U R' U2 F U R'
R2 U R2 U2 F U R'
R' U D R U2 F U
B2 L2 B' F2 U' R F2
B L2 B' F U' F' R'
B L2 B' F' U' R' F
B L2 B' F' U' F R'
B L2 B' F2 U' R' F2
B L2 B' F2 U' F2 R'
R' U D' R U2 F U
R' U D2 R U2 F U
U' R U' R' F U R'
R' U B R U2 F U
U' R U' F R' U R'
R' U B' R U2 F U
R' U B2 R U2 F U
R' U' L F2 L' F U
R' U' L' U2 R B U'
R' U' L2 U2 R B' U'
U2 R F U R2 D' F2
R' U' L2 U2 B' R U'
U2 R F B' U R2 F'
R' U' D F2 L' F' U
U2 R B' F U R2 F'
R' U' D' F2 L' F' U
R U' D F B2 L U
R U' D B2 F L U
R' U' D2 F2 L' F' U
R' U' F D' L U B'
D2 R' L2 U R B' U'
D' R' L2 U R B' U'
D2 R' L2 U B' R U'
D' R' L2 U B' R U'
D R' L2 U R B' U'
D R' L2 U B' R U'
R U' F U2 R' U' R'
R U' F D B2 L U
D2 R' U R U2 F U
D' R' U R U2 F U
R U' F B2 L U R2
R' U' F2 L F' L2 U
R' U' F2 L' D F' U
R' U' F2 L' D' F' U
R' U' F2 L' D2 F' U
R' U' F2 L' F' U D
R' U' F2 L' F' U D'
R' U' F2 L' F' U D2
R' U' F2 L' F' D U
R' U' F2 L' F' D' U
R' U' F2 L' F' D2 U
R' U' F2 L2 F' L U
D R' U R U2 F U
R' U' F2 D L' F' U
R' U' F2 D' L' F' U
R' U' F2 D2 L' F' U
U' R' U' R D F U
U' R' U' R D' F U
U' R' U' R D2 F U
U' R' U' R F U D
U' R' U' R F U D'
U' R' U' R F U D2
U' R' U' R F D U
U' R' U' R F D' U
U' R' U' R F D2 U
U' R' U' R' F R2 U
U' R' U' R2 F R' U
U' R' U' D R F U
U' R' U' D' R F U
U' R' U' D2 R F U
D2 R' U' F2 L' F' U
D' R' U' F2 L' F' U
F' R' U' F2 L' U F'
D R' U' F2 L' F' U
U' R' D U' R F U
U' R' D' U' R F U
R U' B2 F L U R2
U' R' D2 U' R F U
F' R' F U' F L' U
R' U2 F2 U L' F' U
U' R2 U' R2 F U R'
F R2 U2 R2 U' F' R'
F' R2 D' R F L2 B'
R' D L2 U R B' U'
R' D L2 U B' R U'
R2 D R U' F U B2
R2 D R B2 U' F U
L2 D R' U R B' U'
L2 D R' U B' R U'
F2 R2 B R2 U' R' F2
F2 R2 B R2 U' F2 R'
R' D U R U2 F U
R' D U' F2 L' F' U
R D U' F B2 L U
F U L U2 L' F' R'
R D U' B2 F L U
L' D F U' F' L' R'
L' D F U' F' R' L'
R2 D F U F' R B2
R2 D F U F' B2 R
R2 D F U B2 F' R
F U L' U2 L F' R'
F U L' U2 F' L R'
F U L' U2 F' R' L
L D F U' L' F' R'
R D F B2 L U F'
F U L2 U2 L2 F' R'
F U L2 U2 F' L2 R'
F U L2 U2 F' R' L2
F U L2 F' L2 R' B'
F U L2 F' R' L2 B'
U' D R' U' R F U
F' U D R2 U2 R F
U' D F B' U B R'
U' D F B2 U B2 R'
R2 D B2 R U' F U
R D B2 F L U F'
R' D' L2 U R B' U'
R' D' L2 U B' R U'
F U F R2 B R F2
U' D B' F U B R'
F U F' L2 R' B' L2
F U F' R' L2 B' L2
F U F' R' U2 F U2
F U F' U2 F U2 R'
U' D B2 F U B2 R'
L2 D' R' U R B' U'
L2 D' R' U B' R U'
F U F2 R' D2 F B2
F U F2 R' D2 B2 F
F U F2 D2 R' F B2
F U F2 D2 R' B2 F
F U F2 D2 F R' B2
R' D' U R U2 F U
R' D' U' F2 L' F' U
F U B2 L U2 L' F'
L' D' F U' F' L' R'
L' D' F U' F' R' L'
U' D' R' U' R F U
D' U' R' U' R F U
D2 U' R' U' R F U
F U' L F R' F2 L'
F' U' L2 R' D' L2 F
F' U' L2 D' L2 R' F
F' U' L2 D' L2 F R'
F' U' L2 D' R' L2 F
D U' R' U' R F U
B U' L' B' U B L
F U' L' F R' F2 L'
F U' L2 F R' F2 L'
U' D' F B' U B R'
D' U' F B' U B R'
F' U' R' L2 D' L2 F
U' D' F B2 U B2 R'
D' U' F B2 U B2 R'
D2 U' F B' U B R'
D2 U' F B2 U B2 R'
F' U' R' U' F2 U F'
F' U' R' D F D2 L2
F' U' R' D' F L2 D
F' U' R' D' F L2 D'
F' U' R' D' F L2 D2
F' U' R' D' F' L2 F2
F' U' R' D' F2 L2 F'
F' U' R' D2 F D L2
F' U' R' F U' F U
F2 U' R' F D' F L'
D U' F B' U B R'
D U' F B2 U B2 R'
F' U' R2 D' R F L2
F U' R' U2 R U2 F'
F U' R' D2 F2 L' F
F U' R' F2 D2 L' F
F' U' D F D2 L2 R'
F' U' D F D2 R' L2
F' U' D' R F L2 R2
F' U' D' R F R2 L2
F' U' D' R' F L2 D
F' U' D' R' F L2 D'
F' U' D' R' F L2 D2
F' U' D' R' F' L2 F2
F' U' D' R' F2 L2 F'
F' U' D' F L2 R' D
F' U' D' F L2 R' D'
F' U' D' F L2 R' D2
F' U' D' F L2 D R'
F' U' D' F L2 D' R'
F' U' D' F L2 D2 R'
F' U' D' F R' L2 D
F' U' D' F R' L2 D'
F' U' D' F R' L2 D2
F' U' D' F' L2 R' F2
F' U' D' F' L2 F2 R'
F' U' D' F' R' L2 F2
F' U' D' F' R' F2 L2
F' U' D' F2 L2 F' R'
F U' D F R' F2 L'
U' D' B' F U B R'
F' U' D2 R' D F L2
D' U' B' F U B R'
F' U' D2 R' F D L2
F' U' D2 F R' D L2
F' U' D2 F D L2 R'
F' U' D2 F D R' L2
D2 U' B' F U B R'
F U' D' F R' F2 L'
F' U' F R' U' F U
R' D2 L2 U R B' U'
R' D2 L2 U B' R U'
D' U' B2 F U B2 R'
U' D' B2 F U B2 R'
F' U' F U' F U R'
F2 U' F R' D' F L2
D2 U' B2 F U B2 R'
B' U' F B U R' B'
D U' B' F U B R'
F2 U' F D' R' F L2
F2 U' F D' F L2 R'
F2 U' F D' F R' L2
F U' D2 F R' F2 L'
B2 U' F B2 U R' B2
B U' F L' B' U B
F U' F L R' F2 L'
F U' F L' R' F2 L'
