B' L U' F B
B' L U' B F
B' L U' D F B
B' L U' D B F
B' L U' D' F B
B' L U' D' B F
B' L U' D2 F B
B' L U' D2 B F
B' L U' F D B
B' L U' F D' B
B' L U' F D2 B
B' L U' F B D
B' L U' F B D'
B' L U' F B D2
B' L U' B D F
B' L U' B D' F
B' L U' B D2 F
B' L U' B F D
B' L U' B F D'
B' L U' B F D2
B' L D U' F B
B' L D U' B F
B' L D' U' F B
B' L D' U' B F
B' L D2 U' F B
B' L D2 U' B F
B2 L B U' F B
B2 L B U' B F
B' L' U B' U2 B2
B' L' U' B D2 F2
B' D L U' F B
B' D L U' B F
B' D' L U' F B
B' D' L U' B F
B' D2 L U' F B
B' D2 L U' B F
R' B' L U' F B
R' B' L U' B F
D2 B' L U' F B
D2 B' L U' B F
R2 B' L U' F B
R2 B' L U' B F
D' B' L U' F B
D' B' L U' B F
D B' L U' F B
D B' L U' B F
R B' L U' F B
R B' L U' B F
U B' U2 R' U R
B' L R2 U F' U2 F2
B' L R2 U' F D2 B2
B' L U F' U2 F2 B
B' L U F' U2 B F2
B' L U F2 U2 F' B
B' L U F2 U2 B F'
B' L U B' U2 F B2
B' L U B' U2 B2 F
B' L U B2 U2 F B'
B' L U B2 U2 B' F
B' L U' L B L' F
B' L U' R F R' B
B' L U' D F D B
B' L U' D F D' B
B' L U' D F D2 B
B' L U' D F B D
B' L U' D F B D'
B' L U' D F B D2
B' L U' D B D F
B' L U' D B D' F
B' L U' D B D2 F
B' L U' D B F D
B' L U' D B F D'
B' L U' D B F D2
B' L U' D' F D B
B' L U' D' F D' B
B' L U' D' F D2 B
B' L U' D' F B D
B' L U' D' F B D'
B' L U' D' F B D2
B' L U' D' B D F
B' L U' D' B D' F
B' L U' D' B D2 F
B' L U' D' B F D
B' L U' D' B F D'
B' L U' D' B F D2
B' L U' D2 F D B
B' L U' D2 F D' B
B' L U' D2 F D2 B
B' L U' D2 F B D
B' L U' D2 F B D'
B' L U' D2 F B D2
B' L U' D2 B D F
B' L U' D2 B D' F
B' L U' D2 B D2 F
B' L U' D2 B F D
B' L U' D2 B F D'
B' L U' D2 B F D2
B' L U' F L B L'
B' L U' F L2 B L2
B' L U' F D B D
B' L U' F D B D'
B' L U' F D B D2
B' L U' F D' B D
B' L U' F D' B D'
B' L U' F D' B D2
B' L U' F D2 B D
B' L U' F D2 B D'
B' L U' F D2 B D2
B' L U' F B2 D B'
B' L U' F B2 D' B'
B' L U' F B2 D2 B'
B' L U' F2 D F' B
B' L U' F2 D B F'
B' L U' F2 D' F' B
B' L U' F2 D' B F'
B' L U' F2 D2 F' B
B' L U' F2 D2 B F'
B' L U' F2 B D F'
B' L U' F2 B D' F'
B' L U' F2 B D2 F'
B' L U' B R F R'
B' L U' B R2 F R2
B' L U' B D F D
B' L U' B D F D'
B' L U' B D F D2
B' L U' B D' F D
B' L U' B D' F D'
B' L U' B D' F D2
B' L U' B D2 F D
B' L U' B D2 F D'
B' L U' B D2 F D2
B' L U' B F2 D F'
B' L U' B F2 D' F'
B' L U' B F2 D2 F'
B' L U' B2 D F B'
B' L U' B2 D B' F
B' L U' B2 D' F B'
B' L U' B2 D' B' F
B' L U' B2 D2 F B'
B' L U' B2 D2 B' F
B' L U' B2 F D B'
B' L U' B2 F D' B'
B' L U' B2 F D2 B'
B' L D U' F D B
B' L D U' F D' B
B' L D U' F D2 B
B' L D U' F B D
B' L D U' F B D'
B' L D U' F B D2
B' L D U' B D F
B' L D U' B D' F
B' L D U' B D2 F
B' L D U' B F D
B' L D U' B F D'
B' L D U' B F D2
B' L D' U' F D B
B' L D' U' F D' B
B' L D' U' F D2 B
B' L D' U' F B D
B' L D' U' F B D'
B' L D' U' F B D2
B' L D' U' B D F
B' L D' U' B D' F
B' L D' U' B D2 F
B' L D' U' B F D
B' L D' U' B F D'
B' L D' U' B F D2
B2 L D' B R2 U' F
B' L D2 U' F D B
B' L D2 U' F D' B
B' L D2 U' F D2 B
B' L D2 U' F B D
B' L D2 U' F B D'
B' L D2 U' F B D2
B' L D2 U' B D F
B' L D2 U' B D' F
B' L D2 U' B D2 F
B' L D2 U' B F D
B' L D2 U' B F D'
B' L D2 U' B F D2
B2 L B U' D F B
B2 L B U' D B F
B2 L B U' D' F B
B2 L B U' D' B F
B2 L B U' D2 F B
B2 L B U' D2 B F
B2 L B U' F D B
B2 L B U' F D' B
B2 L B U' F D2 B
B2 L B U' F B D
B2 L B U' F B D'
B2 L B U' F B D2
B2 L B U' B D F
B2 L B U' B D' F
B2 L B U' B D2 F
B2 L B U' B F D
B2 L B U' B F D'
B2 L B U' B F D2
B2 L B D U' F B
B2 L B D U' B F
B2 L B D' U' F B
B2 L B D' U' B F
B2 L B D2 U' F B
B2 L B D2 U' B F
B' L' R2 U F' B' U2
B' L' R2 U B' F' U2
B' L' U D B' U2 B2
B' L' U D' B' U2 B2
B' L' U D2 B' U2 B2
B' L' U F B' U2 B2
B' L' U F' B' U2 B2
B' L' U F2 B' U2 B2
B' L' U B' U2 B2 D
B' L' U B' U2 B2 D'
B' L' U B' U2 B2 D2
B' L' U B' D2 F2 U2
B' L' U B' F U2 B2
B' L' U B' F' U2 B2
B' L' U B' F2 U2 B2
B' L' U' L2 F L2 B
B' L' U' L2 F B L2
B' L' U' L2 B F L2
B' L' U' D B D2 F2
B' L' U' D' B D2 F2
B' L' U' D2 B D2 F2
B' L' U' F B D2 F2
B' L' U' F' B D2 F2
B' L' U' F2 B D2 F2
B' L' U' B U2 B2 U2
B' L' U' B D2 F2 D
B' L' U' B D2 F2 D'
B' L' U' B D2 F2 D2
B' L' U' B F D2 F2
B' L' U' B F' D2 F2
B' L' U' B F2 D2 F2
B' L' U2 L2 U F B
B' L' U2 L2 U B F
B' L' D L2 U' F B
B' L' D L2 U' B F
F2 L' D L2 R2 F L'
F2 L' D L2 F L' R2
F2 L' D L2 F R2 L'
F2 L' D R2 L2 F L'
B' L' D U B' U2 B2
B' L' D U' B D2 F2
B' L' D' L2 U' F B
B' L' D' L2 U' B F
B' L' D' U B' U2 B2
B' L' D' U' B D2 F2
B' L' D2 L2 U' F B
B' L' D2 L2 U' B F
B' L' D2 U B' U2 B2
B' L' D2 U' B D2 F2
B2 L' B U B2 U2 B'
B2 L' B U' D2 F2 B
B2 L' B U' D2 B F2
B2 L' B D L2 U' B
B2 L' B D2 U' F2 B
B2 L' B D2 U' B F2
U2 L2 U F R U R'
B' L2 U' L' F L B
B' L2 U' B L' F L
B' L2 U2 L' U F B
B' L2 U2 L' U B F
U' L2 F L2 R U R'
U' L2 F R L2 U R'
B2 L2 B L' U' F B
B2 L2 B L' U' B F
B' R U2 R' U F' B
B' R U2 R' U B F'
R' U B' U2 R' U R
R2 U B' U2 R' U R
R U B' U2 R' U R
B' R D2 L U' F B'
B' R D2 L U' B' F
D2 R B' L U' F B
D' R B' L U' F B
D' R B' L U' B F
D2 R B' L U' B F
D R B' L U' F B
D R B' L U' B F
B R B2 L U' F B
B R B2 L U' B F
U2 R' U2 B' U' F' B
U2 R' U2 B' U' B F'
D2 R' B' L U' F B
D2 R' B' L U' B F
D' R' B' L U' F B
D' R' B' L U' B F
D R' B' L U' F B
D R' B' L U' B F
B R' B2 L U' F B
B R' B2 L U' B F
B' R2 L U F' U2 F2
B' R2 L U' F D2 B2
B' R2 L' U F' B' U2
B' R2 L' U B' F' U2
D' R2 B' L U' F B
D' R2 B' L U' B F
D2 R2 B' L U' F B
D2 R2 B' L U' B F
D R2 B' L U' F B
D R2 B' L U' B F
B R2 B2 L U' F B
B R2 B2 L U' B F
R' D B' L U' F B
R' D B' L U' B F
R2 D B' L U' F B
R2 D B' L U' B F
R D B' L U' F B
R D B' L U' B F
F' U F B L B2 U'
F' U F B' U2 R' U
L2 D' L2 B' L U' B
D' U B' U2 R' U R
