B L R' B U L2
B R' L B U L2
B R' L B U L2
R' B L R' U L2
R' B R' L U L2
B' L R F' R2 U' L2
B' L R' U2 B U L2
B L R' D F2 B U
B L R' D B F2 U
B L R' F B U L2
B L R' F' B U L2
B L R' F2 B U L2
B L R' B U L2 D
B L R' B U L2 D'
B L R' B U L2 D2
B L R' B D F2 U
B L R' B F U L2
B L R' B F' U L2
B L R' B F2 U L2
R' L B L R' U L
B L F R' B U L2
R' L B R' L U L
B L F' R' B U L2
B L F2 R' B U L2
B L' R' B L2 U L2
B L' U' L2 R' B U
B L' U' R' L2 B U
B L' U' R' B L2 U
R' L' B L R' U L'
L' R' B L R' U L'
R' L' B R' L U L'
L' R' B R' L U L'
L R' B L R' U L
U' L' D' R F' R B'
U' L' D' R F' B' R
U' L' D' R B' F' R
L R' B R' L U L
U L' D' R F' B R
U L' D' R B F' R
U' L' D' F' R F' B'
U' L' D' F' R B' F'
U' L' D' F' B' R F'
U' L' D' B' R F' R
U' L' D' B' F' R F'
U L' D' F' R F' B
U L' D' F' R B F'
R2 U D L' F R B
B' R L F' R2 U' L2
D' R U L' F' R B
D' R U' L' F' R B'
D' R U' L' F' B' R
D' R U' L' B' F' R
R2 U' D L' F B' R'
R2 U' D L' B' R' F
R2 U' D L' B' F R'
B' R' L U2 B U L2
B R' L D F2 B U
B R' L D B F2 U
B R' L F B U L2
B R' L F' B U L2
B R' L F2 B U L2
B R' L B U L2 D
B R' L B U L2 D'
B R' L B U L2 D2
B R' L B D F2 U
B R' L B F U L2
B R' L B F' U L2
B R' L B F2 U L2
B R' L' B L2 U L2
B R' D L B U L2
B R' D' L B U L2
B R' D2 L B U L2
U2 R' B R' U L' B'
R' U2 B R' U L' B'
R2 D U L' F R B
R2 D U' L' F B' R'
R2 D U' L' B' R' F
R2 D U' L' B' F R'
B U L R' B U L2
D' U L' R F' B R
D' U L' R B F' R
D' U L' F' R F' B
D' U L' F' R B F'
U' D L' F B R' B2
U' D L' B R' F B2
U' D L' B R' B2 F
U' D L' B F R' B2
D U L' R F B R'
D U L' R B R' F
D U L' R B F R'
U D L' R F B R'
U D L' R B R' F
U D L' R B F R'
D U L' F R B R'
U D L' F R B R'
D' U R L' F' B R
D' U R L' B F' R
D' U R B L' F' R
R' D B L U L2 F
D U R L' F B R'
D U R L' B R' F
D U R L' B F R'
U D R L' F B R'
U D R L' B R' F
U D R L' B F R'
D U R B L' R' F
D U R B L' F R'
D U R B R' L' F
B U R' L B U L2
U D R B L' R' F
U D R B L' F R'
U D R B R' L' F
U' D B L' R' F B'
U' D B L' R' B' F
U' D B L' F R' B'
U' D B R' L' F B'
U' D B R' L' B' F
U' D B2 L' F B' R'
U' D B2 L' B' R' F
U' D B2 L' B' F R'
D' U' L' R F' R B'
U' D' L' R F' R B'
D' U' L' R F' B' R
U' D' L' R F' B' R
U' D' L' R B' F' R
D' U' L' R B' F' R
U' D' L' F' R F' B'
U' D' L' F' R B' F'
D' U' L' F' R F' B'
D' U' L' F' R B' F'
D' U' L' F' B' R F'
U' D' L' F' B' R F'
U' D' L' B' R F' R
D' U' L' B' R F' R
U' D' L' B' F' R F'
D' U' L' B' F' R F'
U D' L' R F' B R
U D' L' R B F' R
D U' L' F B R' B2
D U' L' B R' F B2
D U' L' B R' B2 F
D U' L' B F R' B2
U' D' R L' F' R B'
D' U' R L' F' R B'
U' D' R L' F' B' R
D' U' R L' F' B' R
U' D' R L' B' F' R
D' U' R L' B' F' R
U D' L' F' R F' B
U D' L' F' R B F'
B U' L R' B U L2
U D' R L' F' B R
U D' R L' B F' R
U D' R B L' F' R
B U' R' L B U L2
D U' B L' R' F B'
D U' B L' R' B' F
D U' B L' F R' B'
D U' B R' L' F B'
D U' B R' L' B' F
D U' B2 L' F B' R'
D U' B2 L' B' R' F
D U' B2 L' B' F R'
B U2 L R' B U L2
B U2 R' L B U L2
B D2 L R' B' U L2
B D2 R' L B' U L2
R' B L R' U L2 D
R' B L R' U L2 D'
R' B L R' U L2 D2
R' B L R' D F2 U
R' B L R' F U L2
R' B L R' F' U L2
R' B L R' F2 U L2
L' B L R' B U L'
R' B L D R' F2 U
R' B L D F2 R' U
R' B L F R' U L2
R' B L F' R' U L2
R' B L F2 R' U L2
D B L U L2 R' F
D B L U L2 F R'
D B L U R' L2 F
D B L' R' D' F B2
D B L' R' D' B2 F
D B L' R' F D' B2
D B L' D' R' F B2
D B L' D' R' B2 F
D B L' D' F R' B2
D B L' F R' D' B2
D B L' F D' R' B2
R' B R' L U L2 D
R' B R' L U L2 D'
R' B R' L U L2 D2
R' B R' L D F2 U
R' B R' L F U L2
R' B R' L F' U L2
R' B R' L F2 U L2
R' B R' U L' D' B2
L' B R' L B U L'
R' B R' D L U L2
R' B R' D' L U L2
R' B R' D2 L U L2
D B R' L' D' F B2
D B R' L' D' B2 F
D B R' L' F D' B2
U2 B R' B U L' B'
L' B U' L R' B U
L' B U' R' L B U
R' B D L R' U L2
R' B D R' L U L2
R' B D' L R' U L2
R' B D' R' L U L2
R' B D2 L R' U L2
R' B D2 R' L U L2
R2 B' L R' F' U' L2
R B' L F' R' U' L2
R2 B' R' L F' U' L2
