L2 F U' L R
L2 F U' R L
B' L2 F U' L R
B' L2 F U' R L
B2 L2 F U' L R
B2 L2 F U' R L
B L2 F U' L R
B L2 F U' R L
L2 D F U' L R
L2 D F U' R L
L2 D' F U' L R
L2 D' F U' R L
L2 D2 F U' L R
L2 D2 F U' R L
L F L U' L R
L F L U' R L
L2 F U' L R D
L2 F U' L R D'
L2 F U' L R D2
L2 F U' L D R
L2 F U' L D' R
L2 F U' L D2 R
L2 F U' R L D
L2 F U' R L D
L2 F U' R L D'
L2 F U' R L D2
L2 F U' R D L
L2 F U' R D' L
L2 F U' R D2 L
L2 F U' D L R
L2 F U' D R L
L2 F U' D' L R
L2 F U' D' R L
L2 F U' D2 L R
L2 F U' D2 R L
L2 F D U' L R
L2 F D U' R L
L2 F D' U' L R
L2 F D' U' R L
L2 F D2 U' L R
L2 F D2 U' R L
L2 F' U L' U2 L2
L2 F' U' L D2 R2
U L U' F L U' L
L2 R F R' U' L R2
L2 R F R' U' R2 L
B' L F L U' L R
B' L F L U' R L
B2 L F L U' L R
B2 L F L U' R L
B L F L U' L R
B L F L U' R L
D L F U' R F L2
U' L' R' U L' F' U'
U' L' U L' F U' R
L2 R2 F R2 U' L R'
L2 R2 F R2 U' R' L
R2 L2 F R2 U' L R'
R2 L2 F R2 U' R' L
R L2 F R' U' L R2
R L2 F R' U' R2 L
F L2 U' R U B U'
F L2 U2 B U L R
F L2 U2 B U R L
B' L2 D F U' L R
B' L2 D F U' R L
B2 L2 D F U' L R
B2 L2 D F U' R L
B L2 D F U' L R
B L2 D F U' R L
B' L2 D' F U' L R
B' L2 D' F U' R L
B2 L2 D' F U' L R
B2 L2 D' F U' R L
B L2 D' F U' L R
B L2 D' F U' R L
B' L2 D2 F U' L R
B' L2 D2 F U' R L
L' U L' U2 B' U B
B2 L2 D2 F U' L R
B2 L2 D2 F U' R L
L2 U L' U B' U L2
B L2 D2 F U' L R
B L2 D2 F U' R L
F' L2 F U L U2 L2
B' L2 F U' L R D
B' L2 F U' L R D'
B' L2 F U' L R D2
B' L2 F U' L D R
B' L2 F U' L D' R
B' L2 F U' L D2 R
B' L2 F U' R L D
B' L2 F U' R L D'
B' L2 F U' R L D2
B' L2 F U' R D L
B' L2 F U' R D' L
B' L2 F U' R D2 L
B' L2 F U' D L R
B' L2 F U' D R L
B' L2 F U' D' L R
B' L2 F U' D' R L
B' L2 F U' D2 L R
B' L2 F U' D2 R L
F' L2 F U' L' D2 R2
B' L2 F D U' L R
B' L2 F D U' R L
B2 L2 F U' L R D
B2 L2 F U' L R D'
B2 L2 F U' L R D2
B2 L2 F U' L D R
B2 L2 F U' L D' R
B2 L2 F U' L D2 R
B2 L2 F U' R L D
B2 L2 F U' R L D'
B2 L2 F U' R L D2
B2 L2 F U' R D L
B2 L2 F U' R D' L
B2 L2 F U' R D2 L
B2 L2 F U' D L R
B2 L2 F U' D R L
B2 L2 F U' D' L R
B2 L2 F U' D' R L
B2 L2 F U' D2 L R
B2 L2 F U' D2 R L
B' L2 F D' U' L R
B' L2 F D' U' R L
B' L2 F D2 U' L R
B' L2 F D2 U' R L
B2 L2 F D U' L R
B2 L2 F D U' R L
D L2 F U' R F L
B L2 F U' L R D
B L2 F U' L R D'
B L2 F U' L R D2
B L2 F U' L D R
B L2 F U' L D' R
B L2 F U' L D2 R
B L2 F U' R L D
B L2 F U' R L D'
B L2 F U' R L D2
B L2 F U' R D L
B L2 F U' R D' L
B L2 F U' R D2 L
B L2 F U' D L R
B L2 F U' D R L
B L2 F U' D' L R
B L2 F U' D' R L
B2 L2 F D' U' L R
B L2 F U' D2 L R
B2 L2 F D' U' R L
B L2 F U' D2 R L
B2 L2 F D2 U' L R
B2 L2 F D2 U' R L
F' L2 F B2 U' L' R'
F' L2 F B2 U' R' L'
B L2 F D U' L R
B L2 F D U' R L
B L2 F D' U' L R
B L2 F D' U' R L
B L2 F D2 U' L R
B L2 F D2 U' R L
B' L2 F' U L' U2 L2
F' L2 F' U L R U2
F' L2 F' U R L U2
B' L2 F' U' L D2 R2
B2 L2 F' U L' U2 L2
B2 L2 F' U' L D2 R2
B L2 F' U L' U2 L2
B L2 F' U' L D2 R2
U' L2 B U' B' L R'
U' L2 B U' B' R' L
F' L2 B2 F U' L' R'
F' L2 B2 F U' R' L'
L2 U' L R U' B U
L2 U' L R' U F' U'
L2 U' L U F U' R
L2 U' L U' B' U R'
R U' L2 R' F' U' L
L2 U' R L U' B U
L2 U' R' L U F' U'
L2 U' R' U F' U' L
R U' R' L2 F' U' L
U' R' L' U L' F' U'
U' R' U L2 F' U' L
L U2 B' U L2 R' F'
L U2 B' U R' L2 F'
L U2 B' U R' F' L2
L' D L' F U' L R
L' D L' F U' R L
R2 D L' F R F B2
R2 D L' F R B2 F
R2 D L' F B2 R F
R2 D L' B2 F R F
L2 D F U' L R D
L2 D F U' L R D'
L2 D F U' L R D2
L2 D F U' L D R
L2 D F U' L D' R
L2 D F U' L D2 R
L2 D F U' R L D
L2 D F U' R L D'
L2 D F U' R L D2
L2 D F U' R D L
L2 D F U' R D' L
L2 D F U' R D2 L
L2 D F U' D L R
L2 D F U' D R L
L2 D F U' D' L R
L2 D F U' D' R L
L2 D F U' D2 L R
L2 D F U' D2 R L
L2 D F D U' L R
L2 D F D U' R L
L2 D F D' U' L R
L2 D F D' U' R L
L2 D F D2 U' L R
L2 D F D2 U' R L
L2 D F' U L' U2 L2
