R D B U2 R' B2
L2 R D F B U2 R'
L2 R D B F U2 R'
L2 R D' F L' B U2
L2 R D' F B L' U2
L2 R D' B F L' U2
L2 R F D B U2 R'
L2 R B D' F L' U2
R L2 D F B U2 R'
R L2 D B F U2 R'
R L2 D' F L' B U2
R L2 D' F B L' U2
R L2 D' B F L' U2
R L2 F D B U2 R'
R L2 B D' F L' U2
R' U F R F2 B' L'
R' U F R B' F2 L'
R' U F B' R F2 L'
B' R D L2 B U2 B'
R' U B' F R F2 L'
D2 R D B U2 R' B2
D' R D B U2 R' B2
B' R D B L2 F U2
D R D B U2 R' B2
B' R D' R2 D2 L2 F'
B' R D' R2 D2 F' L2
B' R D' R2 F' D2 L2
B' R D' B U2 R2 B'
B' R D' B U2 B' R2
B' R B U B U B2
B' R B U2 B' D' R2
B R B U B' U B2
R' U' R2 B L U2 B2
B R B U2 B D' R2
R' U' R2 B U2 B2 R'
R U' R2 U' F' B' R'
R U' R2 U' B' F' R'
R' U' D2 F' B' L2 R'
R' U' D2 F' B' R' L2
R' U' D2 B' L2 F' R'
R' U' D2 B' F' L2 R'
R' U' D2 B' F' R' L2
R' U' F' D2 B' L2 R'
R' U' F' D2 B' R' L2
R' U' F' B' D2 L2 R'
R' U' F' B' D2 R' L2
B R' U F' B2 D2 L2
B R' U B2 D2 L2 F'
B R' U B2 D2 F' L2
B R' U B2 F' D2 L2
B R' U' R2 B U2 B
F2 R' U' B' L' F' R'
R' U' B' D2 L2 F' R'
R' U' B' D2 F' L2 R'
R' U' B' D2 F' R' L2
R' U' B' F' D2 L2 R'
R' U' B' F' D2 R' L2
B' R' D2 L2 D F' R2
B' R' F' D' R2 D' L2
B' R' F' D2 L2 D R2
R U2 D' R2 F' R B'
R U2 D' R2 F' B' R
R U2 D' R2 B' F' R
B R2 U' R' B U2 B
R D L2 F B U2 R'
R D L2 B F U2 R'
R D F B U2 R' B2
R D F' B U2 R' B2
R D F2 B U2 R' B2
R D B L U2 R' B2
R D B L' U2 R' B2
R D B L2 U2 R' B2
R D B U2 R B2 R2
R D B U2 R' B2 D
R D B U2 R' B2 D'
R D B U2 R' B2 D2
R D B U2 R2 B2 R
R D B D2 F2 U2 R'
R D B F U2 R' B2
R D B F' U2 R' B2
R D B F2 U2 R' B2
R D B' L B2 U2 B2
R D' L2 F L' B U2
R D' L2 F B L' U2
R D' L2 B F L' U2
B U F2 B2 D' L' F
B U B2 F2 D' L' F
R D' U2 R2 F' R B'
R D' U2 R2 F' B' R
R D' U2 R2 B' F' R
R' D' F2 U F R B'
R' D' F2 U F B' R
R' D' F2 U B' F R
R D' F B L' U2 B2
R D' F' B U2 R B2
R D' F' B U2 B2 R
R D' B F L' U2 B2
R D' B F' U2 R B2
R D' B F' U2 B2 R
R' D2 U' F' B' L2 R'
R' D2 U' F' B' R' L2
R' D2 U' B' L2 F' R'
R' D2 U' B' F' L2 R'
R' D2 U' B' F' R' L2
B' D L2 R B U2 B'
B' D R L2 B U2 B'
B' D R B L2 F U2
R F D B U2 R' B2
B' D R' D2 L2 F' R2
B' D R' D2 F' L2 R2
B' D R' D2 F' R2 L2
B' D R' F' D2 L2 R2
B' D R' F' D2 R2 L2
R2 F' U R' B U2 B2
B' D' R B U2 R B'
B' D' R B U2 B' R
B' D' R' D2 L2 F' R'
B' D' R' D2 F' L2 R'
B' D' R' D2 F' R' L2
R F' D B U2 R' B2
B' D' R' F' D2 L2 R'
B' D' R' F' D2 R' L2
B' D' R2 U2 R' B U2
B' D' F' R' F' L' R'
B' D' F' R' F' R' L'
B' D' F2 L' R' F' R'
B' D' F2 R' L' F' R'
B' D' F2 R2 D2 L' F
R F2 D B U2 R' B2
U F2 B' D' L' R2 F
U F2 B' D' L' F R2
U F2 B' D' R2 L' F
U B R2 U B2 L F
U B U' R B U2 B
R B U' R F' U' B2
R B U2 B D B R'
F2 B R' U L' F' B2
F2 B R' U L' B2 F'
F2 B R' U B2 L' F'
F2 B' L' R D' R2 F'
F2 B' L' R' D' F' R2
F2 B' L' R' F' D' R2
F2 B' L' D' R' F' R'
B' F' R D' R2 F' L'
F2 B' R L' D' R2 F'
F' B' R D' R2 F' L'
F2 B' R D' L' R2 F'
F2 B' R D' R2 L' F'
B' F' R' D' F' L' R2
B' F' R' D' F' R2 L'
B' F' R' F' L' D' R2
B' F' R' F' D' L' R2
B' F' R' F' D' R2 L'
F2 B' R' L' D' F' R2
F2 B' R' L' F' D' R2
F' B' R' D' F' L' R2
F' B' R' D' F' R2 L'
F' B' R' F' L' D' R2
F' B' R' F' D' L' R2
F' B' R' F' D' R2 L'
F2 B' R' D' L' F' R2
B' F' D' R' F' L' R'
B' F' D' R' F' R' L'
F' B' D' R' F' L' R'
F' B' D' R' F' R' L'
F2 B' D' L' R' F' R'
F2 B' D' R' L' F' R'
F2 B' D' R2 D2 L' F
U B' F2 D' L' R2 F
U B' F2 D' L' F R2
U B' F2 D' R2 L' F
B' F2 L' R D' R2 F'
B' F2 L' R' D' F' R2
B' F2 L' R' F' D' R2
B' F2 L' D' R' F' R'
B2 F2 L' D' B R' F'
F2 B2 L' D' B R' F'
B' F2 R L' D' R2 F'
B' F2 R D' L' R2 F'
B' F2 R D' R2 L' F'
B' F2 R' L' D' F' R2
B' F2 R' L' F' D' R2
B' F2 R' D' L' F' R2
B F2 R' U L' F' B2
B F2 R' U L' B2 F'
B F2 R' U B2 L' F'
B' F2 D' L' R' F' R'
B' F2 D' R' L' F' R'
B' F2 D' R2 D2 L' F
R B2 D B' L U2 B2
R B2 D B' U2 B2 R'
