R2 L' U D L2 F'
R2 L' U D F' L2
R2 L' U F' D L2
R2 L' U2 B2 U' F'
R2 L' D U L2 F'
R2 L' D U F' L2
D L' R2 U L' F'
D2 L' R2 F2 U F
R2 L' D2 F2 U F
D' L' U' R2 U2 F'
D' L' U' B R2 U2
D L' U' B U2 L'
L' R2 U D L2 F'
L' R2 U D F' L2
L' R2 U F' D L2
D2 L' F2 R2 U F'
D2 L' F2 U' B U2
L' R2 U2 B2 U' F'
L' R2 D U L2 F'
L' R2 D U F' L2
L' R2 D2 F2 U F
L' U' D B U2 L2
L' U' D' R2 U2 F'
L' U' D' B R2 U2
L' U' B U' B U'
D2 R2 L' F2 U F
D R2 L' U L' F'
L' U2 B2 L2 U' F
L' U2 B2 U B' U2
R2 D L' U L' F'
L' D R2 U L2 F'
L' D R2 U F' L2
L' D U' B U2 L2
L' D' U' R2 U2 F'
L' D' U' B R2 U2
R2 D2 L' F2 U F
L' D2 R2 F2 U F
R D2 L' F2 U F'
L' D2 F2 R2 U F'
L' D2 F2 U' B U2
D2 L U D' B2 L2 F
D2 L D' U B2 L2 F
U L D' B2 D2 L2 F
D2 L F2 L2 R2 U F'
D2 L F2 L2 U' B U2
D2 L F2 R2 L2 U F'
R2 L' U L D L2 F'
R2 L' U L D F' L2
R2 L' U L F' D L2
R2 L' U L' D L2 F'
R2 L' U L' D F' L2
R2 L' U L' F' D L2
R2 L' U L2 D L2 F'
R2 L' U L2 D F' L2
R2 L' U L2 F' D L2
R2 L' U D L F' L
R2 L' U D L2 D F'
R2 L' U D L2 D' F'
R2 L' U D L2 D2 F'
R2 L' U D L2 F' D
R2 L' U D L2 F' D'
R2 L' U D L2 F' D2
R2 L' U D F L2 F2
R2 L' U D F' L2 D
R2 L' U D F' L2 D'
R2 L' U D F' L2 D2
R2 L' U D' F' D2 L2
R2 L' U F' L D L2
R2 L' U F' L' D L2
R2 L' U F' L2 D L2
R2 L' U F' U B2 U'
R2 L' U F' D L2 D
R2 L' U F' D L2 D'
R2 L' U F' D L2 D2
R2 L' U F2 D F L2
R2 L' U' D' R2 B U2
R' L' U2 L B2 U' F
L' R' U2 L B2 U' F
R2 L' U2 L B2 U' F'
U2 L B2 U2 L2 U F
R2 L' U2 L' B2 U' F'
R2 L' U2 L2 B2 U' F'
D' L' R U' R U2 F'
D L' R U D2 L' F
R' L' U2 B2 L U' F
L' R' U2 B2 L U' F
D2 L' R F2 R U F'
R2 L' U2 B2 L U' F'
R2 L' U2 B2 L' U' F'
R2 L' U2 B2 L2 U' F'
D L' R D2 U L' F
R2 L' U2 B2 U' D F'
R2 L' U2 B2 U' D' F'
R2 L' U2 B2 U' D2 F'
R2 L' U2 B2 U' F' D
R2 L' U2 B2 U' F' D'
R2 L' U2 B2 U' F' D2
R2 L' U2 B2 D U' F'
R2 L' U2 B2 D' U' F'
R2 L' U2 B2 D2 U' F'
R' L' D R' U L2 F'
R' L' D R' U F' L2
L' R' D R' U L2 F'
L' R' D R' U F' L2
R2 L' D U L F' L
R2 L' D U L2 D F'
R2 L' D U L2 D' F'
R2 L' D U L2 D2 F'
R2 L' D U L2 F' D
R2 L' D U L2 F' D'
R2 L' D U L2 F' D2
R2 L' D U F L2 F2
R2 L' D U F' L2 D
R2 L' D U F' L2 D'
R2 L' D U F' L2 D2
R2 L' D F U L2 F2
R2 L' D F U F2 L2
D2 L' R' F2 R' U F'
R2 L' D F2 U F L2
D2 L' R2 U D' L2 F'
D2 L' R2 U D' F' L2
D L' R2 U L F' L2
D L' R2 U L' D F'
D L' R2 U L' D' F'
D L' R2 U L' D2 F'
D L' R2 U L' F' D
D L' R2 U L' F' D'
D L' R2 U L' F' D2
D L' R2 U L2 F' L
D L' R2 U D L' F'
D L' R2 U D' L' F'
D L' R2 U D2 L' F'
D2 L' R2 D' U L2 F'
D2 L' R2 D' U F' L2
R2 L' D' U F' D2 L2
D L' R2 D U L' F'
R2 L' D' U' R2 B U2
D L' R2 D' U L' F'
D2 L' R2 F2 R U F
D2 L' R2 F2 R' U F
D2 L' R2 F2 R2 U F
D2 L' R2 F2 U D F
D2 L' R2 F2 U D' F
D2 L' R2 F2 U D2 F
D2 L' R2 F2 U F D
D2 L' R2 F2 U F D'
D2 L' R2 F2 U F D2
D2 L' R2 F2 D U F
D2 L' R2 F2 D' U F
D2 L' R2 F2 D2 U F
D L' R2 D2 U L' F'
R' L' D2 R' F2 U F
L' R' D2 R' F2 U F
D L' U L' R2 F' R2
D L' U L' U2 B U2
D L' U R2 L' F' R2
R' L' D2 F2 R' U F'
L' R' D2 F2 R' U F'
R2 L' D2 F2 R U F
R2 L' D2 F2 R' U F
R2 L' D2 F2 R2 U F
R2 L' D2 F2 U D F
R2 L' D2 F2 U D' F
R2 L' D2 F2 U D2 F
R2 L' D2 F2 U F D
R2 L' D2 F2 U F D'
R2 L' D2 F2 U F D2
R2 L' D2 F2 D U F
R2 L' D2 F2 D' U F
R2 L' D2 F2 D2 U F
D' L' U' R2 U2 D F'
D' L' U' R2 U2 D' F'
D' L' U' R2 U2 D2 F'
D' L' U' R2 U2 F' D
D' L' U' R2 U2 F' D'
D' L' U' R2 U2 F' D2
D' L' U' R2 D U2 F'
D' L' U' R2 D' U2 F'
D' L' U' R2 D2 U2 F'
D' L' U' R2 B U2 F'
D' L' U' R2 B' U2 F'
D2 L' U' D R2 U2 F'
D' L' U' R2 B2 U2 F'
D2 L' U' D B R2 U2
D2 L' U' D' B U2 L2
D' L' U' D2 B U2 L2
D L' U' R2 U2 L' F'
R2 L' F U F2 D L2
D L' U' D B U2 L'
D L' U' D' B U2 L'
R2 L' F U2 B2 U' F2
D2 L' U' B U F2 U
D2 L' U' B U2 D' L2
R2 L' F D R2 U L2
D2 L' U' B D R2 U2
D L' U' D2 B U2 L'
D2 L' U' B D' U2 L2
D' L' U' B R2 U2 D
D' L' U' B R2 U2 D'
D' L' U' B R2 U2 D2
D' L' U' B R2 D U2
D' L' U' B R2 D' U2
D' L' U' B R2 D2 U2
D' L' U' B U2 D2 L2
D' L' U' B D2 U2 L2
D' L' U' B' R2 B2 U2
D' L' U' B2 R2 B' U2
D L' U' B R U2 L'
D L' U' B R' U2 L'
D L' U' B R2 U2 L'
D L' U' B U2 L' D
D L' U' B U2 L' D'
D L' U' B U2 L' D2
D L' U' B U2 D L'
D L' U' B U2 D' L'
D L' U' B U2 D2 L'
D L' U' B D U2 L'
D L' U' B D' U2 L'
D L' U' B D2 U2 L'
R2 L' F' D2 F2 U F2
D2 L' D U' R2 U2 F'
D2 L' D U' B R2 U2
D L' D R2 U L' F'
R2 L' F2 U D F L2
R2 L' F2 U F D L2
D L' D U' B U2 L'
R2 L' F2 U2 B2 U' F
R2 L' F2 D U F L2
R2 L' F2 D2 F2 U F'
D2 L' D' R2 U L2 F'
D2 L' D' R2 U F' L2
D' L' D' R2 F2 U F
D2 L' D' U' B U2 L2
D L' D' R2 U L' F'
D' L' D' F2 R2 U F'
D' L' D' F2 U' B U2
D L' D' U' B U2 L'
D' L' D2 R2 U L2 F'
D' L' D2 R2 U F' L2
D' L' D2 U' B U2 L2
D L' D2 R2 U L' F'
D L' D2 U' B U2 L'
D2 L' F R2 F U F2
D' L' F U' R2 U2 F'
D' L' F U' B R2 U2
L' R2 U L D L2 F'
L' R2 U L D F' L2
L' R2 U L F' D L2
L' R2 U L' D L2 F'
L' R2 U L' D F' L2
L' R2 U L' F' D L2
L' R2 U L2 D L2 F'
L' R2 U L2 D F' L2
L' R2 U L2 F' D L2
L' R2 U D L F' L
L' R2 U D L2 D F'
L' R2 U D L2 D' F'
L' R2 U D L2 D2 F'
L' R2 U D L2 F' D
L' R2 U D L2 F' D'
L' R2 U D L2 F' D2
L' R2 U D F L2 F2
L' R2 U D F' L2 D
L' R2 U D F' L2 D'
L' R2 U D F' L2 D2
L' R2 U D' F' D2 L2
D' L' F' U' R2 U2 F'
D' L' F' U' B R2 U2
L' R2 U F' L D L2
L' R2 U F' L' D L2
L' R2 U F' L2 D L2
L' R2 U F' U B2 U'
L' R2 U F' D L2 D
L' R2 U F' D L2 D'
L' R2 U F' D L2 D2
L' R2 U F2 D F L2
D2 L' F2 R2 U D F'
D2 L' F2 R2 U D' F'
D2 L' F2 R2 U D2 F'
D2 L' F2 R2 U F' D
D2 L' F2 R2 U F' D'
D2 L' F2 R2 U F' D2
D2 L' F2 R2 D U F'
D2 L' F2 R2 D' U F'
D2 L' F2 R2 D2 U F'
L' R2 U' D' R2 B U2
D2 L' F2 U R2 F' R2
D' L' F2 U' R2 U2 F'
D2 L' F2 U' D B U2
D2 L' F2 U' D' B U2
D2 L' F2 U' D2 B U2
D' L' F2 U' B R2 U2
D2 L' F2 U' B U2 D
D2 L' F2 U' B U2 D'
D2 L' F2 U' B U2 D2
D2 L' F2 U' B D U2
D2 L' F2 U' B D' U2
D2 L' F2 U' B D2 U2
D2 L' F2 D R2 U F'
D2 L' F2 D U' B U2
D2 L' F2 D' R2 U F'
D2 L' F2 D' U' B U2
D2 L' F2 D2 R2 U F'
D2 L' F2 D2 U' B U2
D L' F2 U' B R U2
L' R2 U2 L B2 U' F'
L' R2 U2 L' B2 U' F'
L' R2 U2 L2 B2 U' F'
L' R2 U2 B2 L U' F'
L' R2 U2 B2 L' U' F'
L' R2 U2 B2 L2 U' F'
L' R2 U2 B2 U' D F'
L' R2 U2 B2 U' D' F'
L' R2 U2 B2 U' D2 F'
L' R2 U2 B2 U' F' D
L' R2 U2 B2 U' F' D'
L' R2 U2 B2 U' F' D2
L' R2 U2 B2 D U' F'
L' R2 U2 B2 D' U' F'
L' R2 U2 B2 D2 U' F'
L2 R2 D L U L F'
L2 R2 D L U F' L
R2 L2 D L U L F'
R2 L2 D L U F' L
L' R2 D U L F' L
L' R2 D U L2 D F'
L' R2 D U L2 D' F'
L' R2 D U L2 D2 F'
L' R2 D U L2 F' D
L' R2 D U L2 F' D'
L' R2 D U L2 F' D2
L' R2 D U F L2 F2
L' R2 D U F' L2 D
L' R2 D U F' L2 D'
L' R2 D U F' L2 D2
L' R2 D F U L2 F2
L' R2 D F U F2 L2
L' R2 D F2 U F L2
L' R2 D' U F' D2 L2
L' R2 D' U' R2 B U2
U2 L' B2 U B' U2 B
L2 R2 D2 L F2 U F
R2 L2 D2 L F2 U F
L' R2 D2 F2 R U F
L' R2 D2 F2 R' U F
L' R2 D2 F2 R2 U F
L' R2 D2 F2 U D F
L' R2 D2 F2 U D' F
L' R2 D2 F2 U D2 F
L' R2 D2 F2 U F D
L' R2 D2 F2 U F D'
L' R2 D2 F2 U F D2
L' R2 D2 F2 D U F
L' R2 D2 F2 D' U F
L' R2 D2 F2 D2 U F
L' R2 F U F2 D L2
L' R2 F U2 B2 U' F2
L' R2 F D R2 U L2
U2 L2 R' B2 R' U' F'
L' R2 F' D2 F2 U F2
L' R2 F2 U D F L2
L' R2 F2 U F D L2
L' R2 F2 U2 B2 U' F
L' R2 F2 D U F L2
L' R2 F2 D2 F2 U F'
D2 L2 F2 L R2 U F'
D2 L2 F2 L U' B U2
D2 L2 F2 R2 L U F'
L' U R2 F' R2 D L2
L' U D L2 R2 F' R2
L' U D L2 U2 B U2
L' U D R2 L2 F' R2
L' U D R2 F' L2 R2
L' U D R2 F' R2 L2
L' U D B2 L2 F B2
L' U D B2 L2 B2 F
U2 L2 B2 L2 R' U' F
U2 L2 B2 R' L2 U' F
U2 L2 B2 R' U B' U2
L U D' B2 D2 L2 F
D' R L' U' R U2 F'
D R L' U D2 L' F
D2 R L' F2 R U F'
D R L' D2 U L' F
D2 R F2 U2 R U' F'
L' U' R2 U' B2 U' F'
L' U' R2 U2 D L2 F'
L' U' R2 U2 D F' L2
L' U' R2 U2 F' D L2
L' U' R2 D U2 L2 F'
L' U' R2 D U2 F' L2
L' U' R2 D' R2 B U2
L' U' D R2 U2 L2 F'
L' U' D R2 U2 F' L2
L' U' D B R U2 L2
L' U' D B R' U2 L2
L' U' D B R2 U2 L2
L' U' D B U2 L2 D
L' U' D B U2 L2 D'
L' U' D B U2 L2 D2
L' U' D B D2 R2 U2
L' U' D B2 U2 L2 F
L' U' D' R2 U2 D F'
L' U' D' R2 U2 D' F'
L' U' D' R2 U2 D2 F'
L' U' D' R2 U2 F' D
L' U' D' R2 U2 F' D'
L' U' D' R2 U2 F' D2
L' U' D' R2 D U2 F'
L' U' D' R2 D' U2 F'
L' U' D' R2 D2 U2 F'
L' U' D' R2 B U2 F'
L' U' D' R2 B' U2 F'
L' U' D' R2 B2 U2 F'
L U' D F2 B U2 L2
L U' D B F2 U2 L2
L' U' D' B R2 U2 D
L' U' D' B R2 U2 D'
L' U' D' B R2 U2 D2
L' U' D' B R2 D U2
L' U' D' B R2 D' U2
L' U' D' B R2 D2 U2
L' U' D' B U2 D2 L2
L' U' D' B D2 U2 L2
L' U' D' B' R2 B2 U2
L' U' D' B2 R2 B' U2
L U' D' R2 U2 F' B2
L U' D' R2 U2 B2 F'
L U' D' B R2 F' U2
L' U' D2 B U F2 U
L' U' D2 B U2 D' L2
L' U' D2 B D R2 U2
L' U' D2 B D' U2 L2
D2 R' L' F2 R' U F'
U2 R' L2 B2 R' U' F'
L' U' B R2 U F' U
L' U' B U' D B U'
L' U' B U' D' B U'
L' U' B U' D2 B U'
L' U' B U' B U' D
L' U' B U' B U' D'
L' U' B U' B U' D2
L' U' B U' B D U'
L' U' B U' B D' U'
L' U' B U' B D2 U'
L' U' B D U' B U'
L' U' B D' U' B U'
L' U' B D2 U' B U'
L2 U' B U' B R' U'
L' U2 L B2 L2 U' F
L' U2 L B2 U B' U2
L' U2 L' B2 L2 U' F
L' U2 L' B2 U B' U2
L' U2 L2 B2 L2 U' F
L' U2 L2 B2 U B' U2
L2 U2 R' B2 R' U' F'
L' U2 D B2 U' L2 F
D2 R2 L' U D' L2 F'
D2 R2 L' U D' F' L2
D2 R2 L' D' U L2 F'
D2 R2 L' D' U F' L2
D2 R2 L' F2 R U F
D2 R2 L' F2 R' U F
D2 R2 L' F2 R2 U F
D2 R2 L' F2 U D F
D2 R2 L' F2 U D' F
D2 R2 L' F2 U D2 F
D2 R2 L' F2 U F D
D2 R2 L' F2 U F D'
D2 R2 L' F2 U F D2
D2 R2 L' F2 D U F
D2 R2 L' F2 D' U F
D2 R2 L' F2 D2 U F
D R2 L' U L F' L2
D R2 L' U L' D F'
D R2 L' U L' D' F'
D R2 L' U L' D2 F'
D R2 L' U L' F' D
D R2 L' U L' F' D'
D R2 L' U L' F' D2
D R2 L' U L2 F' L
D R2 L' U D L' F'
D R2 L' U D' L' F'
D R2 L' U D2 L' F'
D R2 L' D U L' F'
D R2 L' D' U L' F'
D R2 L' D2 U L' F'
B R2 U B' L' F' U
L' U2 B' D B' L2 U'
L' U2 B' D2 B' U' F2
L' U2 B2 L2 U' D F
L' U2 B2 L2 U' D' F
L' U2 B2 L2 U' D2 F
L' U2 B2 L2 U' F D
L' U2 B2 L2 U' F D'
L' U2 B2 L2 U' F D2
L' U2 B2 L2 D U' F
L' U2 B2 L2 D' U' F
L' U2 B2 L2 D2 U' F
D R2 D L' F2 U F
L' U2 B2 U D B' U2
L' U2 B2 U D' B' U2
L' U2 B2 U D2 B' U2
L' U2 B2 U B' U2 D
L' U2 B2 U B' U2 D'
L' U2 B2 U B' U2 D2
L' U2 B2 U B' D U2
L' U2 B2 U B' D' U2
L' U2 B2 U B' D2 U2
D2 R2 D' L' U L' F'
