U' F R U B R'
F' L' F2 U' B' L U2
L' U B' L R' F U2
L' U B' L F R' U2
L' U B' R' L F U2
R' U' F R U B R'
R2 U' F R U B R'
R U' F R U B R'
B R' U' F R U B
B U' F R U B R2
F U2 R U B U2 R'
U' F L R U B R'
U' F L' R U B R'
U' F L2 R U B R'
U' F R L U B R'
U' F R L' U B R'
U' F R L2 U B R'
U' F R U B R' D
U' F R U B R' D'
U' F R U B R' D2
U' F R U B D R'
U' F R U B D' R'
U' F R U B D2 R'
U' F R B' U B2 R'
U' F B R U B R2
U' B F R U B R2
B F U2 R U' R2 F'
F B U2 R U' R2 F'
L2 B' U L F B' U2
L2 B' U L B' F U2
