U' L' U2 F' B2 U
U' L' U2 B2 F' U
L2 U F' B2 R' U
L2 U B2 F' R' U
L' U2 F' B2 U B2
L' U2 B2 F' U B2
U F2 R F B2 U
U F2 R B2 F U
U F2 B2 R F U
U B2 F2 R F U
D2 L U' F2 L2 B' U'
B2 L F' U2 L2 U' B'
U' L' R2 B R2 F' U'
U2 L' U' F' B2 U F
U2 L' U' B2 F' U F
U L' U2 L F' B2 U
U L' U2 L B2 F' U
U' L' U2 D' F' U R2
U' L' U2 F' U D' R2
U' L' U2 F' D' U R2
U' L' U2 F' B2 U D
U' L' U2 F' B2 U D'
U' L' U2 F' B2 U D2
U' L' U2 F' B2 D U
U' L' U2 F' B2 D' U
U' L' U2 F' B2 D2 U
B L' U2 F' B U B'
U' L' U2 B2 D F' U
U' L' U2 B2 D' F' U
U' L' U2 B2 D2 F' U
U' L' U2 B2 F' U D
U' L' U2 B2 F' U D'
U' L' U2 B2 F' U D2
U' L' U2 B2 F' D U
U' L' U2 B2 F' D' U
U' L' U2 B2 F' D2 U
U L' U2 F' L B2 U
B L' U2 B F' U B'
U' L' D' U2 F' U R2
R2 L' B U2 B U B'
U' L' D2 F2 U2 F U
U' L' F U' D' L2 R2
U' L' F U' D' R2 L2
U' L' F U2 F2 B2 U
U' L' F U2 B2 F2 U
U' L' F D' U' L2 R2
U' L' F D' U' R2 L2
U' L' F D2 F2 B2 U'
U' L' F D2 B2 F2 U'
B2 L' F' U' F U2 F'
U' L' F2 U2 F B2 U
U' L' F2 U2 B2 F U
U' L' B U2 F' B U
U' L' B U2 B F' U
U' L' B' U2 F' B' U
U' L' B' U2 B' F' U
D L2 R2 U' L B U'
D L2 U F' U2 L U'
D L2 U' L U2 F' U
U2 L2 U' F' B2 R' U
L' R2 B U2 B U B'
U2 L2 U' B2 F' R' U
U' L2 U2 F' B2 R' U
U' L2 U2 B2 F' R' U
U2 L2 F' B2 R' U B2
U L2 F' B2 L2 R' U
U L2 F' B2 R' L2 U
L2 U R B2 R' F' U
D L2 B2 U F' R' U
U L2 B2 L2 F' R' U
U2 L2 B2 F' R' U B2
U L2 B2 F' L2 R' U
U L2 B2 F' R' L2 U
L U D2 F' R2 B U
L2 U F B2 R' F2 U
L2 U F' R B2 R' U
L2 U F' R' B2 R' U
L2 U F' R2 B2 R' U
L' U F' B2 U D2 F2
L' U F' B2 U' B2 U2
L' U F' B2 D' R2 U
L' U F' B2 D2 U F2
R' U F2 R F' B2 U
R' U F2 R B2 F' U
L2 U F' B2 R' U D
L2 U F' B2 R' U D'
L2 U F' B2 R' U D2
L2 U F' B2 R' D U
L2 U F' B2 R' D' U
L2 U F' B2 R' D2 U
L2 U F' B2 D R' U
L2 U F' B2 D' R' U
L2 U F' B2 D2 R' U
L U F' B2 U D F2
L U F' B2 U2 L2 U'
L U F' B2 D U F2
L U F' B2 D2 R2 U
R' U F2 B2 R F' U
L2 U F2 B2 R' F U
B2 R U2 L' B' U' B
L' U B2 D' F' R2 U
L' U B2 D2 F' U F'
R' U B2 F2 R F' U
L' U B2 F' U D2 F2
L' U B2 F' U' B2 U2
