F R2 U F' R B'
F R2 U F' B' R
F R2 U B' F' R
F U R2 F' R B'
F U R2 F' B' R
F U R2 B' F' R
R2 F U R' F2 B'
R2 F U R' B' F2
R2 F U F2 R' B'
R2 F' R' D' B' L2
R2 F' R' B' D' L2
R2 F' D' R' B' L2
F L2 U' F L' B U2
F L2 U' F B L' U2
B L2 U' B' U' R B'
B L2 U' B' U' B' R
F L2 U' B F L' U2
B2 L2 B R D F L2
B2 L2 B R F D L2
B2 L2 B D R F L2
B2 L2 B' U' R F B2
B2 L2 B' U' R B2 F
B2 L2 B' U' B2 R F
R' U F R U R B'
R' U F R U B' R
R2 U F U R' F2 B'
R2 U F U R' B' F2
R2 U F U F2 R' B'
R2 U F' R' D' B' L2
R2 U F' R' B' D' L2
B' R U D L2 B' U'
R2 U F' D' R' B' L2
F R U R F' R B'
F R U R F' B' R
F R U R B' F' R
F R U F' R F' B'
F R U F' R B' F'
F R U F' B' R F'
F R U B' R F' R
B' R U' D' R2 F U
B' R U' D' F R2 U
F R U B' F' R F'
B' R U' D2 F U F
B' R U' F U D2 F2
B' R U' F U' B2 U2
B' R U' F D' R2 U
B' R U' F D2 U F2
L' U B U2 L R B'
L' U B U2 L B' R
L' U B U2 R L B'
B' R U2 B2 U F U
B' R D U L2 B' U'
B' R D' U' R2 F U
B' R D' U' F R2 U
B' R D' F' D' L2 F2
B' R D' F' D' F2 L2
B' R D2 U' F U F
B' R D2 F' D' L2 F'
B' R D2 F' D' F' L2
B' R D2 F2 U' F' U
B' R F D2 F2 D' L2
B' R F' D' L2 D' F2
B' R F' D2 F2 D L2
R U' R F U F2 B'
R U' R F U B' F2
R2 U' F U R' F2 B'
R2 U' F U R' B' F2
R2 U' F U F2 R' B'
R U' F R U F' B'
R U' F R U B' F'
R2 U' F' R' D' B' L2
R2 U' F' R' B' D' L2
R2 U' F' D' R' B' L2
B R' U F U R2 B2
B R' U F U B2 R2
R2 U2 F U R' F2 B'
R2 U2 F U R' B' F2
R2 U2 F U F2 R' B'
R2 U2 F' R' D' B' L2
R2 U2 F' R' B' D' L2
R2 U2 F' D' R' B' L2
B R2 U F U R' B2
F R2 U F' R D B'
F R2 U F' R D' B'
F R2 U F' R D2 B'
F R2 U F' R B' D
F R2 U F' R B' D'
F R2 U F' R B' D2
F R2 U F' R' B' R2
F R2 U F' D R B'
F R2 U F' D B' R
F R2 U F' D' R B'
F R2 U F' D' B' R
F R2 U F' D2 R B'
F R2 U F' D2 B' R
F R2 U F' B R B2
F R2 U F' B' R D
F R2 U F' B' R D'
F R2 U F' B' R D2
F R2 U F' B' D R
F R2 U F' B' D' R
F R2 U F' B' D2 R
F R2 U B F' R B2
F R2 U B' F' R D
F R2 U B' F' R D'
F R2 U B' F' R D2
F R2 U B' F' D R
F R2 U B' F' D' R
F R2 U B' F' D2 R
D' R2 F U R' F2 B'
D' R2 F U R' B' F2
D2 R2 F U R' F2 B'
D2 R2 F U R' B' F2
D' R2 F U F2 R' B'
D2 R2 F U F2 R' B'
U' R2 F U R' F2 B'
U' R2 F U R' B' F2
U' R2 F U F2 R' B'
U2 R2 F U R' F2 B'
U2 R2 F U R' B' F2
U2 R2 F U F2 R' B'
D R2 F U R' F2 B'
D R2 F U R' B' F2
D' R2 F' R' D' B' L2
D R2 F U F2 R' B'
D' R2 F' R' B' D' L2
D2 R2 F' R' D' B' L2
D2 R2 F' R' B' D' L2
U' R2 F' R' D' B' L2
U' R2 F' R' B' D' L2
D' R2 F' D' R' B' L2
U R2 F U R' F2 B'
U R2 F U R' B' F2
U R2 F U F2 R' B'
D2 R2 F' D' R' B' L2
U' R2 F' D' R' B' L2
U2 R2 F' R' D' B' L2
U2 R2 F' R' B' D' L2
D R2 F' R' D' B' L2
D R2 F' R' B' D' L2
U2 R2 F' D' R' B' L2
D R2 F' D' R' B' L2
U R2 F' R' D' B' L2
U R2 F' R' B' D' L2
U R2 F' D' R' B' L2
F R2 B U F' R B2
F R2 B U F' B2 R
F R2 B U B2 F' R
F R2 B2 U F' B R
F R2 B2 U B F' R
R2 D F U R' F2 B'
R2 D F U R' B' F2
R2 D F U F2 R' B'
R2 D F' R' D' B' L2
R2 D F' R' B' D' L2
R2 D F' D' R' B' L2
F U R F' R F' B'
F U R F' R B' F'
F U R F' B' R F'
F U R B' R F' R
F U R B' F' R F'
F U R' B' R' F' R
B' U D L2 B' U' R
F U R2 F' R D B'
F U R2 F' R D' B'
F U R2 F' R D2 B'
F U R2 F' R B' D
F U R2 F' R B' D'
F U R2 F' R B' D2
F U R2 F' R' B' R2
F U R2 F' D R B'
F U R2 F' D B' R
F U R2 F' D' R B'
F U R2 F' D' B' R
F U R2 F' D2 R B'
F U R2 F' D2 B' R
F U R2 F' B R B2
F U R2 F' B' R D
F U R2 F' B' R D'
F U R2 F' B' R D2
F U R2 F' B' D R
F U R2 F' B' D' R
F U R2 F' B' D2 R
F U R2 B F' R B2
F U R2 B' F' R D
F U R2 B' F' R D'
F U R2 B' F' R D2
F U R2 B' F' D R
F U R2 B' F' D' R
F U R2 B' F' D2 R
F U F B' D2 F2 R
F U F' R2 F' R' B'
F U F' B' R D2 F2
F U F' B' D2 R F2
F U B' F D2 F2 R
F U B' F' R D2 F2
F U B' F' D2 R F2
R2 D' F U R' F2 B'
R2 D' F U R' B' F2
R2 D' F U F2 R' B'
R2 D' F' R' D' B' L2
R2 D' F' R' B' D' L2
R2 D' F' D' R' B' L2
F U' L2 F L' B U2
F U' L2 F B L' U2
F U' L2 B F L' U2
B' U' D' R2 F U R'
F U' D2 B U2 R' B2
F U' F B L' U2 B2
F U' F' B U2 R B2
F U' F' B U2 B2 R
F U' B F L' U2 B2
F U' B F' U2 R B2
F U' B F' U2 B2 R
R2 D2 F U R' F2 B'
R2 D2 F U R' B' F2
R2 D2 F U F2 R' B'
R2 D2 F' R' D' B' L2
R2 D2 F' R' B' D' L2
R2 D2 F' D' R' B' L2
B U2 R U' F U B2
B U2 R B2 U' F U
F U2 R2 U' F' R B'
F U2 R2 U' F' B' R
F U2 R2 U' B' F' R
B U2 F U F' R B2
B U2 F U F' B2 R
B U2 F U B2 F' R
R' F R' U F' R' B'
R2 F R U R2 F2 B'
R2 F R U R2 B' F2
R2 F R U F2 R2 B'
R2 F R U F2 B' R2
R2 F R U B' R2 F2
R2 F R U B' F2 R2
U' F R2 U F' R B'
U' F R2 U F' B' R
U' F R2 U B' F' R
D' F R2 U F' R B'
D' F R2 U F' B' R
D' F R2 U B' F' R
R F R U F' R' B'
D2 F R2 U F' R B'
D2 F R2 U F' B' R
D2 F R2 U B' F' R
R2 F R' F2 D' B' L2
R2 F R' F2 B' D' L2
U2 F R2 U F' R B'
U2 F R2 U F' B' R
U2 F R2 U B' F' R
R2 F R' B' F2 D' L2
U' F U R2 F' R B'
U' F U R2 F' B' R
U' F U R2 B' F' R
R2 F R2 U R F2 B'
R2 F R2 U R B' F2
R2 F R2 U B' R F2
D' F U R2 F' R B'
D' F U R2 F' B' R
D' F U R2 B' F' R
D2 F U R2 F' R B'
D2 F U R2 F' B' R
D2 F U R2 B' F' R
D F R2 U F' R B'
D F R2 U F' B' R
D F R2 U B' F' R
U F R2 U F' R B'
U F R2 U F' B' R
U F R2 U B' F' R
U2 F U R2 F' R B'
U2 F U R2 F' B' R
U2 F U R2 B' F' R
R2 F U R F2 R2 B'
R2 F U R F2 B' R2
R2 F U R B' R2 F2
R2 F U R B' F2 R2
R2 F U R' F2 D B'
R2 F U R' F2 D' B'
R2 F U R' F2 D2 B'
R2 F U R' F2 B' D
R2 F U R' F2 B' D'
R2 F U R' F2 B' D2
R2 F U R' B' F2 D
R2 F U R' B' F2 D'
R2 F U R' B' F2 D2
R2 F U R2 B' R F2
R2 F U F R' F B'
R2 F U F R' B' F
D F U R2 F' R B'
D F U R2 F' B' R
D F U R2 B' F' R
R2 F U F2 R B' R2
R2 F U F2 R' D B'
R2 F U F2 R' D' B'
R2 F U F2 R' D2 B'
R2 F U F2 R' B' D
R2 F U F2 R' B' D'
R2 F U F2 R' B' D2
R2 F U F2 R2 B' R
R2 F U F2 D R' B'
R2 F U F2 D' R' B'
R2 F U F2 D2 R' B'
B U2 B2 R U' F U
U F U R2 F' R B'
U F U R2 F' B' R
U F U R2 B' F' R
R2 F U' R' F2 B' L'
R2 F U' R' B' F2 L'
B' D L2 B' U' B R
R2 F D R2 U R B'
R2 F D R2 U B' R
B' D R U L2 B' U'
F' D R2 U2 F' B' R'
F' D R2 U2 B' F' R'
B' D U L2 B' U' R
R2 F' L2 R' D' L2 B'
R2 F' L2 D' L2 R' B'
R2 F' L2 D' R' L2 B'
R2 F' R B' R2 D' L2
R2 F' R' L2 D' L2 B'
R2 F' R' U' F2 U B'
R2 F' R' D B' D2 L2
R2 F' R' D' B L2 B2
R2 F' R' D' B' L2 D
R2 F' R' D' B' L2 D'
R2 F' R' D' B' L2 D2
R2 F' R' D' B2 L2 B
R2 F' R' B' L D' L2
R2 F' R' B' L' D' L2
R2 F' R' B' L2 D' L2
R2 F' R' B' U' F2 U
R2 F' R' B' D' L2 D
R2 F' R' B' D' L2 D'
R2 F' R' B' D' L2 D2
R2 F' R' B2 D' L2 B
R2 F' R' B2 D' B L2
R2 F' R2 D' R B' L2
R2 F' R2 D' B' L2 R
R2 F' R2 D' B' R L2
R2 F' R2 B' R D' L2
R2 F' R2 B' D' L2 R
R2 F' R2 B' D' R L2
R2 F' U' F2 U R' B'
R2 F' D R' B2 L B
B' D' R U' R F U
R2 F' D' R B' L2 R2
R2 F' D' R B' R2 L2
R2 F' D' R' B L2 B2
R2 F' D' R' B' L2 D
R2 F' D' R' B' L2 D'
R2 F' D' R' B' L2 D2
R2 F' D' R' B2 L2 B
R2 F' D' R2 B' L2 R
R2 F' D' R2 B' R L2
R2 F' D2 R' D B' L2
B' D' U' R2 F U R'
R2 F2 R' D F B' L
R2 F2 R' D B' F L
R2 F2 R' D' F B' L'
R2 F2 R' D' B' F L'
R2 F2 R' F D B' L
R2 F2 R' B' D' F L'
F' D' B2 L2 F B R
F' D' B2 L2 B F R
B' D2 R U' F U F
B' D2 R F' D' L2 F'
B' D2 R F' D' F' L2
B' D2 R F2 U' F' U
F D2 U' B U2 R' B2
B D2 F2 L' U F' U
L2 B U2 R D L2 B'
L2 B U2 D L2 R B'
L2 B U2 D L2 B' R
F2 B L' U F' U B2
L2 B U2 D R L2 B'
L2 B D U2 L2 R B'
L2 B D U2 L2 B' R
L2 B D U2 R L2 B'
L2 B D' R2 F U2 R'
R' B' R' F' R' D' L2
R' B' R' F' D' L2 R'
