F2 L R D' F' B2
F2 L R D' B2 F'
F2 L R F' D' B2
F2 L R F' D' B2
F2 L' U L2 R F'
F2 L' U R L2 F'
F2 L' U R F' L2
R U L' U2 L2 F'
R U L' U2 F' L2
F2 R L D' F' B2
F2 R L D' B2 F'
F2 R L F' D' B2
R U' L D2 F' R2
R U' L F' D2 R2
L' U' R U' L2 F'
L' U' R U' F' L2
F2 R F' D' L B'
R U' F2 R F L
R F2 U' R F L
L2 R U L U2 L2 F'
L2 R U L U2 F' L2
F2 L R U' L2 U F'
F2 L R D' F' B2 D
F2 L R D' F' B2 D'
F2 L R D' F' B2 D2
F2 L R D' B2 D F'
F2 L R D' B2 D' F'
F2 L R D' B2 D2 F'
F2 L R D' B2 F' D
F2 L R D' B2 F' D'
F2 L R D' B2 F' D2
F2 L R D2 F' D B2
F2 L R F' U' L2 U
F2 L R F' D' B2 D
F2 L R F' D' B2 D'
F2 L R F' D' B2 D2
F2 L R F' B D' B2
F2 L R F' B' D' B2
F2 L R F' B2 D' B2
F2 L R F2 D' F B2
F2 L R F2 D' B2 F
F2 L R B D' F' B2
F2 L R B D' B2 F'
F2 L R B F' D' B2
F2 L R B' D' F' B2
F2 L R B' D' B2 F'
F2 L R B' F' D' B2
F2 L R B2 D' F' B2
F2 L R B2 D' B2 F'
F2 L R B2 F' D' B2
L2 R U' L' D2 F' R2
L2 R U' L' F' D2 R2
L' R U2 L2 D' F' B2
L' R U2 L2 D' B2 F'
L' R U2 L2 F' D' B2
F2 L R2 D' R' F' B2
F2 L R2 D' R' B2 F'
L' R U2 F' L2 D' B2
F2 L U' L2 U R F'
R' L D2 R2 D' F' B2
R' L D2 R2 D' B2 F'
R' L D2 R2 F' D' B2
L R D2 F' R2 D B2
R L D2 F' R2 D B2
F2 L D' B2 D R F'
L R F' D2 R2 D B2
R L F' D2 R2 D B2
L2 R B2 U' L' F' R'
F2 L B R D' F' B2
F2 L B R D' B2 F'
F2 L B R F' D' B2
F2 L B' R D' F' B2
F2 L B' R D' B2 F'
F2 L B' R F' D' B2
R' L' U' R2 U' L2 F'
R' L' U' R2 U' F' L2
L' R' U' R2 U' L2 F'
L' R' U' R2 U' F' L2
F2 L B2 R D' F' B2
F2 L B2 R D' B2 F'
F2 L B2 R F' D' B2
R L' U2 L2 D' F' B2
R L' U2 L2 D' B2 F'
R L' U2 L2 F' D' B2
R L' U2 F' L2 D' B2
F2 L' R F' L2 D' B2
F2 L' R' U L2 R2 F'
F2 L' R' U R2 L2 F'
F2 L' R' U R2 F' L2
B2 L' R' U' R2 U' F'
B2 L' R' D B U2 B
B2 L' R' D' F2 B U2
B2 L' R' D' B F2 U2
B2 L' R' B U' R2 U'
B2 L' R' B U2 D B2
B2 L' R' B D U2 B2
B2 L' R' B D' F2 U2
F2 L' U L R F' L
F2 L' U L2 R D F'
F2 L' U L2 R D' F'
F2 L' U L2 R D2 F'
F2 L' U L2 R F' D
F2 L' U L2 R F' D'
F2 L' U L2 R F' D2
F2 L' U R L F' L
F2 L' U R L2 D F'
F2 L' U R L2 D' F'
F2 L' U R L2 D2 F'
F2 L' U R L2 F' D
F2 L' U R L2 F' D'
F2 L' U R L2 F' D2
F2 L' U R F L2 F2
F2 L' U R F' L2 D
F2 L' U R F' L2 D'
F2 L' U R F' L2 D2
L R' D2 R2 D' F' B2
L R' D2 R2 D' B2 F'
L R' D2 R2 F' D' B2
D2 L' U' R U' F L2
B' L' U' R U' F' L'
U' L' U' R U' L2 F'
U' L' U' R U' F' L2
F2 L' U' R F' L2 B'
U2 L' U' R U' L2 F'
U2 L' U' R U' F' L2
U L' U' R U' L2 F'
U L' U' R U' F' L2
R' L' B U' R2 U' L2
R' L' B U2 L2 D B2
L' R' B U' R2 U' L2
L' R' B U2 L2 D B2
R L2 U L U2 L2 F'
R L2 U L U2 F' L2
R L2 U' L' D2 F' R2
R L2 U' L' F' D2 R2
