F' L D F2 B' R'
F' L D B' R' F2
F' L D B' F2 R'
F' L B' R' D F2
F' L B' D R' F2
F L B' R' D' F2
F' L B' D F2 R'
L F B' R' D' F2
L B' F R' D' F2
F' L R D F2 B' R'
F' L R D B' R' F2
F' L R D B' F2 R'
F' L R B' R' D F2
U L R F B' D' R2
F' L R B' D R' F2
F' L R B' D F2 R'
U L R B' D' R2 F
U L R B' D' F R2
U L R B' F D' R2
F' L R' D F2 B' R'
F' L R' D B' R' F2
F' L R' D B' F2 R'
F L R' D' F2 B' R'
F L R' D' B' R' F2
F L R' D' B' F2 R'
U' L R' F' D R2 B'
U' L R' F' D B' R2
U' L R' F' B' D R2
F' L R' B' R' D F2
U L R' F D R2 B'
U L R' F D B' R2
F' L R' B' D R' F2
F' L R' B' D F2 R'
U L R' F B' D R2
U' L R' B' F' D R2
F L R' B' D' R' F2
F L R' B' D' F2 R'
U L R' B' F D R2
F' L R2 D F2 B' R'
F' L R2 D B' R' F2
F' L R2 D B' F2 R'
F' L R2 B' R' D F2
F' L R2 B' D R' F2
F' L R2 B' D F2 R'
F L U' R U B' R'
F' L D R F2 B' R'
F' L D R B' R' F2
F' L D R B' F2 R'
F' L D R' F2 B' R'
F' L D R' B' R' F2
F2 L D R F' B' R'
F' L D R' B' F2 R'
F2 L D R B' F' R'
F' L D R2 F2 B' R'
F' L D R2 B' R' F2
F' L D R2 B' F2 R'
F2 L D R2 B' R' F'
F' L D F B' R' F
F' L D F2 R B' R'
F' L D F2 R' B' R'
F' L D F2 R2 B' R'
F' L D F2 D B' R'
F' L D F2 D' B' R'
F' L D F2 D2 B' R'
F' L D F2 B' R' D
F' L D F2 B' R' D'
F' L D F2 B' R' D2
F' L D F2 B' D R'
F' L D F2 B' D' R'
F' L D F2 B' D2 R'
F' L D B' R F2 R2
F' L D B' R' F2 D
F' L D B' R' F2 D'
F' L D B' R' F2 D2
F' L D B' F R' F
F' L D B' F2 R' D
F' L D B' F2 R' D'
F' L D B' F2 R' D2
F' L D B' F2 D R'
F' L D B' F2 D' R'
F' L D B' F2 D2 R'
F2 L D B' R F' R2
F L D B' R' D' F2
R' L F B' R' D' F2
R2 L F B' R' D' F2
L R F B' R' D' F2
R L F B' R' D' F2
F L D' B' R' D' F2
F' L D2 B' D' R' F2
F' L D2 B' D' F2 R'
F L D2 B' R' D' F2
U L F R B' D' R2
F' L F D F2 B' R'
F' L F D B' R' F2
F' L F D B' F2 R'
F' L F B' R' D F2
F' L F B' D R' F2
F' L F B' D F2 R'
U2 L F B' R D' F2
F' L F' D F2 B' R'
F' L F' D B' R' F2
F' L F' D B' F2 R'
F' L F' B' R' D F2
F' L F' B' D R' F2
F' L F' B' D F2 R'
F2 L F' B' R' D' F2
R' L B' F R' D' F2
R2 L B' F R' D' F2
L R B' F R' D' F2
R L B' F R' D' F2
F' L F2 D F2 B' R'
F' L F2 D B' R' F2
F' L F2 D B' F2 R'
F' L F2 B' R' D F2
F' L F2 B' D R' F2
F' L F2 B' D F2 R'
F' L B' R' U L2 U'
F' L B' R' D F2 D
