L D2 B' L U' B'
R' L D2 B' L U' B2
B' L D2 B' L U' B'
B2 L D2 B' L U' B'
B L D2 B' L U' B'
L R' D2 B' L U' B2
U2 L' D' F L' U F
R U D F' R U2 F'
U R D F' R U2 F'
D2 R' B' L B2 U' B
L' U2 D' F L' U F
R D U F' R U2 F'
L' D' U2 F L' U F
L D2 R B' L U' B'
L D2 R' B' L U' B'
L D2 R2 B' L U' B'
L D2 B' L R U' B'
L D2 B' L R' U' B'
L D2 B' L R2 U' B'
L D2 B' L U' D B'
L D2 B' L U' D' B'
L D2 B' L U' D2 B'
L D2 B' L U' B' D
L D2 B' L U' B' D'
L D2 B' L U' B' D2
L D2 B' L D U' B'
L D2 B' L D' U' B'
L D2 B' L D2 U' B'
L D2 B' R L U' B'
L D2 B' R' L U' B'
L D2 B' R2 L U' B'
D2 B' L R' B U' B2
D2 B' L U' D B' L
D2 B' L D U' B' L
D2 B' R' L B U' B2
D2 B2 R' B L U' B'
