F R U B R' B2
F R B U R' B2
B F R U R2 B2
B F R U B2 R2
F B R U R2 B2
F B R U B2 R2
B L' U' R' F' L' B2
B L' U' R' F' B2 L'
B L' U' R' B2 F' L'
B2 L2 B' U' R' F' B2
B2 L2 B' U' R' B2 F'
F R U R B R' B2
F R U R' B R' B2
F R U R2 B R' B2
F R U B R B2 R2
F R U B R' B2 D
F R U B R' B2 D'
F R U B R' B2 D2
F R U B R2 B2 R
L' U B L R' F B'
L' U B L R' B' F
L' U B L F R' B'
F R U B' U2 L U2
L' U B R' L F B'
L' U B R' L B' F
B R F R U R B2
B R F R U B2 R
F R B L U R' B2
F R B L' U R' B2
F R B L2 U R' B2
F R B U R B2 R2
F R B U R' B2 D
F R B U R' B2 D'
F R B U R' B2 D2
F R B U R2 B2 R
F R B D L2 U R'
D' R' F B R U B2
B R' F R U R' B2
D' R' B F R U B2
F R' B R2 U R B2
F R' B R2 U B2 R
F R2 D' R' B U B2
D' R2 F R B U B2
F R2 B U R' F' B2
F R2 B U R' B2 F'
F U B R' B2 D' F2
B U' R' F' B2 D' L2
B U' R' B2 F' D' L2
R' F R U B R' B2
B U2 F U R' F' B2
B U2 F U R' B2 F'
D' F R U2 F' U' B'
R' F R B U R' B2
R2 F R U B R' B2
D' F R' B R2 U B2
R2 F R B U R' B2
R F R U B R' B2
R F R B U R' B2
U2 F U B R' F' B2
U2 F U B R' B2 F'
R' F B R U R2 B2
R' F B R U B2 R2
R2 F B R U R2 B2
R2 F B R U B2 R2
R F B R U R2 B2
R F B R U B2 R2
B D F L2 R U R2
B D F R L2 U R2
F D' R U2 F' U' B'
F D' R' B R2 U B2
U' B R' F' B2 D' L2
U' B R' B2 F' D' L2
B F L R U R2 B2
B F L R U B2 R2
F B L R U R2 B2
F B L R U B2 R2
B F L' R U R2 B2
B F L' R U B2 R2
F B L' R U R2 B2
F B L' R U B2 R2
B F L2 R U R2 B2
B F L2 R U B2 R2
B' F R B2 U R' B2
F B L2 R U R2 B2
F B L2 R U B2 R2
B2 F R B' U R' B
B F R L U R2 B2
B F R L U B2 R2
B F R L' U R2 B2
B F R L' U B2 R2
B F R L2 U R2 B2
B F R L2 U B2 R2
B F R U R B2 R
B F R U R2 B2 D
B F R U R2 B2 D'
B F R U R2 B2 D2
B F R U B' R2 B'
B F R U B2 R2 D
B F R U B2 R2 D'
B F R U B2 R2 D2
R' B F R U R2 B2
R' B F R U B2 R2
B F R D L2 B2 U
B F R D B2 L2 U
F B R L U R2 B2
F B R L U B2 R2
F B R L' U R2 B2
F B R L' U B2 R2
F B R L2 U R2 B2
F B R L2 U B2 R2
F B R U R B2 R
F B R U R2 B2 D
F B R U R2 B2 D'
F B R U R2 B2 D2
F B R U B' R2 B'
F B R U B2 R2 D
F B R U B2 R2 D'
F B R U B2 R2 D2
B F R B U B R2
B F R B' U R2 B'
B F R B' U B' R2
F B R D L2 B2 U
F B R D B2 L2 U
F B R B U B R2
F B R B' U R2 B'
F B R B' U B' R2
R2 B F R U R2 B2
R2 B F R U B2 R2
R B F R U R2 B2
R B F R U B2 R2
B F U R' B2 D' F2
F B U R' B2 D' F2
B F D L2 R U R2
B F D R L2 U R2
F B D L2 R U R2
F B D R L2 U R2
L2 B' U F L U2 F
F B' R B2 U R' B2
F B2 R B' U R' B
