L' U F' R2 U
D' L' U F' U F'
B' L' U F' R2 U
B2 L' U F' R2 U
B L' U F' R2 U
D L' B2 U F' U
L' U R2 U2 B U'
L' U D' F' U F'
L' U F R2 F2 U
L' U F' R2 U D
L' U F' R2 U D'
L' U F' R2 U D2
L' U F' R2 D U
L' U F' R2 D' U
L' U F' R2 D2 U
L' U F' U D' F2
L' U F' D' U F2
L' U F2 R2 F U
L' U2 F D' L2 F2
L' U2 F D' F2 L2
F' R2 U' F L' U2
L' D B2 U F' U
D' U F' U F' R
L' D' U F' U F'
U D' F' U F' R
U F2 R2 F U R'
L' B U F' R2 U
L' B' U F' R2 U
D B2 L' U F' U
L' B2 U F' R2 U
L' R U R F' U L'
L' R' U R F' R2 U
R' L' U R F' R2 U
R' L' U R' U2 B U'
L' R' U R' U2 B U'
R L' U R F' U L'
R2 L' U R2 F' U F
D L B2 L2 U F' U
R2 L' U' B L2 U' F
R2 L' U' B U B' U2
D2 L' R2 U' L' B U'
D2 L' R2 U' B L' U'
D' L' R2 U' B U' F2
D L' R2 B2 U' B' U'
B' L' U R2 U2 B U'
D' L' U D F' R2 U
U L' U L F' R2 U
B2 L' U R2 U2 B U'
B' L' U D' F' U F'
D' L' U F' U D F'
D' L' U F' U D' F'
D' L' U F' U D2 F'
D' L' U F' U F' D
D' L' U F' U F' D'
D' L' U F' U F' D2
D2 L' U F2 R F U
B L' U R2 U2 B U'
B' L' U F R2 F2 U
D' L' U F' D U F'
D' L' U F' D' U F'
D' L' U F' D2 U F'
B2 L' U D' F' U F'
D L' U D' F' R2 U
B' L' U F' R2 U D
B' L' U F' R2 U D'
B' L' U F' R2 U D2
B' L' U F' R2 D U
B' L' U F' R2 D' U
B' L' U F' R2 D2 U
B' L' U F' U D' F2
D L' U D2 F' U F'
B' L' U F' D' U F2
B2 L' U F R2 F2 U
B L' U D' F' U F'
B' L' U F2 R2 F U
B2 L' U F' R2 U D
B2 L' U F' R2 U D'
B2 L' U F' R2 U D2
B2 L' U F' R2 D U
B2 L' U F' R2 D' U
B2 L' U F' R2 D2 U
B2 L' U F' U D' F2
D L' U F' U D2 F2
D L' U F' U' B2 U2
B2 L' U F' D' U F2
D L' U F' D' R2 U
D L' U F' D2 U F2
B L' U F R2 F2 U
B2 L' U F2 R2 F U
B L' U F' R2 U D
B L' U F' R2 U D'
B L' U F' R2 U D2
B L' U F' R2 D U
B L' U F' R2 D' U
B L' U F' R2 D2 U
B L' U F' U D' F2
B L' U F' D' U F2
D2 L' U' L' U2 F' U
B L' U F2 R2 F U
U L' U F' L R2 U
U L' U F' R2 L U
D' L' U2 F D' F L2
B' L' U2 F D' L2 F2
B' L' U2 F D' F2 L2
D' L' U2 F2 U' F U
U' L' U2 F' R2 U R2
B2 L' U2 F D' L2 F2
B2 L' U2 F D' F2 L2
B L' U2 F D' L2 F2
B L' U2 F D' F2 L2
D' L' D U F' R2 U
B' L' D B2 U F' U
B2 L' D B2 U F' U
B L' D B2 U F' U
B' L' D' U F' U F'
B2 L' D' U F' U F'
D L' D' U F' R2 U
B L' D' U F' U F'
D L' D2 U F' U F'
D' L' D2 B2 U F' U
L' R2 U R2 F' U F
L' R2 U' B L2 U' F
L' R2 U' B U B' U2
D' L' B U F' U F'
B' L' B U F' R2 U
B2 L' B U F' R2 U
B L' B U F' R2 U
D' L' B' U F' U F'
B' L' B' U F' R2 U
B2 L' B' U F' R2 U
B L' B' U F' R2 U
D' L' B2 U F' U F'
B' L' B2 U F' R2 U
B2 L' B2 U F' R2 U
D L' B2 R2 U' B U'
D L' B2 U D F' U
D L' B2 U D' F' U
D L' B2 U D2 F' U
D L' B2 U F' U D
D L' B2 U F' U D'
D L' B2 U F' U D2
D L' B2 U F' D U
D L' B2 U F' D' U
D L' B2 U F' D2 U
B L' B2 U F' R2 U
D L' B2 D U F' U
D L' B2 D' U F' U
D L' B2 D2 U F' U
L' U L' F' L R2 U
L' U L' F' R2 L U
U2 L2 F D' L2 F2 R
L' U L2 F' L2 R2 U
L' U L2 F' R2 L2 U
L' U R2 U2 D B U'
L' U R2 U2 D' B U'
L' U R2 U2 D2 B U'
L' U R2 U2 B U' D
L' U R2 U2 B U' D'
L' U R2 U2 B U' D2
L' U R2 U2 B D U'
L' U R2 U2 B D' U'
L' U R2 U2 B D2 U'
L' U R2 D U2 B U'
L' U R2 D' U2 B U'
L' U R2 D2 U2 B U'
L' U R2 F U2 B U'
L' U R2 F' U2 B U'
L' U R2 F2 U2 B U'
L' U D F' U D2 F2
L' U D F' U' B2 U2
L' U D F' D' R2 U
L' U D F' D2 U F2
L' U D' F' U D F'
L' U D' F' U D' F'
L' U D' F' U D2 F'
L' U D' F' U F' D
L' U D' F' U F' D'
L' U D' F' U F' D2
L' U D' F' D U F'
L' U D' F' D' U F'
L' U D' F' D2 U F'
D L2 B2 U F' U R'
L U D' F' B2 U F'
L' U D2 F' U D F2
L' U D2 F' U2 L2 U'
L' U D2 F' D U F2
L' U D2 F' D2 R2 U
L U D' B2 F' U F'
L' U F R' F2 R' U
L' U F R2 U D' L2
L' U F R2 D' U L2
L' U F R2 F2 U D
L' U F R2 F2 U D'
L' U F R2 F2 U D2
L' U F R2 F2 D U
L' U F R2 F2 D' U
L' U F R2 F2 D2 U
L' U F U D' L2 F2
L' U F U D' F2 L2
L' U F D' U L2 F2
L' U F D' U F2 L2
L' U F' R D R U
L' U F' R D' R U
L' U F' R D2 R U
L' U F' R' D R' U
L' U F' R' D' R' U
L' U F' R' D2 R' U
L' U F' U D' F2 D
L' U F' U D' F2 D'
L' U F' U D' F2 D2
L' U F' U F D' F2
L' U F' U F' D' F2
L' U F' U F2 D' F2
L' U F' U' D B2 U2
L' U F' U2 D2 L2 U'
L' U F' D U' B2 U2
L' U F' D' R U F2
L' U F' D' R' U F2
L' U F' D' R2 U F2
L' U F' D' U F2 D
L' U F' D' U F2 D'
L' U F' D' U F2 D2
L2 U F' R2 U' L U2
L2 U F' R2 B2 U R'
L' U F' D2 U2 L2 U'
L' U F' B R2 B' U
L' U F' B2 R2 B2 U
L U F' R2 U D2 R2
L U F' R2 U' L2 U2
L U F' R2 D' B2 U
L U F' R2 D2 U R2
L' U F2 R' F R' U
L2 U F' B2 R2 U R
L' U F2 R2 D F U
L' U F2 R2 D' F U
L' U F2 R2 D2 F U
L' U F2 R2 F U D
L' U F2 R2 F U D'
L' U F2 R2 F U D2
L' U F2 R2 F D U
L' U F2 R2 F D' U
L' U F2 R2 F D2 U
L U F' D' B2 U F2
L' U F2 D' F U F
L' U B F' R2 B' U
L' U B2 F' R2 B2 U
L2 U B2 F' R2 U R
L' U' L U2 F' R2 U
L' U' L' U2 F' R2 U
R2 U' L' U' B U' B'
L' U' L2 U2 F' R2 U
L' U' D2 L2 U2 F' U
L' U' B U2 F' R2 U
R2 U' B U B' L' U2
L' U' B' U2 F' R2 U
L' U' B2 U2 F' R2 U
L' U2 L U' F' R2 U
L' U2 L F D' L2 F2
L' U2 L F D' F2 L2
L' U2 L' U' F' R2 U
L' U2 L' F D' L2 F2
L' U2 L' F D' F2 L2
L' U2 L2 U' F' R2 U
L' U2 L2 F D' L2 F2
L' U2 L2 F D' F2 L2
L' U2 D' F D' F L2
L' U2 D' F2 U' F U
D2 R2 L' U' L' B U'
D2 R2 L' U' B L' U'
D' R2 L' U' B U' F2
L' U2 F L D' L2 F2
L' U2 F L D' F2 L2
L' U2 F L' D' L2 F2
L' U2 F L' D' F2 L2
L' U2 F L2 D' L2 F2
L' U2 F L2 D' F2 L2
L' U2 F U' R2 F2 U
L' U2 F U' F2 R2 U
L' U2 F D' L F2 L
L' U2 F D' L2 F2 D
L' U2 F D' L2 F2 D'
L' U2 F D' L2 F2 D2
L' U2 F D' F' L2 F'
L' U2 F D' F2 L2 D
L' U2 F D' F2 L2 D'
L' U2 F D' F2 L2 D2
L2 U2 F D' L2 F2 R
D R2 L' B2 U' B' U'
L' U2 F' D' F2 D' L2
L' U2 F2 U' R2 F U
L' U2 F2 U' F R2 U
F' R2 U' F L' U2 D
F' R2 U' F L' U2 D'
F' R2 U' F L' U2 D2
F' R2 U' F L' D U2
F' R2 U' F L' D' U2
F' R2 U' F L' D2 U2
F' R2 U' F D L' U2
F' R2 U' F D' L' U2
F' R2 U' F D2 L' U2
D' R2 U' B U' F2 R
R2 U2 F2 B U' R B'
R2 U2 F2 B U' B' R
U R2 U' L' U' B U'
R2 U2 B F2 U' R B'
R2 U2 B F2 U' B' R
U R2 U2 F2 B U' R
U R2 U2 B U L' U2
U R2 U2 B F2 U' R
F' R2 D' L2 U B' R'
F2 R2 D' F L2 U R'
L2 D L B2 U F' U
F2 R2 D2 F U R' B2
F2 R2 F L2 U R' B'
F2 R2 F U' F U2 R'
F R2 F2 U D2 B R'
F' R2 B U' F L' U2
U R2 F2 U2 B U' R
F R2 F2 D2 U B R'
L' D R2 B2 U' B' U'
F' R2 B' U' F L' U2
U R2 B U' L' U2 L
L' D U F' U D2 F2
L' D U F' U' B2 U2
L' D U F' D' R2 U
L' D U F' D2 U F2
F' R2 B2 U' F L' U2
U R2 B' D2 F2 U R
L' D B2 R2 U' B U'
L' D B2 U D F' U
L' D B2 U D' F' U
L' D B2 U D2 F' U
L' D B2 U F' U D
L' D B2 U F' U D'
L' D B2 U F' U D2
L' D B2 U F' D U
L' D B2 U F' D' U
L' D B2 U F' D2 U
L' D B2 D U F' U
L' D B2 D' U F' U
L' D B2 D2 U F' U
L2 D B2 U F' U R'
B' U D' F' U F' R
D' U F' U F' R D
D' U F' U F' R D'
D' U F' U F' R D2
D' U F' U F' D R
D' U F' U F' D' R
D' U F' U F' D2 R
B2 U D' F' U F' R
D' U F' B U F' R
D' U F' B' U F' R
L2 D' L U F' U F'
D' U F' B2 U F' R
B U D' F' U F' R
D' U B F' U F' R
D' U B' F' U F' R
B' U F2 R2 F U R'
B2 U F2 R2 F U R'
D' U B2 F' U F' R
B U F2 R2 F U R'
L' D' R2 U' B U' F2
L' D' U F' U D F'
L' D' U F' U D' F'
L' D' U F' U D2 F'
L' D' U F' U F' D
L' D' U F' U F' D'
L' D' U F' U F' D2
L' D' U F' D U F'
L' D' U F' D' U F'
L' D' U F' D2 U F'
L D' U F' B2 U F'
L' D' U2 F D' F L2
L' D' U2 F2 U' F U
L D' U B2 F' U F'
L' D' B U F' U F'
U2 D' F D' F L2 R
U2 D' F D' F R L2
L' D' B' U F' U F'
D2 U' F2 L2 B' U' R
U2 D' F2 R U' F U
U D' F' U F' R D
U D' F' U F' R D'
U D' F' U F' R D2
U D' F' U F' D R
U D' F' U F' D' R
U D' F' U F' D2 R
L' D' B2 U F' U F'
U D' F' B U F' R
U D' F' B' U F' R
U D' F' B2 U F' R
R' D2 L' U R' F U
R' D2 L' U F R' U
F' U' F L' U R2 U
F' U' F L' U2 D' F2
F' U' F L' D B2 U2
F' U' F L' D' U2 F2
U D' B F' U F' R
F' U' F U2 D' F2 R
F' U' F D L' B2 U2
F' U' F D B2 L' U2
F' U' F D' L' U2 F2
F' U' F D' U2 F2 R
U D' B' F' U F' R
U D' B2 F' U F' R
L' D2 R2 U' L2 B U'
L' D2 R2 U' B L2 U'
L' D2 U F' U D F2
L' D2 U F' U2 L2 U'
L' D2 U F' D U F2
L' D2 U F' D2 R2 U
L' D2 U' L2 U2 F' U
D' U2 F D' F L2 R
D' U2 F D' F R L2
U' D2 F2 L2 B' U' R
D' U2 F2 R U' F U
F U2 D' F2 L2 B' R'
L' F U R2 F2 U B
L' F U2 D' F2 L2 B'
B' D L' B2 U F' U
L' F D R2 B2 U2 B'
B2 D L' B2 U F' U
L' F D F' R2 B2 U2
L' F D F' B2 R2 U2
L' F D B2 R2 U2 B
L' F D B2 F' R2 U2
B D L' B2 U F' U
