F L U' B R F
L F' U' F2 B R
L F' U' B F2 R
L F2 U' F' B R
L F2 U' B F' R
F' L U L2 B' U2 B2
F' L U' D2 F B R2
F' L U' D2 B R2 F
F' L U' D2 B F R2
F' L U' F D2 B R2
F' L U' F B D2 R2
F L U' D B R F
F2 L U' D2 F B R'
F2 L U' D2 B R' F
F2 L U' D2 B F R'
F L U' D' B R F
F L U' D2 B R F
F2 L U' F' B R F2
F L U' F D2 B R'
F' L U' B D2 R2 F
F' L U' B D2 F R2
F' L U' B F D2 R2
F2 L U' B F' R F2
F L U' B R D F
F L U' B R D' F
F L U' B R D2 F
F L U' B R F D
F L U' B R F D'
F L U' B R F D2
F L U' B R' F R2
F L U' B R2 F R'
F L U' B D R F
F L U' B D' R F
F L U' B D2 R F
F L U' B' R F B2
F L U' B' R B2 F
F L U' B2 R F B'
F L U' B2 R B' F
F L D U' B R F
F' L D F2 U' F' B
F' L D F2 U' B F'
F L D' U' B R F
F' L D2 U' F B R2
F' L D2 U' B R2 F
F' L D2 U' B F R2
F2 L D2 U' F B R'
F2 L D2 U' B R' F
F2 L D2 U' B F R'
F L D2 U' B R F
D2 L F' U' F2 B R
D2 L F' U' B F2 R
D' L F' U' F2 B R
D' L F' U' B F2 R
F2 L F' U' B R F2
D L F' U' F2 B R
D L F' U' B F2 R
D2 L F2 U' F' B R
D2 L F2 U' B F' R
D' L F2 U' F' B R
D' L F2 U' B F' R
D L F2 U' F' B R
D L F2 U' B F' R
U' L' U L F B R
U' L' U L B F R
F L' U B' U2 R B2
F L' U B' U2 B2 R
F L' U' B R D2 F2
F L' U' B D2 R F2
B L' D L2 F L' R
B L' D L2 F R L'
F' L' B' U' B U' B
F' L2 U L B' U2 B2
F L2 U' D2 B R F'
F L2 U' B D2 R F'
F L2 D2 U' B R F'
L U' B R' F D R2
L U2 B' U R' F B2
L U2 B' U R' B2 F
L U2 B' U F R' B2
L2 D F L' U' B R
L D F' U' F2 B R
L D F' U' B F2 R
L D F2 U' F' B R
L D F2 U' B F' R
B' U B L F U' B
B U B L F B2 U'
B U B L B2 F U'
L D' F' U' F2 B R
L D' F' U' B F2 R
L D' F2 U' F' B R
L D' F2 U' B F' R
F' U' F2 D B R F'
F' U' F2 B D R F'
F' U' B F2 D R F'
L2 D2 F U' B R F'
L D2 F' U' F2 B R
L D2 F' U' B F2 R
L D2 F2 U' F' B R
L D2 F2 U' B F' R
B2 U2 D B' L2 R' F'
B2 U2 D B' R' L2 F'
B2 U2 D B' R' F' L2
D' F L U' B R F
D2 F L U' B R F
D F L U' B R F
L2 F L' U' B R F
L' F L2 U' B R F
L' F U B' U2 R B2
L' F U B' U2 B2 R
L' F U' B R D2 F2
L' F U' B D2 R F2
L2 F U' D2 B R F'
L2 F U' B D2 R F'
F D L U' B R F
L2 F D2 U' B R F'
L F B R U B' U'
L F B U B' U' R
L F B2 R D B' L2
L F B2 D R B' L2
B2 D U2 B' L2 R' F'
L F B2 D B' L2 R
L F B2 D B' R L2
B2 D U2 B' R' L2 F'
B2 D U2 B' R' F' L2
R2 F' L' B' U' B U'
B2 D B' L F L R
B2 D B' L F R L
L2 F' U L' U2 F B
L2 F' U L' U2 B F
L' F' U B' L' U2 B2
L' F' U' B D2 F2 R
L F' U L' U2 F2 B
L F' U L' U2 B F2
L F' U' R' F2 R B
F D' L U' B R F
L F' U' F2 D B R
L F' U' F2 D' B R
L F' U' F2 D2 B R
L F' U' F2 B R D
L F' U' F2 B R D'
L F' U' F2 B R D2
L F' U' F2 B D R
L F' U' F2 B D' R
L F' U' F2 B D2 R
L F' U' F2 B' R B2
L F' U' F2 B2 R B'
L F' U' B R F2 R
L F' U' B R' F2 R
L F' U' B R2 F2 R
L F' U' B F2 R D
L F' U' B F2 R D'
L F' U' B F2 R D2
L F' U' B F2 D R
L F' U' B F2 D' R
L F' U' B F2 D2 R
L F' U' B' F2 R B2
L F' U' B2 F2 R B'
B2 D' R2 U2 B' R' F'
L F2 L U' F' B R
L F2 L U' B F' R
L F2 L' U' F' B R
L F2 L' U' B F' R
L F2 L2 U' F' B R
L F2 L2 U' B F' R
F2 D2 L U' F B R'
F2 D2 L U' B R' F
F2 D2 L U' B F R'
L F2 U' D2 F' B R'
L F2 U' D2 B F' R'
F D2 L U' B R F
L F2 U' F' D B R
L F2 U' F' D' B R
L F2 U' F' D2 B R
L F2 U' F' B R D
L F2 U' F' B R D'
L F2 U' F' B R D2
L F2 U' F' B D R
L F2 U' F' B D' R
L F2 U' F' B D2 R
L F2 U' F' B' R B2
L F2 U' F' B2 R B'
L F2 U' B F' R D
L F2 U' B F' R D'
L F2 U' B F' R D2
L F2 U' B F' D R
L F2 U' B F' D' R
L F2 U' B F' D2 R
L F2 U' B' F' R B2
L F2 U' B2 F' R B'
L F2 D2 U' F' B R'
L F2 D2 U' B F' R'
L2 B L' D F L' R
L2 B L' D F R L'
L B U B' U' F R
L B F R U B' U'
L B F U B' U' R
U2 B' R U R2 F' B2
U2 B' R U R2 B2 F'
U2 B' R2 U R F' B2
U2 B' R2 U R B2 F'
U2 B' R2 U B2 R F'
L B2 D F R B' L2
L B2 D F B' L2 R
L B2 D F B' R L2
L B2 D B' F L2 R
L B2 D B' F R L2
L B2 F R D B' L2
L B2 F D R B' L2
L B2 F D B' L2 R
L B2 F D B' R L2
