D' L U2 R B'
D' L U2 B' R
D' L2 U2 R B
U2 R2 D R' B
U2 D R' B R2
D U2 R' B R2
D' F2 L' F U2
D' L U2 R D B'
D' L U2 R D' B'
D' L U2 R D2 B'
D L U2 R' B R2
D' L U2 R B' D
D' L U2 R B' D'
D' L U2 R B' D2
D' L U2 R' B' R2
D' L U2 D R B'
D' L U2 D B' R
D' L U2 D' R B'
D' L U2 D' B' R
D' L U2 D2 R B'
D' L U2 D2 B' R
D' L U2 B R B2
D' L U2 B' R D
D' L U2 B' R D'
D' L U2 B' R D2
D' L U2 B' D R
D' L U2 B' D' R
D' L U2 B' D2 R
D' L D U2 R B'
D' L D U2 B' R
D' L D' U2 R B'
D' L D' U2 B' R
D' L D2 U2 R B'
D' L D2 U2 B' R
D' L F' U2 B' R'
U2 L' R D' L B'
F2 L' U L' U B'
F2 L' U' R U' B
D L' U2 R' B R2
U2 L' D' L R B'
U2 L' D' L B' R
U2 L' D' R L B'
F2 L' F U' R U'
F2 L' F' U L' U
D' L' F2 L' F' U2
D' L2 U2 R D B
D' L2 U2 R D' B
D' L2 U2 R D2 B
D' L2 U2 R B D
D' L2 U2 R B D'
D' L2 U2 R B D2
D' L2 U2 D R B
D' L2 U2 D' R B
D' L2 U2 D2 R B
D L2 U2 R' B R2
D' L2 U2 B R B
D' L2 U2 B' R B
D' L2 U2 B2 R B
D' L2 D U2 R B
D' L2 D' U2 R B
D' L2 D2 U2 R B
D' L2 F2 L' U2 B'
U2 R L' D' L B'
U2 R D R' B R
U2 R D' L B' L'
U' R F' R U' R'
D R F' R' U2 R
U' R' F' R U' R
L' U2 R2 D R' B
L' U2 D R' B R2
L2 U2 R2 D R' B
L U2 R2 D R' B
L2 U2 D R' B R2
L U2 D R' B R2
U' R2 U' D R' B
U' R2 U' D R' B
U' R2 D U' R' B
U2 R2 D R' D B
U2 R2 D R' D' B
U2 R2 D R' D2 B
U2 R2 D R' B D
U2 R2 D R' B D'
U2 R2 D R' B D2
U' R2 F' R U' R2
L' D U2 R' B R2
R D R' U2 B R
D' U L U R B'
D' U L U B' R
L D U2 R' B R2
L2 D U2 R' B R2
U2 D R U2 F' U2
U' D R' U' B R2
U2 D R' B R2 D
U2 D R' B R2 D'
U2 D R' B R2 D2
L' D' L U2 R B'
U2 D R' B' R2 B2
L' D' L U2 B' R
U2 D R' B2 R2 B'
L' D' L2 U2 R B
L D' L U2 R B'
L D' L U2 B' R
L2 D' L U2 R B'
L2 D' L U2 B' R
U2 D B R' B R2
D2 U B' L U R
L D' L2 U2 R B
L2 D' L2 U2 R B
U2 D B' R' B R2
D2 U B2 U R B
U2 D B2 R' B R2
U2 D' L R B' L'
U2 D' L B' L' R
U2 D' L B' R L'
U D' L U R B'
U D' L U B' R
L' D' F2 L' F U2
U2 D' R L B' L'
F' U' R U2 B U
U2 D' R2 D2 R' B
D U' R' U' B R2
L2 D' F2 L' F U2
L D' F2 L' F U2
F' U' R' F' R2 U'
D' U2 L R B' L'
D' U2 L B' L' R
D' U2 L B' R L'
D' U2 R L B' L'
D U2 R U2 F' U2
U2 D2 R2 D' R' B
D2 U2 R2 D' R' B
D' U2 R2 D2 R' B
D U2 R' B R2 D
D U2 R' B R2 D'
D U2 R' B R2 D2
D U2 R' B' R2 B2
D U2 R' B2 R2 B'
U2 D2 B R D B2
D2 U2 B R D B2
D U2 B R' B R2
U D2 B' L U R
D U2 B' R' B R2
D U2 B2 R' B R2
U D2 B2 U R B
D' F L' F L' U2
U F L' F' U R
F' U2 B' R' D B2
D' F' L U2 B' R'
D' F' L' F U2 R
U' F' R F U' R
D F' U2 B' R' B
D' F2 L' D F U2
D' F2 L' D' F U2
D' F2 L' D2 F U2
D' F2 L' F U2 D
D' F2 L' F U2 D'
D' F2 L' F U2 D2
D' F2 L' F D U2
D' F2 L' F D' U2
D' F2 L' F D2 U2
U' F2 U L' U2 B'
D2 F2 D L' F U2
D F2 D2 L' F U2
U2 B R2 D R' B
U2 B D R' B R2
U2 B' R2 D R' B
U2 B' D R' B R2
U2 B2 R2 D R' B
U2 B2 D R' B R2
U2 L R D' L B' L2
D L R F' R' U2 R
U2 L R2 D L' R' B
U2 L R2 D R' L' B
U2 L R2 D R' B L'
U L U R2 D R' B
L' R D R' U2 B R
U L U D R' B R2
D' L U B U R B2
D' L U B U B2 R
L2 R D R' U2 B R
D2 L U B' L U R
L R D R' U2 B R
D' L U B2 U B R
D2 L U B2 U R B
R L D R' U2 B R
F' L U' R U2 B U
F' L U' R' F' R2 U'
D' L U' R' U' R2 B'
D' L U' R' U' B' R2
D' L U' R2 U' R' B'
D L U' R' U' B R2
D' L U2 R D B' D
D' L U2 R D B' D'
D' L U2 R D B' D2
D' L U2 R D' B' D
D' L U2 R D' B' D'
D' L U2 R D' B' D2
D' L U2 R D2 B' D
D' L U2 R D2 B' D'
D' L U2 R D2 B' D2
D' L U2 R B2 D B
D' L U2 R B2 D' B
D' L U2 R B2 D2 B
D' L U2 R' B R2 B2
D' L U2 R' B' R2 D
D' L U2 R' B' R2 D'
D' L U2 R' B' R2 D2
D L U2 R U2 F' U2
D2 L U2 R2 D' R' B
D' L U2 R2 D R' B'
D' L U2 R2 D' R' B'
D' L U2 R2 D2 R' B'
D' L U2 D R D B'
D' L U2 D R D' B'
D' L U2 D R D2 B'
D' L U2 D R B' D
D' L U2 D R B' D'
D' L U2 D R B' D2
D' L U2 D R' B' R2
D' L U2 D B R B2
D L U2 R' B R2 D
D L U2 R' B R2 D'
D L U2 R' B R2 D2
D' L U2 D B' R D
D' L U2 D B' R D'
D' L U2 D B' R D2
D L U2 R' B' R2 B2
D' L U2 D B' D R
D' L U2 D B' D' R
D' L U2 D B' D2 R
D L U2 R' B2 R2 B'
D2 L U2 D' R' B R2
D' L U2 D' R D B'
D' L U2 D' R D' B'
D' L U2 D' R D2 B'
D' L U2 D' R B' D
D' L U2 D' R B' D'
D' L U2 D' R B' D2
D' L U2 D' R' B' R2
D' L U2 D' B R B2
D' L U2 D' B' R D
D' L U2 D' B' R D'
D' L U2 D' B' R D2
D' L U2 D' B' D R
D' L U2 D' B' D' R
D' L U2 D' B' D2 R
D' L U2 D2 R D B'
D' L U2 D2 R D' B'
D' L U2 D2 R D2 B'
D' L U2 D2 R B' D
D' L U2 D2 R B' D'
D' L U2 D2 R B' D2
D' L U2 D2 R' B' R2
D' L U2 D2 B R B2
D' L U2 D2 B' R D
D' L U2 D2 B' R D'
D' L U2 D2 B' R D2
D' L U2 D2 B' D R
D' L U2 D2 B' D' R
D' L U2 D2 B' D2 R
D2 L U2 B R D B2
D' L U2 B R B2 D
D' L U2 B R B2 D'
D' L U2 B R B2 D2
D' L U2 B R' B2 R2
F' L U2 B' R' D B2
D' L U2 B' R2 D R'
D' L U2 B' R2 D' R'
D' L U2 B' R2 D2 R'
D' L U2 B' D R D
D' L U2 B' D R D'
D' L U2 B' D R D2
D' L U2 B' D' R D
D' L U2 B' D' R D'
D' L U2 B' D' R D2
D' L U2 B' D2 R D
D' L U2 B' D2 R D'
D' L U2 B' D2 R D2
D L U2 B R' B R2
D' L U2 B2 D B R
D' L U2 B2 D' B R
D' L U2 B2 D2 B R
D2 L D L U2 R B'
D2 L D L U2 B' R
D' L D L U2 R B
D L U2 B' R' B R2
D L U2 B2 R' B R2
D2 L D L2 U2 R B
U2 L D L' R' B R2
U2 L D R' L' B R2
U2 L D R' B L' R2
U2 L D R' B R2 L'
D' L D U2 R D B'
D' L D U2 R D' B'
D' L D U2 R D2 B'
D' L D U2 R B' D
D' L D U2 R B' D'
D' L D U2 R B' D2
D' L D U2 R' B' R2
D' L D U2 B R B2
D' L D U2 B' R D
D' L D U2 B' R D'
D' L D U2 B' R D2
D' L D U2 B' D R
D' L D U2 B' D' R
D' L D U2 B' D2 R
D' L D F' U2 B' R'
U L D U R' B R2
D2 L D F2 L' F U2
D' L D' L U2 R B
U2 L D' L R B' L2
U2 L D' L B' L2 R
U2 L D' L B' R L2
U2 L D' R L B' L2
U L D' L U R B'
U L D' L U B' R
D' L D' U2 R D B'
D' L D' U2 R D' B'
D' L D' U2 R D2 B'
D' L D' U2 R B' D
D' L D' U2 R B' D'
D' L D' U2 R B' D2
D' L D' U2 R' B' R2
D2 L D' U2 R' B R2
D' L D' U2 B R B2
D' L D' U2 B' R D
D' L D' U2 B' R D'
D' L D' U2 B' R D2
D' L D' U2 B' D R
D' L D' U2 B' D' R
D' L D' U2 B' D2 R
D' L D' F' U2 B' R'
D' L D2 L U2 R B
D L D2 L U2 R B'
D L D2 L U2 B' R
D L D2 L2 U2 R B
D' L D2 U2 R D B'
D' L D2 U2 R D' B'
D' L D2 U2 R D2 B'
D' L D2 U2 R B' D
D' L D2 U2 R B' D'
D' L D2 U2 R B' D2
D' L D2 U2 R' B' R2
D' L D2 U2 B R B2
D' L D2 U2 B' R D
D' L D2 U2 B' R D'
D' L D2 U2 B' R D2
D' L D2 U2 B' D R
D' L D2 U2 B' D' R
D' L D2 U2 B' D2 R
D' L D2 F' U2 B' R'
D L D2 F2 L' F U2
D' L F L2 F L' U2
U L D2 B' L U R
F2 L F L2 U' R U'
U L D2 B2 U R B
F L F L' U L' U
U L F L' F' U R
F L F D L' F2 U2
F L F D F2 U2 R
F L F D' L' U2 B2
D' L F' L2 F U2 R
F2 L F' L2 U L U
D' L F' U2 R B' R'
D' L F' U2 R' B' R'
D' L F' U2 R2 B' R'
D' L F' U2 D B' R'
D' L F' U2 D' B' R'
D' L F' U2 D2 B' R'
D' L F' U2 B' R' D
D' L F' U2 B' R' D'
D' L F' U2 B' R' D2
D' L F' U2 B' D R'
D' L F' U2 B' D' R'
D' L F' U2 B' D2 R'
F L F' U L2 U R
D' L F' D U2 B' R'
D L F' U2 B' R' B
D' L F' D' U2 B' R'
F L F' U2 R D' B2
F L F' U2 D' R B2
F L F' U2 D' B2 R
D' L F' D2 U2 B' R'
F L F' D F2 L' U2
F L F' D' U2 R B2
F L F' D' U2 B2 R
D' L F2 L2 F L U2
D2 L F2 D L' F U2
D L F2 D2 L' F U2
D' L' R F R' U2 R
U2 L' R D' L D B'
U2 L' R D' L D' B'
U2 L' R D' L D2 B'
U2 L' R D' L B' D
U2 L' R D' L B' D'
U2 L' R D' L B' D2
D L' R F' R' U2 R
R L' D R' U2 B R
U2 L' R2 D L R' B
U2 L' R2 D R' L B
D' L' R2 F R2 U2 R
U2 L' R2 D' L R' B'
U2 L' R2 D' R' L B'
D' L' U L2 U R B'
D' L' U L2 U B' R
F2 L' U L U' F U2
F2 L' U L' U D B'
F2 L' U L' U D' B'
F2 L' U L' U D2 B'
F2 L' U L' U B' D
F2 L' U L' U B' D'
F2 L' U L' U B' D2
F2 L' U L' D U B'
F2 L' U L' D' U B'
F2 L' U L' D2 U B'
F2 L' U D L' U B'
F2 L' U D' L' U B'
F2 L' U D2 L' U B'
U L' U R2 D R' B
D2 L' U B' L U R
U L' U D R' B R2
D2 L' U B2 U R B
F' L' U' R U2 B U
F' L' U' R' F' R2 U'
F2 L' U' R U' D B
F2 L' U' R U' D' B
F2 L' U' R U' D2 B
F2 L' U' R U' B D
F2 L' U' R U' B D'
F2 L' U' R U' B D2
F2 L' U' R D U' B
