R U D L2 B' R'
D R U L2 B' R'
R D U L2 B' R'
F L U' F L' B2 U'
F L U' F B2 L' U'
F L U' B2 F L' U'
R2 L F B2 L U' B'
R2 L B2 F L U' B'
B2 L' U2 R B' U B2
B2 L' U2 B' R U B
F2 L' B2 R2 F' U' B
L R2 F B2 L U' B'
L R2 B2 F L U' B'
R U L2 D B' L2 R'
R U L2 D B' R' L2
R U R D L2 B' R'
R U R' D L2 B' R'
R U R2 D L2 B' R'
R U D L2 R B' R'
R U D L2 R' B' R'
R U D L2 R2 B' R'
R U D L2 D B' R'
R U D L2 D' B' R'
R U D L2 D2 B' R'
R U D L2 B' R' D
R U D L2 B' R' D'
R U D L2 B' R' D2
R U D L2 B' D R'
R U D L2 B' D' R'
R U D L2 B' D2 R'
R U D R L2 B' R'
R U D R' L2 B' R'
R U D R2 L2 B' R'
R U D B' L2 R' B'
R U D B' R' L2 B'
D2 R U D' L2 B' R'
D R U L2 R B' R'
D R U L2 R' B' R'
D R U L2 R2 B' R'
D R U L2 D B' R'
D R U L2 D' B' R'
D R U L2 D2 B' R'
D R U L2 B' R' D
D R U L2 B' R' D'
D R U L2 B' R' D2
D R U L2 B' D R'
D R U L2 B' D' R'
D R U L2 B' D2 R'
D R U R L2 B' R'
D R U R' L2 B' R'
D R U R2 L2 B' R'
D' R U' R F U2 R
D R U B' L2 R' B'
D R U B' R' L2 B'
D R U' F U2 L2 R
D R U' F U2 R L2
U2 R D B U L2 B'
D2 R D' U L2 B' R'
D2 R F2 U' F' L' U2
D R B U L2 B' R'
D R B' U L2 B' R'
R U' D F U2 L2 R
R U' D F U2 R L2
D R B2 U L2 B' R'
R U' D' R2 F U2 R
R U' D' F R2 U2 R'
R U' F U' B2 U' R
R U' F U2 R D L2
R U' F U2 D L2 R
R U' F U2 D R L2
R U' F D U2 L2 R
R U' F D U2 R L2
R U' F D' R2 U2 R'
R U2 B2 U F U2 R
R2 D R' U L2 B' R'
R D U L2 R B' R'
R D U L2 R' B' R'
R D U L2 R2 B' R'
R D U L2 D B' R'
R D U L2 D' B' R'
R D U L2 D2 B' R'
R D U L2 B' R' D
R D U L2 B' R' D'
R D U L2 B' R' D2
R D U L2 B' D R'
R D U L2 B' D' R'
R D U L2 B' D2 R'
R D U R L2 B' R'
R D U R' L2 B' R'
R D U R2 L2 B' R'
R D U B' L2 R' B'
R D U B' R' L2 B'
R D U' F U2 L2 R
R D U' F U2 R L2
D U L2 B' R' D' F2
U D L2 B' R' D' F2
U2 D R B U L2 B'
R D B U L2 B' R'
R D B' U L2 B' R'
R D B2 U L2 B' R'
R D' U' R2 F U2 R
R D' U' F R2 U2 R'
F U' F L' B2 U' R
F U' F B2 L' U' R
D U2 R B U L2 B'
F U' B2 F L' U' R
B2 U2 L2 R B U B2
B2 U2 R L2 B U B2
B2 U2 R B L2 U B'
B2 U2 R B U' F U2
R D2 F2 U' F' L' U2
U' F U2 D L2 R F'
U' F U2 D R L2 F'
U' F U2 D R F' L2
U' F D R F' L2 B'
U' F D U2 L2 R F'
U' F D U2 R L2 F'
U' F D U2 R F' L2
L2 F2 B2 L' F U' B
D B R U L2 B' R'
D B' R U L2 B' R'
D B2 R U L2 B' R'
L' B2 U2 B R U B
L2 B2 F2 L' F U' B
