R' D B U L2 B'
B2 L R D F' R U'
L2 R' D B U L2 B2
L2 R' D B U B2 L2
L2 R' D2 F2 B U B2
L2 R' D2 B F2 U B2
L2 R' B U2 B U' B
R' L2 D B U L2 B2
R' L2 D B U B2 L2
R' L2 D2 F2 B U B2
R' L2 D2 B F2 U B2
D2 L2 R' F2 U B' R'
R' L2 B U2 B U' B
D2 L2 F2 R' U B' R'
R' U D L2 B' D' R2
B2 R L D F' R U'
B2 R F' L U F2 U2
B2 R F' L U' D2 B2
B2 R F' L D R2 U'
B2 R F' L D2 U' B2
B2 R F' D L R2 U'
B2 R F' D R2 L U'
B2 R F' D2 L U' B2
D2 R' L2 F2 U B' R'
D R' U L2 B R' B2
D' R' U' R' F L' U2
D R' U B L2 R' B'
D R' U B R' L2 B'
D R' U B2 L2 B' R'
D' R' U' F L' R' U2
D' R' U' F R' L' U2
U' R' D B U L2 B'
U2 R' D B U L2 B'
U R' D B U L2 B'
F' R' D2 F2 B U B
F' R' D2 B F2 U B
D R' B U L2 R' B'
D R' B U R' L2 B'
F R' B U2 B U' B'
D' R2 F D' L' U2 F
R2 D R B U L2 B'
R' D U L2 B' D' R2
R' D B L U L B'
R' D B U L2 D B'
R' D B U L2 D' B'
R' D B U L2 D2 B'
R' D B U L2 B' D
R' D B U L2 B' D'
R' D B U L2 B' D2
R' D B U B L2 B'
R' D B U B' L2 B'
R' D B U B2 L2 B'
R' D B U' F U2 L2
F U R' D B U L2
F U R' D2 F2 B U
F U R' D2 B F2 U
F U R' B U2 B U'
R' D' B U D2 L2 B'
R' D' B U' R2 F U2
R' D' B U' F R2 U2
R' D' B D2 U L2 B'
R' D2 L2 F2 B U B2
R' D2 L2 B F2 U B2
R' D2 F2 B U' F' U2
R' D2 B L2 F2 U B'
R' D2 B U D' L2 B'
R' D2 B D' U L2 B'
R' D2 B F2 U' F' U2
D' F L' R2 U R U
D' F R2 L' U R U
R F D B2 U2 L2 R2
R F D B2 U2 R2 L2
R F D' L2 R2 U2 F2
R F D' R2 L2 U2 F2
R' F B U2 B U' B'
R' F' D2 F2 B U B
R' F' D2 B F2 U B
R F' B2 D2 L2 U' B2
R' B L2 U B' D L2
R' B L2 U2 B U' B2
R' B U L2 B' D L2
R' B U B' D L2 B'
R' B U' F U' B U'
D B U L2 R' F' B'
D B U L2 R' B' F'
D B U R' L2 F' B'
D B U R' L2 B' F'
R' B U2 B U F U2
R' B F U2 B U' B'
R' B' L2 F B2 U B
R' B' L2 B2 F U B
L2 B2 L U' D B R'
L2 B2 L D U' B R'
L B2 L R F' U' B'
L B2 L R2 U' B' R'
L B2 R L F' U' B'
L B2 R F' L U' B'
L B2 R2 L U' B' R'
L2 B2 D L U' B R'
R B2 D2 L2 F' U' B'
R B2 F' D2 L2 U' B2
