B' L R U L2
B' R L U L2
R B' L U L2
B' L R U L2 D
B' L R U L2 D'
B' L R U L2 D2
B' L R D F2 U
B' L R F U L2
B' L R F' U L2
B' L R F2 U L2
B' L D R F2 U
B' R L U L2 D
B' R L U L2 D'
B' R L U L2 D2
B' R L D F2 U
B' R L F U L2
B' R L F' U L2
B' R L F2 U L2
B' R U L' D' B2
B' R D L U L2
B' R D' L U L2
B' R D2 L U L2
U' R B' L U L2
U2 R B' L U L2
U R B' L U L2
B' D L R U L2
B' D R L U L2
B' D' L R U L2
B' D' R L U L2
B' D2 L R U L2
B' D2 R L U L2
R' B' L R2 U L2
U' B' L R U L2
U2 B' L R U L2
U B' L R U L2
U' B' R L U L2
U2 B' R L U L2
R B' L U L2 D
R B' L U L2 D'
R B' L U L2 D2
R' B' R2 L U L2
R B' L D F2 U
R B' L F U L2
R B' L F' U L2
R B' L F2 U L2
U B' R L U L2
R B' U L' D' B2
R B' D L U L2
R B' D' L U L2
R B' D2 L U L2
B' L R U L D L
B' L R U L D' L
B' L R U L D2 L
B' L R U L' D L'
B' L R U L' D' L'
B' L R U L' D2 L'
B' L R U F L2 F'
B' L R U F2 L2 F2
B' L R U B' L2 B
B' L R U B2 L2 B2
B' L R U' R U2 L2
B' L R U' R' U2 L2
B' L R U' R2 U2 L2
B' L R U' D2 R2 U2
B' L R U2 D' B2 U'
B' L R U2 B U' L2
B' L R U2 B' U' L2
B' L R U2 B2 U' L2
D L R U B' L2 R'
D L R U B' R' L2
B' L R D F2 U D
B' L R D F2 U D'
B' L R D F2 U D2
B' L R D F2 D U
B' L R D F2 D' U
B' L R D F2 D2 U
B' L R D' U2 B2 U'
B' L R D2 U' R2 U2
B' L R F U L2 D
B' L R F U L2 D'
B' L R F U L2 D2
B' L R F D F2 U
B' L R F' U L2 D
B' L R F' U L2 D'
B' L R F' U L2 D2
B' L R F' D F2 U
B' L R F2 U L2 D
B' L R F2 U L2 D'
B' L R F2 U L2 D2
B' L R F2 D F2 U
B' L R' U L2 D' F2
B' L R' F R2 U L2
B' L R' F' R2 U L2
B' L R' F2 R2 U L2
B' L R2 D R' F2 U
B' L R2 D F2 R' U
B' L R2 F R' U L2
B' L R2 F' R' U L2
B' L R2 F2 R' U L2
B' L U L2 U' R U
B' L D R U D' L2
B' L D R D' U L2
B' L D R F2 U D
B' L D R F2 U D'
B' L D R F2 U D2
B' L D R F2 D U
B' L D R F2 D' U
B' L D R F2 D2 U
B' L D R' F2 R2 U
B' L D R2 F2 R' U
B' L D F2 U2 L' U'
B' L D' R U D L2
B' L D' R U2 B2 U'
B' L D' R D U L2
B' L D' R D2 F2 U
B' L D2 R U' R U2
B' L D2 R F2 U L'
L' R B' L B' U L'
B' L F' U L F L
