F' U' R U B R'
D' L' R F' U' L F2
D' L' R F' U' F2 L
D L' R F U' L F2
D L' R F U' F2 L
D' R L' F' U' L F2
D' R L' F' U' F2 L
D R L' F U' L F2
D R L' F U' F2 L
B R F L' U' L R2
B R F L' U' R2 L
D' R F' L' U' F L
U R F D L' F U'
B' R' D R F' B2 R'
B' R' D R B2 F' R'
B' R' D R2 B2 R' F'
B R' D R F' R' B2
D R' D R2 F' R B2
D R' D R2 F' B2 R
B' R' D B2 R F' R2
D R' D R2 B2 F' R
B R' D B2 R F' R'
B R' F U L' R2 U'
B R' F U R2 L' U'
B R2 D R D F' B2
B R2 D R D B2 F'
B R2 D R F' D B2
R' D R B2 D F' R
R2 D R D F' R B2
R2 D R D F' B2 R
R2 D R D B2 F' R
D' U L' R F' U' F2
D U L' R F U' F2
U D L' R F U' F2
D' U R L' F' U' F2
D' U R F' L' U' F
D U R L' F U' F2
D U R U' D F' R
D U R D U' F' R
U D R L' F U' F2
B U R F L' U' R2
U D R U' D F' R
U D R D U' F' R
R' D B2 R D F' R
B U D R U' F' R2
U D' L' R F' U' F2
F' U' L R U B R'
F' U' L' R U B R'
U D' R L' F' U' F2
F' U' L2 R U B R'
U D' R F' L' U' F
F' U' R L U B R'
F' U' R L' U B R'
F' U' R L2 U B R'
F' U' R U B R' D
F' U' R U B R' D'
F' U' R U B R' D2
F' U' R U B D R'
F' U' R U B D' R'
F' U' R U B D2 R'
F' U' R B' U B2 R'
F' U' B R U B R2
R' D2 F' D' R F' B2
R' D2 F' D' R B2 F'
R' D2 F' D' B2 R F'
R F D L' F U' L
B D R F' R2 D B2
B D R' U R2 U' F'
R F B L' U' L R'
R F B L' U' R' L
B D U R U' F' R2
R B R2 D R F' B2
R B R2 D R B2 F'
R B R2 D B2 R F'
R' B D R F' R2 B2
R' B D R F' B2 R2
R' B D R B2 F' R2
F2 B L' U L R' F
F2 B L' U L F R'
F2 B L' U R' L F
R B F L' U' L R'
R B F L' U' R' L
F' B U' R U B R2
R' B' D R F' B2 R'
R' B' D R B2 F' R'
R' B' D R2 B2 R' F'
R' B' D B2 R F' R2
B F' U' R U B R2
B F2 L' U L R' F
B F2 L' U L F R'
B F2 L' U R' L F
