U' R U2 F' R' U
U' L R U2 F' R' U
R' L B' D L2 B2 R'
U L F2 L' R F' U
U L F2 R L' F' U
U' L' R U2 F' R' U
L R' B' D L2 B2 R'
U' L2 R U2 F' R' U
U' R L U2 F' R' U
U' R L' U2 F' R' U
U' R L2 U2 F' R' U
F2 R U L' F' U F'
R U F' U' F U2 F'
R' U B R2 U2 B' U
U' R U2 D F' R' U
U' R U2 D' F' R' U
U' R U2 D2 F' R' U
U' R U2 F R' F2 U
U' R U2 F' R' U D
U' R U2 F' R' U D'
U' R U2 F' R' U D2
U' R U2 F' R' D U
U' R U2 F' R' D' U
U' R U2 F' R' D2 U
U' R U2 F' D R' U
U' R U2 F' D' R' U
U' R U2 F' D2 R' U
U' R U2 F2 R' F U
R' U B' R2 F' B2 U'
R' U B' R2 B2 F' U'
U2 R U2 F' U R' F
U2 R U2 F' U F R'
U R U2 F' U2 F U'
U' R D U2 F' R' U
U' R D' U2 F' R' U
U' R D2 U2 F' R' U
R' U' R2 U2 F' R2 U
U R B U2 F' B' U
U R B U2 B' F' U
U' R B2 L U2 F' U
U R B' U2 F' B U
U R B' U2 B F' U
U R B2 U2 F' B2 U
U R B2 U2 B2 F' U
R U' F' L2 B' U B
R' U' B R2 U' D' F2
R' U' B R2 U2 R2 U
R' U' B R2 D' U' F2
R' U' B R2 D2 L2 U'
U2 R' U' B R2 U' R'
U' R' B R2 U2 R' U
U R' B R2 U2 B' U
U' R' B' R2 B2 L U'
U R' B' R2 F' B2 U'
U R' B' R2 B2 F' U'
R' U2 B' D B2 L2 F
F2 U L' R F' U F'
F2 U R L' F' U F'
D2 U' R B2 L B' U'
R' D' F2 U' B U' F2
B' U' R U2 F' R' U
B2 U' R U2 F' R' U
B U' R U2 F' R' U
U' D2 R B2 L B' U'
F D R2 B R' F' U2
R' F' U' B R2 U' F
D2 F2 U L' F U F
R' F2 U' B R2 U' F2
U' F2 D2 L' F B2 U
U' F2 D2 L' B2 F U
U' F2 D2 B2 L' F U
U' B R U2 F' R' U
U B R U2 F' B' U
U B R U2 B' F' U
D B R' D' F2 U2 F2
F2 D2 B2 U L' F U
R' B' L D L2 B2 R'
R' B' L' D B2 L2 R'
R' B' L' D B2 R' L2
U' B' R U2 F' R' U
R' B' D L' B2 L' R'
R' B' D L' B2 R' L'
R' B' D L2 B2 D2 R2
R' B' D B2 L2 D2 R2
R' B' D' R2 F2 U2 F2
R' B' D' F2 R2 U2 F2
U' B2 R U2 F' R' U
L' B2 R' U B R2 U'
L' B2 R' B' D L2 B2
L' B2 R' B' D B2 L2
U B2 R U2 F' B2 U
U B2 R U2 B2 F' U
R' B2 U B' R2 F' U'
U B2 R' B R2 F' U'
