U L2 D R2 B R'
U L D L R2 B R'
U L D R2 L B R'
U' L D' F' U2 L R
U' L D' F' U2 R L
D2 L B' U' R2 U2 B
D2 L B' U' F' R2 U2
U L' D L' R2 B R'
U L' D R2 L' B R'
U L' D R2 B L' R'
U L' D R2 B R' L'
D2 L2 U' F' L' R2 U2
D2 L2 U' F' R2 L' U2
U L2 U2 D' F' U2 R
U2 L2 D R2 F2 B R'
U2 L2 D R2 B R' F2
U2 L2 D R2 B F2 R'
U L2 D R' B R' B
U L2 D R2 B R' D
U L2 D R2 B R' D'
U L2 D R2 B R' D2
U L2 D R2 B D R'
U L2 D R2 B D' R'
U L2 D R2 B D2 R'
U L2 D B R2 B R
U L2 D' R2 D2 B R'
U L2 D' U2 F' U2 R
L U L D R2 B R'
L' U L' D R2 B R'
U L2 D2 R2 D' B R'
U L2 B D R2 B R'
L' U D L' R2 B R'
L' U D R2 L' B R'
L' U D R2 B L' R'
L' U D R2 B R' L'
L U D L R2 B R'
U L2 B' D R2 B R'
L U D R2 L B R'
U L2 B2 D R2 B R'
U2 R F' R U' L2 B
U2 R F' R U' B L2
L U' D' F' U2 L R
L U' D' F' U2 R L
F' R' U B R U L2
R2 U' B L2 D' F2 R
R2 U2 L2 D' F2 B R'
R2 U2 L2 D' B R' F2
R2 U2 L2 D' B F2 R'
F2 R' B R U L2 B'
U2 R2 U B L2 F R
U2 R2 U' L2 B' R' B2
U' R2 U2 L2 D' B R'
U2 R2 U' B' L2 R' B2
U2 R2 U' B' R' L2 B2
U2 R2 U' B' R' B2 L2
D2 R2 U2 D' F2 B R'
D2 R2 U2 D' B R' F2
D2 R2 U2 D' B F2 R'
D2 R2 D' U2 F2 B R'
D2 R2 D' U2 B R' F2
D2 R2 D' U2 B F2 R'
D2 R2 D' B R' F2 L'
U2 R2 D' B2 U' B' R'
D R2 B D' L2 R' F2
D R2 B D' L2 F2 R'
D R2 B D' R' L2 F2
D R2 B D' R' F2 L2
D R2 B D' F2 L2 R'
D R2 B D' F2 R' L2
L' D U L' R2 B R'
L' D U R2 L' B R'
L2 D R2 B D' R' F2
L2 D R2 B D' F2 R'
L' D U R2 B L' R'
L' D U R2 B R' L'
L D U L R2 B R'
U2 R2 B2 U' B' L2 R'
U2 R2 B2 U' B' R' L2
L D U R2 L B R'
B' U L2 D R2 B R'
F2 U L2 R' B' D' R2
B2 U L2 D R2 B R'
F2 U L2 D B R' B2
B U L2 D R2 B R'
F2 U L2 B2 D B R'
F2 U R' L2 B' D' R2
D U R2 B R' D' L2
D U R2 B D' L2 R'
D U R2 B D' R' L2
U D R2 B R' D' L2
U D R2 B D' L2 R'
U D R2 B D' R' L2
L D' U' F' U2 L R
L D' U' F' U2 R L
D2 U' R2 U2 D' B R'
D2 U' R2 D' U2 B R'
D' U' F' U' B2 U' R
U' D' F' U' B2 U' R
D' U' F' U2 R D L2
U' D' F' U2 R D L2
D' U' F' U2 D L2 R
D' U' F' U2 D R L2
U' D' F' U2 D L2 R
U' D' F' U2 D R L2
D' U' F' D U2 L2 R
D' U' F' D U2 R L2
U' D' F' D U2 L2 R
U' D' F' D U2 R L2
D' U' F' D' R2 U2 R'
U' D' F' D' R2 U2 R'
R2 D' B2 U' F2 B' R'
R2 D' B2 U' B' R' F2
R2 D' B2 U' B' F2 R'
U2 D' B2 U F' U2 R
L2 D2 R2 D' F2 B R'
L2 D2 R2 D' B R' F2
L2 D2 R2 D' B F2 R'
U' D2 R2 U2 D' B R'
U' D2 R2 D' U2 B R'
F2 U2 R2 U' L2 B' R'
D' U2 B2 U F' U2 R
D' F D2 F2 U R B2
D' F D2 F2 U B2 R
U' F' R U' F' U' L2
U' F' R' U B U L2
U2 F' R F' U' L2 B'
F2 D F2 U R2 B R'
D' F' U2 B2 U' R B2
D' F' U2 B2 U' B2 R
D F2 L2 U B R' B2
D F2 L2 B U R' B2
U2 F2 R2 U' L2 B' R'
D F2 U' D2 F L' U2
D F2 D L2 U B' R'
D F2 D2 U' F L' U2
D F2 B L2 U R' B'
D F2 B U' F U2 R'
D F2 B' U' F L U2
R' B R U' F' U2 L2
R' B R F2 U L2 B'
U B L2 D R2 B R'
D B F2 L2 U R' B'
D B F2 U' F U2 R'
U B' L2 D R2 B R'
D B' F2 U' F L U2
U B2 L2 D R2 B R'
D' B2 U F' U2 R F
