F2 L' F B2 R' U'
F2 L' B2 R' F U'
F2 L' B2 F R' U'
D R F' U L2 R
D R F' U R L2
D2 R F2 U2 F U'
D2 R' F2 B R2 U
D2 R' B R2 F2 U
D2 R' B F2 R2 U
R D F' U L2 R
R D F' U R L2
R2 D2 R' F2 B U
R2 D2 R' B F2 U
F2 U2 L' F B2 U'
F2 U2 L' B2 F U'
R2 D2 F2 R' B U
F2 U2 B2 L' F U'
U2 F2 L' F B2 U'
U2 F2 L' B2 F U'
U2 F2 B2 L' F U'
U2 B2 F2 L' F U'
L' R U2 F B2 R' U'
L' R U2 B2 R' F U'
L' R U2 B2 F R' U'
L R D B' L' U L'
R L D B' L' U L'
B2 L U2 R B' L' U
B2 L U2 B' L' R U
B2 L U2 B' R L' U
L R D2 B' L' F2 U
R L D2 B' L' F2 U
L R B' L2 F L U
R L B' L2 F L U
U2 L B2 U2 B R U
R L' U2 F B2 R' U'
F2 L' R F B2 R' U'
R L' U2 B2 R' F U'
R L' U2 B2 F R' U'
F2 L' R B2 R' F U'
F2 L' R B2 F R' U'
F2 L' R' F B2 R' U'
F2 L' R' B2 R' F U'
F2 L' R' B2 F R' U'
F2 L' R2 F B2 R' U'
F2 L' R2 B2 R' F U'
F2 L' R2 B2 F R' U'
R2 L' F B2 L R' U'
R2 L' F B2 R' L U'
F2 L' F R B2 R' U'
F2 L' F R' B2 R' U'
R2 L' B2 R' F L U'
F2 L' F R2 B2 R' U'
R2 L' B2 F L R' U'
R2 L' B2 F R' L U'
F2 L' F B2 R' U' D
F2 L' F B2 R' U' D'
F2 L' F B2 R' U' D2
F2 L' F B2 R' D U'
F2 L' F B2 R' D' U'
F2 L' F B2 R' D2 U'
F2 L' F B2 D R' U'
F2 L' F B2 D' R' U'
F2 L' F B2 D2 R' U'
F L' F B2 L' R' U'
F L' F B2 R' L' U'
F2 L' F' B2 R' F2 U'
U2 L' F2 L' F' B2 U'
U2 L' F2 L' B2 F' U'
U2 L' F2 B2 L' F' U'
F2 L' B2 R F R2 U'
F2 L' B2 R' D F U'
F2 L' B2 R' D' F U'
F2 L' B2 R' D2 F U'
F2 L' B2 R' F U' D
F2 L' B2 R' F U' D'
F2 L' B2 R' F U' D2
F2 L' B2 R' F D U'
F2 L' B2 R' F D' U'
F2 L' B2 R' F D2 U'
F L' B2 R' F L' U'
F2 L' B2 D R' F U'
F2 L' B2 D F R' U'
F2 L' B2 D' R' F U'
F2 L' B2 D' F R' U'
F2 L' B2 D2 R' F U'
F2 L' B2 D2 F R' U'
F2 L' B2 F R' U' D
F2 L' B2 F R' U' D'
F2 L' B2 F R' U' D2
F2 L' B2 F R' D U'
F2 L' B2 F R' D' U'
F2 L' B2 F R' D2 U'
F2 L' B2 F D R' U'
F2 L' B2 F D' R' U'
F2 L' B2 F D2 R' U'
F2 L' B2 F' R' F2 U'
U2 L' B2 F2 L' F' U'
F L' B2 F L' R' U'
F L' B2 F R' L' U'
D2 L2 R F2 L2 B' U
L' R2 F B2 L R' U'
L' R2 F B2 R' L U'
B2 L2 U2 L2 R B U
B2 L2 U2 R L2 B U
B2 L2 U2 R B L2 U
L' R2 B2 R' F L U'
L' R2 B2 F L R' U'
L' R2 B2 F R' L U'
R U L' U F B2 U'
R U L' U B2 F U'
R U D L2 F' R F
R U D F' R F L2
U2 L2 B2 U2 R B U
F2 R L' F B2 R' U'
F2 R L' B2 R' F U'
F2 R L' B2 F R' U'
D2 R L2 F2 L2 B' U
R U F D L2 F' R
R U F D F' L2 R
R U F D F' R L2
D R U L2 F' R F
D R U F' R F L2
F2 R U2 L' F B2 U'
D2 R U2 D' F' U' L2
F2 R U2 L' B2 F U'
D2 R U2 D2 F' B2 U'
D2 R U2 D2 B2 F' U'
D2 R U2 F' U2 F' U
D R U2 F' U' L2 R
D R U2 F' U' R L2
F2 R U2 B2 L' F U'
D2 R D' U2 F' U' L2
D2 R D2 U2 F' B2 U'
D2 R D2 U2 B2 F' U'
D2 R F D F U R2
R U' L' U' F B2 U'
R U' L' U' B2 F U'
D2 R F D2 F B2 U
D2 R F D2 B2 F U
D R F U' L' U2 L'
D R F D F2 U R
D R F' U L2 R D
D R F' U L2 R D'
D R F' U L2 R D2
D R F' U L2 D R
D R F' U L2 D' R
D R F' U L2 D2 R
D R F' U R L2 D
D R F' U R L2 D'
D R F' U R L2 D2
D2 R F2 L2 B' L2 U
D R F' B U L2 R
D R F' B U R L2
D R F' B' U L2 R
D R F' B' U R L2
D R F' B2 U L2 R
D R F' B2 U R L2
D2 R F2 U2 D F U'
D2 R F2 U2 D' F U'
D2 R F2 U2 D2 F U'
D2 R F2 U2 F U' D
D2 R F2 U2 F U' D'
D2 R F2 U2 F U' D2
D2 R F2 U2 F D U'
D2 R F2 U2 F D' U'
D2 R F2 U2 F D2 U'
D2 R F2 D U2 F U'
D2 R F2 D' U2 F U'
D2 R F2 D2 U2 F U'
D2 R F2 B U2 F U'
D' R F2 B U L' R'
D' R F2 B U R' L'
D2 R F2 B' U2 F U'
D2 R F2 B2 U2 F U'
D' R B U R' D2 L2
D' R B U' R U2 R2
D' R B F2 U L' R'
D' R B F2 U R' L'
D2 R B F2 U2 F U'
D R B F' U L2 R
D R B F' U R L2
D' R B' U' L R U2
D' R B' U' R L U2
D2 R B' F2 U2 F U'
D R B' F' U L2 R
D R B' F' U R L2
D2 R B2 F2 U2 F U'
D R B2 F' U L2 R
D R B2 F' U R L2
F2 R' L' F B2 R' U'
F2 R' L' B2 R' F U'
F2 R' L' B2 F R' U'
F2 R' U2 L' F B2 U'
F2 R' U2 L' B2 F U'
F2 R' U2 B2 L' F U'
D2 R' D' B U L2 F2
D2 R' D' B U F2 L2
R2 U2 L' F B2 L U'
D2 R' F B R2 F U
R U2 L' F L B2 U'
R2 U2 L' B2 F L U'
D R' F' R2 U L2 R'
D R' F' R2 U R' L2
R2 U2 L2 B2 L F U'
D2 R' F2 R2 U2 F' U'
D2 R' F2 D' B U F2
D2 R' F2 B R2 U D
D2 R' F2 B R2 U D'
D2 R' F2 B R2 U D2
D2 R' F2 B R2 D U
D2 R' F2 B R2 D' U
D2 R' F2 B R2 D2 U
D2 R' F2 B U D' F2
D2 R' F2 B D' U F2
D2 R' F2 B' R2 B2 U
D2 R' F2 B2 R2 B' U
D2 R' B R' F2 R' U
D2 R' B R2 U D' L2
D2 R' B R2 D' U L2
D2 R' B R2 F2 U D
D2 R' B R2 F2 U D'
D2 R' B R2 F2 U D2
D2 R' B R2 F2 D U
D2 R' B R2 F2 D' U
D2 R' B R2 F2 D2 U
D2 R' B U D' L2 F2
D2 R' B U D' F2 L2
D2 R' B D' U L2 F2
D2 R' B D' U F2 L2
D2 R' B F R2 F U
D2 R' B F2 R2 U D
D2 R' B F2 R2 U D'
D2 R' B F2 R2 U D2
D2 R' B F2 R2 D U
D2 R' B F2 R2 D' U
D2 R' B F2 R2 D2 U
D2 R' B F2 U D' F2
D2 R' B F2 D' U F2
D2 R' B' R2 F2 B2 U
D2 R' B' R2 B2 F2 U
D2 R' B' F2 R2 B2 U
D2 R' B2 R2 F2 B' U
D2 R' B2 R2 B' F2 U
D2 R' B2 F2 R2 B' U
R U2 D F' U' L2 R
R U2 D F' U' R L2
F2 R2 L' F B2 R' U'
F2 R2 L' B2 R' F U'
F2 R2 L' B2 F R' U'
F2 R2 U2 L' F B2 U'
F2 R2 U2 L' B2 F U'
F2 R2 U2 B2 L' F U'
R U2 B D' B U' R'
D R2 D R' F2 B U
D R2 D R' B F2 U
R2 U2 B2 L U2 B' U
R2 U2 B2 L' F L2 U'
B R2 D F' R' U R2
D R2 D F2 R' B U
R U2 B2 L' F L U'
R U2 B2 D F' U' R
B R2 D2 F' R' B U
D R2 F' R' U L2 R2
D R2 F' R' U R2 L2
D2 R2 F2 R B R2 U
D2 R2 F2 R' U2 F' U'
B R2 F' D2 R' B U
L D R B' L' U L'
R2 D R' F' U L2 R
R2 D R' F' U R L2
R D U L2 F' R F
R D U F' R F L2
F2 U L' F B2 U' B2
R D U2 F' U' L2 R
R D U2 F' U' R L2
F2 U L' B2 F U' B2
R D F U' L' U2 L'
R2 D F' R' U L2 R2
R2 D F' R' U R2 L2
R D F D F2 U R
R D F' U L2 R D
R D F' U L2 R D'
R D F' U L2 R D2
R D F' U L2 D R
R D F' U L2 D' R
R D F' U L2 D2 R
R D F' U R L2 D
R D F' U R L2 D'
R D F' U R L2 D2
R D F' B U L2 R
R D F' B U R L2
R D F' B' U L2 R
R D F' B' U R L2
R D F' B2 U L2 R
R D F' B2 U R L2
R D B F' U L2 R
R D B F' U R L2
L D B' L' R U L'
L D B' R L' U L'
F U D L2 R F' R
F U D L2 F' R F'
R D B' F' U L2 R
R D B' F' U R L2
F U D R L2 F' R
F U D R F' L2 R
F U D R F' R L2
F U D F' L2 R F'
F U D F' R L2 F'
F U D F' R F' L2
R D B2 F' U L2 R
R D B2 F' U R L2
F2 U B2 L' F U' B2
R D' B U D2 L2 R'
R D' B U D2 R' L2
R D' B U' R2 U2 R
R D' B D' F2 U R'
R D' B D2 U L2 R'
R D' B D2 U R' L2
R D' B' U' L R2 U2
R D' B' U' R2 L U2
L2 D2 R F2 L' B' U
R2 D2 R' D' B U L2
L D2 R B' L' F2 U
R2 D2 R' F2 D B U
R2 D2 R' F2 D' B U
R2 D2 R' F2 D2 B U
R2 D2 R' F2 B U D
R2 D2 R' F2 B U D'
R2 D2 R' F2 B U D2
R2 D2 R' F2 B D U
R2 D2 R' F2 B D' U
R2 D2 R' F2 B D2 U
R2 D2 R' B U D' L2
R2 D2 R' B D' U L2
R2 D2 R' B F2 U D
R2 D2 R' B F2 U D'
R2 D2 R' B F2 U D2
R2 D2 R' B F2 D U
R2 D2 R' B F2 D' U
R2 D2 R' B F2 D2 U
R D2 R' B R F2 U
F2 U2 L' D F U' L2
F2 U2 L' F U' D L2
F2 U2 L' F D U' L2
F2 U2 L' F B2 U' D
F2 U2 L' F B2 U' D'
F2 U2 L' F B2 U' D2
F2 U2 L' F B2 D U'
F2 U2 L' F B2 D' U'
F2 U2 L' F B2 D2 U'
R2 D2 F R' F B U
R2 D2 F R' B F U
F2 U2 L' B2 D F U'
F2 U2 L' B2 D' F U'
F2 U2 L' B2 D2 F U'
F2 U2 L' B2 F U' D
F2 U2 L' B2 F U' D'
F2 U2 L' B2 F U' D2
F2 U2 L' B2 F D U'
F2 U2 L' B2 F D' U'
F2 U2 L' B2 F D2 U'
F U2 L' F L' B2 U'
F U2 L' F B2 L' U'
F U2 L' B2 F L' U'
B2 U2 R B2 L B' U
R2 D2 F2 R' D B U
R2 D2 F2 R' D' B U
R2 D2 F2 R' D2 B U
R2 D2 F2 R' B U D
R2 D2 F2 R' B U D'
R2 D2 F2 R' B U D2
R2 D2 F2 R' B D U
R2 D2 F2 R' B D' U
R2 D2 F2 R' B D2 U
R D2 F' D' F' U R
R D2 F2 R' B R U
R D2 F2 D B U R'
L D2 B' L' R F2 U
L D2 B' R L' F2 U
U2 F L' F L' B2 U'
U2 F L' F B2 L' U'
U2 F L' B2 F L' U'
F U2 F L' F B2 U'
F U2 F L' B2 F U'
F U2 F B2 L' F U'
B' U2 F2 B' L' F U'
B U2 F2 L' F B U'
B U2 F2 L' B F U'
F2 U2 B L' F B U'
F2 U2 B L' B F U'
B U2 F2 B L' F U'
B' U2 B' F2 L' F U'
B U2 B F2 L' F U'
F2 U2 B2 L' D F U'
F2 U2 B2 L' D' F U'
F2 U2 B2 L' D2 F U'
F2 U2 B2 L' F U' D
F2 U2 B2 L' F U' D'
F2 U2 B2 L' F U' D2
F2 U2 B2 L' F D U'
F2 U2 B2 L' F D' U'
F2 U2 B2 L' F D2 U'
F U2 B2 L' F L' U'
F U2 B2 F L' F U'
U F D L2 R F' R
U F D L2 F' R F'
U F D R L2 F' R
U F D R F' L2 R
U F D R F' R L2
D F D F2 U R F'
U F D F' L2 R F'
U F D F' R L2 F'
U F D F' R F' L2
R F D F' U L2 R
R F D F' U R L2
F D R U L2 F' R
F D R U F' L2 R
F D R U F' R L2
R2 F D2 R' F2 B U
R2 F D2 R' B F2 U
R2 F D2 F2 R' B U
B D R2 F' R' U R2
U2 F B2 L' F L' U'
F D U L2 R F' R
F D U L2 F' R F'
F D U R L2 F' R
F D U R F' L2 R
F D U R F' R L2
F D U F' L2 R F'
F D U F' R L2 F'
F D U F' R F' L2
F D F' U L2 R F'
F D F' U R L2 F'
F D F' U R F' L2
D F' U L R F L
D F' U L2 D2 R F'
D F' U R L F L
R F' D F' U L2 R
R F' D F' U R L2
R2 F' D2 R' F2 B U
R2 F' D2 R' B F2 U
R2 F' D2 F2 R' B U
U2 F2 L' D F U' L2
U2 F2 L' F U' D L2
U2 F2 L' F D U' L2
U2 F2 L' F B2 U' D
U2 F2 L' F B2 U' D'
U2 F2 L' F B2 U' D2
U2 F2 L' F B2 D U'
U2 F2 L' F B2 D' U'
U2 F2 L' F B2 D2 U'
U2 F2 L' B2 D F U'
U2 F2 L' B2 D' F U'
U2 F2 L' B2 D2 F U'
U2 F2 L' B2 F U' D
U2 F2 L' B2 F U' D'
U2 F2 L' B2 F U' D2
U2 F2 L' B2 F D U'
U2 F2 L' B2 F D' U'
U2 F2 L' B2 F D2 U'
D2 F2 R U2 L' F' U'
U F2 L' F B2 U' B2
U F2 L' B2 F U' B2
D2 F2 R' B U2 L' U'
U F2 U L' F B2 U'
U F2 U L' B2 F U'
D2 F2 U2 D2 L' F U'
U F2 U B2 L' F U'
B' D2 R U2 F' B' U'
B' D2 R U2 B' F' U'
D2 F2 D2 U2 L' F U'
R F2 D F' U L2 R
R F2 D F' U R L2
R2 F2 D2 R' F2 B U
R2 F2 D2 R' B F2 U
F2 D2 R' F2 B R U
U2 F2 B L' F B U'
U2 F2 B L' B F U'
F2 D2 R' B F2 R U
R2 F2 D2 F2 R' B U
F2 D2 R2 F2 R B U
L' F2 B2 L' F' R' U'
F D2 R' F2 B R' U
F D2 R' B R' F2 U
F D2 R' B F2 R' U
U2 F2 B2 L' D F U'
U2 F2 B2 L' D' F U'
U2 F2 B2 L' D2 F U'
U2 F2 B2 L' F U' D
U2 F2 B2 L' F U' D'
U2 F2 B2 L' F U' D2
U2 F2 B2 L' F D U'
U2 F2 B2 L' F D' U'
U2 F2 B2 L' F D2 U'
U F2 B2 L' F U' B2
D' B R U' R U2 R
D2 B R F2 U2 F U'
D' B R F2 U L' R2
D' B R F2 U R2 L'
F2 D2 F2 R U2 F' U'
F2 D2 F2 R' B R2 U
D2 B R' F2 B R2 U
D2 B R' B R2 F2 U
D2 B R' B F2 R2 U
D B R F' U L2 R
D B R F' U R L2
R' B R2 D F' U R
F D2 F2 R' B R' U
F D2 F2 B R' B U
F D2 B R' F2 B U
F D2 B R' B F2 U
F D2 B F2 R' B U
D' B D' R F2 U R2
R B U2 D' B U' R'
D' B D2 R U L2 R2
D' B D2 R U R2 L2
R B D' U2 B U' R'
U2 B F2 L' F B U'
U2 B F2 L' B F U'
F2 B U2 L' F B U'
F2 B U2 L' B F U'
F2 B U2 B L' F U'
D' B' R U' L R U2
D' B' R U' R L U2
D2 B' R F2 U2 F U'
