D L2 F U' L U'
F2 R B2 U L B
F2 U R B2 U B
B2 U2 L' U' L B
L2 F U B2 R' U
U B2 U2 L' U' B
L' R U2 B2 U L B'
B2 L U2 L2 U' L2 B
B2 L U2 L2 U' B L2
D L D L F U2 F
U2 L D L' F2 R B'
U2 L D L' F2 B' R
U2 L D L' B' F2 R
D L D' L F B2 U2
D L D' L B2 F U2
R L' U2 B2 U L B'
F2 L' R B2 U L B'
U2 L' U' L D' R2 B'
U2 L' U' L D' B' R2
U' L' U2 L B2 U B
U' L' U2 B2 L U B'
U' L' D2 R' F2 U' B
U' L' D2 F2 R' U' B
B2 L2 U2 L U' L' B
B2 L2 U2 L U' B L'
D L2 D F U' L U'
D L2 D' F U' L U'
D L2 D2 F U' L U'
D' L2 F U' L U' R2
D2 L2 F U' F L U'
D L2 F U' L U' D
D L2 F U' L U' D'
D L2 F U' L U' D2
D L2 F U' L D U'
D L2 F U' L D' U'
D L2 F U' L D2 U'
D L2 F U' D L U'
D L2 F U' D' L U'
D L2 F U' D2 L U'
F L2 F U R B2 U
F L2 F U B2 R U
D L2 F D U' L U'
D L2 F D' U' L U'
D L2 F D2 U' L U'
D L2 F B2 U R' U
U2 L2 B2 R' U L2 B'
U L2 B2 L2 R' U B'
U L2 B2 R' L2 U B'
U L2 B2 R' U' F U2
D L2 B2 F U R' U
F2 R L' B2 U L B'
L2 U B2 L2 R' U B'
L2 U B2 R' L2 U B'
L2 U B2 R' U' F U2
F2 R F B2 U L B
F2 R F' B2 U L B
F2 R F2 B2 U L B
F2 R B2 L' U L2 B
F2 R B2 L' U B L2
F2 R B2 L2 U L' B
F2 R B2 L2 U B L'
F2 R B2 U L D B
F2 R B2 U L D' B
F2 R B2 U L D2 B
F2 R B2 U L B D
F2 R B2 U L B D'
F2 R B2 U L B D2
F2 R B2 U L' B L2
F2 R B2 U L2 B L'
F2 R B2 U D L B
F2 R B2 U D' L B
F2 R B2 U D2 L B
F2 R B2 D U L B
F2 R B2 D' U L B
F2 R B2 D2 U L B
F2 R B2 F U L B
F R B2 U L F B
F R B2 U L B F
F2 R B2 F' U L B
F2 R B2 F2 U L B
U R B2 U2 L' U' B
F2 R' D' F2 R2 B' L'
F2 R' D' F2 B' L' R2
F2 R' D' F2 B' R2 L'
F2 R' D' B' F2 L' R2
F2 R' D' B' F2 R2 L'
L' U2 L B2 U L' B
L' U2 L B2 U B L'
B2 R' F2 R U L' B
B2 R' F2 R U B L'
L U2 R D' B R2 F'
U R' B2 U2 L' U' B
L' U2 B2 L U B' L'
L D L' U2 F2 R B'
L D L' U2 F2 B' R
L D L' U2 B' F2 R
U R2 B2 U2 L' U' B
U' D L' U L' F U2
L2 D F L2 U' L' U'
F2 U R U D' R2 B'
F2 U R U D' B' R2
F2 U R D' U R2 B'
F2 U R D' U B' R2
F2 U R B2 L U B
F2 U R B2 L' U B
F2 U R B2 L2 U B
F2 U R B2 U D B
F2 U R B2 U D' B
F2 U R B2 U D2 B
F2 U R B2 U B D
F2 U R B2 U B D'
F2 U R B2 U B D2
F2 U R B2 D U B
F2 U R B2 D' U B
F2 U R B2 D2 U B
F2 U D' R U R B'
F2 U D' R U B' R
L D' L F B2 U2 R2
L D' L B2 F U2 R2
L D' L' B2 U2 B R2
B2 U B U L' U' L
B U B U2 L' U' B
F2 U B' R B' U B
U2 D' L' U' L R2 B'
U2 D' L' U' L B' R2
U2 D' L' U' R2 L B'
D U' L' U L' F U2
F U B2 L U F B
F U B2 L U B F
B' U' L' U2 L B' U
B2 U' L' U L U2 B
B2 U' L' U' B2 R' B'
L2 D' F U' L U' R2
B U' L' R2 F' U' B2
B U' L' U2 B U B
B U' L' D' R2 F' U'
U2 D' R2 B' U L' U'
R2 D' F2 R U R B'
R2 D' F2 R U B' R
D2 U' F2 U2 R U B'
B U' R2 L' F' U' B2
L D' B2 L F U2 R2
L D' B2 L' U2 R2 B'
L D' B2 L' U2 B' R2
B U' D' L' R2 F' U'
L D' B2 U2 R B R
B U' D' R2 L' F' U'
U2 D' B' R2 U L' U'
U2 D' B' U L' U' R2
D' U2 L' U' L R2 B'
D' U2 L' U' L B' R2
D' U2 L' U' R2 L B'
D2 U2 L' F2 U' L B'
L' D2 R' F2 U' L' B
L' D2 R' F2 U' B L'
U2 D2 L' F2 U' L B'
B' U' B' U2 L' B U'
B' U' B' U2 B L' U'
D' U2 R2 B' U L' U'
B2 U2 L' U' L D B
B2 U2 L' U' L D' B
B2 U2 L' U' L D2 B
B2 U2 L' U' L B D
B2 U2 L' U' L B D'
B2 U2 L' U' L B D2
B2 U2 L' U' L' B L2
B2 U2 L' U' L2 B L'
B2 U2 L' U' D L B
B2 U2 L' U' D' L B
B2 U2 L' U' D2 L B
B2 U2 L' D U' L B
B2 U2 L' D' U' L B
B2 U2 L' D2 U' L B
L2 D2 F U' F L U'
U' D2 F2 U2 R U B'
F2 U2 R' D' R2 F2 B'
F2 U2 R' D' R2 B' F2
F2 U2 R' D' F2 R2 B'
F2 U2 R' D' F2 B' R2
F2 U2 R' D' B' R2 F2
F2 U2 R' D' B' F2 R2
D' U2 B' R2 U L' U'
D' U2 B' U L' U' R2
D2 U2 B' U L' F2 U'
U2 D2 B' U L' F2 U'
B2 U2 D L' U' L B
B2 U2 D' L' U' L B
B2 U2 D2 L' U' L B
L2 F L' D L2 U2 F2
L2 F L' D' B2 U2 R2
D F L2 F U R U
B2 U2 B' L' U' L B2
F2 U2 B' U' R B' U
F2 U2 B' U' B' R U
B2 U2 B2 L' U' L B'
L2 F U R B2 R' U
L2 F U R' B2 R' U
L2 F U R2 B2 R' U
F U2 B' U' R' B' U
L2 F U B2 R' U D
L2 F U B2 R' U D'
L2 F U B2 R' U D2
L2 F U B2 R' D U
L2 F U B2 R' D' U
L2 F U B2 R' D2 U
L2 F U B2 D R' U
L2 F U B2 D' R' U
L2 F U B2 D2 R' U
L2 F U' L U' D' R2
L2 F U' L U2 B2 U
L2 F U' L D' U' R2
L2 F U' L D2 F2 U'
L2 F U' D' L U' R2
L2 F U' D2 L F2 U'
L2 F U' D2 F2 L U'
L2 F D L2 U' L' U'
L2 F D' U' L U' R2
F D L2 F U R U
L2 F D2 U' L F2 U'
L2 F D2 U' F2 L U'
L2 F B U B R' U
L2 F B2 U R' U R
B2 D U2 L' U' L B
R F B2 U L F B
R F B2 U L B F
D F' L2 F U' L' U'
F2 D' U R U R B'
F2 D' U R U B' R
B2 D' U2 L' U' L B
B D' U' L' R2 F' U'
B D' U' R2 L' F' U'
R' F2 R B2 U L' B
R' F2 R B2 U B L'
U2 F2 R' D' R2 F2 B'
U2 F2 R' D' R2 B' F2
U2 F2 R' D' F2 R2 B'
U2 F2 R' D' F2 B' R2
U2 F2 R' D' B' R2 F2
U2 F2 R' D' B' F2 R2
U F2 R F2 B2 U B
U F2 R B2 F2 U B
D' F2 U R U R B'
D' F2 U R U B' R
U' F2 U2 R B2 U B
U2 F2 U' R B2 U B
U2 F2 B' U' R B' U
U2 F2 B' U' B' R U
B2 D2 U2 L' U' L B
D B L2 U' L U' B2
B D2 F2 U B R U
D2 B U' L' F2 U' B2
D' B U' L' U' R2 B2
D' B U' L' U' B2 R2
L2 B F U B R' U
U2 B' U L2 F L U'
U2 B' U' B' U2 L' U'
L B' U' L2 F R U'
U2 B' F2 U' R B' U
U2 B' F2 U' B' R U
U B2 L U D F2 B
U B2 L U D B F2
U B2 L U B D F2
U B2 L U2 L2 U' B
U B2 L D U F2 B
U B2 L D U B F2
D B2 L2 U' L U' B
R B2 L' U B L2 F
U B2 L2 U2 L U' B
L2 B2 R' U' R F U2
B2 F2 R U' R' U2 B
F2 B2 R U' R' U2 B
U B2 R' U2 L' U' B'
D2 B2 U' L' F2 U' B
D' B2 U' L' U' B R2
U' B2 U2 L' B2 U' B'
R B2 U L D F2 B
R B2 U L D B F2
R B2 U L B D F2
U B2 U B U L' U'
B2 F2 U R U R' B
F2 B2 U R U R' B
U B2 U2 L' U' D B
U B2 U2 L' U' D' B
U B2 U2 L' U' D2 B
U B2 U2 L' U' B D
U B2 U2 L' U' B D'
U B2 U2 L' U' B D2
U B2 U2 L' D U' B
U B2 U2 L' D' U' B
U B2 U2 L' D2 U' B
U B2 U2 D L' U' B
U B2 U2 D' L' U' B
U B2 U2 D2 L' U' B
R B2 U2 L' U' L2 B
R B2 U2 L' U' B L2
U B2 D U2 L' U' B
U B2 D' U2 L' U' B
L2 B2 F U R' U R
U B2 D2 U2 L' U' B
R B2 F U L F B
R B2 F U L B F
