F' L2 U R F
L2 F' U R F2
F' L2 R' U R2 F
F' L2 R' U F R2
F' L2 R2 U R' F
F' L2 R2 U F R'
F' L2 U R D F
F' L2 U R D' F
F' L2 U R D2 F
F' L2 U R F D
F' L2 U R F D'
F' L2 U R F D2
F' L2 U R' F R2
F' L2 U R2 F R'
F' L2 U D R F
F' L2 U D' R F
F' L2 U D2 R F
F' L2 D U R F
F' L2 D' U R F
F' L2 D2 U R F
U' L2 F' U R F2
U2 L2 F' U R F2
U L2 F' U R F2
F' L2 B U R F
F' L2 B' U R F
F' L2 B2 U R F
F' R' L2 U R2 F
F' R' L2 U F R2
F' R2 L2 U R' F
F' R2 L2 U F R'
B' U L2 F' U R
B' U F' L2 U R
L F' L U R F
U' F' L2 U R F
U2 F' L2 U R F
U F' L2 U R F
L2 F' R' U R2 F2
L2 F' R' U F2 R2
L2 F' R2 U R' F2
L2 F' R2 U F2 R'
L2 F' U R F2 D
L2 F' U R F2 D'
L2 F' U R F2 D2
L2 F' U R' F2 R2
L2 F' U R2 F2 R'
L2 F' D R2 U R'
F D' L2 F B2 R'
L2 F' B U R F2
F D' L2 B2 R' F
F D' L2 B2 F R'
L2 F' B' U R F2
L2 F' B2 U R F2
L2 B F' U R F2
L2 B' F' U R F2
L2 B2 F' U R F2
L2 R U F' L' R F2
L2 R U F' R L' F2
B' L U L F' U R
B' L U F' L U R
F' L D L U R F
F' L D' L U R F
F' L D2 L U R F
U2 L F' L U R F
U' L F' L U R F
U L F' L U R F
B' L' U L' F' U R
F L' U L' F2 U F'
F' L' D2 L' U R F'
R L2 U F' L' R F2
R L2 U F' R L' F2
F' L' B L' U R F
F' L' B' L' U R F
F' L' B2 L' U R F
F' L2 R' U R' F R'
F' L2 R' U R2 D F
F' L2 R' U R2 D' F
F' L2 R' U R2 D2 F
F' L2 R' U R2 F D
F' L2 R' U R2 F D'
F' L2 R' U R2 F D2
F' L2 R' U F R2 D
F' L2 R' U F R2 D'
F' L2 R' U F R2 D2
F' L2 R' U F' R2 F2
F' L2 R' D B2 U F
F' L2 R' B U R2 F
F' L2 R' B U F R2
F' L2 R' B' U R2 F
F' L2 R' B' U F R2
F' L2 R' B2 U R2 F
F' L2 R' B2 U F R2
F' L2 R2 U R F R2
F' L2 R2 U R' D F
F' L2 R2 U R' D' F
F' L2 R2 U R' D2 F
F' L2 R2 U R' F D
F' L2 R2 U R' F D'
F' L2 R2 U R' F D2
F' L2 R2 U D R' F
F' L2 R2 U D F R'
F' L2 R2 U D' R' F
F' L2 R2 U D' F R'
F' L2 R2 U D2 R' F
F' L2 R2 U D2 F R'
F' L2 R2 U F R' D
F' L2 R2 U F R' D'
F' L2 R2 U F R' D2
F' L2 R2 U F D R'
F' L2 R2 U F D' R'
F' L2 R2 U F D2 R'
F' L2 R2 U F' R' F2
F' L2 R2 D U R' F
F' L2 R2 D U F R'
F' L2 R2 D' U R' F
F' L2 R2 D' U F R'
F' L2 R2 D2 U R' F
F' L2 R2 D2 U F R'
D2 L2 R2 B U' R' F
D2 L2 R2 B U' F R'
F' L2 U R D F D
F' L2 U R D F D'
F' L2 U R D F D2
F' L2 U R D' F D
F' L2 U R D' F D'
F' L2 U R D' F D2
F' L2 U R D2 F D
F' L2 U R D2 F D'
F' L2 U R D2 F D2
F' L2 U R F2 D F'
F' L2 U R F2 D' F'
F' L2 U R F2 D2 F'
F' L2 U R' F R2 D
F' L2 U R' F R2 D'
F' L2 U R' F R2 D2
F' L2 U R' F' R2 F2
F' L2 U R2 D R' F
F' L2 U R2 D F R'
F' L2 U R2 D' R' F
F' L2 U R2 D' F R'
F' L2 U R2 D2 R' F
F' L2 U R2 D2 F R'
F' L2 U R2 F R' D
F' L2 U R2 F R' D'
F' L2 U R2 F R' D2
F' L2 U R2 F D R'
F' L2 U R2 F D' R'
F' L2 U R2 F D2 R'
F' L2 U R2 F' R' F2
F' L2 U D R D F
F' L2 U D R D' F
F' L2 U D R D2 F
F' L2 U D R F D
