R U R B' R U B2
R U R2 D B' L U
U R U B' R2 U B2
U R U2 B D' R2 F2
U R U2 B D' F2 R2
F2 R' B L B2 U L2
F2 R' B' U2 R' U' L'
U R' B' U' R2 U2 B
U R' B' U' F' R2 U2
R' D B' U2 R' B' U'
R' D' F2 B L B2 U
R' D' F2 B' U2 R' U'
R' D' B L F2 B2 U
R' D' B L B2 F2 U
R' D' B F2 L B2 U
R' D' B' F2 U2 R' U'
F2 U2 R' B' U L' B'
R' D2 B' U2 R' U' L2
R' B L D' F2 U R2
R' B L B2 U D2 L2
R' B L B2 U' R2 U2
R' B L B2 D' F2 U
R' B L B2 D2 U L2
R B U L R2 B2 U
R B U L B2 R2 U
R B U R2 L B2 U
R' B D' L F2 U R2
R' B D' F2 L U R2
R' B' U' R2 U' R U'
R' B' U2 R' U R' U2
R B' R2 D' F2 L' U
R' B' U2 R' B2 U' L
R' B' U2 D R' B2 U'
R' B' U2 D2 R' U' L2
R' B' D U2 R' B2 U'
R' B' D' F2 U2 R' U'
R' B' D2 U2 R' U' L2
