F' R U' F2 B U'
F' R U' B F2 U'
F' U' F2 B U' L
F' U' B F2 U' L
F' L R U' F2 B U'
F' L R U' B F2 U'
F' L U' F2 B U' L
F' L U' B F2 U' L
F' L' R U' F2 B U'
F' L' R U' B F2 U'
F' L' U' F2 B U' L
F' L' U' B F2 U' L
F' L2 R U' F2 B U'
F' L2 R U' B F2 U'
F' L2 U' F2 B U' L
F' L2 U' B F2 U' L
F' R L U' F2 B U'
F' R L U' B F2 U'
F' R L' U' F2 B U'
F' R L' U' B F2 U'
F' R L2 U' F2 B U'
F' R L2 U' B F2 U'
F' R U' D B U' R2
F' R U' F2 D B U'
F' R U' F2 D' B U'
F' R U' F2 D2 B U'
F' R U' F2 B U' D
F' R U' F2 B U' D'
F' R U' F2 B U' D2
F' R U' F2 B D U'
F' R U' F2 B D' U'
F' R U' F2 B D2 U'
F' R U' B U' D R2
F' R U' B D U' R2
F' R U' B F2 U' D
F' R U' B F2 U' D'
F' R U' B F2 U' D2
F' R U' B F2 D U'
F' R U' B F2 D' U'
F' R U' B F2 D2 U'
F' R D U' B U' R2
F' R D' L2 U' B U'
F R F2 U' F2 B U'
F R F2 U' B F2 U'
F R B U F2 B' U2
F R B U B' F2 U2
R2 U' D' F U' L' B
R2 U' D' F U' B L'
R U' F B U2 L U
R U' F B' R' B2 U'
F' R' U D F' U R2
F' R' U D2 F' B2 U
F' R' U D2 B2 F' U
F' R' U F' U2 F' U'
F' R' U' F2 U2 F U
R U' B F U2 L U
F' R' D U F' U R2
R U' B' R' F B2 U'
R U' B' R' B2 F U'
F' R' D' L2 U F' U
R U' B' F R' B2 U'
F' R' D2 U F' B2 U
F' R' D2 U B2 F' U
U' R2 F B' U' B2 L
U2 R2 F U' F' L' B
U2 R2 F U' F' B L'
U2 R2 F U' B F' L'
U' R2 F B2 U' B' L
U' R2 B' F U' B2 L
U' R2 B2 F U' B' L
F' U D F' U L' R2
F' U D F' U R2 L'
F' U D2 F' B2 U L'
F' U D2 B2 F' U L'
R2 D' U' F U' L' B
R2 D' U' F U' B L'
F' U' D B U' L R2
F' U' D B U' R2 L
F' U' F2 U2 F' U L'
F' U' F2 D B U' L
F' U' F2 D' B U' L
F' U' F2 D2 B U' L
F' U' F2 B U' L D
F' U' F2 B U' L D'
F' U' F2 B U' L D2
F' U' F2 B U' D L
F' U' F2 B U' D' L
F' U' F2 B U' D2 L
F' U' F2 B D U' L
F' U' F2 B D' U' L
F' U' F2 B D2 U' L
F' U' F2 B' U R' U2
F' U' B U' L D R2
F' U' B U' D L R2
F' U' B U' D R2 L
F' U' B D U' L R2
F' U' B D U' R2 L
F' U' B F2 U' L D
F' U' B F2 U' L D'
F' U' B F2 U' L D2
F' U' B F2 U' D L
F' U' B F2 U' D' L
F' U' B F2 U' D2 L
F' U' B F2 D U' L
F' U' B F2 D' U' L
F' U' B F2 D2 U' L
F' U' B' F2 U R' U2
F' U2 L' U F2 B' U'
F' U2 L' U B' F2 U'
U F U R F2 U2 F2
U2 F U' D2 F' L' B2
U2 F U' D2 F' B2 L'
U2 F U' D2 B2 F' L'
U F U F2 U2 L' F2
U F U' R F2 U2 R'
U' F D R2 B U' L
U' F D B R2 U' L
F' D R U' B U' R
U' F D2 B U' L B
F' D R' U F' U R'
U2 F D2 U' F' L' B2
U2 F D2 U' F' B2 L'
U' F B U F2 U2 L
U2 F D2 U' B2 F' L'
U' F B U' L D2 B2
U' F B U' D2 L B2
U' F B D R2 U' L
U' F B D2 U' L B2
U' F B' U R' F2 U2
U' F B' U F2 R' U2
U' F B' U' D2 B2 L
U' F B' D2 U' B2 L
F' D U F' U L' R2
F' D U F' U R2 L'
F' D U' B U' L R2
F' D U' B U' R2 L
D2 F' R U' F2 B U'
D2 F' R U' B F2 U'
D' F' R U' F2 B U'
D' F' R U' B F2 U'
D F' R U' F2 B U'
D F' R U' B F2 U'
L2 F' R' U F' B' U
L2 F' R' U B' F' U
L2 F' U F' B' U L'
L2 F' U B' F' U L'
D2 F' U' F2 B U' L
D' F' U' F2 B U' L
D2 F' U' B F2 U' L
D' F' U' B F2 U' L
D F' U' F2 B U' L
D F' U' B F2 U' L
F' D' L2 R U' B U'
F' D' L2 R' U F' U
F' D' L2 U F' U L'
F' D' L2 U' B U' L
F' D' R L2 U' B U'
F' D' R' L2 U F' U
F' D2 R' U F' B2 U
F' D2 R' U B2 F' U
F' D2 U F' B2 U L'
F' D2 U B2 F' U L'
U' B R2 F U' L B
U' B F U F2 U2 L
U' B F U' L D2 B2
U' B F U' D2 L B2
U' B F D R2 U' L
U' B F D2 U' L B2
L2 B' U' F' B U2 L
L2 B' U' B F' U2 L
U' B' F U R' F2 U2
U' B' F U F2 R' U2
U' B' F U' D2 B2 L
U' B' F D2 U' B2 L
