F' L' F U R' F2
F' L' F U F2 R'
F2 R' D' L B' L
F2 R' D' B' L B'
F R' D F L' B2
F R' D F B2 L'
F R' D B2 F L'
F2 D' L R' B' L
F2 D' R' L B' L
F2 D' R' B' L B'
R' F2 D' L B' L
R' F2 D' B' L B'
F2 L D R' B D L2
R2 L B' U' R F2 B
R2 L B' U' R B F2
F2 L' R' U' F L' U
F' L' U F' R' D' L2
F' L' U F' D' L2 R'
F' L' U F' D' R' L2
F2 L' U' F L' U R'
F' L' D F U R' F2
F' L' D F U F2 R'
F' L' D' F U R' F2
F' L' D' F U F2 R'
F' L' D2 F U R' F2
F' L' D2 F U F2 R'
F2 L' F L' U F' R'
F' L' F R U R2 F2
F' L' F R U F2 R2
F' L' F R2 U R F2
F' L' F U R F2 R2
F' L' F U R' F2 D
F' L' F U R' F2 D'
F' L' F U R' F2 D2
F' L' F U F R' F
F' L' F U F2 R' D
F' L' F U F2 R' D'
F' L' F U F2 R' D2
F' L' F U F2 D R'
F' L' F U F2 D' R'
F' L' F U F2 D2 R'
F' L' F D R2 U R
U L' F U R' F B'
U L' F U R' B' F
U L' F U F R' B'
U L' F2 R' D B' L
L R2 B' U' R F2 B
L R2 B' U' R B F2
F R U' R2 D F L'
F2 R' L' U' F L' U
F2 R' U' L' F L' U
F2 R' U' F L' F U
F2 R' D' L B' L D
F2 R' D' L B' L D'
F2 R' D' L B' L D2
F2 R' D' L B' D L
F2 R' D' L B' D' L
F2 R' D' L B' D2 L
F R' D F L B2 L2
F R' D F L' B2 D
F R' D F L' B2 D'
F R' D F L' B2 D2
F R' D F B L' B
F R' D F B2 L' D
F R' D F B2 L' D'
F R' D F B2 L' D2
F R' D F B2 D L'
F R' D F B2 D' L'
F R' D F B2 D2 L'
F R' D B F L' B
F R' D B2 F L' D
F R' D B2 F L' D'
F R' D B2 F L' D2
F R' D B2 F D L'
F R' D B2 F D' L'
F R' D B2 F D2 L'
F2 R' D' B' L D B'
F2 R' D' B' L D' B'
F2 R' D' B' L D2 B'
F2 R' D' B' L B' D
F2 R' D' B' L B' D'
F2 R' D' B' L B' D2
F R' D' F L2 B' L
U R' F D F L' B'
U' R' F2 D' L2 B' L
U R' F2 D' L' B' L
F2 R' B D' L B' L
F2 R' B D' B' L B'
F R' B D F L' B2
F R' B D F B2 L'
F R' B D B2 F L'
F2 R' B' D' L B' L
F2 R' B' D' B' L B'
F R' B' D F L' B2
F R' B' D F B2 L'
F R' B' D B2 F L'
F2 R' B2 D' L B' L
F2 R' B2 D' B' L B'
F R' B2 D F L' B2
F R' B2 D F B2 L'
F R' B2 D B2 F L'
F2 R2 D' L R B' L
F2 R2 D' L B' L R
F2 R2 D' L B' R L
F2 R2 D' R L B' L
F2 R2 D' R B' L B'
F2 R2 D' B' L R B'
F2 R2 D' B' L B' R
F2 R2 D' B' R L B'
F' U L' F U R' F2
F' U L' F U F2 R'
F U R' D F L' B2
F U R' D F B2 L'
F U R' D B2 F L'
F' U' L' F U R' F2
F' U' L' F U F2 R'
F2 U' L' F L' U R'
F U' R' D F L' B2
F U' R' D F B2 L'
F U' R' D B2 F L'
F2 U' F L' F U R'
F' U2 L' F U R' F2
F' U2 L' F U F2 R'
F U2 R' D F L' B2
F U2 R' D F B2 L'
F U2 R' D B2 F L'
L' F R U F R2 B
L F R B' U' R2 F
L F R B' U' F R2
U F R' D F L' B'
L' F U R' D F B2
L' F U R' D B2 F
L' F U R' F D B2
L' F U F D R' B
L' F U2 R U' R2 F
L' F U2 R U' F R2
U F D R' F L' B'
U F D F L' R' B'
U F D F R' L' B'
F D R U' R2 F L'
F D R U' F L' R2
