F R2 U R B2
F R2 U B2 R
F L R2 U R B2
F L R2 U B2 R
F L' R2 U R B2
F L' R2 U B2 R
F L2 R2 U R B2
F L2 R2 U B2 R
R' U' R' F U B2
R' U' F R' U B2
F R2 L U R B2
F R2 L U B2 R
F R2 L' U R B2
F R2 L' U B2 R
F R2 L2 U R B2
F R2 L2 U B2 R
F R2 U R B2 D
F R2 U R B2 D'
F R2 U R B2 D2
F R2 U R' B2 R2
F R2 U B' R B'
F R2 U B2 R D
F R2 U B2 R D'
F R2 U B2 R D2
F R2 U B2 D R
F R2 U B2 D' R
F R2 U B2 D2 R
F R2 D L2 U R
F R2 B U B R
F R2 B' U R B'
F R2 B' U B' R
R' F R' U R B2
R' F R' U B2 R
U' F R2 U R B2
U' F R2 U B2 R
U2 F R2 U R B2
U2 F R2 U B2 R
U F R2 U R B2
U F R2 U B2 R
B2 F' D' L2 F2 R
F' B2 D' L2 F2 R
F L R2 U R B2 D
F L R2 U R B2 D'
F L R2 U R B2 D2
F L R2 U R' B2 R2
F L R2 U B' R B'
F L R2 U B2 R D
F L R2 U B2 R D'
F L R2 U B2 R D2
F L R2 U B2 D R
F L R2 U B2 D' R
F L R2 U B2 D2 R
F L R2 D L2 U R
F L R2 B U B R
F L R2 B' U R B'
F L R2 B' U B' R
F2 L F' R2 U R B2
F2 L F' R2 U B2 R
F' L F2 R2 U R B2
F' L F2 R2 U B2 R
R' L B2 U L B' U'
R2 L' U R B L B
R2 L' U B L B R
F' L B2 D' L2 F2 R
F L' R2 U R B2 D
F L' R2 U R B2 D'
F L' R2 U R B2 D2
F L' R2 U R' B2 R2
F L' R2 U B' R B'
F L' R2 U B2 R D
F L' R2 U B2 R D'
F L' R2 U B2 R D2
F L' R2 U B2 D R
F L' R2 U B2 D' R
F L' R2 U B2 D2 R
F L' R2 D L2 U R
F L' R2 B U B R
F L' R2 B' U R B'
F L' R2 B' U B' R
R2 L' B U B L R
R2 L' B U B R L
L2 R' B2 U L B U'
L R' B2 U L B' U'
L' R2 U R B L B
F2 L' F' R2 U R B2
F2 L' F' R2 U B2 R
L' R2 U B L B R
F' L' F2 R2 U R B2
F' L' F2 R2 U B2 R
L2 R2 U2 B' U' R B'
L2 R2 U2 B' U' B' R
R2 L2 U2 B' U' R B'
R2 L2 U2 B' U' B' R
F' L' B2 D' L2 F2 R
F L2 R2 U R B2 D
F L2 R2 U R B2 D'
F L2 R2 U R B2 D2
F L2 R2 U R' B2 R2
F L2 R2 U B' R B'
F L2 R2 U B2 R D
F L2 R2 U B2 R D'
F L2 R2 U B2 R D2
F L2 R2 U B2 D R
F L2 R2 U B2 D' R
F L2 R2 U B2 D2 R
F L2 R2 D L2 U R
D' L2 R2 B' U' R F2
F L2 R2 B U B R
F L2 R2 B' U R B'
F L2 R2 B' U B' R
L' R2 B U B L R
L' R2 B U B R L
D2 L2 D R2 B' U' R
R' L2 B2 U L B U'
F2 L2 F' R2 U R B2
F2 L2 F' R2 U B2 R
R2 U R U' F U B2
F' L2 F2 R2 U R B2
F' L2 F2 R2 U B2 R
R2 U R B2 U' F U
F' L2 B2 D' L2 F2 R
R2 U F U F' R B2
R2 U F U F' B2 R
R2 U F U B2 F' R
F R D L2 R B2 U
F R D L2 B2 R U
F R D R L2 B2 U
F R D R B2 L2 U
R2 U B2 R U' F U
F R D B2 L2 R U
F R D B2 R L2 U
R' U' R F R2 U B2
R' U' R' D F L2 U
R' U' R' F L U B2
R' U' R' F L' U B2
R' U' R' F L2 U B2
R' U' R' F U B2 D
R' U' R' F U B2 D'
R' U' R' F U B2 D2
R' U' R' F D L2 U
R' U' D R' F L2 U
R' U' D F L2 R' U
R' U' D F R' L2 U
F R B' R U R B'
F R B' R U B' R
R' U' F L R' U B2
R' U' F L' R' U B2
R' U' F L2 R' U B2
R' U' F R' L U B2
R' U' F R' L' U B2
R' U' F R' L2 U B2
R' U' F R' U B2 D
R' U' F R' U B2 D'
R' U' F R' U B2 D2
R' U' F R' D L2 U
R' U' F D L2 R' U
R' U' F D R' L2 U
R' U' F' R' F2 U B2
U' R' U' R' F U B2
F' R' U' R' F2 U B2
U' R' U' F R' U B2
U2 R' U' R' F U B2
F' R' U' F2 R' U B2
U2 R' U' F R' U B2
U R' U' R' F U B2
U R' U' F R' U B2
F R' D L2 R' U R
F R' D R' L2 U R
U' R' F R' U R B2
U' R' F R' U B2 R
U2 R' F R' U R B2
U2 R' F R' U B2 R
U R' F R' U R B2
U R' F R' U B2 R
F' R' F2 R' U R B2
F' R' F2 R' U B2 R
F R' B2 U L U' L'
F R2 L U R B2 D
F R2 L U R B2 D'
F R2 L U R B2 D2
F R2 L U R' B2 R2
F R2 L U B' R B'
F R2 L U B2 R D
F R2 L U B2 R D'
F R2 L U B2 R D2
F R2 L U B2 D R
F R2 L U B2 D' R
F R2 L U B2 D2 R
F R2 L D L2 U R
F R2 L B U B R
F R2 L B' U R B'
F R2 L B' U B' R
F R2 L' U R B2 D
F R2 L' U R B2 D'
F R2 L' U R B2 D2
F R2 L' U R' B2 R2
F R2 L' U B' R B'
F R2 L' U B2 R D
F R2 L' U B2 R D'
F R2 L' U B2 R D2
F R2 L' U B2 D R
F R2 L' U B2 D' R
F R2 L' U B2 D2 R
F R2 L' D L2 U R
D' R2 L2 B' U' R F2
F R2 L' B U B R
F R2 L' B' U R B'
F R2 L' B' U B' R
F R2 L2 U R B2 D
F R2 L2 U R B2 D'
F R2 L2 U R B2 D2
F R2 L2 U R' B2 R2
F R2 L2 U B' R B'
F R2 L2 U B2 R D
F R2 L2 U B2 R D'
F R2 L2 U B2 R D2
F R2 L2 U B2 D R
F R2 L2 U B2 D' R
F R2 L2 U B2 D2 R
F' R2 U R B2 D' L2
F R2 L2 D L2 U R
F R2 L2 B U B R
F R2 L2 B' U R B'
F R2 L2 B' U B' R
F R2 U L R B2 L'
F' R2 U B2 R D' L2
F R2 U L B2 L' R
F R2 U L B2 R L'
F' R2 U B2 D' L2 R
F' R2 U B2 D' R L2
F R2 U L2 R B2 L2
F R2 U L2 B2 L2 R
F R2 U L2 B2 R L2
F R2 U R L B2 L'
F R2 U R L2 B2 L2
F R2 U R B D B
F R2 U R B D' B
F R2 U R B D2 B
F R2 U R B' D B'
F R2 U R B' D' B'
F R2 U R B' D2 B'
F R2 U R' B' R2 B'
F R2 U R' B2 R2 D
F R2 U R' B2 R2 D'
F R2 U R' B2 R2 D2
F R2 U D R D' B2
F R2 U D2 R D2 B2
F R2 U B D B R
F R2 U B D' B R
F R2 U B D2 B R
F R2 U B' R D B'
F R2 U B' R D' B'
F R2 U B' R D2 B'
F R2 U B' R B' D
F R2 U B' R B' D'
F R2 U B' R B' D2
F R2 U B' R' B' R2
F R2 U B' D R B'
F R2 U B' D B' R
F R2 U B' D' R B'
F R2 U B' D' B' R
F R2 U B' D2 R B'
F R2 U B' D2 B' R
F R2 U B2 R2 D R'
F R2 U B2 R2 D' R'
F R2 U B2 R2 D2 R'
F R2 U B2 D R D
F R2 U B2 D R D'
F R2 U B2 D R D2
F R2 U B2 D' R D
F R2 U B2 D' R D'
F R2 U B2 D' R D2
F R2 U B2 D2 R D
F R2 U B2 D2 R D'
F R2 U B2 D2 R D2
F R2 U' L U2 R B2
F R2 U' L U2 B2 R
F R2 U' L' U2 R B2
F R2 U' L' U2 B2 R
F R2 U' L2 U2 R B2
F R2 U' L2 U2 B2 R
F R2 U' D2 F2 L' U2
F R2 U' F2 L' U2 B2
F2 R2 U2 B U' B R
F R2 U2 R' U' R2 B2
F R2 U2 R' U' B2 R2
F R2 U2 R2 U' R' B2
F R2 U2 D' R2 U' R'
F R2 D L2 U R D
F R2 D L2 U R D'
F R2 D L2 U R D2
F R2 D L2 U D R
F R2 D L2 U D' R
F R2 D L2 U D2 R
D' R2 D' L2 B' U' R
F R2 D L2 D U R
F R2 D L2 D' U R
F R2 D L2 D2 U R
F R2 D L2 B U R
F R2 D L2 B' U R
F R2 D L2 B2 U R
F R2 D U R D' B2
F R2 D B L2 U R
F R2 D B' L2 U R
F R2 D B2 L2 U R
F R2 D' U2 R2 U' R'
F R2 D2 U R D2 B2
B' R2 F U B R' B2
F R2 D2 U' F2 L' U2
B' R2 F B U R' B2
B2 R2 F B2 U R' B2
R2 D L2 U2 B' U' R
F' R2 F2 L2 U B2 R'
F' R2 F2 U' L' U2 B2
R D R F L2 B2 U
R D R F B2 L2 U
R D R B2 F L2 U
B' R2 B F U R' B2
F R2 B L U B R
F R2 B L' U B R
F R2 B L2 U B R
F R2 B U D B R
F R2 B U D' B R
F R2 B U D2 B R
F R2 B U B R D
F R2 B U B R D'
F R2 B U B R D2
F R2 B U B D R
F R2 B U B D' R
F R2 B U B D2 R
F R2 B U B' R B2
F R2 B U B2 R B'
F R2 B D U B R
F R2 B D' U B R
F R2 B D2 U B R
R' D U' R' F L2 U
F R2 B' U R D B'
F R2 B' U R D' B'
F R2 B' U R D2 B'
F R2 B' U R B' D
F R2 B' U R B' D'
F R2 B' U R B' D2
F R2 B' U R' B' R2
R' D U' F L2 R' U
F R2 B' U D R B'
F R2 B' U D B' R
F R2 B' U D' R B'
F R2 B' U D' B' R
F R2 B' U D2 R B'
R' D U' F R' L2 U
F R2 B' U D2 B' R
F R2 B' U B R B2
F R2 B' U B' R D
F R2 B' U B' R D'
F R2 B' U B' R D2
F R2 B' U B' D R
F R2 B' U B' D' R
F R2 B' U B' D2 R
F R2 B' D U R B'
F R2 B' D U B' R
F R2 B' D' U R B'
F R2 B' D' U B' R
F R2 B' D2 U R B'
F R2 B' D2 U B' R
B2 R2 B2 F U R' B2
R' D F L2 R' U R
R' D F R' L2 U R
F U R' U' R' U B2
F U R' B2 U L U'
R D B2 R F L2 U
F U D' F2 D R' B2
F2 U F' R2 U R B2
F2 U F' R2 U B2 R
F' U F2 R2 U R B2
F' U F2 R2 U B2 R
L2 D' R2 B' U' R F2
F' U B2 D' L2 F2 R
R D' F2 L' R2 B U'
R D' F2 R2 L' B U'
R D' F2 R2 B L' U'
B2 U' R2 F U' L U2
B2 U' R2 F B2 U R'
B2 U' R2 B2 F U R'
B2 U' F R2 U' L U2
B2 U' F R2 B2 U R'
B2 U' F B2 R2 U R
F2 U' F' R2 U R B2
F2 U' F' R2 U B2 R
F' U' F2 R2 U R B2
F' U' F2 R2 U B2 R
F' U' B2 D' L2 F2 R
B2 U' B2 F R2 U R
R2 D2 F U' F L' U2
F U2 R2 U R B2 L
U' F L R2 U R B2
U' F L R2 U B2 R
R' F L R' U R B2
R' F L R' U B2 R
U2 F L R2 U R B2
U2 F L R2 U B2 R
U' F L' R2 U R B2
U' F L' R2 U B2 R
R' F L' R' U R B2
R' F L' R' U B2 R
U F L R2 U R B2
U F L R2 U B2 R
U2 F L' R2 U R B2
U2 F L' R2 U B2 R
F U2 D' R2 U' R F2
U' F L2 R2 U R B2
U' F L2 R2 U B2 R
R' F L2 R' U R B2
R' F L2 R' U B2 R
U2 F L2 R2 U R B2
U2 F L2 R2 U B2 R
U F L' R2 U R B2
U F L' R2 U B2 R
F2 U2 F' R2 U R B2
F2 U2 F' R2 U B2 R
D F L2 U R' D2 F2
D F L2 U D2 R' F2
D F L2 U D2 F2 R'
D F L2 U' B2 L U2
D F L2 D' R2 U R
U F L2 R2 U R B2
U F L2 R2 U B2 R
D F L2 D2 U R' F2
D F L2 D2 U F2 R'
R' F R' L U R B2
R' F R' L U B2 R
R' F R' L' U R B2
R' F R' L' U B2 R
R' F R' L2 U R B2
R' F R' L2 U B2 R
R' F R' U R B2 D
R' F R' U R B2 D'
R' F R' U R B2 D2
F' U2 F2 R2 U R B2
R' F R' U R' B2 R2
F' U2 F2 R2 U B2 R
R' F R' U B' R B'
R' F R' U B2 R D
R' F R' U B2 R D'
R' F R' U B2 R D2
R' F R' U B2 D R
R' F R' U B2 D' R
R' F R' U B2 D2 R
R' F R' D L2 U R
R' F R' B U B R
R' F R' B' U R B'
R' F R' B' U B' R
U' F R2 L U R B2
U' F R2 L U B2 R
U' F R2 L' U R B2
U' F R2 L' U B2 R
