F L R U' L2 U'
F L R U2 D F2
F L R D U2 F2
F L R D' B2 U2
F L U2 D F2 L'
F L D R U2 F2
F L D U2 F2 L'
F L D' R B2 U2
F L D' B2 R U2
F R L U' L2 U'
F R L U2 D F2
F R L D U2 F2
F R L D' B2 U2
D' F L R B' U2
D' F L B' R U2
D F L R U2 F'
D' F R L B' U2
D F R L U2 F'
F L R U D2 R2 U
F L R U' L2 U' D
F L R U' L2 U' D'
F L R U' L2 U' D2
F L R U' L2 D U'
F L R U' L2 D' U'
F L R U' L2 D2 U'
F L R U2 D F2 D
F L R U2 D F2 D'
F L R U2 D F2 D2
F L R U2 F D F2
F L R U2 F' D F2
F L R U2 F2 D F2
F L R D U2 F2 D
F L R D U2 F2 D'
F L R D U2 F2 D2
F L R D B U2 F2
F L R D B' U2 F2
F L R D B2 U2 F2
F L R D' B2 U2 D
F L R D' B2 U2 D'
F L R D' B2 U2 D2
F L R D' B2 D U2
F L R D' B2 D' U2
F L R D' B2 D2 U2
F L R D2 U R2 U
F L R B U' L2 U'
F L R B U2 D F2
F L R B D U2 F2
F L R B D' B2 U2
F L R B' U' L2 U'
F L R B' U2 D F2
F L R B' D U2 F2
F L R B' D' B2 U2
F L R B2 U' L2 U'
F L R B2 U2 D F2
F L R B2 D U2 F2
F L R B2 D' B2 U2
F L R2 D R' U2 F2
F L R2 D' R' B2 U2
F L R2 D' B2 U2 L
F L U' L2 U R U2
F L U2 D L F2 L'
F L U2 D L' F2 L'
F L U2 D L2 F2 L'
F L U2 D F2 L' D
F L U2 D F2 L' D'
F L U2 D F2 L' D2
F L U2 D F2 D L'
F L U2 D F2 D' L'
F L U2 D F2 D2 L'
F L U2 F2 D L' F2
F L D R U2 F2 D
F L D R U2 F2 D'
F L D R U2 F2 D2
F L D R D2 B2 U2
F L D R B U2 F2
F L D R B' U2 F2
F L D R B2 U2 F2
F L D U2 L F2 L'
F L D U2 L' F2 L'
F L D U2 L2 F2 L'
F L D U2 F2 L' D
F L D U2 F2 L' D'
F L D U2 F2 L' D2
F L D U2 F2 D L'
F L D U2 F2 D' L'
F L D U2 F2 D2 L'
F L D B R U2 F2
F L D B U2 F2 L'
F L D B' R U2 F2
F L D B' U2 F2 L'
F L D B2 R U2 F2
F L D B2 U2 F2 L'
F L D' R U2 D2 F2
F L D' R D2 U2 F2
F L D' R B2 U2 D
F L D' R B2 U2 D'
F L D' R B2 U2 D2
F L D' R B2 D U2
F L D' R B2 D' U2
F L D' R B2 D2 U2
F L D' R' B2 R2 U2
F L D' R2 B2 U2 L
F L D' B' R B' U2
F L D' B2 R U2 D
F L D' B2 R U2 D'
F L D' B2 R U2 D2
F L D' B2 R D U2
F L D' B2 R D' U2
F L D' B2 R D2 U2
F L D' B2 D R U2
F L D' B2 D' R U2
F L D' B2 D2 R U2
F L D2 R U R U
F2 L F' R U' L' U'
F' L F2 U' L' U' L'
F L B R U' L2 U'
F L B R U2 D F2
F L B R D U2 F2
F L B R D' B2 U2
F L B U2 D F2 L'
F L B D R U2 F2
F L B D U2 F2 L'
F L B D' R B2 U2
F L B D' B2 R U2
F L B' R U' L2 U'
F L B' R U2 D F2
F L B' R D U2 F2
F L B' R D' B2 U2
D' L B' U2 B L B'
F L B' U2 D F2 L'
F L B' D R U2 F2
F L B' D U2 F2 L'
F L B' D' R B2 U2
F L B' D' B2 R U2
F L B2 R U' L2 U'
F L B2 R U2 D F2
F L B2 R D U2 F2
F L B2 R D' B2 U2
F L B2 U2 D F2 L'
F L B2 D R U2 F2
F L B2 D U2 F2 L'
F L B2 D' R B2 U2
F L B2 D' B2 R U2
D' L' F' L' F2 R B'
D' L' F' L' F2 B' R
D' L' F' L' B' F2 R
F R L U D2 R2 U
F R L U' L2 U' D
F R L U' L2 U' D'
F R L U' L2 U' D2
F R L U' L2 D U'
F R L U' L2 D' U'
F R L U' L2 D2 U'
F R L U2 D F2 D
F R L U2 D F2 D'
F R L U2 D F2 D2
F R L U2 F D F2
F R L U2 F' D F2
F R L U2 F2 D F2
F R L D U2 F2 D
F R L D U2 F2 D'
F R L D U2 F2 D2
F R L D B U2 F2
F R L D B' U2 F2
F R L D B2 U2 F2
F R L D' B2 U2 D
F R L D' B2 U2 D'
F R L D' B2 U2 D2
F R L D' B2 D U2
F R L D' B2 D' U2
F R L D' B2 D2 U2
F R L D2 U R2 U
F R L B U' L2 U'
F R L B U2 D F2
F R L B D U2 F2
F R L B D' B2 U2
F R L B' U' L2 U'
F R L B' U2 D F2
F R L B' D U2 F2
F R L B' D' B2 U2
F R L B2 U' L2 U'
F R L B2 U2 D F2
F R L B2 D U2 F2
F R L B2 D' B2 U2
F' R U L' D2 R2 B2
F' R U L' D2 B2 R2
F' R U D2 B2 L' R'
F' R U D2 B2 R' L'
F' R U' L F2 U2 L2
F R U' L' U L2 U2
F R U' L' U' D2 R2
F' R U' F2 L R U2
F R U' L' D F2 U'
F' R U' F2 R L U2
F R U' L' D2 U' R2
F R D L U' L2 U'
F R D L U2 D F2
F R D L D U2 F2
F R D L D' B2 U2
F R D' L U' L2 U'
F R D' L U2 D F2
F R D' L D U2 F2
F R D' L D' B2 U2
F' R D2 U B2 L' R'
F' R D2 U B2 R' L'
F R D2 L U' L2 U'
F R D2 L U2 D F2
F R D2 L D U2 F2
F R D2 L D' B2 U2
D' R F L R B' U2
D' R F L B' R U2
D' R F R L B' U2
D R F L R U2 F2
D R F L U2 F2 L'
D R F R L U2 F2
D R F' L' D2 R2 B2
D R F' L' D2 B2 R2
D R F' D2 B2 L' R'
D R F' D2 B2 R' L'
F R B2 U' L' U' R'
D' R' F L R B' U2
D' R' F L B' R U2
D' R' F R L B' U2
D R' F L B R U2
F R2 L D R' U2 F2
F R2 L D' R' B2 U2
F R2 L D' B2 U2 L
D' R2 F L R B' U2
D' R2 F L B' R U2
D' R2 F R L B' U2
D R2 F L R B U2
D R2 F R L B U2
R' D F L R U2 F'
R' D F R L U2 F'
F2 U L F' R U2 F2
F2 U L F' U2 F2 L'
R2 D F L R U2 F'
R2 D F R L U2 F'
R D F L R U2 F'
R D F R L U2 F'
F2 U F' L R U2 F
F2 U F' R L U2 F
R' D' F L R B' U2
R' D' F L B' R U2
R' D' F R L B' U2
F2 U' L F' R B U2
R2 D' F L R B' U2
R2 D' F L B' R U2
R2 D' F R L B' U2
R D' F L R B' U2
F U' L' U L2 R U2
F U' L' U R L2 U2
R D' F L B' R U2
R D' F R L B' U2
F U' L' D F2 U' L'
U2 D' F L B' R' U2
F2 U' F' L R B U2
F2 U' F' R L B U2
D' U2 F L B' R' U2
R' F L R U' L2 U'
R' F L R U2 D F2
R' F L R D U2 F2
R' F L R D' B2 U2
D' F L R D B' U2
D' F L R D' B' U2
D' F L R D2 B' U2
D' F L R B' U2 D
D' F L R B' U2 D'
D' F L R B' U2 D2
D' F L R B' D U2
D' F L R B' D' U2
D' F L R B' D2 U2
D' F L R' B' R2 U2
R' F L U2 D F2 L'
R' F L D R U2 F2
R' F L D U2 F2 L'
D' F L D R B' U2
D' F L D B' R U2
R' F L D' R B2 U2
D' F L D' R B' U2
R' F L D' B2 R U2
D' F L D' B' R U2
D' F L D2 R B' U2
D2 F L D' R U2 F'
D' F L D2 B' R U2
D' F L B R B2 U2
D' F L B' R U2 D
D' F L B' R U2 D'
D' F L B' R U2 D2
D' F L B' R D U2
D' F L B' R D' U2
D' F L B' R D2 U2
D' F L B' D R U2
D' F L B' D' R U2
D' F L B' D2 R U2
R2 F L R U' L2 U'
R2 F L R U2 D F2
R2 F L R D U2 F2
R2 F L R D' B2 U2
D F L R U2 D F'
D F L R U2 D' F'
D F L R U2 D2 F'
D F L R U2 F' D
D F L R U2 F' D'
D F L R U2 F' D2
D F L R D U2 F'
D F L R D' U2 F'
D F L R D2 U2 F'
D F L R B U2 F'
D F L R B' U2 F'
D F L R B2 U2 F'
D F L R' B R2 U2
R2 F L U2 D F2 L'
R2 F L D R U2 F2
R2 F L D U2 F2 L'
R2 F L D' R B2 U2
R2 F L D' B2 R U2
U F L U' L2 B' U'
R F L R U' L2 U'
R F L R U2 D F2
R F L R D U2 F2
R F L R D' B2 U2
D F L B R U2 F'
D F L B' R U2 F'
D F L B2 R U2 F'
R F L U2 D F2 L'
R F L D R U2 F2
R F L D U2 F2 L'
R F L D' R B2 U2
R F L D' B2 R U2
R' F R L U' L2 U'
R' F R L U2 D F2
R' F R L D U2 F2
R' F R L D' B2 U2
D' F R L D B' U2
D' F R L D' B' U2
D' F R L D2 B' U2
D' F R L B' U2 D
D' F R L B' U2 D'
D' F R L B' U2 D2
D' F R L B' D U2
D' F R L B' D' U2
D' F R L B' D2 U2
D2 F R D L B' U2
D' F R' L B' R2 U2
R2 F R L U' L2 U'
R2 F R L U2 D F2
R2 F R L D U2 F2
R2 F R L D' B2 U2
D F R L U2 D F'
D F R L U2 D' F'
D F R L U2 D2 F'
D F R L U2 F' D
D F R L U2 F' D'
D F R L U2 F' D2
D F R L D U2 F'
D F R L D' U2 F'
D F R L D2 U2 F'
D F R L B U2 F'
D F R L B' U2 F'
D F R L B2 U2 F'
D F R D L U2 F'
D F R D' L U2 F'
D F R D2 L U2 F'
R F R L U' L2 U'
R F R L U2 D F2
R F R L D U2 F2
R F R L D' B2 U2
D F R B2 U2 F' R'
D F R' L B R2 U2
D2 F D L R B' U2
D2 F D L B' R U2
F D L R U' L2 U'
F D L R U2 D F2
F D L R D U2 F2
F D L R D' B2 U2
D2 F D R L B' U2
F D L U2 D F2 L'
F D L D R U2 F2
F D L D U2 F2 L'
F D L D' R B2 U2
F D L D' B2 R U2
D2 F D' L R U2 F'
D2 F D' R L U2 F'
D' F D2 L R U2 F'
D' F D2 R L U2 F'
F D R L U' L2 U'
F D R L U2 D F2
F D R L D U2 F2
F D R L D' B2 U2
D F D2 L R B' U2
D F D2 L B' R U2
D F D2 R L B' U2
D F B2 R U2 F' R2
D' F' L F2 U2 L2 F
D' F' L F2 B' U2 L2
D' F' L B' F2 U2 L2
D' F' L' D2 R2 F B2
D' F' L' D2 R2 B2 F
D' F' L' D2 F R2 B2
D' F' L' D2 F B2 R2
D' F' L' D2 B2 R2 F
D' F' L' D2 B2 F R2
B2 D F R U2 F' R2
F D' L R U' L2 U'
F D' L R U2 D F2
F D' L R D U2 F2
F D' L R D' B2 U2
F D' L U2 D F2 L'
F D' L D R U2 F2
F D' L D U2 F2 L'
F D' L D' R B2 U2
F D' L D' B2 R U2
F D' R L U' L2 U'
F D' R L U2 D F2
F D' R L D U2 F2
F D' R L D' B2 U2
D F' D2 B2 L' R' F
D F' D2 B2 L' F R'
D F' D2 B2 R' L' F
D' F2 L F' R B' U2
D' F2 L F' B' R U2
D' F2 L B' F' R U2
D F2 L F' R U2 F'
F D2 L R U' L2 U'
F D2 L R U2 D F2
F D2 L R D U2 F2
F D2 L R D' B2 U2
F D2 L U2 D F2 L'
F D2 L D R U2 F2
F D2 L D U2 F2 L'
F D2 L D' R B2 U2
F D2 L D' B2 R U2
F' D2 R U B2 L' R'
F' D2 R U B2 R' L'
F D2 R L U' L2 U'
F D2 R L U2 D F2
F D2 R L D U2 F2
F D2 R L D' B2 U2
F' D2 B2 L' R' D' F2
F' D2 B2 R' L' D' F2
F' D2 B2 R' D' L' F2
B2 F R U' L' U' R2
F B2 R U' L' U' R2
D B2 F R U2 F' R2
