B' L2 U' R' B2
B D L2 F2 R
B' L2 R U' R2 B2
B' L2 R U' B2 R2
B' L2 R2 U' R B2
B' L2 R2 U' B2 R
B' L2 U' R B2 R2
B' L2 U' R' B2 D
B' L2 U' R' B2 D'
B' L2 U' R' B2 D2
B' L2 U' R2 B2 R
B' L2 D' R2 U' R
B' L2 F U' R' B2
B' L2 F' U' R' B2
B' L2 F2 U' R' B2
B' R L2 U' R2 B2
B' R L2 U' B2 R2
B R D L2 F2 R
B R' D L2 F2 R
B' R' B2 D L2 F2
B' R' B2 D F2 L2
B' R2 L2 U' R B2
B' R2 L2 U' B2 R
L2 U2 F U B R
B R2 D L2 F2 R
B U B2 L2 U' R'
B' U' R' B2 D F2
B D L2 R F2 R
B D L2 R' F2 R
B D L2 R2 F2 R
B D L2 F2 R D
B D L2 F2 R D'
B D L2 F2 R D2
B D L2 F2 D R
B D L2 F2 D' R
B D L2 F2 D2 R
B D R L2 F2 R
B D R' L2 F2 R
B D R2 L2 F2 R
B' F L2 U' R' B2
F' B D L2 F2 R
F2 B D L2 F2 R
B F D L2 F2 R
F B D L2 F2 R
R B' L2 U' R' B
F' B' L2 U' R' B2
B' F' L2 U' R' B2
F2 B' L2 U' R' B2
D B' U' R' F2 B2
D B' U' R' B2 F2
F B' L2 U' R' B2
D B' U' F2 R' B2
B F' D L2 F2 R
B' F2 L2 U' R' B2
B F2 D L2 F2 R
B' L D' L R2 U' R
B' L D' R2 L U' R
B' L F L U' R' B2
B' L F' L U' R' B2
B' L F2 L U' R' B2
B' L' D' L' R2 U' R
B' L' D' R2 L' U' R
B' L' F U' R' F' B2
B' L' F U' R' B2 F'
B' L2 R U' R B2 R
B' L2 R U' R2 B2 D
B' L2 R U' R2 B2 D'
B' L2 R U' R2 B2 D2
B' L2 R U' B' R2 B'
B' L2 R U' B2 R2 D
B' L2 R U' B2 R2 D'
B' L2 R U' B2 R2 D2
B' L2 R D' R2 F2 U'
B' L2 R D' F2 R2 U'
B' L2 R F U' R2 B2
B' L2 R F U' B2 R2
B' L2 R F' U' R2 B2
B' L2 R F' U' B2 R2
B' L2 R F2 U' R2 B2
B' L2 R F2 U' B2 R2
B' L2 R' U' B2 D' R2
B' L2 R' D' R2 U' R2
B' L2 R2 U' R B2 D
B' L2 R2 U' R B2 D'
B' L2 R2 U' R B2 D2
B' L2 R2 U' R' B2 R2
B' L2 R2 U' B' R B'
B' L2 R2 U' B2 R D
B' L2 R2 U' B2 R D'
B' L2 R2 U' B2 R D2
B' L2 R2 U' B2 D R
B' L2 R2 U' B2 D' R
B' L2 R2 U' B2 D2 R
B' L2 R2 D' R2 U' R'
B' L2 U L U2 R' B2
B' L2 U L' U2 R' B2
B' L2 U L2 U2 R' B2
B' L2 U D2 F2 U2 R'
B' L2 U F U2 R' B2
B' L2 U F' U2 R' B2
B' L2 U F2 U2 R' B2
B' L2 U' L R' B2 L'
B' L2 U' L2 R' B2 L2
B' L2 U' R B' R2 B'
B' L2 U' R B2 R2 D
B' L2 U' R B2 R2 D'
B' L2 U' R B2 R2 D2
B' L2 U' R' L B2 L'
B' L2 U' R' L2 B2 L2
B' L2 U' R' B D B
B' L2 U' R' B D' B
B' L2 U' R' B D2 B
B' L2 U' R' B' D B'
B' L2 U' R' B' D' B'
B' L2 U' R' B' D2 B'
B' L2 U' R2 B' R B'
B' L2 U' R2 B2 R D
B' L2 U' R2 B2 R D'
B' L2 U' R2 B2 R D2
B' L2 U' R2 B2 D R
B' L2 U' R2 B2 D' R
B' L2 U' R2 B2 D2 R
B' L2 U' D R' D' B2
B' L2 U' D2 R' D2 B2
B' L2 U' F' R' F B2
B' L2 U' F' R' B2 F
B' L2 U' F2 R' F2 B2
B' L2 U' F2 R' B2 F2
B' L2 U' B2 U2 L U2
B' L2 U2 L U R' B2
B' L2 U2 L' U R' B2
B' L2 U2 L2 U R' B2
B' L2 U2 D L2 U R'
F' L2 U2 F U B R
F2 L2 U2 F U B R
F L2 U2 F U B R
B' L2 D U' R' D' B2
B' L2 D U2 L2 U R'
B' L2 D' R2 U' R D
B' L2 D' R2 U' R D'
B' L2 D' R2 U' R D2
B' L2 D' R2 U' D R
B' L2 D' R2 U' D' R
B' L2 D' R2 U' D2 R
B' L2 D' R2 D U' R
B' L2 D' R2 D' U' R
B' L2 D' R2 D2 U' R
B' L2 D' F R2 U' R
B' L2 D' F' R2 U' R
B' L2 D' F2 R2 U' R
B' L2 D2 U F2 U2 R'
B' L2 D2 U' R' D2 B2
B' L2 F R U' R2 B2
B' L2 F R U' B2 R2
B' L2 F R2 U' R B2
B' L2 F R2 U' B2 R
B' L2 F U' R B2 R2
B' L2 F U' R' B2 D
B' L2 F U' R' B2 D'
B' L2 F U' R' B2 D2
B' L2 F U' R2 B2 R
B' L2 F D' R2 U' R
B' L2 F' R U' R2 B2
B' L2 F' R U' B2 R2
B' L2 F' R2 U' R B2
B' L2 F' R2 U' B2 R
B' L2 F' U' R B2 R2
B' L2 F' U' R' B2 D
B' L2 F' U' R' B2 D'
B' L2 F' U' R' B2 D2
B' L2 F' U' R2 B2 R
B' L2 F' D' R2 U' R
B' L2 F2 R U' R2 B2
B' L2 F2 R U' B2 R2
B' L2 F2 R2 U' R B2
B' L2 F2 R2 U' B2 R
B' L2 F2 U' R B2 R2
B' L2 F2 U' R' B2 D
B' L2 F2 U' R' B2 D'
B' L2 F2 U' R' B2 D2
B' L2 F2 U' R2 B2 R
B' L2 F2 D' R2 U' R
B L2 F2 B2 U' R B2
B L2 F2 B2 U' B2 R
B2 L2 B U F U2 R'
B L2 B2 U L' U2 B2
B L2 B2 F2 U' R B2
B L2 B2 F2 U' B2 R
B' R L2 U' R B2 R
B' R L2 U' R2 B2 D
B' R L2 U' R2 B2 D'
B' R L2 U' R2 B2 D2
B' R L2 U' B' R2 B'
B' R L2 U' B2 R2 D
B' R L2 U' B2 R2 D'
B' R L2 U' B2 R2 D2
B' R L2 D' R2 F2 U'
B' R L2 D' F2 R2 U'
B' R L2 F U' R2 B2
B' R L2 F U' B2 R2
B' R L2 F' U' R2 B2
B' R L2 F' U' B2 R2
B' R L2 F2 U' R2 B2
B' R L2 F2 U' B2 R2
B R U B2 L2 U' R'
B' R U' R2 B2 D F2
B' R U' B2 R2 D F2
B R D L2 R F2 R
B R D L2 R' F2 R
B R D L2 R2 F2 R
B R D L2 F2 R D
B R D L2 F2 R D'
B R D L2 F2 R D2
B R D L2 F2 D R
B R D L2 F2 D' R
B R D L2 F2 D2 R
B R D R L2 F2 R
B R D R' L2 F2 R
B R D R2 L2 F2 R
B' R F L2 U' R2 B2
B' R F L2 U' B2 R2
B R F D L2 F2 R
B' R F' L2 U' R2 B2
B' R F' L2 U' B2 R2
B R F' D L2 F2 R
B' R F2 L2 U' R2 B2
B' R F2 L2 U' B2 R2
B R F2 D L2 F2 R
F' R B' L2 U' R' B
F2 R B' L2 U' R' B
F R B' L2 U' R' B
D R B' U' R' F2 B
D R B' U' R' B F2
D R B' U' F2 R' B
B' R B2 R2 D L2 F2
B' R B2 R2 D F2 L2
B R B2 L2 U' R' B2
B' R' L2 U' B2 D' R2
B' R' L2 D' R2 U' R2
B R' U B2 L2 U' R'
L2 U' B U' F U R
B R' D L2 R F2 R
B R' D L2 R' F2 R
B R' D L2 R2 F2 R
B R' D L2 F2 R D
B R' D L2 F2 R D'
B R' D L2 F2 R D2
B R' D L2 F2 D R
B R' D L2 F2 D' R
B R' D L2 F2 D2 R
B R' D R L2 F2 R
B R' D R' L2 F2 R
B R' D R2 L2 F2 R
B' R' F B2 D L2 F2
B' R' F B2 D F2 L2
B R' F D L2 F2 R
B' R' F' B2 D L2 F2
B' R' F' B2 D F2 L2
B R' F' D L2 F2 R
B' R' F2 B2 D L2 F2
B' R' F2 B2 D F2 L2
B R' F2 D L2 F2 R
L2 U2 D F U B R
B' R' B2 U L2 B2 U'
B' R' B2 U B2 L2 U'
B' R' B2 D L F2 L
B' R' B2 D L2 F2 D
B' R' B2 D L2 F2 D'
B' R' B2 D L2 F2 D2
B' R' B2 D F' L2 F'
B' R' B2 D F2 L2 D
B' R' B2 D F2 L2 D'
B' R' B2 D F2 L2 D2
B R' B2 L2 U' R' B2
B' R' B2 F D L2 F2
B' R' B2 F D F2 L2
B' R' B2 F' D L2 F2
B' R' B2 F' D F2 L2
B' R' B2 F2 D L2 F2
B' R' B2 F2 D F2 L2
L2 U2 D' F U B R
L2 U2 D2 F U B R
L2 U2 F L U B R
L2 U2 F L' U B R
L2 U2 F L2 U B R
B' R2 L2 U' R B2 D
B' R2 L2 U' R B2 D'
B' R2 L2 U' R B2 D2
B' R2 L2 U' R' B2 R2
B' R2 L2 U' B' R B'
B' R2 L2 U' B2 R D
B' R2 L2 U' B2 R D'
B' R2 L2 U' B2 R D2
B' R2 L2 U' B2 D R
B' R2 L2 U' B2 D' R
B' R2 L2 U' B2 D2 R
L2 U2 F U D B R
L2 U2 F U D' B R
L2 U2 F U D2 B R
L2 U2 F U B R D
L2 U2 F U B R D'
L2 U2 F U B R D2
L2 U2 F U B D R
L2 U2 F U B D' R
L2 U2 F U B D2 R
L2 U2 F U B' R B2
L2 U2 F U B2 R B'
B' R2 L2 D' R2 U' R'
L2 U2 F D U B R
L2 U2 F D' U B R
L2 U2 F D2 U B R
L2 U2 F B' U R B2
L2 U2 F B' U B2 R
L2 U2 F B2 U R B'
L2 U2 F B2 U B' R
B' R2 U' R B2 D F2
B R2 U B2 L2 U' R'
B' R2 U' B2 R D F2
B' R2 U' B2 D R F2
L2 U2 B' F U R B2
L2 U2 B' F U B2 R
B R2 D L2 R F2 R
B R2 D L2 R' F2 R
B R2 D L2 R2 F2 R
B R2 D L2 F2 R D
B R2 D L2 F2 R D'
B R2 D L2 F2 R D2
B R2 D L2 F2 D R
B R2 D L2 F2 D' R
B R2 D L2 F2 D2 R
B R2 D R L2 F2 R
B R2 D R' L2 F2 R
B R2 D R2 L2 F2 R
L2 U2 B2 F U R B'
L2 U2 B2 F U B' R
B R2 F D L2 F2 R
B' R2 F2 L2 U' B2 R'
B R2 F' D L2 F2 R
B R2 F2 D L2 F2 R
B' R2 B2 R D L2 F2
B' R2 B2 R D F2 L2
B' R2 B2 D L2 R F2
B' R2 B2 D R L2 F2
B' R2 B2 D R F2 L2
B R2 B2 L2 U' R' B2
L2 D U2 F U B R
B U L2 F2 B2 U' R
B U L2 B2 U L' U2
B U L2 B2 F2 U' R
B' U R' B2 D F2 L'
B U F B2 L2 U' R'
B U F' B2 L2 U' R'
B2 U B L2 U' R' B2
B U F2 B2 L2 U' R'
B U B L2 B U' R'
B2 U B' D L2 F2 R
B U B2 L2 U' R' D
B U B2 L2 U' R' D'
B U B2 L2 U' R' D2
B U B2 L2 U' D R'
B U B2 L2 U' D' R'
B U B2 L2 U' D2 R'
B U B2 L2 D U' R'
B U B2 L2 D' U' R'
B U B2 L2 D2 U' R'
B U B2 L2 F U' R'
B U B2 L2 F' U' R'
B U B2 L2 F2 U' R'
B U B2 U' R' D F2
B U B2 U' D R' F2
B U B2 U' D F2 R'
B U B2 D U' R' F2
B U B2 D U' F2 R'
B U B2 F L2 U' R'
B U B2 F' L2 U' R'
B U B2 F2 L2 U' R'
L2 D' U2 F U B R
B' U' L2 U' L2 R' B2
B' U' L2 U' R' L2 B2
B' U' L2 U' R' B2 L2
B' U' R B2 R2 D F2
B' U' R' U L2 U' B2
B' U' R' D F2 D' B2
B' U' R' F B2 D F2
B' U' R' F' B2 D F2
B' U' R' F2 B2 D F2
B' U' R' B D F2 B
B' U' R' B D B F2
B' U' R' B' D F2 B'
B' U' R' B' D B' F2
B' U' R' B2 U L2 U'
B' U' R' B2 D F2 D
B' U' R' B2 D F2 D'
B' U' R' B2 D F2 D2
B' U' R' B2 F D F2
B' U' R' B2 F' D F2
B' U' R' B2 F2 D F2
B' U' R2 B2 R D F2
B' U' R2 B2 D R F2
B' U' D R' F2 D' B2
B' U' D F2 R' D' B2
B' U' D F2 D' R' B2
B' U' F R' B2 D F2
B' U' F' R' B2 D F2
B' U' F2 R' B2 D F2
B2 U' B L2 U' R' B2
B2 U' B' D L2 F2 R
