B L B2 U2 B L U
B' L' F R U' D' F2
B' L' F R U2 R2 U
B' L' F R D' U' F2
B' L' F R D2 L2 U'
B L' F L2 R B2 U'
B L' F L2 B2 R U'
B L' F R L2 B2 U'
B L' F R B2 L2 U'
B L' F B2 L2 R U'
B L' F B2 R L2 U'
B L' B2 F L2 R U'
B L' B2 F R L2 U'
F2 L2 F L' B' R' U
L2 U2 F R B L U
B' U' R D' F2 B R'
B' U' R D' B R' F2
B' U' R D' B F2 R'
B' U2 R' B L B' U
B' U2 D2 R' B L U
L' F R B L B' U'
B' U2 B L B' R' U
L' F B L R B' U'
L' F B L B' R U'
L' F B R L B' U'
L2 F' L' F2 B' R' U
L2 F' L' B' R' F2 U
L2 F' L' B' F2 R' U
U2 F' B' L' R' F U'
U2 F' B' L' F R' U'
U2 F' B' R' L' F U'
B' D2 U2 R' B L U
L' B F L R B' U'
L' B F L B' R U'
L' B F R L B' U'
U2 B' R' F' L' F U'
D2 B' U2 R' B L U
U2 B' F' L' R' F U'
U2 B' F' L' F R' U'
U2 B' F' R' L' F U'
