D' L R' F2 L2 B'
D' L' R F2 B R2
D' L' R B R2 F2
D' L' R B F2 R2
D L' R B R2 F'
U2 L' D' R' F2 B'
U2 L' D' R' B' F2
U2 L' D' F2 R' B'
D' L' F2 R B R2
R2 U L' R' B R2
R2 U R' L' B R2
R2 U R' B L' R2
R2 U R' B R2 L'
D' R L' F2 B R2
D' R L' B R2 F2
D' R L' B F2 R2
D R L' B R2 F'
L' U' R2 U R B
D' R B L' R2 F2
D' R B L' F2 R2
D' R B R2 L' F2
D R B L' R2 F'
D R B R2 L' F'
D' R' L F2 L2 B'
U' R2 U L' R B
U' R2 U R L' B
U' R2 U R B L'
U R2 U L' R B'
U R2 U L' B' R
U R2 U R L' B'
L' D R B R2 F'
L' D' R F2 B R2
L' D' R B R2 F2
L' D' R B F2 R2
U2 D' L' R' F2 B'
U2 D' L' R' B' F2
U2 D' L' F2 R' B'
L' D' F2 R B R2
U2 D' R' L' F2 B'
U2 D' R' L' B' F2
D' U2 L' R' F2 B'
D' U2 L' R' B' F2
D' U2 L' F2 R' B'
D' U2 R' L' F2 B'
D' U2 R' L' B' F2
R2 L U L2 R' B R2
R2 L U R' L2 B R2
R2 L U R' B L2 R2
R2 L U R' B R2 L2
D' L R F2 L2 B R2
D' L R F2 B L2 R2
D' L R F2 B R2 L2
D' L R B L2 R2 F2
D' L R B L2 F2 R2
D' L R B R2 L2 F2
D' L R B R2 F2 L2
D' L R B F2 L2 R2
D' L R B F2 R2 L2
D L R B L2 R2 F'
D L R B R2 L2 F'
D L R B R2 F' L2
D' L R' F2 L2 D B'
D' L R' F2 L2 D' B'
D' L R' F2 L2 D2 B'
D' L R' F2 L2 B' D
D' L R' F2 L2 B' D'
D' L R' F2 L2 B' D2
D' L R' F2 B L2 B'
D' L R' F2 B' L2 B'
D' L R' F2 B2 L2 B'
D' L R' B F2 L2 B'
D' L R' B' F2 L2 B'
U' L R2 U L2 R B
U' L R2 U R L2 B
U' L R2 U R B L2
D' L R' B2 F2 L2 B'
U2 L R2 U L2 R B'
U2 L R2 U L2 B' R
U2 L R2 U R L2 B'
L' R B R' D' R' F2
L' R B R' D' F2 R'
L' R B R2 U' R' U
L' R B U' R U R
D' L F2 L2 R B R2
D' L F2 R L2 B R2
D' L F2 R B L2 R2
D' L F2 R B R2 L2
D' L B2 L2 F2 R B
L' R' U2 F' U R' U
R' L' U2 F' U R' U
D' L' R F B R2 F
D' L' R F2 B R2 D
D' L' R F2 B R2 D'
D' L' R F2 B R2 D2
D' L' R F2 B' R2 B2
D' L' R F2 B2 R2 B'
D' L' R B R' F2 R'
D' L' R B R2 F2 D
D' L' R B R2 F2 D'
D' L' R B R2 F2 D2
D L' R F B R2 F'
D' L' R B F R2 F
D' L' R B F2 R2 D
D' L' R B F2 R2 D'
D' L' R B F2 R2 D2
D' L' R B' R2 F2 B2
D' L' R B' R2 B2 F2
D L' R F' B R2 F'
B' L' R B R' D' F2
D' L' R B' F2 R2 B2
D' L' R B2 R2 F2 B'
D' L' R B2 R2 B' F2
D L' R F2 B R2 F'
D' L' R B2 F2 R2 B'
D L' R B R2 D F'
D L' R B R2 D' F'
D L' R B R2 D2 F'
D L' R B R2 F' D
D L' R B R2 F' D'
D L' R B R2 F' D2
D L' R B F R2 F'
D L' R B F' R2 F'
D L' R B F2 R2 F'
D' L' R' U2 F' U2 F'
U2 L' R' U' R' U B'
D L' R' U2 F' B2 U2
D L' R' U2 B2 F' U2
D' L' R' F D2 F B2
D' L' R' F D2 B2 F
D' L' R' F2 L2 B' L2
D' L' R' F2 U2 F U2
D L' R' F D2 F2 B2
D L' R' F D2 B2 F2
U2 L' U' R2 U R B'
U2 L' U' R2 U B' R
D' L' U2 R' F2 L' B'
D L' U2 B2 L F U2
U2 L' D R' D2 F2 B'
U2 L' D R' D2 B' F2
U2 L' D' R F2 R2 B'
U2 L' D' R F2 B' R2
U2 L' D' R B' R2 F2
U2 L' D' R B' F2 R2
U2 L' D' R' F2 D B'
U2 L' D' R' F2 D' B'
U2 L' D' R' F2 D2 B'
U2 L' D' R' F2 B' D
U2 L' D' R' F2 B' D'
U2 L' D' R' F2 B' D2
U2 L' D' R' B' F2 D
U2 L' D' R' B' F2 D'
U2 L' D' R' B' F2 D2
U2 L' D' R2 B' R F2
R L' B R' D' R' F2
R L' B R' D' F2 R'
R L' B R2 U' R' U
U2 L' D' F R' F B'
U2 L' D' F R' B' F
R L' B U' R U R
U2 L' D' F2 R B' R2
U2 L' D' F2 R' D B'
U2 L' D' F2 R' D' B'
U2 L' D' F2 R' D2 B'
U2 L' D' F2 R' B' D
U2 L' D' F2 R' B' D'
U2 L' D' F2 R' B' D2
U2 L' D' F2 R2 B' R
U2 L' D' F2 D R' B'
U2 L' D' F2 D' R' B'
U2 L' D' F2 D2 R' B'
U L' D' F2 D R' B
D' L' D2 R B R2 F'
U2 L' D2 R' D F2 B'
U2 L' D2 R' D B' F2
U2 L' D2 R' B' D F2
D L' D2 R F2 B R2
D L' D2 R B R2 F2
D L' D2 R B F2 R2
D L' D2 F2 R B R2
D' L' F R F B R2
D' L' F R B R2 F
D' L' F R B F R2
D' L' F R' F D2 B2
D L' F R B R2 F'
U2 L' F D' R' F2 B'
U2 L' F D' R' B' F2
