B' L D R2 U2 B2
B' L D' F2 U2 L2
B' D L R2 U2 B2
B' D R2 L U2 B2
B' D R2 U2 B2 R'
B' D' L F2 U2 L
B' D' F2 L U2 L
B' L R U F2 L' U
B' L U F2 U D B2
B' L U F2 U2 R2 U'
B' L U F2 D U B2
B' L U F2 D2 L2 U
B' L U' R2 U' D' L2
B' L U' R2 U2 F2 U
B' L U' R2 D' U' L2
B' L U' R2 D2 B2 U'
B' L U2 D B2 D2 L2
B' L U2 D' L2 D2 B2
B' L D R' U2 B2 L
B' L D R2 U2 B2 D
B' L D R2 U2 B2 D'
B' L D R2 U2 B2 D2
B' L D R2 D2 F2 U2
B' L D R2 F U2 B2
B' L D R2 F' U2 B2
B' L D R2 F2 U2 B2
B' L D U2 B2 D2 L2
B' L D F R2 U2 B2
B' L D F' R2 U2 B2
B' L D F2 R2 U2 B2
B' L D' R F2 U2 L2
B' L D' R' F2 U2 L2
B' L D' R2 F2 U2 L2
B' L D' U2 L2 D2 B2
B' L D' F U2 L2 B'
B' L D' F2 R U2 L2
B' L D' F2 R' U2 L2
B' L D' F2 R2 U2 L2
B' L D' F2 U2 L2 D
B' L D' F2 U2 L2 D'
B' L D' F2 U2 L2 D2
B' L D' F2 D2 R2 U2
B' L F' U' R2 B U'
F' L2 R2 B U' R' F
F' L2 R2 B U' F R'
B' L2 D L' R2 U2 B2
B' L2 D R2 L' U2 B2
B' L2 D' L' F2 R U2
B' L2 D' F2 U2 L2 R
B' L2 D' F2 U2 R L2
B' R L U F2 L' U
R2 U B' L U F2 U
R2 U B' L U2 D' L2
R2 U B' L D R2 U2
R2 U B' L D' U2 L2
R2 U B' D L R2 U2
R2 U B' D R2 L U2
R2 U B' D' L U2 L
F' R2 L2 B U' R' F
F' R2 L2 B U' F R'
F2 R2 U B' L U2 L'
R2 U2 F2 U' B' L U2
F2 R2 U' B' L U2 B
B R2 D2 B2 U' R F2
F' R2 B U B2 L U2
F' R2 B U' R' D2 F2
F' R2 B U' D2 R' F2
F' R2 B U' D2 F2 R'
F' R2 B D L2 U' R'
F' R2 B D2 U' R' F2
F' R2 B D2 U' F2 R'
B' U F2 U D B2 R'
B' U F2 D U B2 R'
R D' R F' U' L2 F
B' U' R2 D2 B2 U' R'
F2 U' B' L U' R2 U'
F2 U' B' L U2 D B2
F2 U' B' L D U2 B2
F2 U' B' L D' F2 U2
F2 U' B' U2 D B2 R'
F2 U' B' D L U2 B2
F2 U' B' D U2 B2 R'
F2 U' B' D' L F2 U2
F2 U' B' D' F2 L U2
F2 U2 R2 U B' L U2
B' U2 D R' B2 L R'
B' U2 D R' B2 R' L
B' U2 D B2 D2 L2 R'
B' U2 D B2 D2 R' L2
R2 D2 B2 U' R2 F' R
B' U2 B2 D R' B2 L
B' D L R' U2 B2 L
B' D L R2 U2 B2 D
B' D L R2 U2 B2 D'
B' D L R2 U2 B2 D2
B' D L R2 D2 F2 U2
B' D L R2 F U2 B2
B' D L R2 F' U2 B2
B' D L R2 F2 U2 B2
B' D L U2 B2 D2 L2
B' D L D2 F2 U2 L2
B' D L F R2 U2 B2
B' D L F' R2 U2 B2
B' D L F2 R2 U2 B2
B D L2 U' R' B2 L
B' D R' L U2 B2 L
B' D R' U2 B2 L R'
B' D R' U2 B2 R' L
B' D R2 L U2 B2 D
B' D R2 L U2 B2 D'
B' D R2 L U2 B2 D2
B' D R2 L D2 F2 U2
B' D R2 L F U2 B2
B' D R2 L F' U2 B2
B' D R2 L F2 U2 B2
B' D R2 U2 R B2 R'
B' D R2 U2 R' B2 R'
B' D R2 U2 R2 B2 R'
B' D R2 U2 B2 R' D
B' D R2 U2 B2 R' D'
B' D R2 U2 B2 R' D2
B' D R2 U2 B2 D R'
B' D R2 U2 B2 D' R'
B' D R2 U2 B2 D2 R'
B' D R2 D2 L F2 U2
B' D R2 D2 F2 L U2
B' D R2 F L U2 B2
B' D R2 F U2 B2 R'
B' D R2 F' L U2 B2
B' D R2 F' U2 B2 R'
B' D R2 F2 L U2 B2
B' D R2 F2 U2 B2 R'
B D R' B2 D L F2
B D R' B2 D F2 L
B' D U2 R' B2 L R'
B' D U2 R' B2 R' L
B' D U2 B2 D2 L2 R'
B' D U2 B2 D2 R' L2
B' D F L R2 U2 B2
B' D F R2 L U2 B2
B' D F R2 U2 B2 R'
B' D F' L R2 U2 B2
B' D F' R2 L U2 B2
B' D F' R2 U2 B2 R'
B' D F2 L R2 U2 B2
B' D F2 R2 L U2 B2
B' D F2 R2 U2 B2 R'
B2 D B L R2 F' U2
B2 D B R2 L F' U2
B2 D B R2 F' L U2
L2 F' R2 B U' R' F2
L2 F' R2 B U' F2 R'
B' D B2 D2 L2 R' F2
B' D B2 D2 L2 F2 R'
B' D B2 D2 R' L2 F2
B' D B2 D2 R' F2 L2
B' D B2 D2 F2 L2 R'
B' D B2 D2 F2 R' L2
B' D' L R F2 U2 L
B' D' L R' F2 U2 L
B' D' L R2 F2 U2 L
B' D' L U2 L D2 B2
B' D' L U2 D2 L B2
B' D' L D2 U2 L B2
B' D' L F2 R U2 L
B' D' L F2 R' U2 L
B' D' L F2 R2 U2 L
B' D' L F2 U2 L D
B' D' L F2 U2 L D'
B' D' L F2 U2 L D2
B' D' L F2 U2 D L
B' D' L F2 U2 D' L
B' D' L F2 U2 D2 L
B' D' L F2 D U2 L
B' D' L F2 D' U2 L
B' D' L F2 D2 U2 L
B' D' L' F2 L2 R U2
B' D' L' F2 R L2 U2
B' D' R L F2 U2 L
B' D' R F2 L U2 L
B' D' R' L F2 U2 L
B' D' R' F2 L U2 L
B' D' R2 L F2 U2 L
B' D' R2 F2 L U2 L
B' D' F L U2 L B'
B' D' F' L F' U2 L
B' D' F2 L R U2 L
B' D' F2 L R' U2 L
B' D' F2 L R2 U2 L
B' D' F2 L U2 L D
B' D' F2 L U2 L D'
B' D' F2 L U2 L D2
B' D' F2 L U2 D L
B' D' F2 L U2 D' L
B' D' F2 L U2 D2 L
B' D' F2 L D U2 L
B' D' F2 L D' U2 L
B' D' F2 L D2 U2 L
B' D' F2 R L U2 L
B' D' F2 R' L U2 L
B' D' F2 R2 L U2 L
B' D' F2 D2 L R2 U2
B' D' F2 D2 R2 L U2
B2 D' F2 B L U2 L
B2 D' B L F2 U2 L
B2 D' B F2 L U2 L
B' D2 L U' B2 R' U'
R2 F2 U B' L U2 L'
R2 F2 U' B' L U2 B
F2 D2 L2 U F' R F2
F' D2 L2 F' U R F2
L2 F2 D2 L2 U F' R
F' D2 F' L2 U R F
B D2 F2 D' R' B2 L
L2 B D R' F B2 L
L2 B D R' B2 F L
L2 B D F R' B2 L
L2 B D' R' F L2 B'
L2 B D' F L2 R' B'
L2 B D' F R' L2 B'
L B D R' B2 L F
U' B' L D R2 U2 B2
U' B' L D' F2 U2 L2
U2 B' L D R2 U2 B2
U2 B' L D' F2 U2 L2
U B' L D R2 U2 B2
U B' L D' F2 U2 L2
R B' L U F2 L' U
F2 B D2 L2 U R' F2
F2 B D2 L2 U F2 R'
B' F' L U' R2 B U'
F' B' L U' R2 B U'
U' B' D L R2 U2 B2
R' B' D L R2 U2 B'
U' B' D R2 L U2 B2
U' B' D R2 U2 B2 R'
R' B' D R2 L U2 B'
U' B' D' L F2 U2 L
U2 B' D L R2 U2 B2
U2 B' D R2 L U2 B2
U2 B' D R2 U2 B2 R'
U' B' D' F2 L U2 L
U2 B' D' L F2 U2 L
U B' D L R2 U2 B2
U2 B' D' F2 L U2 L
U B' D R2 L U2 B2
U B' D R2 U2 B2 R'
U B' D' L F2 U2 L
U B' D' F2 L U2 L
L2 B2 D' F L2 B' R'
B F2 D2 L2 U R' F2
B F2 D2 L2 U F2 R'
