L2 U R F2 D L2
D' R B2 D F2 L'
L2 U2 B2 U' R F2
L2 D R2 U L2 R'
L2 D R2 U R' L2
B2 U' R F2 D' B2
B2 U2 L2 U R F2
F2 D L2 D2 B2 R'
R F D F L2 B'
B2 D' L2 U' R B2
B2 D' L2 U' B2 R
R2 F2 D' R' B2 L
R F2 D L2 D2 B2
R F2 D' B2 D2 L2
D' B2 R D F2 L'
L B2 R' U' R2 F2
L B2 R' U' F2 R2
L2 R U F2 D L2 R2
L2 R U F2 D R2 L2
L R U B2 R' U' F2
L2 R U B2 U' F2 B2
L2 R U B2 U' B2 F2
R L U B2 R' U' F2
L2 R D L2 D' F2 B2
L2 R D L2 D' B2 F2
L2 R D R2 U L2 R2
L2 R D R2 U R2 L2
B2 L U2 L U R F2
L' R F2 U R B2 U'
L' R F2 U B2 R U'
L R F2 U B2 R' U'
L2 R F2 U B2 U' B2
R L F2 U B2 R' U'
L2 R F2 D L2 D' B2
R' L B2 R' U' R' F2
R' L B2 R' U' F2 R'
L R B2 R' U' R F2
R L B2 R' U' R F2
L2 R' U R2 F2 D L2
L2 R' U F2 R2 D L2
D' L B2 R D' F2 L'
U' L B2 R' U' R2 F2
U' L B2 R' U' F2 R2
U2 L B2 R' U' R2 F2
U2 L B2 R' U' F2 R2
U L B2 R' U' R2 F2
U L B2 R' U' F2 R2
L2 R' U2 B2 U' R2 F2
L2 R' U2 B2 U' F2 R2
L2 R' D R2 B2 U L2
L2 R' D B2 R2 U L2
B2 L' U2 L' U R F2
R2 L' F2 R' D L2 B2
R2 L' F2 R' D B2 L2
R L' F2 U R B2 U'
R L' F2 U B2 R U'
L R' B2 R' U' R' F2
L R' B2 R' U' F2 R'
R' L2 U R2 F2 D L2
L2 R2 U R' F2 D L2
R2 L2 U R' F2 D L2
R' L2 U F2 R2 D L2
L2 R2 U F2 R' D L2
R2 L2 U F2 R' D L2
L2 R2 U F2 D L2 R'
L2 R2 U F2 D R' L2
R2 L2 U F2 D L2 R'
R2 L2 U F2 D R' L2
R L2 U F2 D L2 R2
R L2 U F2 D R2 L2
R L2 U B2 U' F2 B2
R L2 U B2 U' B2 F2
R' L2 U2 B2 U' R2 F2
R' L2 U2 B2 U' F2 R2
R' L2 D R2 B2 U L2
L2 R2 D R2 U L2 R
L2 R2 D R2 U R L2
R2 L2 D R2 U L2 R
R2 L2 D R2 U R L2
R L2 D L2 D' F2 B2
R L2 D L2 D' B2 F2
R' L2 D B2 R2 U L2
R L2 D R2 U L2 R2
R L2 D R2 U R2 L2
D' L2 R' U' B2 L R2
D' L2 R' U' B2 R2 L
B' L2 R' F U R2 F
B' L2 R' F U F R2
B2 L2 R2 U R' F2 L'
B' L2 R2 F U R' F
B' L2 R2 F U F R'
B L2 R2 F' U F' R'
U' L2 U R F2 D L2
D' L2 U R2 U2 R' B2
U2 L2 U R F2 D L2
B2 L2 U R' F2 L' R2
B2 L2 U R' F2 R2 L'
L' R2 F2 R' D L2 B2
L' R2 F2 R' D B2 L2
U L2 U R F2 D L2
F2 L2 U B2 U' R' B2
D' L2 U' R' B2 L R2
D' L2 U' R' B2 R2 L
B2 L2 U' R F2 D2 B2
R L2 F2 U B2 U' B2
R L2 F2 D L2 D' B2
D' L2 U' B2 D2 L2 R
D' L2 U' B2 D2 R L2
U' L2 U2 B2 U' R F2
U2 L2 U2 B2 U' R F2
B L2 U2 B U' R F2
B' L2 D R2 F U R'
U' L2 D R2 U L2 R'
U' L2 D R2 U R' L2
U2 L2 D R2 U L2 R'
U2 L2 D R2 U R' L2
U L2 U2 B2 U' R F2
B L2 D R2 F' U R'
U L2 D R2 U L2 R'
U L2 D R2 U R' L2
D L2 D' R F2 D' B2
L2 U L R F2 D L2
D L2 D2 R B2 D F2
L2 U L' R F2 D L2
R U L B2 R' U' F2
D L2 D2 B2 R D F2
D L2 D2 B2 D R F2
B' L2 F U F' R F2
L2 U L2 R F2 D L2
L2 U R L F2 D L2
L2 U R L' F2 D L2
L2 U R L2 F2 D L2
L2 U R U B2 U' F2
L2 U R D L2 D' F2
L2 U R F D F L2
L2 U R F' D L2 F'
L2 U R F' D F' L2
L2 U R F2 L D L2
L2 U R F2 L' D L2
L2 U R F2 L2 D L2
L2 U R F2 U B2 U'
L2 U R F2 D L2 D
L2 U R F2 D L2 D'
L2 U R F2 D L2 D2
L2 U R' F2 R2 D L2
L2 U R2 F2 R' D L2
L2 U R2 F2 D L2 R'
L2 U R2 F2 D R' L2
L2 U D L2 D' R F2
L2 U D' R D F2 L'
B' R U' L2 F U F
B2 R U' L2 U L2 F2
B2 R U' L2 U F2 L2
R2 U F2 D' R' B2 L
F2 R D L2 D2 B2 R'
D' R D F2 D' L' B2
D' R D F2 D' B2 L'
L2 U B2 U' R F2 B2
L2 U B2 U' R B2 F2
L2 U B2 U' B2 R F2
L U B2 R' U' R2 F2
L U B2 R' U' F2 R2
R U B2 U' F2 D' B2
R U B2 U2 L2 U F2
R U B2 D' L2 U' B2
B2 R D' B2 D L2 F2
B2 R D' B2 D F2 L2
U' R F D F L2 B'
U2 R F D F L2 B'
B R F D' F L' B2
B R F D' F B2 L'
B R F D' B2 F L'
U R F D F L2 B'
R U' L2 U F2 D L2
R U' L2 U2 B2 U' F2
R U' L2 D R2 U L2
B' R F2 U' L2 F U
U' R F2 D L2 D2 B2
B2 R F2 U' L2 U L2
U' R F2 D' B2 D2 L2
D' R F2 B2 D L' F2
U2 R F2 D L2 D2 B2
