L' R U2 R U' R'
R L' U2 R U' R'
D2 L2 R U' L U2
D L2 R U B2 R'
D2 L2 R B2 U R'
D2 L2 B2 R U R2
D2 R L2 U' L U2
D R L2 U B2 R'
D2 R L2 B2 U R'
D' R U' L' F2 U2
D R U' L' U2 B2
D' R U' F2 U2 R
R U' L' U' R U'
R U2 R U L' U2
R U2 R F2 U' R
L2 D R U B2 R'
L D2 L2 R U R
L D2 R L2 U R
U2 F2 L' R2 U' R'
U2 F2 R2 L' U' R'
D' L R U D2 R2 B2
D' L R U D2 B2 R2
D' L R U' L2 F2 U2
D' L R U' F2 L2 U2
D L R U B2 D2 R2
D L R U' L2 U2 B2
D2 L R D' L B2 U
D' L R D' L2 B2 U
D2 L R D2 L U R2
L2 R U R' D B2 R'
D' L R D' B2 L2 U
D' L R D2 U R2 B2
D' L R D2 U B2 R2
L2 R U B2 R' D B2
L2 R U' L U' R U'
L R U' L2 U' R U'
R L U' L2 U' R U'
L' R U2 R U' R' D
L' R U2 R U' R' D'
L' R U2 R U' R' D2
L' R U2 R U' D R'
L' R U2 R U' D' R'
L' R U2 R U' D2 R'
L' R U2 R D U' R'
L' R U2 R D' U' R'
L' R U2 R D2 U' R'
L' R U2 R F U' R'
L' R U2 R F' U' R'
L' R U2 R F2 U' R'
L' R U2 D R U' R'
L2 R U2 R U L U2
L' R U2 D' R U' R'
L R U2 R U L2 U2
L R U2 R U' D2 R2
L R U2 R D F2 U'
L R U2 R D2 U' R2
L' R U2 D2 R U' R'
R L U2 R U L2 U2
R L U2 R U' D2 R2
L R U2 D R F2 U'
R L U2 R D F2 U'
R L U2 R D2 U' R2
L R U2 D2 R U' R
R L U2 D R F2 U'
R L U2 D2 R U' R
L' R D U2 R U' R'
L R D U2 R F2 U'
R L D U2 R F2 U'
L' R D' U2 R U' R'
R' L D' B2 L U F2
L R D' B2 U2 R U'
R L D' B2 U2 R U'
L' R D2 U2 R U' R'
L R D2 U2 R U' R
R L D2 U2 R U' R
F2 L D R F2 L' B2
F2 L D R F2 B2 L'
F2 L D R B2 F2 L'
U2 L D F2 L' U' B2
D2 L D' L R B2 U
F2 L D B2 R F2 L'
D2 L D' L B2 R U
D' L D' L2 R B2 U
D' L D' L2 B2 R U
D2 L D' R L B2 U
D' L D' R L2 B2 U
D' L D' R B2 L2 U
D' L D' B2 L2 R U
D' L D' B2 R L2 U
D2 L D2 L R U R
B' L D2 L2 R U R
D' L D2 R U R B2
D' L D2 R U B2 R
D2 L D2 R L U R
B2 L D2 L2 R U R
B' L D2 R L2 U R
B2 L D2 R L2 U R
B L D2 L2 R U R
B L D2 R L2 U R
L R F2 L' F2 U R
R L F2 L' F2 U R
L' R B U2 R U' R'
L' R B' U2 R U' R'
L' R B2 U2 R U' R'
L2 R B2 U R' D B2
L2 R B2 U2 R U' R2
R L' U2 R U' R' D
R L' U2 R U' R' D'
R L' U2 R U' R' D2
R L' U2 R U' D R'
R L' U2 R U' D' R'
R L' U2 R U' D2 R'
R L' U2 R D U' R'
R L' U2 R D' U' R'
R L' U2 R D2 U' R'
R L' U2 R F U' R'
R L' U2 R F' U' R'
R L' U2 R F2 U' R'
R L' U2 D R U' R'
R L' U2 D' R U' R'
R L' U2 D2 R U' R'
D L' R U B2 D' R2
B' L' R U2 R U' R'
B2 L' R U2 R U' R'
B L' R U2 R U' R'
R L' D U2 R U' R'
F2 L' R2 U' R' D' L2
F2 L' R2 U' D' L2 R'
F2 L' R2 U' D' R' L2
F2 L' R2 U2 F2 U R'
U2 L' R2 U2 R' U R
F2 L' R2 D' U' L2 R'
F2 L' R2 D' U' R' L2
R L' D' U2 R U' R'
D2 L' U L' R U L
L R' D' B2 L U F2
D2 L' U R L' U L
U' L' U R U2 R U'
U' L' U D R U B2
U' L' U D2 L2 R U
U' L' U D2 R L2 U
R L' D2 U2 R U' R'
U' L' U' R2 U2 R' U
U' L' D U R U B2
U' L' D' F2 U' L' U'
R L' B U2 R U' R'
U' L' D2 U L2 R U
U' L' D2 U R L2 U
R L' B' U2 R U' R'
L2 R' B2 L R2 U R
L2 R' B2 R2 L U R
R L' B2 U2 R U' R'
R L2 U R' D B2 R'
R L2 U B2 R' D B2
R L2 U' L U' R U'
D' L' F2 U F2 R U
U' L' F2 U' L' R2 U'
U' L' F2 U' R2 L' U'
R L2 U2 R U L U2
D' L2 R U D2 B2 R'
D2 L2 R U B2 R' B2
D2 L2 R U' L U2 D
D2 L2 R U' L U2 D'
D2 L2 R U' L U2 D2
D2 L2 R U' L D U2
D2 L2 R U' L D' U2
D2 L2 R U' L D2 U2
D' L2 R U' L F2 U2
D2 L2 R U' D L U2
D2 L2 R U' D' L U2
D2 L2 R U' D2 L U2
D' L2 R U' F2 L U2
D2 L2 R D U' L U2
D2 L2 R D B2 U R'
D2 L2 R D' U' L U2
D2 L2 R D' B2 U R'
D2 L2 R D2 U' L U2
D' L2 R D2 U B2 R'
D L2 R U R B2 R'
D L2 R U R' B2 R'
D2 L2 R D2 B2 U R'
D L2 R U R2 B2 R'
D L2 R U B2 R' D
D L2 R U B2 R' D'
D L2 R U B2 R' D2
D L2 R U B2 D R'
D L2 R U B2 D' R'
D L2 R U B2 D2 R'
D L2 R U' L U2 B2
D2 L2 R B2 U R' D
D2 L2 R B2 U R' D'
D2 L2 R B2 U R' D2
D2 L2 R B2 U D R'
D2 L2 R B2 U D' R'
D2 L2 R B2 U D2 R'
D2 L2 R B2 D U R'
D2 L2 R B2 D' U R'
D2 L2 R B2 D2 U R'
D L2 R B U B R'
D2 L2 R' B2 R2 U R
D2 L2 U' L U R U
D L2 U B2 R' D' F2
D2 L2 D R U' L U2
D2 L2 D R B2 U R'
B' L2 D R U B2 R'
R' L2 B2 L R2 U R
B2 L2 D R U B2 R'
B L2 D R U B2 R'
R' L2 B2 R2 L U R
D2 L2 D B2 R U R2
D2 L2 D' R U' L U2
D2 L2 D' R B2 U R'
R L2 B2 U R' D B2
R L2 B2 U2 R U' R2
D2 L2 D' B2 R U R2
D2 L2 D2 R U' L U2
D' L2 D2 R U B2 R'
D2 L2 D2 R B2 U R'
D2 L2 D2 B2 R U R2
R2 U L' U R' U L
L' U R F2 L' U L
D2 L2 B R B U R'
D2 L2 B' R B' U R'
D2 L2 B2 R U R2 D
D2 L2 B2 R U R2 D'
D2 L2 B2 R U R2 D2
D2 L2 B2 R D B2 U
D2 L2 B2 R B U R2
D2 L2 B2 R B' U R2
D2 L2 B2 R B2 U R2
D2 L2 B2 U R' D' F2
D2 L2 B2 D R U R2
L2 U D B2 R' D' F2
D2 L2 B2 D' R U R2
D2 L2 B2 D2 R U R2
R' U D' F2 R D B2
D' R L U D2 R2 B2
D' R L U D2 B2 R2
D' R L U' L2 F2 U2
D' R L U' F2 L2 U2
D2 R L D' L B2 U
L' U D2 L2 R U L2
D2 R L D2 L U R2
D' R L D' L2 B2 U
L' U D2 R L2 U L2
D' R L D' B2 L2 U
D' R L D2 U R2 B2
D' R L D2 U B2 R2
D R L U B2 D2 R2
D R L U' L2 U2 B2
B' R L' U2 R U' R'
B2 R L' U2 R U' R'
D R L' U B2 D' R2
B R L' U2 R U' R'
D2 R L2 U B2 R' B2
D2 R L2 U' L U2 D
D2 R L2 U' L U2 D'
D2 R L2 U' L U2 D2
D2 R L2 U' L D U2
D2 R L2 U' L D' U2
D2 R L2 U' L D2 U2
D2 R L2 U' D L U2
D2 R L2 U' D' L U2
D2 R L2 U' D2 L U2
D' R L2 U D2 B2 R'
D' R L2 U' L F2 U2
D' R L2 U' F2 L U2
D2 R L2 D U' L U2
D2 R L2 D B2 U R'
D2 R L2 D' U' L U2
D2 R L2 D' B2 U R'
D2 R L2 D2 U' L U2
D2 R L2 D2 B2 U R'
D' R L2 D2 U B2 R'
D R L2 U R B2 R'
D R L2 U R' B2 R'
D R L2 U R2 B2 R'
D R L2 U B2 R' D
D R L2 U B2 R' D'
D R L2 U B2 R' D2
D R L2 U B2 D R'
D R L2 U B2 D' R'
D R L2 U B2 D2 R'
D R L2 U' L U2 B2
D2 R L2 B2 U R' D
D2 R L2 B2 U R' D'
D2 R L2 B2 U R' D2
D2 R L2 B2 U D R'
D2 R L2 B2 U D' R'
D2 R L2 B2 U D2 R'
D2 R L2 B2 D U R'
D2 R L2 B2 D' U R'
D2 R L2 B2 D2 U R'
D R L2 B U B R'
D R U L2 B2 L2 R'
D R U L2 B2 R' L2
D2 R U' L' U L' U
D' R U' L F2 L2 U2
D' R U' L' U2 D2 B2
D' R U' L' D2 U2 B2
D' R U' L' F2 U2 D
D' R U' L' F2 U2 D'
D' R U' L' F2 U2 D2
D' R U' L' F2 D U2
D' R U' L' F2 D' U2
D' R U' L' F2 D2 U2
B' R U' L' U' R U'
D R U F2 R F2 B2
D R U F2 R B2 F2
D' R U' L2 F2 L U2
D R U F2 B2 R F2
B2 R U' L' U' R U'
D2 R U' D L' F2 U2
D2 R U' D F2 U2 R
D R U B2 U2 L' U2
D2 R U' D' L' U2 B2
D R U B2 F2 R F2
D R U' L' U2 B2 D
D R U' L' U2 B2 D'
D R U' L' U2 B2 D2
D R U' L' D2 F2 U2
D' R U' D2 L' U2 B2
D R U' L' F U2 B2
D R U' L' F' U2 B2
D R U' L' F2 U2 B2
B R U' L' U' R U'
D R U' L2 U2 B2 R'
D' R U' F2 L U2 R
D' R U' F2 L' U2 R
D' R U' F2 L2 U2 R
D' R U' F2 U2 R D
D' R U' F2 U2 R D'
D' R U' F2 U2 R D2
D' R U' F2 U2 D R
D' R U' F2 U2 D' R
D' R U' F2 U2 D2 R
D' R U' F2 D U2 R
D' R U' F2 D' U2 R
D' R U' F2 D2 U2 R
D R U' D2 L' F2 U2
D R U' D2 F2 U2 R
F2 R U' F2 L' R U
F2 R U' F2 R L' U
D R U' F2 U2 R B2
D R U' F2 U2 B2 R
B' R U2 R U L' U2
B' R U2 R F2 U' R
B2 R U2 R U L' U2
B2 R U2 R F2 U' R
B R U2 R U L' U2
B R U2 R F2 U' R
D R U2 F2 U' R B2
D R U2 F2 U' B2 R
D2 R D U' L' F2 U2
D2 R D U' F2 U2 R
D R D L2 U' L U2
D R D L2 B2 U R'
D2 R D' L2 U B2 R'
D' R D' L2 U' L U2
D' R D' L2 B2 U R'
D2 R D' U' L' U2 B2
D' R D2 L2 U B2 R'
D' R D2 U' L' U2 B2
D R D2 U' L' F2 U2
D R D2 U' F2 U2 R
R U' L' U' R U' D
R U' L' U' R U' D'
R U' L' U' R U' D2
R U' L' U' R D U'
R U' L' U' R D' U'
R U' L' U' R D2 U'
R U' L' U' D R U'
R U' L' U' D' R U'
R U' L' U' D2 R U'
R U' L' D U' R U'
R U' L' D' U' R U'
R U' L' D2 U' R U'
R U' L' F2 U L' U
F2 R F2 L' R U R'
F2 R F2 R L' U R'
U R F2 L' U L R
U R F2 L' U R L
D2 R B L2 U' L U2
D2 R B L2 B2 U R'
D' R B U' L' F2 U2
D' R B U' F2 U2 R
L' U' R2 D B2 L U'
D R B U' L' U2 B
D2 R B' L2 U' L U2
D2 R B' L2 B2 U R'
D' R B' U' L' F2 U2
D' R B' U' F2 U2 R
D2 R B2 L2 U' L U2
D2 R B2 L2 B2 U R'
R U' D L' U' R U'
D' R B2 U' L' F2 U2
D' R B2 U' F2 U2 R
R U' D' L' U' R U'
R U' D2 L' U' R U'
D2 R' L2 B2 R2 U R
D2 R' U D' F2 R B2
D2 R' U D' F2 B2 R
D2 R' U D' B2 F2 R
D R' U B2 D' F2 R
R U' F2 U L' U R
D2 R' D' U F2 R B2
D2 R' D' U F2 B2 R
D2 R' D' U B2 F2 R
U2 R' D' R' U' F2 R
U R' D' F2 R D B2
R U2 R U L' U2 D
R U2 R U L' U2 D'
R U2 R U L' U2 D2
R U2 R U L' D U2
R U2 R U L' D' U2
R U2 R U L' D2 U2
R U2 R U D L' U2
R U2 R U D' L' U2
R U2 R U D2 L' U2
R U2 R U' F2 R F2
R U2 R D U L' U2
R U2 R D F2 U' R
R U2 R D' U L' U2
R U2 R D' F2 U' R
R U2 R D2 U L' U2
R U2 R D2 F2 U' R
R U2 R F2 U' R D
R U2 R F2 U' R D'
R U2 R F2 U' R D2
R U2 R F2 U' D R
R U2 R F2 U' D' R
R U2 R F2 U' D2 R
R U2 R F2 D U' R
R U2 R F2 D' U' R
R U2 R F2 D2 U' R
R2 U2 R' U' L' U2 L
L' U2 R2 U2 R' U R'
R U2 R' F2 R2 U' R'
R U2 R2 F2 R' U' R2
R' U2 D' R' U' F2 R
R U2 D R U L' U2
R U2 D R F2 U' R
L U2 D F2 L' U' B2
R U2 D' R U L' U2
R U2 D' R F2 U' R
F2 R2 L' U' R' D' L2
F2 R2 L' U' D' L2 R'
F2 R2 L' U' D' R' L2
F2 R2 L' U2 F2 U R'
U2 R2 L' U2 R' U R
R U2 D2 R U L' U2
F2 R2 L' D' U' L2 R'
F2 R2 L' D' U' R' L2
R U2 D2 R F2 U' R
U2 R2 U L' U R' U
L' U2 F2 L' R2 U' R2
L' U2 F2 R2 L' U' R2
U2 R2 U' R D' F2 R
U2 R2 U' F2 R D' F2
R U2 F2 U2 L' U R
U2 R2 U2 R' U' L' U2
F2 R2 U2 F2 R U R2
F2 R2 D' L' U' L' R'
F2 R2 D' L' U' R' L'
L' D L' R U B2 R'
R D L' U2 R U' R'
F R2 F L' B U' R
L' D R L' U B2 R'
L' D R U B2 D' R2
F R2 F B L' U' R
L2 D R U R B2 R'
L2 D R U R' B2 R'
L2 D R U R2 B2 R'
L2 D R U B2 R' D
L2 D R U B2 R' D'
L2 D R U B2 R' D2
L2 D R U B2 D R'
L2 D R U B2 D' R'
L2 D R U B2 D2 R'
L2 D R U' L U2 B2
L2 D R B U B R'
L D R U B2 D R2
U2 R2 F2 U' R D' F2
U2 R2 F2 U2 R' U R2
L D R U2 F2 U' B2
L D R D L2 U R2
F R2 B F L' U' R
L2 D U B2 R' D' F2
R D U' L' U' R U'
U' D L' U R U B2
R D U2 R U L' U2
R D U2 R F2 U' R
L D U2 F2 L' U' B2
D2 U R' D' F2 R B2
D2 U R' D' F2 B2 R
D2 U R' D' B2 F2 R
D U R' B2 D' F2 R
U D R' B2 D' F2 R
U2 D F2 L' U' R B2
U2 D F2 L' U' B2 R
R D' L' U2 R U' R'
L2 D' R U D2 B2 R'
L2 D' R U' L F2 U2
L2 D' R U' F2 L U2
L2 D' R D2 U B2 R'
L D' R D' L2 U R2
D U B2 R' D' F2 R
L D' R B2 U D2 B2
L D' R B2 U' F2 U2
L D' R B2 D' L2 U
L D' R B2 D2 U B2
U D B2 R' D' F2 R
D2 U' L' U L' R U
D2 U' L' U R L' U
R' D' U F2 R D B2
D' U' L' F2 U' L' U'
U' D' L' F2 U' L' U'
D U' L' U R U B2
R' D' U2 R' U' F2 R
R D' U' L' U' R U'
R D' U2 R U L' U2
R D' U2 R F2 U' R
L' D' F2 U F2 R U
R' D' B U F2 R B
D' U' F2 U' L' U' R
U' D' F2 U' L' U' R
L D' B2 R U D2 B2
L D' B2 R U' F2 U2
L D' B2 R D' L2 U
L D' B2 R D2 U B2
L D' B2 D' L2 R U
L D' B2 D' R L2 U
L D' B2 D2 R U B2
L' D2 L2 R U D2 R2
L' D2 L2 R U' L2 U2
L' D2 L2 R D' B2 U
L' D2 L2 R D2 U R2
L' D2 L2 D' R B2 U
L' D2 L2 D' B2 R U
L' D2 L2 D2 R U R
L2 D2 L2 R U' L' U2
R D2 L' U2 R U' R'
L' D2 R L2 U D2 R2
L' D2 R L2 U' L2 U2
L' D2 R L2 D' B2 U
L' D2 R L2 D2 U R2
U' D2 L' U L' R U
U' D2 L' U R L' U
L D2 L2 R U R D
L D2 L2 R U R D'
L D2 L2 R U R D2
L D2 L2 R U D R
L D2 L2 R U D' R
L D2 L2 R U D2 R
L D2 L2 R D U R
L D2 L2 R D' U R
L D2 L2 R D2 U R
L D2 L2 R B U R
L D2 L2 R B' U R
L D2 L2 R B2 U R
L2 D2 R L2 U' L' U2
L2 D2 R U D' B2 R'
L D2 L2 D R B2 U
L D2 L2 D B2 R U
L2 D2 R D' U B2 R'
L D2 L2 B R U R
L D2 L2 B' R U R
L D2 L2 B2 R U R
L2 D2 R B2 L2 U R'
L D2 R L2 U R D
L D2 R L2 U R D'
L D2 R L2 U R D2
L D2 R L2 U D R
L D2 R L2 U D' R
L D2 R L2 U D2 R
L D2 R L2 D U R
L D2 R L2 D' U R
L D2 R L2 D2 U R
L D2 R L2 B U R
L D2 R L2 B' U R
L D2 R L2 B2 U R
L D2 R U R D' B2
L D2 R U D' R B2
L D2 R U D' B2 R
