F2 R D L2 B U'
F2 R D B L2 U'
F2 R D2 B U' F2
F2 R B U B U2
F2 D L2 R B U'
F2 D R L2 B U'
F2 D R B L2 U'
F2 D2 R B U' F2
F2 L R D L2 B U'
F2 L R D B L2 U'
F2 L R D2 B U' F2
F2 L R B U B U2
F2 L D L2 R B U'
F2 L D R L2 B U'
F2 L D R B L2 U'
F2 L D2 R B U' F2
F2 L' R D L2 B U'
F2 L' R D B L2 U'
F2 L' R D2 B U' F2
F2 L' R B U B U2
D2 L' R' F' B2 U F'
D2 L' R' B2 F' U F'
R' L' D2 F' B2 U F'
L' R' D2 F' B2 U F'
B L' U D R2 F' L'
R' L' D2 B2 F' U F'
L' R' D2 B2 F' U F'
D L' U2 L' B' U' R2
R' L' F' D' R2 B U
L' R' F' D' R2 B U
F2 L' D L2 R B U'
F2 L' D R L2 B U'
F2 L' D R B L2 U'
B L' D U R2 F' L'
F2 L' D2 R B U' F2
D2 L' F' B2 U F' L'
D2 L' B2 R' F' U F'
D2 L' B2 U F' L' F'
D2 L' B2 F' U F' L'
F2 L2 R D L2 B U'
F2 L2 R D B L2 U'
F2 L2 R D2 B U' F2
F2 L2 R B U B U2
D L2 U2 L F U R2
F2 L2 D L2 R B U'
F2 L2 D R L2 B U'
F2 L2 D R B L2 U'
F2 L2 D2 R B U' F2
F2 R L D L2 B U'
F2 R L D B L2 U'
F2 R L D2 B U' F2
F2 R L B U B U2
F2 R L' D L2 B U'
F2 R L' D B L2 U'
F2 R L' D2 B U' F2
F2 R L' B U B U2
F2 R L2 D L2 B U'
F2 R L2 D B L2 U'
F2 R L2 D2 B U' F2
F2 R L2 B U B U2
F2 R U B2 U' B' U'
B2 R U' F2 B R U'
B2 R U' B F2 R U'
F2 R U2 D' R2 F' U
F2 R D L' B L' U'
F2 R D L2 D B U'
F2 R D L2 D' B U'
F2 R D L2 D2 B U'
F2 R D L2 B U' D
F2 R D L2 B U' D'
F2 R D L2 B U' D2
F2 R D L2 B D U'
F2 R D L2 B D' U'
F2 R D L2 B D2 U'
F2 R D B L2 U' D
F2 R D B L2 U' D'
F2 R D B L2 U' D2
F2 R D B L2 D U'
F2 R D B L2 D' U'
F2 R D B L2 D2 U'
F2 R D B U' D F2
F2 R D B D U' F2
F2 R D B' L2 B2 U'
F2 R D' U2 R2 F' U
F2 R D' B U' D' F2
F2 R D' B U2 R2 U
F2 R D' B D' U' F2
F2 R D' B D2 L2 U'
F2 R D2 L B U' F2
F2 R D2 L' B U' F2
F2 R D2 L2 B U' F2
F2 R D2 B L U' F2
F2 R D2 B L' U' F2
F2 R D2 B L2 U' F2
F2 R D2 B U' F2 D
F2 R D2 B U' F2 D'
F2 R D2 B U' F2 D2
F2 R D2 B D' L2 U'
F2 R B L U B U2
B R F2 B R U' F'
F2 R B L' U B U2
F2 R B L2 U B U2
F2 R B U D B U2
F2 R B U D' B U2
F2 R B U D2 B U2
F2 R B U B U2 D
F2 R B U B U2 D'
F2 R B U B U2 D2
F2 R B U B D U2
F2 R B U B D' U2
F2 R B U B D2 U2
F2 R B U' R2 F' R2
F2 R B U2 R2 U F'
F2 R B D U B U2
F2 R B D' U B U2
F2 R B D2 U B U2
B R B F2 R U' F'
F2 R B' L2 B2 U' F
F2 R B' U' D L2 F
F2 R B' D U' L2 F
D2 R' L' F' B2 U F'
D2 R' L' B2 F' U F'
F2 R' B R2 B U' F'
D2 R' B2 L' F' U F'
D' R2 D2 L' F U R2
F2 U B2 U' R B U'
R' D2 L' F' B2 U F'
R' D2 L' B2 F' U F'
R2 D2 L' F B2 U F
R2 D2 L' B2 F U F
B2 U' F2 R B U' L
B2 U' F2 B R U' L
L' D2 R' F' B2 U F'
L' D2 R' B2 F' U F'
B2 U' B F2 R U' L
L' D2 F' B2 U F' L'
R' D2 B2 L' F' U F'
L' D2 B2 R' F' U F'
L' D2 B2 U F' L' F'
L' D2 B2 F' U F' L'
R2 D2 B2 L' F U F
F2 D L' R B L' U'
B D L' U R2 F' L'
F2 D L2 R D B U'
F2 D L2 R D' B U'
F2 D L2 R D2 B U'
F2 D L2 R B U' D
F2 D L2 R B U' D'
F2 D L2 R B U' D2
F2 D L2 R B D U'
F2 D L2 R B D' U'
F2 D L2 R B D2 U'
F2 D L2 D R B U'
F2 D L2 D' R B U'
F2 D L2 D2 R B U'
F2 D L2 B R B U'
F2 D L2 B' R B U'
F2 D L2 B2 R B U'
F2 D R L' B L' U'
F2 D R L2 D B U'
F2 D R L2 D' B U'
F2 D R L2 D2 B U'
F2 D R L2 B U' D
F2 D R L2 B U' D'
F2 D R L2 B U' D2
F2 D R L2 B D U'
F2 D R L2 B D' U'
F2 D R L2 B D2 U'
F2 D R D B U' F2
F2 D R B L2 U' D
F2 D R B L2 U' D'
F2 D R B L2 U' D2
F2 D R B L2 D U'
F2 D R B L2 D' U'
F2 D R B L2 D2 U'
F2 D R B U' D F2
F2 D R B D U' F2
F2 D R B' L2 B2 U'
F D F L2 R B U'
F D F R L2 B U'
F D F R B L2 U'
F2 D B L2 R B U'
F2 D B R L2 B U'
F2 D B R B L2 U'
F2 D B' L2 R B U'
F2 D B' R L2 B U'
F2 D B' R B L2 U'
F2 D B2 L2 R B U'
F2 D B2 R L2 B U'
F2 D B2 R B L2 U'
F2 D' R B U2 R U
R' F2 R D L2 B' U'
D F2 L2 R B U' R
D F2 R L2 B U' R
D F2 R B L2 U' R
R2 F2 R' B R2 U' F'
F2 D2 L R B U' F2
R' F2 D L2 R B' U'
R' F2 D L2 B' R U'
F2 D2 L' R B U' F2
R' F2 D R L2 B' U'
F2 D2 L2 R B U' F2
F2 D2 R L B U' F2
F2 D2 R L' B U' F2
F2 D2 R L2 B U' F2
F2 D2 R D' L2 B U'
F2 D2 R D' B L2 U'
R F2 D L2 B R U'
F2 D2 R B L U' F2
F2 D2 R B L' U' F2
F2 D2 R B L2 U' F2
F2 D2 R B U' F2 D
F2 D2 R B U' F2 D'
F2 D2 R B U' F2 D2
F2 D2 R B D' L2 U'
R F2 D B L2 R U'
R F2 D B R L2 U'
R F2 D2 B R U' F2
F D2 F R B U' F
F2 D2 B R B U' F2
R B R F2 R U' F'
F2 D2 B' R B U' F2
L' B U D R2 F' L'
F2 D2 B2 R B U' F2
R B R2 F2 R U' F
L' B D U R2 F' L'
F2 B' L2 R B U' F
F2 B' R L2 B U' F
F2 B' R B U B2 U2
F2 B' R B U' D2 F2
F2 B' R B D L2 U'
F2 B' R B D2 U' F2
D2 B2 L' R' F' U F'
D2 B2 L' U F' L' F'
D2 B2 L' F' U F' L'
D2 B2 R' L' F' U F'
B' F2 L2 R B U' F
B' F2 R L2 B U' F
B' F2 R B U B2 U2
B' F2 R B U' D2 F2
B' F2 R B D L2 U'
B' F2 R B D2 U' F2
B2 F2 R B L2 U' F
B2 F2 R B U B' U2
F2 B2 R B L2 U' F
F2 B2 R B U B' U2
U B2 U' F2 R B U'
R B2 U' F2 R B' U'
R B2 U' F2 B' R U'
R B2 U' B' F2 R U'
