R' L U D2 F' R
D2 L R' U F' R
D' L R' B U F'
D L R' B' U F'
L R U' B U2 R'
R L U' B U2 R'
R' L D2 U F' R
R' L B U F' R'
L R' U D2 F' R
D L B' R' U F'
L R' D2 U F' R
L R' B U F' R'
D2 R' L U F' R
D' R' L B U F'
D R' L B' U F'
R' D L B' U F'
L D' R' B U F'
R' D2 L U F' R
L D2 R' U F' R
L B R U R2 F'
L B R2 U R F'
D2 L R U R2 F' R
R2 L U R D2 F' R
L R U R2 D2 F' R
R' L U D2 F' R D
R' L U D2 F' R D'
R' L U D2 F' R D2
R' L U D2 F' D R
R' L U D2 F' D' R
R' L U D2 F' D2 R
L R U D2 R2 F' R
R L U R2 D2 F' R
R' L U F' B R' B'
R' L U B F' R' B'
R L U D2 R2 F' R
D L R B' U D2 F2
D L R B' U' B2 U2
D L R B' D' R2 U
D L R B' D2 U F2
D2 L R' U F' R D
D2 L R' U F' R D'
D2 L R' U F' R D2
D2 L R' U F' D R
D2 L R' U F' D' R
D2 L R' U F' D2 R
D' L R' D B U F'
L R U' L B U2 R'
D' L R' D' B U F'
L R U' L' B U2 R'
D L R' D B' U F'
D' L R' D2 B U F'
L R U' L2 B U2 R'
D L R' D' B' U F'
R L U' L B U2 R'
D L R' D2 B' U F'
R L U' L' B U2 R'
R L U' L2 B U2 R'
D' L R' B U D F'
D' L R' B U D' F'
D' L R' B U D2 F'
D' L R' B U F' D
D' L R' B U F' D'
D' L R' B U F' D2
D2 L R' B U F' R
D' L R' B D U F'
D' L R' B D' U F'
D' L R' B D2 U F'
D2 L R' B' U F' R
D2 L R' B2 U F' R
D L R' B' U D F'
D L R' B' U D' F'
D L R' B' U D2 F'
D L R' B' U F' D
D L R' B' U F' D'
D L R' B' U F' D2
D L R' B' D U F'
D2 L R2 U R F' R
D L R' B' D' U F'
D L R' B' D2 U F'
D' L R2 U F R F'
D2 L R2 U F' R F'
R' L U' B U2 F' R'
R' L U' B' L U2 F'
L R U' B L U2 R'
L R U' B L' U2 R'
L R U' B L2 U2 R'
L R U' B U2 R' D
L R U' B U2 R' D'
L R U' B U2 R' D2
L R U' B U2 D R'
L R U' B U2 D' R'
L R U' B U2 D2 R'
L R U' B D U2 R'
L R U' B D' U2 R'
L R U' B D2 U2 R'
L R U' B' L B2 U2
R L U' B L U2 R'
R L U' B L' U2 R'
R L U' B L2 U2 R'
R L U' B U2 R' D
R L U' B U2 R' D'
R L U' B U2 R' D2
R L U' B U2 D R'
R L U' B U2 D' R'
R L U' B U2 D2 R'
R L U' B D U2 R'
R L U' B D' U2 R'
R L U' B D2 U2 R'
R L U' B' L B2 U2
D L R2 B' R U F'
U2 L U' F R2 B R'
D L U2 L U' F R
R' L D2 U F' R D
R' L D2 U F' R D'
R' L D2 U F' R D2
R' L D2 U F' D R
R' L D2 U F' D' R
R' L D2 U F' D2 R
L R D2 R2 U F' R
L R D2 U R2 F' R
R L D2 R2 U F' R
R L D2 U R2 F' R
R' L D2 B U F' R
R' L D2 B' U F' R
D2 L D R' B U F'
R' L D2 B2 U F' R
D L D R' B' U F'
D L D B' R' U F'
D' L D' R' U F' R
D L D' R' B' U F'
D L D' B' R' U F'
D L D2 R' B' U F'
D L D2 B' R' U F'
R2 L B R U F' R2
R' L B U D F' R'
R' L B U D' F' R'
R' L B U D2 F' R'
R' L B U F R' F2
R' L B U F' R' D
R' L B U F' R' D'
R' L B U F' R' D2
R' L B U F' D R'
R' L B U F' D' R'
R' L B U F' D2 R'
R' L B U F2 R' F
R2 L B U R F' R2
R' L B D U F' R'
R' L B D' U F' R'
R' L B D2 U F' R'
R' L B' U' L U2 F'
L R B' U' L B2 U2
L R B' U' B2 U2 R'
R L B' U' L B2 U2
R L B' U' B2 U2 R'
D2 L B R' U F' R
D' L B R' B U F'
D L B R' B2 U F'
L R' U D2 F' R D
L R' U D2 F' R D'
L R' U D2 F' R D2
L R' U D2 F' D R
L R' U D2 F' D' R
L R' U D2 F' D2 R
D2 L B' R' U F' R
L R' U F' B R' B'
D' L B' R' B U F'
D L B' R U' B U2
D L B' R' U D F'
D L B' R' U D' F'
D L B' R' U D2 F'
D L B' R' U F' D
D L B' R' U F' D'
D L B' R' U F' D2
L R' U B F' R' B'
