U' L U' B' U' L
U' L U2 B' L B
U' L B R' B' U2
U' D L U' B' U'
B2 U R' U' F' U
D U' L U' B' U'
B' U2 F U' L R
B' U2 F U' R L
B2 U2 F' U' L' R'
B2 U2 F' U' R' L'
D2 F U L' D2 R2
D2 F U' L U2 L2
D2 F B2 U L' R'
D2 F B2 U R' L'
D2 F' U' L R U2
D2 F' U' R L U2
U' B R' B' L U2
U B' L B' R' B2
U B2 R' B L B
D2 B2 F U L' R'
D2 B2 F U R' L'
U' L R U' B' U' L
U' L R U2 B' L B
U' L R B R' B' U2
U' L R' U' B' U' L
U' L R' U2 B' L B
U' L R' B R' B' U2
U' L R2 U' B' U' L
U' L R2 U2 B' L B
U' L R2 B R' B' U2
U' L U D2 F U L'
U' L U' B U R' U2
U' L U' B' U' L D
U' L U' B' U' L D'
U' L U' B' U' L D2
U' L U' B' U' D L
U' L U' B' U' D' L
U' L U' B' U' D2 L
U' L U' B' D U' L
U' L U' B' D' U' L
U' L U' B' D2 U' L
U' L U2 L B' L B
U' L U2 L' B' L B
U' L U2 L2 B' L B
U' L U2 D2 F L' F'
U' L U2 F' D2 F L'
U' L U2 B' L D B
U' L U2 B' L D' B
U' L U2 B' L D2 B
U' L U2 B' L B D
U' L U2 B' L B D'
U' L U2 B' L B D2
U' L U2 B' L' B L2
U' L U2 B' L2 B L'
U' L U2 B' D L B
U' L U2 B' D' L B
U' L U2 B' D2 L B
U' L D' R U F' U
U' L D' R' U' B U'
U' L D2 U F U L'
U' L D2 U2 F L' F'
U' L D2 F' R F U2
U' L F D2 F' R U2
U' L F' U2 L2 B' L
U' L F' D2 F U2 L'
U' L B R B' R2 U2
U' L B R' D B' U2
U' L B R' D' B' U2
U' L B R' D2 B' U2
U' L B R' B' U2 D
U' L B R' B' U2 D'
U' L B R' B' U2 D2
U' L B R' B' D U2
U' L B R' B' D' U2
U' L B R' B' D2 U2
U' L B R2 B' R U2
U' L B D R' B' U2
U' L B D' R' B' U2
U' L B D2 R' B' U2
B' L B' L' U L R'
B' L B' L' U R' L
U' L B' R' U2 L F
U' L B' R2 U2 L F'
U' L B' R2 U2 F' L
U2 L' D L F2 B' U'
U2 L' D L B' F2 U'
U2 L' D F2 L B' U'
D L' D' F L B2 U
D L' D2 F L U R2
U L' D2 R2 F L' F'
U L' D2 F L' F' R2
D L' F L U' L U2
D L' F L B2 U R'
D L' F D' L B2 U
D L' F D2 L U R2
U' L' F' L2 U2 B' L
U L' F' D2 R2 F L'
U L' F' D2 F L' R2
U L' F' D2 F R2 L'
U' L' B L2 R' U2 F
U' L' B R' L2 U2 F
U' L' B R' B' L2 U2
U' L' B' L2 B U2 L'
