B2 L' B U' B2 R' F'
B' L2 U L' F B' U2
B' L2 U L' B' F U2
D' R F' B' L' U' B'
D' R B' F' L' U' B'
L U' F R B U2 R'
F' D B' L' F U' B'
D2 F' B' L' U' R B'
D2 F' B' L' U' B' R
D F' B' L' F U' B'
D' B' R F' L' U' B'
B' F' L' U L2 F U2
B' F' L' U' D2 R2 B'
B' F' L' U' D2 B' R2
B' F' L' U' B' D2 R2
B' F' L' D F2 U' B'
B' F' L' D2 U' R2 B'
B' F' L' D2 U' B' R2
F' B' L' U L2 F U2
F' B' L' U' D2 R2 B'
F' B' L' U' D2 B' R2
F' B' L' U' B' D2 R2
F' B' L' D F2 U' B'
F' B' L' D2 U' R2 B'
F' B' L' D2 U' B' R2
B2 F' L' B U' B2 R'
D2 B' F' L' U' R B'
D2 B' F' L' U' B' R
D B' F' L' F U' B'
F' B2 L' B U' B2 R'
