U' F' L' U B' R'
F' L U' L' U2 F B'
F' L U' L' U2 B' F
B L F' U F' R F2
U' L F' D' L2 B' U
U L F2 R F U B
F L F2 U R F B
F L F2 U R B F
U' L' F' U2 F U' B'
U' R' U2 R F' U B
F R2 B U L F2 U
F R2 B U F2 L U
B U L F2 R F U
F2 U R F U F B
F2 U R F U B F
U' D F' L' U B' R'
F2 U F R U F B
F2 U F R U B F
B U F L F2 R U
B U F' L U2 L' U'
F U F2 R U F B
F U F2 R U B F
B U' L F' U2 F U'
B U' L' F' L2 B' U
B' U' R' U2 R F' U
U' D' F' L' U B' R'
D' U' F' L' U B' R'
D2 U' F' L' U B' R'
D U' F' L' U B' R'
B2 U' F' L2 B' L U
B' U' F' U2 R' F U'
B' U' F' U2 F R' U'
B U' F' L2 B' L' U
U' D2 F' L' U B' R'
F' U2 R' U' R F B
F' U2 R' U' R B F
U F L F2 R U B
F U2 F' U' L' F' U
F D R2 B U L U
U' F' L' U R B' R'
U' F' L' U R' B' R'
U' F' L' U R2 B' R'
U' F' L' U D B' R'
U' F' L' U D' B' R'
U' F' L' U D2 B' R'
U' F' L' U B' R' D
U' F' L' U B' R' D'
U' F' L' U B' R' D2
U' F' L' U B' D R'
U' F' L' U B' D' R'
U' F' L' U B' D2 R'
U' F' L' D U B' R'
U' F' L' D' U B' R'
U' F' L' D2 U B' R'
U F' L U2 L' U' B'
U' F' L2 D' B' L U
U' F' L2 B' L U B'
U F' R' U' F' U2 F
U' F' U2 R F U' B
U' F' U2 F R U' B
L F' U F' R F2 B
L F' U F' R B F2
U' F' D L' U B' R'
U' F' D' L' U B' R'
U' F' D2 L' U B' R'
U' F' B L' U B' R'
U' F' B' L' U B' R'
U' F' B2 L' U B' R'
F' B L U' L' U2 F
B F L F2 U R F
F B L F2 U R F
U' B F' L' U B' R'
F' B U L U L' F
B F U L F2 U F
F B U L F2 U F
B F' L U' L' U2 F
B F' U L U L' F
U' B' F' L' U B' R'
B' F' U2 R' U' R F
F' B' U2 R' U' R F
L' B2 R' D L B' L
L' B2 R' D B' L B'
U' B2 F' L' U B' R'
