D' L F2 L2 U F R
D2 L' R B R' U L'
D' L' R F2 B U F'
D' L' R B F2 U F'
D2 L' U D L' F R
D' L' U D' F L2 R
D' L' U D' F R L2
D2 L' D U L' F R
D' L' D' U F L2 R
D' L' D' U F R L2
D' L' F2 U F R F2
D' L2 F2 L U F R
D2 R L' B R' U L'
D' R L' F2 B U F'
D' R L' B F2 U F'
F' R F2 B U L' B'
D2 R B L' R' U L'
D' R B L' F2 U F'
D2 R B R' L' U L'
F' R B F2 U L' B'
R2 U' F2 R F' L' U'
D' U L' F2 U F' R
U2 D' L' F2 B' U F'
U2 D' L' B' F2 U F'
U D' L' F2 U F' R
L' D2 R B R' U L2
D' U2 L' F2 B' U F'
D' U2 L' B' F2 U F'
L' F D' F2 R B U
L' F' R F2 B U L'
L' F' R B U' R U2
L' F' R B F2 U L'
L' F' D' R F2 B U
L' F' D' R B F2 U
L' F' D2 R B U L2
