B' R U2 F' B2 U'
B' R U2 B2 F' U'
B2 R U2 F' B' U'
B2 R U2 B' F' U'
B' R' B R2 F' U
D' R2 F' R' U R2
F R2 F' R B U
R2 F' R B R2 U
R2 F' R' U2 F' U'
R' B R' F' R' U
B L F2 L' R F' U'
B L F2 R L' F' U'
R U R2 U' B U L
R2 U F R D' L2 F2
R2 U F R D' F2 L2
B' R U2 D F' U' L2
B2 R U2 D F' B' U'
B2 R U2 D B' F' U'
B2 R U2 D' F' B' U'
B2 R U2 D' B' F' U'
B' R U2 F' U' D L2
B' R U2 F' D U' L2
B' R U2 F' B2 U' D
B' R U2 F' B2 U' D'
B' R U2 F' B2 U' D2
B' R U2 F' B2 D U'
B' R U2 F' B2 D' U'
B' R U2 F' B2 D2 U'
B2 R U2 D2 F' B' U'
B2 R U2 D2 B' F' U'
B2 R U2 F' D B' U'
B2 R U2 F' D' B' U'
B2 R U2 F' D2 B' U'
B2 R U2 F' B' U' D
B2 R U2 F' B' U' D'
B2 R U2 F' B' U' D2
B2 R U2 F' B' D U'
B2 R U2 F' B' D' U'
B2 R U2 F' B' D2 U'
U2 R U2 F' R' B U'
B' R U2 B2 D F' U'
B' R U2 B2 D' F' U'
B' R U2 B2 D2 F' U'
B' R U2 B2 F' U' D
B' R U2 B2 F' U' D'
B' R U2 B2 F' U' D2
B' R U2 B2 F' D U'
B' R U2 B2 F' D' U'
B' R U2 B2 F' D2 U'
B2 R U2 B' D F' U'
B2 R U2 B' D' F' U'
B2 R U2 B' D2 F' U'
B2 R U2 B' F' U' D
B2 R U2 B' F' U' D'
B2 R U2 B' F' U' D2
B2 R U2 B' F' D U'
B2 R U2 B' F' D' U'
B2 R U2 B' F' D2 U'
B R U2 F' U2 F U
B' R D U2 F' U' L2
B2 R D U2 F' B' U'
B2 R D U2 B' F' U'
B2 R D' U2 F' B' U'
B2 R D' U2 B' F' U'
B' R D2 F2 U2 F U'
B2 R D2 U2 F' B' U'
B2 R D2 U2 B' F' U'
B' R F U D L2 R2
B' R F U D R2 L2
B' R F U2 F2 B2 U'
B' R F U2 B2 F2 U'
B' R F D U L2 R2
B' R F D U R2 L2
B2 R F U2 F2 B' U'
B' R F D2 F2 B2 U
B2 R F U2 B' F2 U'
B' R F D2 B2 F2 U
B' R F2 U2 F B2 U'
B' R F2 U2 B2 F U'
B2 R F2 U2 F B' U'
B2 R F2 U2 B' F U'
B' R B U2 F' B U'
B' R B U2 B F' U'
B2 R B U2 F' B2 U'
B2 R B U2 B2 F' U'
B R B U2 F' B' U'
B R B U2 B' F' U'
B' R B' U2 F' B' U'
B' R B' U2 B' F' U'
B R B' U2 F' B U'
B R B' U2 B F' U'
B2 R B2 U2 F' B U'
B2 R B2 U2 B F' U'
B R B2 U2 F' B2 U'
B R B2 U2 B2 F' U'
U R' U' B R2 U L
F R' D2 B R' F' U
B' R' F B R2 F' U
B' R' F' B R2 F' U
B' R' F2 B R2 F' U
B' R' B R2 D F' U
B' R' B R2 D' F' U
B' R' B R2 D2 F' U
B' R' B R2 F' U D
B' R' B R2 F' U D'
B' R' B R2 F' U D2
B' R' B R2 F' D U
B' R' B R2 F' D' U
B' R' B R2 F' D2 U
B2 R' B R2 U D L2
B2 R' B R2 U2 B2 U'
B2 R' B R2 D U L2
B2 R' B R2 D2 F2 U
F2 R' B U2 L' B' U'
B' R' B F R2 F' U
B' R' B F' R2 F' U
B' R' B F2 R2 F' U
B R' B R2 U2 B' U'
F R' B R' F' R U
R U2 R' B R F' U'
B R' B' R2 F' B2 U
B R' B' R2 B2 F' U
B2 R' B2 R2 F' B' U
B2 R' B2 R2 B' F' U
R U2 D F' B' U' L
R U2 D B' F' U' L
R U2 D' F' U R U2
R U2 F' R' B R U'
R U2 F' D B' U' L
R U2 F2 D' F U' L'
B' R2 U2 B2 L F U'
D2 R2 D F' R' U R2
D' R2 D F' R' B U
D R2 D' F' R' B U
D2 R2 D2 F' R' B U
D' R2 F R' F2 U R
F' R2 F R F2 B U
F' R2 F R B F2 U
D R2 D2 F' R' U R2
D' R2 F' R' U R2 D
D' R2 F' R' U R2 D'
D' R2 F' R' U R2 D2
D' R2 F' R' D B2 U
D' R2 F' R' B U R2
D' R2 F' R' B' U R2
D' R2 F' R' B2 U R2
D' R2 F' U R D' F2
D' R2 F' D R' U R2
D' R2 F' D' R' U R2
D' R2 F' D2 R' U R2
D2 R2 F' D2 R' B U
D R2 F' R' B U R'
D' R2 F2 R' F U R
F R2 F' R D B U
F R2 F' R D' B U
F R2 F' R D2 B U
F R2 F' R B U D
F R2 F' R B U D'
F R2 F' R B U D2
F R2 F' R B D U
F R2 F' R B D' U
F R2 F' R B D2 U
D R2 F' D' R' B U
F2 R2 F2 R F B U
F2 R2 F2 R B F U
D R2 F' B U R' F'
F R2 F' D R B U
F R2 F' D' R B U
F R2 F' D2 R B U
F R2 F' B R B U
F R2 F' B' R B U
F R2 F' B2 R B U
D R2 B F' U R' F'
F R2 B F' R B U
F R2 B' F' R B U
F R2 B2 F' R B U
R D U2 F' B' U' L
R D U2 B' F' U' L
R2 D F' R B R2 U
R2 D F' R' U2 F' U'
R' D B U' B U2 L
R D B' U2 F' U' L
R D B2 U2 F' U' L'
U2 D F' B U' R' F'
U2 D F2 L' B U' R'
U2 D F2 B L' U' R'
U2 D B U' R' D' F2
U2 D B U2 R U R2
U2 D B F' U' R' F'
U2 D B F2 L' U' R'
R D' U2 F' U R U2
R' D' F' B U F' L'
R D' F U L' D R2
R D' F U D L' R2
R D' F U D R2 L'
R2 D' F' R B R2 U
R2 D' F' R' U2 F' U'
R D' F D U L' R2
R D' F D U R2 L'
R D' F D2 B2 U L'
R' D' B R' F' U F'
R D' F' U' R U2 R'
R' D' B U F' L' F'
R' D' B F' U F' L'
F2 U2 L' D B U' R'
D2 U2 F2 L' F B U'
D2 U2 F2 L' B F U'
R2 D2 F' R B R2 U
R2 D2 F' R' U2 F' U'
U2 D2 F2 L' F B U'
U2 D2 F2 L' B F U'
D2 U2 F2 B L' F U'
D U2 F' B U' R' F'
D U2 F2 L' B U' R'
U2 D2 F2 B L' F U'
B U2 R U2 F' R' U'
D2 U2 B F2 L' F U'
D U2 F2 B L' U' R'
U2 D2 B F2 L' F U'
D U2 B U' R' D' F2
D U2 B U2 R U R2
D U2 B F' U' R' F'
D U2 B F2 L' U' R'
F2 U2 D L' B U' R'
F' U2 D B L U' R'
F2 U2 D B L' U' R'
F2 U2 D2 L' F B U'
F2 U2 D2 L' B F U'
F2 U2 D2 B L' F U'
R2 F R F2 B R2 U
R2 F R B R2 F2 U
R2 F R B F2 R2 U
F2 U2 B D2 L' F U'
R2 F R' F2 U2 F U'
B' D R B U L2 R'
B' D R B U R' L2
R F D B' U L R2
R F D B' U R2 L
R' F B R' F' R' U
F2 D U2 L' B U' R'
F' D U2 B L U' R'
F2 D U2 B L' U' R'
R2 F' R D' B U F2
B' D B R U L2 R2
B' D B R U R2 L2
R2 F' R B R2 U D
R2 F' R B R2 U D'
R2 F' R B R2 U D2
