U2 R' U R' B
U2 L R' U R' B
B2 L B2 U' R2 B
U2 L' R' U R' B
U2 L2 R' U R' B
U' R D' R F2 B
U' R D' R B F2
U2 R' L U R' B
U2 R' L' U R' B
U2 R' L2 U R' B
U2 R' U R' D B
U2 R' U R' D' B
U2 R' U R' D2 B
U2 R' U R' B D
U2 R' U R' B D'
U2 R' U R' B D2
L' U2 R' U R' B
L2 U2 R' U R' B
L U2 R' U R' B
D' R2 F2 L' U' B
U' R2 B U' R U
U F' U R' U R'
U' L R' U L' R' B
U' L R' U R' L' B
U' L R' U R' B L'
U2 L R' U R' D B
U2 L R' U R' D' B
U2 L R' U R' D2 B
U2 L R' U R' B D
U2 L R' U R' B D'
U2 L R' U R' B D2
D' L R2 F2 L' U' B
U L U R' U R' B
B2 L U' R2 D L2 B
B2 L U' R2 D B L2
U L F' U R' U R'
B2 L B2 R' U' R' B
B2 L B2 U F' U2 R2
B2 L B2 U' R2 D B
B2 L B2 U' R2 D' B
B2 L B2 U' R2 D2 B
B2 L B2 U' R2 B D
B2 L B2 U' R2 B D'
B2 L B2 U' R2 B D2
B2 L B2 U' B R2 B
B2 L B2 U' B' R2 B
B2 L B2 U' B2 R2 B
U' L' R' U L R' B
U' L' R' U R' L B
U2 L' R' U R' D B
U2 L' R' U R' D' B
U2 L' R' U R' D2 B
U2 L' R' U R' B D
U2 L' R' U R' B D'
U2 L' R' U R' B D2
B2 L' R2 D L2 F2 B
B2 L' R2 D L2 B F2
B2 L' R2 D F2 L2 B
B2 L' R2 D F2 B L2
B2 L' R2 D B L2 F2
B2 L' R2 D B F2 L2
D' L' R2 F2 L' U' B
U L' U R' U R' B
U L' F' U R' U R'
B2 L' B2 L2 U' R2 B
U' L2 R' U L2 R' B
U' L2 R' U R' L2 B
U' L2 R' U R' B L2
U2 L2 R' U R' D B
U2 L2 R' U R' D' B
U2 L2 R' U R' D2 B
U2 L2 R' U R' B D
U2 L2 R' U R' B D'
U2 L2 R' U R' B D2
D' L2 R2 F2 L' U' B
U L2 U R' U R' B
F2 L2 U2 R' U R' B'
U L2 F' U R' U R'
R' U R B R2 B L
R' U R B2 L R2 B
R' U R B2 R2 L B
R' U R' F2 L' F2 B
R' U R' F2 L' B F2
R' U R' F2 B L' F2
R' U R' B U2 R U2
R' U R' B F2 L' F2
R' U R2 D2 L2 R B
R' U R2 D2 R L2 B
R' U R2 D2 R B L2
B2 L2 B2 L' U' R2 B
R' U F U2 F' R' B
L' U F' U R' U R'
R' U F' U2 R' F B
R' U F' U2 R' B F
R' U F' U2 F R' B
L2 U F' U R' U R'
L U F' U R' U R'
R' U F2 R' F2 L' B
R' U F2 R' F2 B L'
R' U F2 R' B F2 L'
R' U F2 U2 R' F2 B
R' U F2 U2 R' B F2
R' U F2 U2 F2 R' B
U' R D R D2 F2 B
U' R D R D2 B F2
U' R D' R F2 D B
U' R D' R F2 D' B
U' R D' R F2 D2 B
U' R D' R F2 B D
U' R D' R F2 B D'
U' R D' R F2 B D2
U' R D' R B F2 D
U' R D' R B F2 D'
U' R D' R B F2 D2
U' R D' R2 F2 R' B
R' U' L U2 L' R' B
R' U' L U2 R' L' B
R' U' L U2 R' B L'
U' R D' B R F2 B
U' R D' B R B F2
U' R D' B' R F2 B
U' R D' B' R B F2
U' R D' B2 R F2 B
U' R D' B2 R B F2
U' R D2 R D F2 B
U' R D2 R D B F2
U' R D2 R B D F2
F2 R D2 L2 U' R B'
F2 R D2 L2 U' B' R
R' U' L' U2 L R' B
R' U' L' U2 R' L B
F R D2 L2 U' R B2
F R D2 L2 U' B2 R
R' U' L2 R' B L2 F
R' U' L2 U2 L2 R' B
R' U' L2 U2 R' L2 B
R' U' L2 U2 R' B L2
L' U' R D' R F2 B
L' U' R D' R B F2
R' U' R B' R2 F' B
R' U' R B' R2 B F'
L2 U' R D' R F2 B
L2 U' R D' R B F2
R' U' R' L2 B L2 F
L U' R D' R F2 B
L U' R D' R B F2
U' R F2 D' F2 R B
R' U' R' B L2 F L2
R' U' R' B U2 B' U2
R' U' R' B2 D2 F2 B'
R' U' R' B2 D2 B' F2
U2 R B R2 U R' B
U' R B D' R F2 B
U' R B D' R B F2
L' U' R2 B U' R U
L2 U' R2 B U' R U
U2 R B' R2 U R' B
U' R B' D' R F2 B
U' R B' D' R B F2
L U' R2 B U' R U
U2 R B2 R2 U R' B
U' R B2 D' R F2 B
U' R B2 D' R B F2
U' R' L U L' R' B
U' R' L U R' L' B
U' R' L U R' B L'
U2 R' L U R' D B
U2 R' L U R' D' B
U2 R' L U R' D2 B
U2 R' L U R' B D
U2 R' L U R' B D'
U2 R' L U R' B D2
U' R' L' U L R' B
U' R' L' U R' L B
U2 R' L' U R' D B
U2 R' L' U R' D' B
U2 R' L' U R' D2 B
U2 R' L' U R' B D
U2 R' L' U R' B D'
U2 R' L' U R' B D2
U' R' L2 U L2 R' B
U' R' L2 U R' L2 B
U' R' L2 U R' B L2
U2 R' L2 U R' D B
U2 R' L2 U R' D' B
U2 R' L2 U R' D2 B
U2 R' L2 U R' B D
U2 R' L2 U R' B D'
U2 R' L2 U R' B D2
U2 R' U L R' B L'
U2 R' U L2 R' B L2
U2 R' U R B R2 B
U2 R' U R B' R2 B
U2 R' U R B2 R2 B
U2 R' U R' L B L'
U2 R' U R' L2 B L2
U2 R' U R' D B D
U2 R' U R' D B D'
U2 R' U R' D B D2
U2 R' U R' D' B D
U2 R' U R' D' B D'
U2 R' U R' D' B D2
U2 R' U R' D2 B D
U2 R' U R' D2 B D'
U2 R' U R' D2 B D2
U2 R' U R' B2 D B'
U2 R' U R' B2 D' B'
U2 R' U R' B2 D2 B'
U2 R' U R2 D R B
U2 R' U R2 D' R B
U2 R' U R2 D2 R B
U2 R' U R2 B R B
U2 R' U R2 B' R B
U2 R' U R2 B2 R B
F2 R' U F U2 F' R'
U2 R' U F' R' F B
U2 R' U F' R' B F
U2 R' U F2 R' F2 B
U2 R' U F2 R' B F2
U R' U R' D2 L2 B
U R' U R' D2 B L2
U2 R' U B' R' B R'
U R' U R' B D2 L2
U2 R' U' L U2 R' B
U2 R' U' L' U2 R' B
U2 R' U' L2 U2 R' B
F R' U F2 U2 R' F2
F R' U F2 U2 F2 R'
U2 R' U' F U2 R' B
U2 R' U' F' U2 R' B
U2 R' U' F2 U2 R' B
U R' U' R U2 R2 B
U R' U' R F' U2 R2
R2 U' B U' R B' U
R2 U' B U' B' R U
U2 R' U2 R U' R2 B
R' U' B' R' B R' F'
U2 R' U2 F U' R' B
U2 R' U2 F' U' R' B
U2 R' U2 F2 U' R' B
L' U2 L R' U R' B
L2 U2 L R' U R' B
U2 R' D2 L U R' B'
L U2 L R' U R' B
L' U2 L' R' U R' B
L2 U2 L' R' U R' B
L U2 L' R' U R' B
L' U2 L2 R' U R' B
R U2 L' R2 U R' B'
L2 U2 L2 R' U R' B
L U2 L2 R' U R' B
L' U2 R' L U R' B
L' U2 R' L' U R' B
L' U2 R' L2 U R' B
L' U2 R' U R' D B
L' U2 R' U R' D' B
L' U2 R' U R' D2 B
L' U2 R' U R' B D
L' U2 R' U R' B D'
L' U2 R' U R' B D2
L2 U2 R' L U R' B
L2 U2 R' L' U R' B
L2 U2 R' L2 U R' B
L2 U2 R' U R' D B
L2 U2 R' U R' D' B
L2 U2 R' U R' D2 B
L2 U2 R' U R' B D
L2 U2 R' U R' B D'
L2 U2 R' U R' B D2
L U2 R' L U R' B
U R' F2 U L' R' B
U R' F2 U R' L' B
U R' F2 U R' B L'
L U2 R' L' U R' B
L U2 R' L2 U R' B
L U2 R' U R' D B
L U2 R' U R' D' B
L U2 R' U R' D2 B
L U2 R' U R' B D
L U2 R' U R' B D'
L U2 R' U R' B D2
R U2 R2 L' U R' B'
U2 R' B' U R' B R'
U2 R' B' U B R' B
U2 R' B2 U B2 R' B
D' R2 L F2 L' U' B
B2 R2 L' D L2 F2 B
B2 R2 L' D L2 B F2
D' R2 L' F2 L' U' B
B2 R2 L' D F2 L2 B
B2 R2 L' D F2 B L2
B2 R2 L' D B L2 F2
B2 R2 L' D B F2 L2
D' R2 L2 F2 L' U' B
B2 R2 U L B2 U' B'
U2 R2 D R U R' B
D R2 U2 B2 R U B'
D2 R2 D F2 L' U' B
U' R2 D B U' R U
U2 R2 D' R U R' B
U' R2 D' B U' R U
U2 R2 D2 R U R' B
U' R2 D2 B U' R U
D R2 D2 F2 L' U' B
D' R2 F2 L' U' D B
D' R2 F2 L' U' D' B
D' R2 F2 L' U' D2 B
D' R2 F2 L' U' B D
D' R2 F2 L' U' B D'
D' R2 F2 L' U' B D2
D' R2 F2 L' D U' B
D' R2 F2 L' D' U' B
D' R2 F2 L' D2 U' B
U' R2 F2 U L' U' B
D' R2 F2 D L' U' B
D' R2 F2 D' L' U' B
D' R2 F2 D2 L' U' B
U' R2 F2 B U L' U'
U' R2 B R' D' R F2
U' R2 B U' R U D
U' R2 B U' R U D'
U' R2 B U' R U D2
U' R2 B U' R D U
U' R2 B U' R D' U
U' R2 B U' R D2 U
U' R2 B U' D R U
U' R2 B U' D' R U
U' R2 B U' D2 R U
B' R2 B U' F' R' U
U' R2 B D U' R U
U' R2 B D' U' R U
U' R2 B D2 U' R U
B R2 B L' D L2 F2
B R2 B L' D F2 L2
U' R2 B F2 U L' U'
B R2 B U L B2 U'
U' R2 B' U' R U B2
U2 R2 B' R U R' B2
U' R2 B2 U' R U B'
U2 R2 B2 R U R' B'
B2 U L B2 U' R2 B
D2 U L2 F' U R' U
F' U R' U R' D2 L2
F' U R' U' R U2 R2
F' U R' F2 U L' R'
F' U R' F2 U R' L'
