F2 R' U B' R'
R' F2 U B' R'
R' U D' B' L2 R'
R' U D' B' R' L2
R' U B' R' D' L2
R' U B' D' L2 R'
R' U B' D' R' L2
F2 R' U R B' R'
F2 R' U R' B' R'
F2 R' U R2 B' R'
F2 R' U D B' R'
F2 R' U D' B' R'
F2 R' U D2 B' R'
F2 R' U B' R' D
F2 R' U B' R' D'
F2 R' U B' R' D2
F2 R' U B' D R'
F2 R' U B' D' R'
F2 R' U B' D2 R'
D' R' U B' L2 R'
D' R' U B' R' L2
F2 R' D U B' R'
F2 R' D' U B' R'
F2 R' D2 U B' R'
F R' F U B' R'
R' D' U B' L2 R'
R' D' U B' R' L2
F2 D R' U B' R'
F2 D' R' U B' R'
R' F2 U R B' R'
R' F2 U R' B' R'
R' F2 U R2 B' R'
R' F2 U D B' R'
R' F2 U D' B' R'
R' F2 U D2 B' R'
R' F2 U B' R' D
R' F2 U B' R' D'
R' F2 U B' R' D2
R' F2 U B' D R'
R' F2 U B' D' R'
R' F2 U B' D2 R'
R' F2 D U B' R'
R F2 R2 U B' R'
R' F2 D' U B' R'
R' F2 D2 U B' R'
F2 D2 R' U B' R'
D2 B2 L F U' B
B2 L D' F U' L2 B
B2 L D' F U' B L2
B2 L D2 F B2 U' B'
B2 L D2 B2 F U' B'
B2 L F U2 F U B
F2 L' R' D' B' L U
F2 L' R' B' L U B'
R' L' D' B' L U L
L' R' D' B' L U L
R' L' F2 L U B' R'
L' R' F2 L U B' R'
R' L' F2 D' B' L U
L' R' F2 D' B' L U
R' L' F2 B' L U B'
L' R' F2 B' L U B'
F2 L' D' R' B' L U
R' L' B' L F2 U B'
L' R' B' L F2 U B'
F2 L' D2 R' B' U B2
R' L' B' F2 L U B'
L' R' B' F2 L U B'
B L' F2 B' R' U B'
B L' B' R' F2 U B'
B L' B' F2 R' U B'
R' U L2 D' L2 B' R'
R' U R D' B' L2 R'
R' U R D' B' R' L2
R' U R B' R' D' L2
R' U R B' D' L2 R'
R' U R B' D' R' L2
R' U R' D' B' L2 R'
R' U R' D' B' R' L2
R' U R' B' R' D' L2
R' U R' B' D' L2 R'
R' U R' B' D' R' L2
R' U R2 D' B' L2 R'
R' U R2 D' B' R' L2
R' U R2 B' R' D' L2
R' U R2 B' D' L2 R'
R' U R2 B' D' R' L2
R' U D B' D2 L2 R'
R' U D B' D2 R' L2
R' U D' R B' L2 R'
R' U D' R B' R' L2
R' U D' R' B' L2 R'
R' U D' R' B' R' L2
R' U D' R2 B' L2 R'
R' U D' R2 B' R' L2
R' U D' B' L2 R' D
R' U D' B' L2 R' D'
R' U D' B' L2 R' D2
R' U D' B' L2 D R'
R' U D' B' L2 D' R'
R' U D' B' L2 D2 R'
R' U D' B' R' L2 D
R' U D' B' R' L2 D'
R' U D' B' R' L2 D2
R' U D' B2 L2 B R'
R U D' F2 B' L2 R'
R U D' F2 B' R' L2
R U D' B' L2 R' F2
R U D' B' L2 F2 R'
R U D' B' R' L2 F2
R U D' B' R' F2 L2
R U D' B' F2 L2 R'
R U D' B' F2 R' L2
F2 R U D' F2 B' R'
F2 R U D' B' R' F2
F2 R U D' B' F2 R'
F2 R U B' D' R' F2
F2 R U B' D' F2 R'
R' U B' L R' D' L2
R' U B' L D' L2 R'
R' U B' L D' R' L2
R' U B' L' R' D' L2
R' U B' L' D' L2 R'
R' U B' L' D' R' L2
R' U B' L2 R' D' L2
R' U B' L2 D' L2 R'
R' U B' L2 D' R' L2
R' U B' R' L D' L2
R' U B' R' L' D' L2
R' U B' R' L2 D' L2
R' U B' R' U' F2 U
R' U B' R' D' L2 D
R' U B' R' D' L2 D'
R' U B' R' D' L2 D2
R' U B' R2 D' L2 R
R' U B' R2 D' R L2
R' U B' U' F2 U R'
R' U B' D' L2 R' D
R' U B' D' L2 R' D'
R' U B' D' L2 R' D2
R' U B' D' L2 D R'
R' U B' D' L2 D' R'
R' U B' D' L2 D2 R'
R' U B' D' R' L2 D
R' U B' D' R' L2 D'
R' U B' D' R' L2 D2
R' U B' D2 R' D L2
R2 U B' R' D' L2 F2
R2 U B' R' D' F2 L2
R U B' D' L2 R' F2
R U B' D' L2 F2 R'
R U B' D' R' L2 F2
R U B' D' R' F2 L2
R U B' D' F2 L2 R'
R U B' D' F2 R' L2
F2 R D' U F2 B' R'
F2 R D' U B' R' F2
F2 R D' U B' F2 R'
U R D' F2 B' L2 R'
U R D' F2 B' R' L2
U R D' B' L2 R' F2
U R D' B' L2 F2 R'
U R D' B' R' L2 F2
U R D' B' R' F2 L2
U R D' B' F2 L2 R'
U R D' B' F2 R' L2
F R F R2 U B' R'
U2 R F2 B R2 U B2
U2 R B R2 F2 U B2
U2 R B F2 R2 U B2
R' U' D R2 U2 B' R'
U2 R B' D' L2 R2 F2
U2 R B' D' L2 F2 R2
U2 R B' D' R2 L2 F2
U2 R B' D' R2 F2 L2
U2 R B' D' F2 L2 R2
U2 R B' D' F2 R2 L2
U R B' D' L2 R' F2
U R B' D' L2 F2 R'
U R B' D' R' L2 F2
U R B' D' R' F2 L2
U R B' D' F2 L2 R'
U R B' D' F2 R' L2
F2 R' L' D' B' L U
F2 R' L' B' L U B'
D' R' U R B' L2 R'
D' R' U R B' R' L2
D' R' U R' B' L2 R'
D' R' U R' B' R' L2
D' R' U R2 B' L2 R'
D' R' U R2 B' R' L2
D2 R' U D B' L2 R'
D2 R' U D B' R' L2
F' R' U D B' L R'
F' R' U D B' R' L
F2 R' U R D B' R'
F2 R' U R D' B' R'
F2 R' U R D2 B' R'
F2 R' U R B' R' D
F2 R' U R B' R' D'
F2 R' U R B' R' D2
F2 R' U R B' D R'
F2 R' U R B' D' R'
F2 R' U R B' D2 R'
F2 R' U R' D B' R'
F2 R' U R' D' B' R'
F2 R' U R' D2 B' R'
F2 R' U R' B' R' D
F2 R' U R' B' R' D'
F2 R' U R' B' R' D2
F2 R' U R' B' D R'
F2 R' U R' B' D' R'
F2 R' U R' B' D2 R'
F2 R' U R2 D B' R'
F2 R' U R2 D' B' R'
F2 R' U R2 D2 B' R'
F2 R' U R2 B' R' D
F2 R' U R2 B' R' D'
F2 R' U R2 B' R' D2
F2 R' U R2 B' D R'
F2 R' U R2 B' D' R'
F2 R' U R2 B' D2 R'
F2 R' U D R B' R'
F2 R' U D R' B' R'
F2 R' U D R2 B' R'
F2 R' U D B' R' D
F2 R' U D B' R' D'
F2 R' U D B' R' D2
F2 R' U D B' D R'
F2 R' U D B' D' R'
F2 R' U D B' D2 R'
F2 R' U D' R B' R'
F2 R' U D' R' B' R'
F2 R' U D' R2 B' R'
D' R' U B' L2 R' D
D' R' U B' L2 R' D'
D' R' U B' L2 R' D2
D' R' U B' L2 D R'
D' R' U B' L2 D' R'
D' R' U B' L2 D2 R'
D' R' U B' R' L2 D
D' R' U B' R' L2 D'
D' R' U B' R' L2 D2
F2 R' U D' B' R' D
F2 R' U D' B' R' D'
F2 R' U D' B' R' D2
F2 R' U D' B' D R'
F2 R' U D' B' D' R'
F2 R' U D' B' D2 R'
F2 R' U D2 R B' R'
F2 R' U D2 R' B' R'
F2 R' U D2 R2 B' R'
D' R' U B2 L2 B R'
F2 R' U D2 B' R' D
F2 R' U D2 B' R' D'
F2 R' U D2 B' R' D2
F2 R' U D2 B' D R'
F2 R' U D2 B' D' R'
F2 R' U D2 B' D2 R'
F2 R' U F' B' R' F
F2 R' U F2 B' R' F2
F2 R' U B R B2 R'
F2 R' U B R' B2 R'
F2 R' U B R2 B2 R'
F2 R' U B' R2 D R
F2 R' U B' R2 D' R
F2 R' U B' R2 D2 R
F2 R' U B' D R' D
F2 R' U B' D R' D'
F2 R' U B' D R' D2
F2 R' U B' D' R' D
F2 R' U B' D' R' D'
F2 R' U B' D' R' D2
F2 R' U B' D2 R' D
F2 R' U B' D2 R' D'
F2 R' U B' D2 R' D2
F2 R' U B' F' R' F
F2 R' U B' F2 R' F2
D R' U B2 L B R'
F2 R' U' L2 F U2 R
D R' U' R' U2 B' R'
F2 R' U' F U2 R B'
F2 R' U' F U2 B' R
