L' R D F' U2 R F2
B' L U' R F' B' U2
B' L U' R B' F' U2
B' L U' B' R F' U2
F2 L' R' D' F B R'
F2 L' R' D' B R' F
F2 L' R' D' B F R'
R L' D F' U2 R F2
F2 L' R' F D' B R'
B' L' U' R F' U2 F2
F2 L' F R' D' B R'
L U R F' B' U2 R'
L U R B' F' U2 R'
L U B' R U2 R2 B
L U B' R F' U2 R2
L U' R F' B' L' U2
L U' R B' F' L' U2
F2 R' L' D' F B R'
F2 R' L' D' B R' F
F2 R' L' D' B F R'
F2 R' L' F D' B R'
L U' B' R F' L' U2
F2 R' B L' D' R2 F
F2 R' B L' D' F R2
F2 R' B L' F D' R2
F2 R' B' U L' F B2
F2 R' B' U L' B2 F
F2 R' B' U B2 L' F
R D F' U R B' U
R D F' U B' R U
F2 B' R' U L' F B
F2 B' R' U L' B F
F2 B' R' U B L' F
B' F2 R' U L' F B
B' F2 R' U L' B F
B' F2 R' U B L' F
