R U' B R U B'
L2 R U2 B R U L2
L R U2 B R U L'
R L U2 B R U L'
R L2 U2 B R U L2
D2 L2 R U2 B U L2
D2 L2 R' F' R2 U' L2
R2 U R F' R2 U' F
R' U R2 U2 B R U
R' U F R2 F2 L' U'
D2 R L2 U2 B U L2
R' U F' R2 U2 R U
F2 R U' L' B R U
D' R U' B U F2 B'
D' R U' B U B' F2
F' R U' B R U B
B' R U' B R U B'
B2 R U' B R U B'
F2 R U' B L' R U
F2 R U' B R L' U
B R U' B R U B'
U R U2 R B' U R'
U R U2 B' R U R2
R U' L B R U B'
R U' L' B R U B'
U R F U' D R F'
U R F D U' R F'
R U' L2 B R U B'
U R F' U L' B' U2
D' R F2 U' B U B'
U R F2 L' F' U' R
F2 R B L' R U L
F2 R B R L' U L
U R F2 D' L' F U'
D2 R B2 L2 F U' L2
R U' D B R U B'
R U' D' B R U B'
R U' D2 B R U B'
D2 R' L2 F' R2 U' L2
D2 R' U L2 F' R2 U'
D2 R' U F' L2 R2 U'
D2 R' U F' R2 L2 U'
R U' B R U D B'
R U' B R U D' B'
R U' B R U D2 B'
R U' B R U B' D
R U' B R U B' D'
R U' B R U B' D2
R U' B R D U B'
R U' B R D' U B'
R U' B R D2 U B'
R U' B D R U B'
R U' B D' R U B'
R U' B D2 R U B'
R U' B2 R B' U B'
D2 R' F D R2 F2 B2
D2 R' F D R2 B2 F2
D' R' F D R2 F B2
D2 R' F D F2 R2 B2
D' R' F D R2 B2 F
D2 R' F D F2 B2 R2
D2 R' F D B2 R2 F2
D' R' F D F R2 B2
D2 R' F D B2 F2 R2
D' R' F D F B2 R2
D' R' F D B2 R2 F
D' R' F D B2 F R2
D2 R' F' L2 R2 U' L2
D2 R' F' R2 L2 U' L2
D' R' F2 U R2 F U'
D' R' F2 U F R2 U'
U' R2 U2 R' F U' R
U' R2 U2 F R' U' R2
R U2 B R U' R' U2
R U2 B' R B2 U L
U' R2 B U' L F U2
U' R2 B' U D' R' B
U' R2 B' D' U R' B
U' R2 B2 L B U R'
U' R2 B2 D L B' U
R D U' B R U B'
D2 U L2 R F U' R
D2 U R L2 F U' R
D' U R F U' R F
D2 U R F L2 U' R
R' D B2 U L F' U'
R' D B2 U F' L U'
R D' U' B R U B'
F2 U' L' R2 B' U R'
F2 U' L' B' R2 U R
U D' R F U' R F
F2 U' R2 L' B' U R'
F' U' R2 B' U R' B
F2 U' R2 B' L' U R'
F2 U' B' L' R2 U R
U D2 L2 R F U' R
F2 U' B' R2 L' U R
U D2 R L2 F U' R
U D2 R F L2 U' R
R D2 U' B R U B'
R2 D2 B2 L B' U L'
R' F R2 F2 L' U' L
R' F U R2 F2 L' U'
U F' U' D' F2 R B
U F' D' U' F2 R B
R' F' B2 L R2 U' L'
R' F' B2 R2 L U' L'
D' F2 R U' L' B U
D' F2 R U' B L' U
D' F2 U F U' R B
D' F2 U' L' B' U R'
D' F2 U' B' L' U R'
U' B R2 B2 L U R'
U' B' R2 U R D B2
U' B' R2 U2 R' U' R2
U' B' R2 B U R B
U' B' R2 B2 L U R
R B' R B2 L U L'
R B' U' R B2 U B2
R B' U' B2 R U B2
R B' U2 R B2 U L
R B' D2 F2 L' U' L
R' B2 U L F' R2 U'
R' B2 U F' L R2 U'
R' B2 U F' R2 L U'
R B2 U' R B' U B
R2 B2 D2 L B' U L'
R' B2 F' L R2 U' L'
R' B2 F' R2 L U' L'
