D F2 D' L B' R'
U' L U F L R U'
U' L U F R L U'
D L F2 D B' R' B
D L F2 B' D R' B
D L B' F2 D R' B
F L2 R B' U' L' R'
F L2 R B' U' R' L'
B L2 U L' U2 B' L
U L2 U' L B' L2 R'
U L2 U' L B' R' L2
L U L U F U2 R
L' U L' U' B' L' R'
L' U L' U' B' R' L'
F' L2 B' U' L' R' B'
F' L2 B' U' R' L' B'
F L2 B' R U' L' R2
F L2 B' R U' R2 L'
F R L2 B' U' L' R'
F R L2 B' U' R' L'
L2 U' L' R B D' R2
L2 U' R L' B D' R2
D R F2 D' L B' R'
D R' F2 D' L B' R'
D R2 F2 D' L B' R'
R' D F2 D' L B' R'
R2 D F2 D' L B' R'
R D F2 D' L B' R'
U2 F L2 U' L' R B'
U2 F L2 U' L' B' R
U2 F L2 U' R L' B'
F2 D L F2 B' R' B
F2 D L B' R' F2 B
F2 D L B' R' B F2
F2 D L B' F2 R' B
F2 D F2 L B' R' B
B' D F2 D R' B L
F2 D F2 D2 L B' R'
F2 D F2 B' R' B L
F2 D B' R' F2 B L
F2 D B' R' B L F2
F2 D B' R' B F2 L
F2 D B' F2 R' B L
F2 D' L D2 F2 B' R'
F2 D' L D2 B' R' F2
F2 D' L D2 B' F2 R'
D F2 L D B' R' B
D F2 L B' D R' B
D F2 R D' L B' R'
D F2 R' D' L B' R'
D F2 R2 D' L B' R'
D2 F2 D' L F2 B' R'
D2 F2 D' L B' R' F2
D2 F2 D' L B' F2 R'
D F2 D L B' R' B
D2 F2 D' F2 L B' R'
D F2 D B' R' B L
D F2 D' L R B' R'
D F2 D' L R' B' R'
D F2 D' L R2 B' R'
D F2 D' L D B' R'
D F2 D' L D' B' R'
D F2 D' L D2 B' R'
D F2 D' L B' R' D
D F2 D' L B' R' D'
D F2 D' L B' R' D2
D F2 D' L B' D R'
D F2 D' L B' D' R'
D F2 D' L B' D2 R'
D F2 D' R L B' R'
D F2 D' R' L B' R'
D F2 D' R2 L B' R'
D F2 B' D R' B L
L2 B U L U2 L2 B'
L2 B U L F U2 L2
L2 B' R2 U' L' R B
L2 B' R2 U' R L' B
L2 B' R2 U' R B L'
L2 B' U' L' R B R2
L2 B' U' R L' B R2
L2 B' U' R B L' R2
L2 B' U' R B R2 L'
F2 B' D R' F2 B L
F2 B' D R' B L F2
F2 B' D R' B F2 L
F2 B' D F2 R' B L
D B' F2 D R' B L
L2 B2 U' L' R B R'
L2 B2 U' R L' B R'
L2 B2 U' R B L' R'
L2 B2 U' R B R' L'
B' F2 D R' F2 B L
B' F2 D R' B L F2
B' F2 D R' B F2 L
B' F2 D F2 R' B L
