B L R F' U' L
L R F' U' L F
R L F' U' L F
B R L F' U' L
U2 R F' L' U' L'
B R F' L U' L
R F' L U' L F
R F' U' L F L
R F' B L U' L
R B L F' U' L
R B F' L U' L
B L R D F' U' L
B L R D' F' U' L
U2 L R F' L' U' L2
U' L R F' U' L F2
U' L R F' U' F2 L
B L R D2 F' U' L
B L R F' U' L D
B L R F' U' L D'
B L R F' U' L D2
B L R F' U' D L
B L R F' U' D' L
B L R F' U' D2 L
B L R F' D U' L
B L R F' D' U' L
B L R F' D2 U' L
L R U' L F D R2
R L U' L F D R2
L R D F' U' L F
R L D F' U' L F
L R D' F' U' L F
R L D' F' U' L F
L R D2 F' U' L F
R L D2 F' U' L F
L2 R F' L' U' L F
L' R F' U' L F L'
L R F' U' L D F
L R F' U' L D' F
L R F' U' L D2 F
L R F' U' L F D
L R F' U' L F D'
L R F' U' L F D2
L R F' U' D L F
L R F' U' D' L F
L R F' U' D2 L F
L R F' U' F L F
L R F' U' F' L F
L R F' U' F2 L F
R L F' U' L D F
R L F' U' L D' F
R L F' U' L D2 F
R L F' U' L F D
R L F' U' L F D'
R L F' U' L F D2
R L F' U' D L F
R L F' U' D' L F
R L F' U' D2 L F
R L F' U' F L F
R L F' U' F' L F
R L F' U' F2 L F
L R F' D U' L F
L R F' D' U' L F
R L F' D U' L F
L R F' D2 U' L F
R L F' D' U' L F
L2 R F' B L U' L'
R L F' D2 U' L F
L' R B L F' U' L2
L2 R B F' L U' L'
R L' F' U' L F L'
R L' B L F' U' L2
F2 L' B' R' B U L'
U2 L2 R F' L' U' L
R L2 F' L' U' L F
B L2 U L' R F' U'
B L2 U R L' F' U'
U L2 U R F' L' U'
R L2 F' B L U' L'
R L2 B F' L U' L'
L2 U R F' U B U2
U' R L F' U' L F2
U' R L F' U' F2 L
B R L D F' U' L
U2 R L F' L' U' L2
B R L D' F' U' L
B R L D2 F' U' L
B R L F' U' L D
B R L F' U' L D'
B R L F' U' L D2
B R L F' U' D L
B R L F' U' D' L
B R L F' U' D2 L
B R L F' D U' L
B R L F' D' U' L
B R L F' D2 U' L
U2 R L2 F' L' U' L
B' R U2 R2 B U L2
B R D' L F' B2 U'
B R D' L B2 F' U'
B' R D' F' B2 U' F'
U2 R D' F' L' B2 U'
B' R D' B2 F' U' F'
U2 R D' F' B2 L' U'
B R D' F' L B2 U'
U2 R D' B2 F' L' U'
R U' L F L D R2
R U' L F D L R2
R U' L F D R2 L
B R F L F2 U' L
U' R F' L U' F L
U2 R F' L' U' L' D
U2 R F' L' U' L' D'
U2 R F' L' U' L' D2
U2 R F' L' U' D L'
U2 R F' L' U' D' L'
U2 R F' L' U' D2 L'
U2 R F' L' D U' L'
U2 R F' L' D' U' L'
U2 R F' L' D2 U' L'
U2 R F' L' B U' L'
U2 R F' L' B' U' L'
U2 R F' L' B2 U' L'
B' R F' U' L2 D' F2
B R F' L U' L D
B R F' L U' L D'
B R F' L U' L D2
B R F' L U' D L
B R F' L U' D' L
B R F' L U' D2 L
B R F' L D U' L
B R F' L D' U' L
B R F' L D2 U' L
B' R F' U2 R2 U L2
B' R F' D' B2 U' F2
U2 R F' D' L' B2 U'
U2 R F' D' B2 L' U'
B2 R F' B' L U' L
U2 R F' B L' U' L'
B R F' D' L B2 U'
U2 R F' B' L' U' L'
U2 R F' B2 L' U' L'
U R F' U B U2 L2
U R F' B2 U' L2 F
U2 R B F' L' U' L'
B2 R B' L F' U' L
B2 R B' F' L U' L
U2 R B' F' L' U' L'
U2 R B2 F' L' U' L'
U R B2 F' U' L2 F
B' R' U2 R2 F' U' L2
B' R' D F2 B U B
B' R' D B F2 U B
L U2 R F' L' U' L2
B' R' B U L2 D B2
B' R' B U2 R2 U' L2
B' R' B D F2 U B2
R' U2 R2 F' L' U' L'
B U L R F' U' L
B U R L F' U' L
B U R F' L U' L
B U' L R F' U' L
B U' R L F' U' L
R D' F' B L B U'
B U' R F' L U' L
R D' B L F' B U'
R D' B L B F' U'
R D' B F' L B U'
B U2 L R F' U' L
B U2 R L F' U' L
B U2 R F' L U' L
R F L F2 U' L F
R F B L F2 U' L
R F' L U' L D F
R F' L U' L D' F
R F' L U' L D2 F
R F' L U' L F D
R F' L U' L F D'
R F' L U' L F D2
R F' L U' D L F
R F' L U' D' L F
R F' L U' D2 L F
R F' L U' F L F
R F' L U' F' L F
R F' L U' F2 L F
R F' L D U' L F
R F' L D' U' L F
R F' L D2 U' L F
R F' L' U' L F L2
R F' L' B L U' L2
R F' L2 B L U' L'
R F' U R B U2 L2
R F' U R' U2 L2 F'
R F' U R' U2 F' L2
R F' U' L D F L
R F' U' L D' F L
R F' U' L D2 F L
R F' U' L F L D
R F' U' L F L D'
R F' U' L F L D2
R F' U' L F D L
R F' U' L F D' L
R F' U' L F D2 L
R F' U' L F' L F2
R F' U' L F2 L F'
R F' U' F L F L
R F' U' F' L F L
R F' U' F2 L F L
R F' U2 F R U L2
B2 D' R B2 U' F' R
R F' D' B L B U'
R F' B L U' L D
R F' B L U' L D'
R F' B L U' L D2
R F' B L U' D L
R F' B L U' D' L
R F' B L U' D2 L
R F' B L D U' L
R F' B L D' U' L
R F' B L D2 U' L
R F' B D' L B2 U'
R F' B' U2 R' U L2
R F' B' D' B2 L U'
B2 D' B2 R U' F' R
L' B L R F' U' L2
R B L D F' U' L
R B L D' F' U' L
R B L D2 F' U' L
R B L F' U' L D
R B L F' U' L D'
R B L F' U' L D2
R B L F' U' D L
R B L F' U' D' L
R B L F' U' D2 L
R B L F' D U' L
L' B R L F' U' L2
R B L F' D' U' L
R B L F' D2 U' L
U2 B R F' L' U' L'
L2 B R F' L U' L'
L2 B U L R F' U'
L2 B U R L F' U'
L2 B U R F' L U'
R' B U2 L R2 U' L
R' B U2 R2 L U' L
R B D' L F' B2 U'
R B D' L B2 F' U'
R B D' F' L B2 U'
R B F L F2 U' L
R B F' L U' L D
R B F' L U' L D'
R B F' L U' L D2
R B F' L U' D L
R B F' L U' D' L
R B F' L U' D2 L
R B F' L D U' L
R B F' L D' U' L
R B F' L D2 U' L
R B F' D' L B2 U'
U2 B' R F' L' U' L'
R' B' R' B2 L U L
F2 B' L' R' B U L'
F2 B' R' L' B U L'
F2 B' R' B L' U L'
R B' D' F' B2 L U'
R B' D' B2 L F' U'
R B' D' B2 F' L U'
R B' F' U2 R' U L2
R B' F' D' B2 L U'
B' F2 L' R' B U L'
U2 B2 R F' L' U' L'
B' F2 R' L' B U L'
B' F2 R' B L' U L'
