F2 L R B' U' F'
F2 L B' R U' F'
F2 L2 R U' F' L'
F2 R L B' U' F'
F2 R L2 U' F' L'
F2 L R D B' U' F'
F2 L R D' B' U' F'
F2 L R D2 B' U' F'
F2 L R B' L U' F'
F2 L R B' L' U' F'
F2 L R B' L2 U' F'
F2 L R B' U' D F'
F2 L R B' U' D' F'
F2 L R B' U' D2 F'
F2 L R B' U' F' D
F2 L R B' U' F' D'
F2 L R B' U' F' D2
F2 L R B' D U' F'
F2 L R B' D' U' F'
F2 L R B' D2 U' F'
L' R D F U R2 F2
L' R D F U F2 R2
L' R D2 F B2 U F2
F2 L D R B' L U'
L' R D2 B2 F U F2
F2 L D B' L R U'
F2 L D B' R L U'
L' R F U2 F U' F
F' L F' R B' U' F'
F' L F' B' R U' F'
F2 L B R B2 U' F'
F2 L B' L R U' F'
F2 L B' L' R U' F'
F2 L B' L2 R U' F'
F2 L B' R L U' F'
F2 L B' R L' U' F'
F2 L B' R L2 U' F'
F2 L B' R U' D F'
F2 L B' R U' D' F'
F2 L B' R U' D2 F'
F2 L B' R U' F' D
F2 L B' R U' F' D'
F2 L B' R U' F' D2
F2 L B' R D U' F'
F2 L B' R D' U' F'
F2 L B' R D2 U' F'
F' L B' F' R U' F'
F2 L' R U' F' D' L2
F2 L' R U2 F U F2
D2 L' R F' B2 U F2
D2 L' R B2 F' U F2
R' L' D F U R2 F'
L' R' D F U R2 F'
R L' D F U R2 F2
R L' D F U F2 R2
D2 L' U D' R2 F L'
D2 L' U D' F L' R2
D2 L' U D' F R2 L'
R L' D2 F B2 U F2
R L' D2 B2 F U F2
R L' F U2 F U' F
D2 L' D' U R2 F L'
D2 L' D' U F L' R2
D2 L' D' U F R2 L'
D2 L' B2 R F' U F2
D2 L' B2 U D' F L'
D2 L' B2 D' U F L'
F2 L2 R U' L F' L'
F2 L2 R U' L' F' L'
F2 L2 R U' L2 F' L'
F2 L2 R U' D F' L'
F2 L2 R U' D' F' L'
F2 L2 R U' D2 F' L'
F2 L2 R U' F' L' D
F2 L2 R U' F' L' D'
F2 L2 R U' F' L' D2
F2 L2 R U' F' D L'
F2 L2 R U' F' D' L'
F2 L2 R U' F' D2 L'
F2 L2 R D U' F' L'
F2 L2 R D' U' F' L'
F2 L2 R D2 U' F' L'
F2 L2 R B U' F' L'
F2 L2 R B' U' F' L'
F2 L2 R B2 U' F' L'
F' L2 F' R U' F' L'
F2 L2 B R U' F' L'
F2 L2 B' R U' F' L'
F2 L2 B2 R U' F' L'
F2 R L D B' U' F'
F2 R L D' B' U' F'
F2 R L D2 B' U' F'
F2 R L B' L U' F'
F2 R L B' L' U' F'
F2 R L B' L2 U' F'
F2 R L B' U' D F'
F2 R L B' U' D' F'
F2 R L B' U' D2 F'
F2 R L B' U' F' D
F2 R L B' U' F' D'
F2 R L B' U' F' D2
F2 R L B' D U' F'
F2 R L B' D' U' F'
F2 R L B' D2 U' F'
F2 R L' U' F' D' L2
F2 R L' U2 F U F2
D2 R L' F' B2 U F2
D2 R L' B2 F' U F2
F2 R L2 U' L F' L'
F2 R L2 U' L' F' L'
F2 R L2 U' L2 F' L'
F2 R L2 U' D F' L'
F2 R L2 U' D' F' L'
F2 R L2 U' D2 F' L'
F2 R L2 U' F' L' D
F2 R L2 U' F' L' D'
F2 R L2 U' F' L' D2
F2 R L2 U' F' D L'
F2 R L2 U' F' D' L'
F2 R L2 U' F' D2 L'
F2 R L2 D U' F' L'
F2 R L2 D' U' F' L'
F2 R L2 D2 U' F' L'
F2 R L2 B U' F' L'
F2 R L2 B' U' F' L'
F2 R L2 B2 U' F' L'
F2 R U' L' F' D' L2
F2 R U' D F L' F2
F2 R U' F2 D F L'
F2 R D U' F L' F2
F2 R D' B' U' L F'
F2 R D' B' U' F' L
F2 R B L B' U' F'
F2 R B L2 U' F' L'
F2 R B' L B' U' F'
F2 R B' L2 U' F' L'
D2 R B2 L' F' U F2
F2 R B2 L B' U' F'
F2 R B2 L2 U' F' L'
F2 R2 D2 R' B U' F'
L' D F B R' U R'
L' D B R' F U R'
L' D B F R' U R'
L' F R U F' D R2
L' F R U2 F U' F2
L' F U R F' D R2
L' F U2 D' F L' U'
L' F D' U2 F L' U'
L' F' R F2 U F R
U' F2 L R B' U' F'
U' F2 L B' R U' F'
U2 F2 L R B' U' F'
U2 F2 L B' R U' F'
U' F2 L2 R U' F' L'
U F2 L R B' U' F'
U2 F2 L2 R U' F' L'
U' F2 R L B' U' F'
U F2 L B' R U' F'
U' F2 R L2 U' F' L'
U2 F2 R L B' U' F'
U2 F2 R L2 U' F' L'
U F2 L2 R U' F' L'
U F2 R L B' U' F'
U F2 R L2 U' F' L'
R F2 R U' D F L'
R F2 R D U' F L'
R F2 D R U' F L'
F2 B L R B' U' F'
F2 B L B' R U' F'
F2 B L2 R U' F' L'
F2 B R L B' U' F'
F2 B R L2 U' F' L'
L B' L' F2 R U' F'
F2 B' L R B' U' F'
F2 B' L B' R U' F'
F2 B' L2 R U' F' L'
F2 B' R L B' U' F'
F2 B' R L2 U' F' L'
D2 B2 L' R F' U F2
D2 B2 L' U D' F L'
D2 B2 L' D' U F L'
B' F2 L R B' U' F'
D2 B2 R L' F' U F2
B2 F2 L R B' U' F'
B' F2 L B' R U' F'
F2 B2 L R B' U' F'
B2 F2 L B' R U' F'
F2 B2 L B' R U' F'
B F2 L R B' U' F'
B' F2 L2 R U' F' L'
B F2 L B' R U' F'
B2 F2 L2 R U' F' L'
F2 B2 L2 R U' F' L'
B' F2 R L B' U' F'
B' F2 R L2 U' F' L'
B F2 L2 R U' F' L'
B2 F2 R L B' U' F'
B2 F2 R L2 U' F' L'
F2 B2 R L B' U' F'
F2 B2 R L2 U' F' L'
B F2 R L B' U' F'
B F2 R L2 U' F' L'
