B' L F U' B
U B' L U' R'
B' L D F U' B
B' L D' F U' B
B' L D2 F U' B
B' L F U' D B
B' L F U' D' B
B' L F U' D2 B
B' L F U' B D
B' L F U' B D'
B' L F U' B D2
B' L F D U' B
B' L F D' U' B
B' L F D2 U' B
R' U B' L U' R'
R2 U B' L U' R'
R U B' L U' R'
F' U B' L U' R'
F2 U B' L U' R'
F U B' L U' R'
B' D L F U' B
U F B' L U' R'
B' D' L F U' B
U F' B' L U' R'
B' D2 L F U' B
U F2 B' L U' R'
B' F L F U' B
R' B' L F U' B
R2 B' L F U' B
U B' L U' R' D
U B' L U' R' D'
U B' L U' R' D2
U B' L U' R' D2
U B' L U' D R'
U B' L U' D' R'
U B' L U' D2 R'
U B' L D U' R'
U B' L D' U' R'
U B' L D2 U' R'
U B' L F U' R'
U B' L F' U' R'
U B' L F2 U' R'
R B' L F U' B
F' B' L F U' B
B' F' L F U' B
F2 B' L F U' B
F B' L F U' B
U B' D L U' R'
U B' D' L U' R'
U B' D2 L U' R'
U B' F L U' R'
U B' F' L U' R'
U B' F2 L U' R'
B' F2 L F U' B
B' L R F R' U' B
B' L R' F R U' B
B' L R2 F U F2 U2
B' L R2 F U' D2 B2
B' L R2 F D R2 U'
B' L R2 F D2 U' B2
B' L U' B U F U'
B' L U2 L2 B' U B2
B' L D F U' D B
B' L D F U' D' B
B' L D F U' D2 B
B' L D F U' B D
B' L D F U' B D'
B' L D F U' B D2
B' L D F D U' B
B' L D F D' U' B
B' L D F D2 U' B
B' L D' F U' D B
B' L D' F U' D' B
B' L D' F U' D2 B
B' L D' F U' B D
B' L D' F U' B D'
B' L D' F U' B D2
B' L D' F D U' B
B' L D' F D' U' B
B' L D' F D2 U' B
B' L D2 F U' D B
B' L D2 F U' D' B
B' L D2 F U' D2 B
B' L D2 F U' B D
B' L D2 F U' B D'
B' L D2 F U' B D2
B' L D2 F D U' B
B' L D2 F D' U' B
B' L D2 F D2 U' B
D2 L F L' B' U' B
B' L F R2 U F' U2
B' L F U F U2 B
B' L F U F' U2 B
B' L F U F2 U2 B
B' L F U' L B L'
B' L F U' L2 B L2
B' L F U' D B D
B' L F U' D B D'
B' L F U' D B D2
B' L F U' D' B D
B' L F U' D' B D'
B' L F U' D' B D2
B' L F U' D2 B D
B' L F U' D2 B D'
B' L F U' D2 B D2
B' L F U' B2 D B'
B' L F U' B2 D' B'
B' L F U' B2 D2 B'
B' L F U2 L U B
B' L F U2 L' U B
B' L F U2 L2 U B
B' L F D U' B D
B' L F D U' B D'
B' L F D U' B D2
B' L F D' U' B D
B' L F D' U' B D'
B' L F D' U' B D2
B' L F D2 U' B D
B' L F D2 U' B D'
B' L F D2 U' B D2
B2 L F B L U' B
B' L F' U' D B R2
B' L F' U' B D R2
B' L F' D U' B R2
B' L F2 D F' U' B
B' L F2 D' F' U' B
B' L F2 D2 F' U' B
B2 L B F L U' B
B' L' F L2 F U' B
B' L' F' L2 F U' B
B' L' F2 L2 F U' B
B' L2 D' L' U' B R'
L' U L B' L F U'
L2 U L2 B' L F U'
B' R L F R' U' B
R' U F B' L U' R'
R2 U F B' L U' R'
R U F B' L U' R'
R' U F' B' L U' R'
F' R U B' L U' R'
D' R U B' U' F' R'
R2 U F' B' L U' R'
F2 R U B' L U' R'
R U F' B' L U' R'
R' U F2 B' L U' R'
F R U B' L U' R'
R2 U F2 B' L U' R'
R U F2 B' L U' R'
R' U B' L U' R' D
R' U B' L U' R' D'
R' U B' L U' R' D2
R' U B' L U' D R'
R' U B' L U' D' R'
R' U B' L U' D2 R'
R' U B' L D U' R'
R' U B' L D' U' R'
R' U B' L D2 U' R'
R' U B' L F U' R'
R' U B' L F' U' R'
R' U B' L F2 U' R'
U' R U2 B' L U' R'
R' U B' D L U' R'
R2 U B' L U' R' D
R2 U B' L U' R' D'
R2 U B' L U' R' D2
R2 U B' L U' D R'
R2 U B' L U' D' R'
R2 U B' L U' D2 R'
R2 U B' L D U' R'
R2 U B' L D' U' R'
R2 U B' L D2 U' R'
R2 U B' L F U' R'
R2 U B' L F' U' R'
R2 U B' L F2 U' R'
R' U B' D' L U' R'
R' U B' D2 L U' R'
R' U B' F L U' R'
R' U B' F' L U' R'
R U B' L U' R' D
R U B' L U' R' D'
R U B' L U' R' D2
R U B' L U' D R'
R U B' L U' D' R'
R U B' L U' D2 R'
R U B' L D U' R'
R U B' L D' U' R'
R U B' L D2 U' R'
R U B' L F U' R'
R U B' L F' U' R'
R U B' L F2 U' R'
R' U B' F2 L U' R'
R2 U B' D L U' R'
R2 U B' D' L U' R'
R2 U B' D2 L U' R'
R2 U B' F L U' R'
R2 U B' F' L U' R'
R U B' D L U' R'
R2 U B' F2 L U' R'
R U B' D' L U' R'
R U B' D2 L U' R'
R U B' F L U' R'
R U B' F' L U' R'
R U B' F2 L U' R'
B' R D2 L F U' B'
D' R F' U B' U' R'
F' R B' L F U' B
F2 R B' L F U' B
F R B' L F U' B
B' R' L F R U' B
F' R' U B' L U' R'
B R' U D B' L2 R'
B R' U D B' R' L2
F2 R' U B' L U' R'
F R' U B' L U' R'
U2 R' U' F' B' L U'
U2 R' U' B' L F' U'
U2 R' U' B' F' L U'
U' R' U2 B' L U' R'
L' U' B' U2 L B' U'
B R' D U B' L2 R'
B R' D U B' R' L2
B R' D2 F2 U B' R'
F' R' B' L F U' B
F2 R' B' L F U' B
F R' B' L F U' B
U R' B' L R U' R2
U R' B' R L U' R2
B' R2 L F U F2 U2
B' R2 L F U' D2 B2
B' R2 L F D R2 U'
B' R2 L F D2 U' B2
D' R2 U B' U' R' F'
F' R2 U B' L U' R'
F2 R2 U B' L U' R'
F R2 U B' L U' R'
U' R2 U2 B' L U' R'
F' R2 B' L F U' B
F2 R2 B' L F U' B
F R2 B' L F U' B
U R2 B' L R2 U' R
U R2 B' R2 L U' R
D2 U F B' L' U' R'
D2 U F2 B' U' R' F'
F' U F B' L U' R'
F2 U F B' L U' R'
D' U B' U' R F' R2
F' U F' B' L U' R'
F U F B' L U' R'
F2 U F' B' L U' R'
D2 U B' F L' U' R'
D2 U B' F2 U' R' F'
D U B' L' U' R' F
D U B' L' U' F R'
F' U F2 B' L U' R'
U D B' L' U' R' F
U D B' L' U' F R'
F U F' B' L U' R'
F2 U F2 B' L U' R'
F' U B' L U' R' D
F' U B' L U' R' D'
F' U B' L U' R' D2
F' U B' L U' D R'
F' U B' L U' D' R'
F' U B' L U' D2 R'
F' U B' L D U' R'
F' U B' L D' U' R'
F' U B' L D2 U' R'
F' U B' L F U' R'
F' U B' L F' U' R'
F' U B' L F2 U' R'
F U F2 B' L U' R'
F2 U B' L U' R' D
F2 U B' L U' R' D'
F2 U B' L U' R' D2
F2 U B' L U' D R'
F2 U B' L U' D' R'
F2 U B' L U' D2 R'
F2 U B' L D U' R'
F2 U B' L D' U' R'
F2 U B' L D2 U' R'
F2 U B' L F U' R'
F2 U B' L F' U' R'
F2 U B' L F2 U' R'
F' U B' D L U' R'
F' U B' D' L U' R'
F' U B' D2 L U' R'
F' U B' F L U' R'
F' U B' F' L U' R'
F' U B' F2 L U' R'
F2 U B' D L U' R'
F2 U B' D' L U' R'
F2 U B' D2 L U' R'
F2 U B' F L U' R'
F2 U B' F' L U' R'
F2 U B' F2 L U' R'
F U B' L U' R' D
F U B' L U' R' D'
F U B' L U' R' D2
F U B' L U' D R'
F U B' L U' D' R'
F U B' L U' D2 R'
F U B' L D U' R'
F U B' L D' U' R'
F U B' L D2 U' R'
F U B' L F U' R'
F U B' L F' U' R'
F U B' L F2 U' R'
F U B' D L U' R'
B U B2 L U' B R'
F U B' D' L U' R'
F U B' D2 L U' R'
F U B' F L U' R'
F U B' F' L U' R'
F U B' F2 L U' R'
B' U' F B D' R F'
U D' B' U' R F' R2
B' U' B D' F R F'
B' U' B F D' R F'
L D2 F L' B' U' B
U D2 F B' L' U' R'
U D2 F2 B' U' R' F'
U D2 B' F L' U' R'
U D2 B' F2 U' R' F'
L F L' B' L U' B
R' F U B' L U' R'
D2 F U B' L' U' R'
B' D L D F U' B
R2 F U B' L U' R'
B' D L D' F U' B
B' D L D2 F U' B
B' D L F U' D B
B' D L F U' D' B
B' D L F U' D2 B
B' D L F U' B D
B' D L F U' B D'
B' D L F U' B D2
B' D L F D U' B
B' D L F D' U' B
B' D L F D2 U' B
U' F U2 B' L U' R
R F U B' L U' R'
R' F B' L F U' B
B D R' U B' L2 R'
B D R' U B' R' L2
R2 F B' L F U' B
U F B' L U' R' D
U F B' L U' R' D'
U F B' L U' R' D2
U F B' L U' D R'
U F B' L U' D' R'
U F B' L U' D2 R'
U F B' L D U' R'
U F B' L D' U' R'
U F B' L D2 U' R'
U F B' L F U' R'
U F B' L F' U' R'
U F B' L F2 U' R'
R F B' L F U' B
U F B' D L U' R'
U F B' D' L U' R'
U F B' D2 L U' R'
B' D F L F U' B
B' D F' L F U' B
B' D F2 L F U' B
R' F' U B' L U' R'
B' D' L D F U' B
B' D' L D' F U' B
R2 F' U B' L U' R'
B' D' L D2 F U' B
B' D' L F U' D B
B' D' L F U' D' B
B' D' L F U' D2 B
B' D' L F U' B D
B' D' L F U' B D'
B' D' L F U' B D2
B' D' L F D U' B
B' D' L F D' U' B
B' D' L F D2 U' B
R F' U B' L U' R'
R' F' B' L F U' B
R2 F' B' L F U' B
U F' B' L U' R' D
U F' B' L U' R' D'
U F' B' L U' R' D2
U F' B' L U' D R'
U F' B' L U' D' R'
U F' B' L U' D2 R'
U F' B' L D U' R'
U F' B' L D' U' R'
U F' B' L D2 U' R'
U F' B' L F U' R'
U F' B' L F' U' R'
U F' B' L F2 U' R'
R F' B' L F U' B
U F' B' D L U' R'
U F' B' D' L U' R'
U F' B' D2 L U' R'
B' D' F L F U' B
B' D' F' L F U' B
B' D' F2 L F U' B
B2 D' B L R2 F U'
B2 D' B L F R2 U'
B2 D' B R2 L F U'
R' F2 U B' L U' R'
B' D2 L D F U' B
B' D2 L D' F U' B
B' D2 L D2 F U' B
B' D2 L F U' D B
B' D2 L F U' D' B
B' D2 L F U' D2 B
B' D2 L F U' B D
B' D2 L F U' B D'
B' D2 L F U' B D2
B' D2 L F D U' B
B' D2 L F D' U' B
B' D2 L F D2 U' B
R2 F2 U B' L U' R'
R F2 U B' L U' R'
R' F2 B' L F U' B
B D2 R' F2 U B' R'
R2 F2 B' L F U' B
U F2 B' L U' R' D
U F2 B' L U' R' D'
U F2 B' L U' R' D2
U F2 B' L U' D R'
U F2 B' L U' D' R'
U F2 B' L U' D2 R'
U F2 B' L D U' R'
U F2 B' L D' U' R'
U F2 B' L D2 U' R'
U F2 B' L F U' R'
U F2 B' L F' U' R'
U F2 B' L F2 U' R'
R F2 B' L F U' B
U F2 B' D L U' R'
U F2 B' D' L U' R'
U F2 B' D2 L U' R'
B' D2 F L F U' B
B' D2 F' L F U' B
B' D2 F2 L F U' B
B D2 F2 R' U B' R'
B' F L D F U' B
B' F L D' F U' B
B' F L D2 F U' B
B' F L F U' D B
B' F L F U' D' B
B' F L F U' D2 B
B' F L F U' B D
B' F L F U' B D'
B' F L F U' B D2
B' F L F D U' B
B' F L F D' U' B
B' F L F D2 U' B
U' B' L F U' R B
R' B' L D F U' B
R' B' L D' F U' B
R' B' L D2 F U' B
D2 B' L F L' U' B
R' B' L F U' D B
R' B' L F U' D' B
R' B' L F U' D2 B
R' B' L F U' B D
R' B' L F U' B D'
R' B' L F U' B D2
R' B' L F D U' B
R' B' L F D' U' B
R' B' L F D2 U' B
R2 B' L D F U' B
R2 B' L D' F U' B
B' F D L F U' B
R2 B' L D2 F U' B
R2 B' L F U' D B
R2 B' L F U' D' B
R2 B' L F U' D2 B
R2 B' L F U' B D
R2 B' L F U' B D'
R2 B' L F U' B D2
R2 B' L F D U' B
R2 B' L F D' U' B
R2 B' L F D2 U' B
U B' L U L U2 R'
U B' L U L' U2 R'
U B' L U L2 U2 R'
U B' L U' R2 D R
U B' L U' R2 D' R
U B' L U' R2 D2 R
U B' L U' D R' D
U B' L U' D R' D'
U B' L U' D R' D2
U B' L U' D' R' D
U B' L U' D' R' D'
U B' L U' D' R' D2
U B' L U' D2 R' D
U B' L U' D2 R' D'
U B' L U' D2 R' D2
U B' L U' F' R' F
U B' L U' F2 R' F2
U B' L D U' R' D
U B' L D U' R' D'
U B' L D U' R' D2
U B' L D F U' R'
U B' L D F' U' R'
U B' L D F2 U' R'
U B' L D' U' R' D
U B' L D' U' R' D'
U B' L D' U' R' D2
U B' L D' F U' R'
U B' L D' F' U' R'
U B' L D' F2 U' R'
U B' L D2 U' R' D
U B' L D2 U' R' D'
U B' L D2 U' R' D2
U B' L D2 F U' R'
U B' L D2 F' U' R'
U B' L D2 F2 U' R'
U B' L F U' R' D
U B' L F U' R' D'
U B' L F U' R' D2
U B' L F U' D R'
U B' L F U' D' R'
U B' L F U' D2 R'
U B' L F D U' R'
U B' L F D' U' R'
U B' L F D2 U' R'
U B' L F' U' R' D
U B' L F' U' R' D'
U B' L F' U' R' D2
U B' L F' U' D R'
U B' L F' U' D' R'
U B' L F' U' D2 R'
U B' L F' D U' R'
U B' L F' D' U' R'
U B' L F' D2 U' R'
B' F D' L F U' B
U B' L F2 U' R' D
U B' L F2 U' R' D'
U B' L F2 U' R' D2
U B' L F2 U' D R'
U B' L F2 U' D' R'
U B' L F2 U' D2 R'
U B' L F2 D U' R'
U B' L F2 D' U' R'
U B' L F2 D2 U' R'
R B' L D F U' B
R B' L D' F U' B
R B' L D2 F U' B
R B' L F U' D B
R B' L F U' D' B
R B' L F U' D2 B
R B' L F U' B D
R B' L F U' B D'
R B' L F U' B D2
R B' L F D U' B
R B' L F D' U' B
R B' L F D2 U' B
U B' L' U' R' D F2
U B' L' U' D R' F2
U B' L' U' D F2 R'
U B' L' D U' R' F2
U B' L' D U' F2 R'
U B' L' F L2 U' R'
U B' L' F' L2 U' R'
B' F D2 L F U' B
U B' L' F2 L2 U' R'
U B' L2 D L' U' R'
U B' L2 D' L' U' R'
U B' L2 D2 L' U' R'
U B' L2 F U' R' F'
B' F' L D F U' B
B' F' L D' F U' B
B' F' L D2 F U' B
B' F' L F U' D B
B' F' L F U' D' B
B' F' L F U' D2 B
B' F' L F U' B D
B' F' L F U' B D'
B' F' L F U' B D2
B' F' L F D U' B
B' F' L F D' U' B
B' F' L F D2 U' B
F' B' L D F U' B
F' B' L D' F U' B
F' B' L D2 F U' B
F' B' L F U' D B
F' B' L F U' D' B
F' B' L F U' D2 B
F' B' L F U' B D
F' B' L F U' B D'
F' B' L F U' B D2
F' B' L F D U' B
F' B' L F D' U' B
F' B' L F D2 U' B
F2 B' L D F U' B
F2 B' L D' F U' B
F2 B' L D2 F U' B
F2 B' L F U' D B
F2 B' L F U' D' B
F2 B' L F U' D2 B
F2 B' L F U' B D
F2 B' L F U' B D'
F2 B' L F U' B D2
F2 B' L F D U' B
F2 B' L F D' U' B
F2 B' L F D2 U' B
F B' L D F U' B
F B' L D' F U' B
F B' L D2 F U' B
F B' L F U' D B
F B' L F U' D' B
F B' L F U' D2 B
F B' L F U' B D
F B' L F U' B D'
F B' L F U' B D2
F B' L F D U' B
F B' L F D' U' B
F B' L F D2 U' B
D' B' U' F B R F'
D' B' U' B F R F'
L' B' U2 L B' U' B2
R' B' D L F U' B
U B' U' R' U L U'
R' B' D' L F U' B
R2 B' D L F U' B
R' B' D2 L F U' B
U B' D L U' R' D
U B' D L U' R' D'
U B' D L U' R' D2
U B' D L U' D R'
U B' D L U' D' R'
U B' D L U' D2 R'
U B' D L D U' R'
U B' D L D' U' R'
U B' D L D2 U' R'
U B' D L F U' R'
U B' D L F' U' R'
U B' D L F2 U' R'
R2 B' D' L F U' B
R B' D L F U' B
U B' D F L U' R'
U B' D F' L U' R'
R' B' F L F U' B
U B' D F2 L U' R'
U B' D' L U' R' D
U B' D' L U' R' D'
U B' D' L U' R' D2
U B' D' L U' D R'
U B' D' L U' D' R'
U B' D' L U' D2 R'
U B' D' L D U' R'
U B' D' L D' U' R'
U B' D' L D2 U' R'
U B' D' L F U' R'
U B' D' L F' U' R'
U B' D' L F2 U' R'
R2 B' D2 L F U' B
R' B' F' L F U' B
R B' D' L F U' B
U B' D' F L U' R'
U B' D' F' L U' R'
U B' D' F2 L U' R'
U B' D2 L U' R' D
U B' D2 L U' R' D'
U B' D2 L U' R' D2
U B' D2 L U' D R'
U B' D2 L U' D' R'
U B' D2 L U' D2 R'
U B' D2 L D U' R'
U B' D2 L D' U' R'
U B' D2 L D2 U' R'
U B' D2 L F U' R'
U B' D2 L F' U' R'
U B' D2 L F2 U' R'
R2 B' F L F U' B
R' B' F2 L F U' B
R B' D2 L F U' B
U B' D2 F L U' R'
B' F' D L F U' B
U B' D2 F' L U' R'
U B' D2 F2 L U' R'
R2 B' F' L F U' B
U B' F L U' R' D
U B' F L U' R' D'
U B' F L U' R' D2
U B' F L U' D R'
U B' F L U' D' R'
U B' F L U' D2 R'
U B' F L D U' R'
U B' F L D' U' R'
U B' F L D2 U' R'
U B' F L F U' R'
U B' F L F' U' R'
U B' F L F2 U' R'
F' B' D L F U' B
F2 B' D L F U' B
R B' F L F U' B
B' F' D' L F U' B
U B' F D L U' R'
U B' F D' L U' R'
U B' F D2 L U' R'
R2 B' F2 L F U' B
U B' F' L U' R' D
U B' F' L U' R' D'
U B' F' L U' R' D2
U B' F' L U' D R'
U B' F' L U' D' R'
U B' F' L U' D2 R'
U B' F' L D U' R'
U B' F' L D' U' R'
U B' F' L D2 U' R'
U B' F' L F U' R'
U B' F' L F' U' R'
U B' F' L F2 U' R'
F' B' D' L F U' B
R B' F' L F U' B
F2 B' D' L F U' B
U B' F' D L U' R'
U B' F' D' L U' R'
B' F' D2 L F U' B
U B' F' D2 L U' R'
U B' F2 L U' R' D
U B' F2 L U' R' D'
U B' F2 L U' R' D2
U B' F2 L U' D R'
U B' F2 L U' D' R'
U B' F2 L U' D2 R'
U B' F2 L D U' R'
U B' F2 L D' U' R'
U B' F2 L D2 U' R'
U B' F2 L F U' R'
U B' F2 L F' U' R'
U B' F2 L F2 U' R'
F B' D L F U' B
F' B' D2 L F U' B
R B' F2 L F U' B
U B' F2 D L U' R'
U B' F2 D' L U' R'
F2 B' D2 L F U' B
U B' F2 D2 L U' R'
F B' D' L F U' B
B' F2 L D F U' B
B' F2 L D' F U' B
B' F2 L D2 F U' B
B' F2 L F U' D B
B' F2 L F U' D' B
B' F2 L F U' D2 B
B' F2 L F U' B D
B' F2 L F U' B D'
B' F2 L F U' B D2
B' F2 L F D U' B
B' F2 L F D' U' B
B' F2 L F D2 U' B
U B2 L B L U' R'
F B' D2 L F U' B
U B2 L' B L U' R'
U B2 L2 B L U' R'
B' F2 D L F U' B
B' F2 D' L F U' B
B' F2 D2 L F U' B
