D R' B U' F2 R
D L' U' R' B U' F2
L2 R' F U L U2 L2
L2 R' F U' L' D2 R2
L2 R' F B2 U' L' R'
L2 R' F B2 U' R' L'
L2 R' F' U L R U2
L2 R' F' U R L U2
L2 R' B2 F U' L' R'
L2 R' B2 F U' R' L'
D' L' B2 U F L U
R' L2 F U L U2 L2
R' L2 F U' L' D2 R2
F2 L2 R' F' U' L' R2
F2 L2 R' F' U' R2 L'
F L2 R' F U' L R
F L2 R' F U' R L
R' L2 F B2 U' L' R'
R' L2 F B2 U' R' L'
R' L2 F' U L R U2
R' L2 F' U R L U2
R' L2 B2 F U' L' R'
R' L2 B2 F U' R' L'
F L2 F R' U' L R2
F L2 F R' U' R2 L
F2 R D F' L' F' B2
F2 R D F' L' B2 F'
F2 R D F' B2 L' F'
F2 R D B2 F' L' F'
L' U' L' D R' B U'
F2 R F D F2 L' B2
F2 R F D F2 B2 L'
F2 R F D B2 F2 L'
F2 R F' D L' F2 B2
F2 R F' D L' B2 F2
F2 R F' D B2 L' F2
L' U' D L' R' B U'
L' U' D R' L' B U'
L' U' D R' B L' U'
F2 R' L2 F' U' L' R2
F2 R' L2 F' U' R2 L'
F R' L2 F U' L R
F R' L2 F U' R L
F2 R' F' L2 U' L R2
F2 R' F' L2 U' R2 L
D R' F' B U' F' R
D R' B U L' U2 F2
D R' B U' R F2 R
D R' B U' R' F2 R
D R' B U' R2 F2 R
D R' B U' F2 R D
D R' B U' F2 R D'
D R' B U' F2 R D2
D R' B U' F2 D R
D R' B U' F2 D' R
D R' B U' F2 D2 R
D R' B F' U' F' R
L D L R' F2 B U'
L D L R' B F2 U'
L D L F2 R' B U'
L D R' L F2 B U'
L D R' L B F2 U'
L D R' F2 L B U'
L' D U' L' R' B U'
L' D U' R' L' B U'
L' D U' R' B L' U'
L D F2 L R' B U'
L D F2 R' L B U'
U' D R' B U' F2 R
U2 D R' B U' F2 R
D U R' B U' F2 R
U D R' B U' F2 R
D U' R' B U' F2 R
F U' L2 R' F' U' L
F U' R' L2 F' U' L
D U2 R' B U' F2 R
R' F L2 F U' L R
R' F L2 F U' R L
L2 F R' U L U2 L2
L2 F R' U' L' D2 R2
L2 F R' B2 U' L' R'
L2 F R' B2 U' R' L'
L' F U' R' U' L' F'
L2 F' R' U L R2 U2
L2 F' R' U R2 L U2
L2 F' R' D B2 U' R'
D F2 R U R2 B U'
D F2 U R' B U' R2
D' B2 L' U F L2 U
