D F2 L R B2 U'
D F2 L B2 R U'
D F2 R L B2 U'
D' B2 L' R' F2 U
D' B2 L' F2 R' U
D' B2 R' L' F2 U
F2 L R U L R U2
F2 L R U R L U2
L' R U D F2 L' R
L' R U D F2 R L'
R' L U' D' B2 L R'
R' L U' D' B2 R' L
F L U L R2 F U2
F L U L F R2 U2
F L U R2 L F U2
L' R D U F2 L' R
L' R D U F2 R L'
D2 L U' R2 D' L B2
D' L U' D' L2 R2 B2
D' L U' D' L2 B2 R2
D' L U' D' R2 L2 B2
D' L U' D' R2 B2 L2
D' L U' D' B2 L2 R2
D' L U' D' B2 R2 L2
R' L D' U' B2 L R'
R' L D' U' B2 R' L
D2 L U2 L2 U L' R2
D2 L U2 L2 U R2 L'
D' L U2 L2 F2 B2 U
D' L U2 L2 B2 F2 U
D' L U2 F2 L2 B2 U
D' L U2 F2 B2 L2 U
D' L U2 B2 L2 F2 U
D' L U2 B2 F2 L2 U
F2 L D R B2 U' R'
F' L D B2 U' R' B
F2 L D B2 R U' R2
D' L D' U' L2 R2 B2
D' L D' U' L2 B2 R2
D' L D' U' R2 L2 B2
D' L D' U' R2 B2 L2
D' L D' U' B2 L2 R2
D' L D' U' B2 R2 L2
D2 L D' F2 U' L B2
D' L D2 R2 F2 B2 U'
D' L D2 R2 B2 F2 U'
D' L D2 F2 R2 B2 U'
D' L D2 F2 B2 R2 U'
D' L D2 B2 R2 F2 U'
D' L D2 B2 F2 R2 U'
D L F2 B2 U' D' B2
D L F2 B2 U2 L2 U
D L F2 B2 D' U' B2
D L F2 B2 D2 R2 U'
R L' U D F2 L' R
R L' U D F2 R L'
L R' U' D' B2 L R'
L R' U' D' B2 R' L
D L B2 F2 U' D' B2
D L B2 F2 U2 L2 U
D L B2 F2 D' U' B2
D L B2 F2 D2 R2 U'
B2 L' R' U' L' R' U2
B2 L' R' U' R' L' U2
R L' D U F2 L' R
R L' D U F2 R L'
L R' D' U' B2 L R'
L R' D' U' B2 R' L
D2 L' U R2 D L' F2
D L' U D L2 R2 F2
D L' U D L2 F2 R2
D L' U D R2 L2 F2
D L' U D R2 F2 L2
D L' U D F2 L2 R2
D L' U D F2 R2 L2
B' L' U' L' R2 B' U2
B' L' U' L' B' R2 U2
B' L' U' R2 L' B' U2
D2 L' U2 L2 U' L R2
D2 L' U2 L2 U' R2 L
D L' U2 L2 F2 B2 U'
D L' U2 L2 B2 F2 U'
D L' U2 F2 L2 B2 U'
D L' U2 F2 B2 L2 U'
D L' U2 B2 L2 F2 U'
D L' U2 B2 F2 L2 U'
D L' D U L2 R2 F2
D L' D U L2 F2 R2
D L' D U R2 L2 F2
D L' D U R2 F2 L2
D L' D U F2 L2 R2
D L' D U F2 R2 L2
D2 L' D B2 U L' F2
B2 L' D' R' F2 U R
B2 L' D' F2 R' U R2
B L' D' F2 U R F'
D L' D2 R2 F2 B2 U
D L' D2 R2 B2 F2 U
D L' D2 F2 R2 B2 U
D L' D2 F2 B2 R2 U
D L' D2 B2 R2 F2 U
D L' D2 B2 F2 R2 U
R2 L2 U L U D F2
L2 R2 U L U D F2
R2 L2 U L U2 L2 U'
L2 R2 U L U2 L2 U'
R2 L2 U L D U F2
L2 R2 U L D U F2
R2 L2 U L D2 R2 U
L2 R2 U L D2 R2 U
L2 R2 U' L' U' D' B2
L2 R2 U' L' U2 L2 U
L2 R2 U' L' D' U' B2
R2 L2 U' L' U' D' B2
L2 R2 U' L' D2 R2 U'
R2 L2 U' L' U2 L2 U
R2 L2 U' L' D' U' B2
R2 L2 U' L' D2 R2 U'
D' L' F2 B2 U D F2
D' L' F2 B2 U2 L2 U'
D' L' F2 B2 D U F2
D' L' F2 B2 D2 R2 U
D' L' B2 F2 U D F2
D' L' B2 F2 U2 L2 U'
D' L' B2 F2 D U F2
D' L' B2 F2 D2 R2 U
L2 R2 F U L U F
R2 L2 F U L U F
B2 L2 R2 U L R U
B2 L2 R2 U R L U
F2 L2 R2 U' L' R' U'
F2 L2 R2 U' R' L' U'
L2 R2 F2 U L R U
L2 R2 F2 U R L U
R2 L2 F2 U L R U
R2 L2 F2 U R L U
L2 R2 B' U' L' U' B'
R2 L2 B' U' L' U' B'
L2 R2 B2 U' L' R' U'
L2 R2 B2 U' R' L' U'
R2 L2 B2 U' L' R' U'
R2 L2 B2 U' R' L' U'
L U L R2 U L U
L2 U L D2 R2 U L2
R2 U L' U D F2 R
R2 U L' D U F2 R
L' U R D F2 L' R
L' U R D F2 R L'
D' L2 F2 L R B2 U
D' L2 F2 L B2 R U
D' L2 F2 R L B2 U
L U R2 L U L U
L U R2 U2 D' B2 R'
L U R2 D L F2 U2
L U R2 D F2 L U2
L U R2 D' L U2 B2
L U R2 D' U2 B2 R'
L' U D F2 R D L2
L' U D F2 D L2 R
L' U D F2 D R L2
D L2 B2 L' R' F2 U'
D L2 B2 L' F2 R' U'
D L2 B2 R' L' F2 U'
L2 U D' F2 L R U
L2 U D' F2 R L U
F2 R L U L R U2
F2 R L U R L U2
R2 U D' B2 L' R' U
R2 U D' B2 R' L' U
L' U F2 R D F2 L'
F2 R D L F2 U' L'
F2 R D F2 L U' L2
R2 U' L U' D' B2 R'
R2 U' L D' U' B2 R'
L' U' L' R2 U' L' U'
L2 U' L' D2 R2 U' L2
D R F2 L R B2 U'
D R F2 L B2 R U'
D R F2 R L B2 U'
L' U' R2 L' U' L' U'
L U' R' D' B2 L R'
L U' R' D' B2 R' L
L' U' R2 U2 D F2 R
L' U' R2 D L' U2 F2
L' U' R2 D U2 F2 R
L' U' R2 D' L' B2 U2
L' U' R2 D' B2 L' U2
D' R B2 L' R' F2 U
D' R B2 L' F2 R' U
D' R B2 R' L' F2 U
R2 U' D F2 L R U'
L2 U' D B2 L' R' U'
R2 U' D F2 R L U'
L2 U' D B2 R' L' U'
L U' D' B2 R' D' L2
L U' D' B2 D' L2 R'
L U' D' B2 D' R' L2
B2 R' L' U' L' R' U2
B2 R' L' U' R' L' U2
B2 R' D' L' B2 U L
L U' B2 R' D' B2 L
B2 R' D' B2 L' U L2
L' U2 L2 U L R2 U2
L' U2 L2 U R2 L U2
L' U2 L2 D B2 U' R'
L U2 L2 U' L' R2 U2
L U2 L2 U' R2 L' U2
L U2 L2 D' F2 U R
D R' F2 L R B2 U'
D R' F2 L B2 R U'
D R' F2 R L B2 U'
D' R' B2 L' R' F2 U
D' R' B2 L' F2 R' U
D' R' B2 R' L' F2 U
L' U2 D B2 U' F2 R
L U2 D' F2 U B2 R'
B2 R2 L2 U L R U
B2 R2 L2 U R L U
F2 R2 L2 U' L' R' U'
F2 R2 L2 U' R' L' U'
D R2 F2 L R B2 U'
D R2 F2 L B2 R U'
D R2 F2 R L B2 U'
D' R2 B2 L' R' F2 U
D' R2 B2 L' F2 R' U
L' D U F2 R D L2
L' D U F2 D L2 R
L' D U F2 D R L2
D' R2 B2 R' L' F2 U
R2 D U' F2 L R U'
R2 D U' F2 R L U'
L2 D U' B2 L' R' U'
L2 D U' B2 R' L' U'
L' D U2 B2 U' F2 R
R D F2 L R U' L2
R D F2 R L U' L2
L D B2 U F2 U2 R'
L D B2 U' R' D2 B2
U' D F2 L R B2 U'
L D B2 U' D2 R' B2
U' D F2 L B2 R U'
