U2 L' B U B2 L
U2 L B U' R' F U2
U2 L B U' F R' U2
U2 L' U B' L D' R2
U2 L' U B' D' L R2
U2 L' U B' D' R2 L
U2 L' F B U B2 L
U2 L' F' B U B2 L
U2 L' F2 B U B2 L
U2 L' B L U B2 L
U2 L' B L' U B2 L
U2 L' B L2 U B2 L
U2 L' B U L B2 L
U2 L' B U L' B2 L
U2 L' B U L2 B2 L
U2 L' B U B2 L D
U2 L' B U B2 L D'
U2 L' B U B2 L D2
U2 L' B U B2 D L
U2 L' B U B2 D' L
U2 L' B U B2 D2 L
U2 L' B U' R' U2 B2
U2 L' B F U B2 L
U2 L' B F' U B2 L
U2 L' B F2 U B2 L
B' L2 D L' F2 R B
U2 L2 B U B2 L B'
R' U D2 F' L' R U2
R' U D2 F' R L' U2
B R U R2 U2 R2 B
B R U R2 F' U2 R2
B R U D2 B L2 F
B' R U' L D' B R2
B R U B D2 L2 F
B' R U' D' L B R2
B R U' R2 F' U2 F
B' R D' U' L B R2
B' R D2 F2 U' L B
B R D2 U B L2 F
R' U' R' B' L R' B
R' U' R' B' R' L B
R' U' R2 B' L R' B2
R' U' R2 B' R' L B2
D2 R' U F' L' R U2
D2 R' U F' R L' U2
B' R' U' L D' R2 B
B' R' U' D' L R2 B
B' R' U' D' R2 L B
R' U' B' L R2 B R
R' U' B' R' D2 L B'
R' U' B' R2 L B R
R' U' B2 R2 B L R'
R' U' B2 R2 B R' L
B' R' D' U' L R2 B
B' R' D' U' R2 L B
D' R' B U F' L' U2
B R2 U R F' U2 R'
B R2 U' R F' U2 F
D' R2 D' F' R B U'
B' R2 D2 F2 U' L B'
D2 R2 F' U R F' U2
U2 D L' F B U B2
U2 D L' B F U B2
U2 D B L' F U B'
R2 D' F' R U2 F' U
R2 D' F' R' B R2 U'
D U2 L' F B U B2
D U2 L' B F U B2
R' D2 U F' L' R U2
R' D2 U F' R L' U2
B' U2 L' B2 U L2 B
B' U2 L' B2 U B L2
F' U2 L' B U B2 L
F2 U2 L' B U B2 L
F U2 L' B U B2 L
D U2 B L' F U B'
U2 F L' B U B2 L
U2 F' L' B U B2 L
R2 F' R' U' B' L B2
R2 F' R' B' U' L B2
R2 F' U' B' D2 L B'
B' D' R U' L B R
R2 F' B U R' U2 B
R2 F' B' R' U' L B
R2 F' B' U' D2 L B'
R2 F' B' D2 U' L B'
U2 F2 L' B U B2 L
R' F2 U' L2 B' L R'
R' F2 U' L2 B' R' L
B' D2 R F2 U' L B
U2 B L U' R' F U2
U2 B L U' F R' U2
U2 B L' U B2 L B
U2 B L' U' R' U2 B'
U2 B L2 U B2 L B'
B' D2 F2 R U' L B
R' B U F' L' R' U2
R' B U F' R' L' U2
U2 B U B2 D L B'
U B U' R' F' B' U2
U B U' R' B' F' U2
U' B' L U' B2 L U
R2 B F' U R' U2 B
U2 B' L' B2 U L2 B
U2 B' L' B2 U B L2
U' B' R D L B2 R'
R B' R F' U' L B2
R' B' U F' L' U2 L2
R2 B' D' F' R U' L
R2 B' D2 F' U' L B'
R2 B' F' R' U' L B
R2 B' F' U' D2 L B'
R2 B' F' D2 U' L B'
U' B2 U' B' L F U
