D L F R F' B'
D L F R B' F'
D L F B' R F'
D L B' F R F'
D F L R F' B'
D F L R B' F'
D F L B' R F'
D F R L F' B'
D F R L B' F'
D F R F' L B'
D L R F R F2 B'
D L R F R B' F2
D L R F B' R F2
D L R B' F R F2
D' L U2 B' U2 R' B
F L D' R' B R2 F'
D L F R D F' B'
D L F R D B' F'
D L F R D' F' B'
D L F R D' B' F'
D L F R D2 F' B'
D L F R D2 B' F'
D L F R F' D B'
D L F R F' D' B'
D L F R F' D2 B'
D L F R F' B' D
D L F R F' B' D'
D L F R F' B' D2
D L F R B' D F'
D L F R B' D' F'
D L F R B' D2 F'
D L F R B' F' D
D L F R B' F' D'
D L F R B' F' D2
D L F B R F' B2
D L F B R B2 F'
D L F B' R D F'
D L F B' R D' F'
D L F B' R D2 F'
D L F B' R F' D
D L F B' R F' D'
D L F B' R F' D2
D L F2 R F' R B'
D L F2 R F' B' R
D L F2 R B' F' R
D L F2 B' R F' R
F L B R D F2 B2
F L B R D B2 F2
D L B F R F' B2
D L B F R B2 F'
D L B' R F R F2
D L B' F R D F'
D L B' F R D' F'
D L B' F R D2 F'
D L B' F R F' D
D L B' F R F' D'
D L B' F R F' D2
D L B' F2 R F' R
D' L' R' F L2 B R
D' L' R' F B L2 R
D' L' R' F B R L2
D' L' R' B F L2 R
D' L' R' B F R L2
D' L' R2 F L2 R B
D' L' R2 F R L2 B
D' L' R2 F R B L2
D' L' F L2 R' B R2
D' L' F R' L2 B R2
D' L' F R' B L2 R2
D' L' F R' B R2 L2
D L' F R F' L2 B'
D L' F U2 L2 R F'
D L' F U2 R L2 F'
D L' F U2 R F' L2
F L' B R' U' L2 R2
F L' B R' U' R2 L2
D L2 D2 L' F R B'
D L2 D2 L' F B' R
D L2 D2 L' B' F R
D L2 F R F' L' B'
D R L F R F2 B'
D R L F R B' F2
D R L F B' R F2
D R L B' F R F2
D R U2 L F' B' R'
D R U2 L B' F' R'
D R U2 F' L B' R'
F R D L D F2 B'
F R D L D B' F2
F R D L B' D F2
D R F L R F2 B'
D R F L R B' F2
D R F L B' R F2
D R F R L F2 B'
D R F R L B' F2
D R F R F2 L B'
D' R F' L' U2 F L2
D R F' L D2 R2 B'
D R F' L D2 B' R2
D R F' L B' D2 R2
D' R' L' F L2 B R
D' R' L' F B L2 R
D' R' L' F B R L2
D' R' L' B F L2 R
D' R' L' B F R L2
D' R2 L' F L2 R B
D' R2 L' F R L2 B
D' R2 L' F R B L2
D R2 U2 L F B' R'
D R2 U2 L B' R' F
D R2 U2 L B' F R'
R' D L F R F' B'
R' D L F R B' F'
R' D L F B' R F'
R' D L B' F R F'
R2 D L F R F' B'
R2 D L F R B' F'
R2 D L F B' R F'
R2 D L B' F R F'
R D L F R F' B'
R D L F R B' F'
R D L F B' R F'
R D L B' F R F'
U2 D L R F' B' R'
U2 D L R B' F' R'
U2 D L R2 B' R' F'
R' D F L R F' B'
R' D F L R B' F'
R' D F L B' R F'
R' D F R L F' B'
R' D F R L B' F'
R' D F R F' L B'
U2 D L B' R F' R2
R2 D F L R F' B'
R2 D F L R B' F'
R2 D F L B' R F'
R2 D F R L F' B'
R2 D F R L B' F'
R2 D F R F' L B'
R D F L R F' B'
R D F L R B' F'
R D F L B' R F'
R D F R L F' B'
R D F R L B' F'
R D F R F' L B'
U2 D R L F' B' R'
U2 D R L B' F' R'
U2 D R F' L B' R'
U2 D R2 L B' R' F'
L2 D' L' R' F B R
L2 D' L' R' B F R
L2 D' L' R2 F R B
L2 D' L' F R' B R2
L2 D' R' L' F B R
L2 D' R' L' B F R
L2 D' R' B L' F R
L2 D' R2 L' F R B
D U2 L R F' B' R'
D U2 L R B' F' R'
D U2 L R2 B' R' F'
D U2 L B' R F' R2
D U2 R L F' B' R'
D U2 R L B' F' R'
D U2 R F' L B' R'
D U2 R2 L B' R' F'
D2 F L D' R F' B2
D2 F L D' R B2 F'
D2 F L D' B2 R F'
D F L R D F' B'
D F L R D B' F'
D F L R D' F' B'
D F L R D' B' F'
D F L R D2 F' B'
D F L R D2 B' F'
D F L R F' D B'
D F L R F' D' B'
D F L R F' D2 B'
D F L R F' B' D
D F L R F' B' D'
D F L R F' B' D2
D F L R B' D F'
D F L R B' D' F'
D F L R B' D2 F'
D F L R B' F' D
D F L R B' F' D'
D F L R B' F' D2
D F L B R F' B2
D F L B R B2 F'
D F L B' R D F'
D F L B' R D' F'
D F L B' R D2 F'
D F L B' R F' D
D F L B' R F' D'
D F L B' R F' D2
D F R L D F' B'
D F R L D B' F'
D F R L D' F' B'
D F R L D' B' F'
D F R L D2 F' B'
D F R L D2 B' F'
D F R L F' D B'
D F R L F' D' B'
D F R L F' D2 B'
D F R L F' B' D
D F R L F' B' D'
D F R L F' B' D2
D F R L B' D F'
D F R L B' D' F'
D F R L B' D2 F'
D F R L B' F' D
D F R L B' F' D'
D F R L B' F' D2
D F R F L F2 B'
D F R F L B' F2
D F R F' L D B'
D F R F' L D' B'
D F R F' L D2 B'
D F R F' L B' D
D F R F' L B' D'
D F R F' L B' D2
D F U L R F' B'
D F U L R B' F'
D F U L B' R F'
D F U R L F' B'
D F U R L B' F'
D F U R F' L B'
D F U' L R F' B'
D F U' L R B' F'
D F U' L B' R F'
D F U' R L F' B'
D F U' R L B' F'
D F U' R F' L B'
F D L R D F2 B'
F D L R D B' F2
F D L R B' D F2
D F U2 L R F' B'
D F U2 L R B' F'
D F U2 L B' R F'
D F U2 R L F' B'
D F U2 R L B' F'
F D L D R F2 B'
F D L D R B' F2
D F U2 R F' L B'
F D L D B' R F2
F D L B' R D F2
F D L B' D R F2
F D L' U' L2 R B'
F D L' U' L2 B' R
F D L' U' R L2 B'
D' F D2 L R F' B'
D' F D2 L R B' F'
D' F D2 L B' R F'
D' F D2 R L F' B'
D' F D2 R L B' F'
D' F D2 R F' L B'
F D R L D F2 B'
F D R L D B' F2
F D R L B' D F2
D F2 L R F' R B'
D F2 L R F' B' R
D F2 L R B' F' R
D F2 L F' R F' B'
D F2 L F' R B' F'
D F2 L F' B' R F'
D F2 L B' R F' R
D F2 L B' F' R F'
D F2 R L F' R B'
D F2 R L F' B' R
D F2 R L B' F' R
D F2 R F' L R B'
D F2 R F' L B' R
D F2 R F' R L B'
