B' U2 R' F' B L
B' U2 R' B L F'
B' U2 R' B F' L
L' B' U2 R' B L
B L R F' U2 L' F2
B L R' U2 F B L
B L R' U2 B F L
B' L R' F' L' F2 B
B' L R' F' L' B F2
B' L R' F' B L' F2
B' L R' B F' L' F2
R' L U2 F B L R
R' L U2 F B R L
R' L U2 B F L R
R' L U2 B F R L
B' L U2 R' F B L
B' L U2 R' B F L
B' L U2 F R' B L
L2 R F' U2 L' F R
L' R F' B' U2 L' R'
L' R F' B' U2 R' L'
F' L F L2 B' R' B
F2 L F L' B' R' B
B' L F R' D2 L2 B
B' L F R' D2 B L2
B' L F R' B D2 L2
B L F R F' U2 F
D2 L F B' R' D2 L2
F' L F B' L2 R' B
F' L F B' R' L2 B
F' L F B' R' B L2
F2 L F B' L' R' B
F2 L F B' R' L' B
F2 L F B' R' B L'
B' L F' L' R' F2 B
B' L F' L' R' B F2
B' L F' L' F2 R' B
B' L F' R' L' F2 B
B' L F' R' L' B F2
B' L F' R' B L' F2
D2 L F' B' L' R' F2
D2 L F' B' L' F2 R'
D2 L F' B' R' L' F2
L' R B' F' U2 L' R'
L' R B' F' U2 R' L'
D2 L B' R' F' L' F2
F' L B' R' F L2 B
F' L B' R' F B L2
F' L B' R' B F L2
F2 L B' R' F L' B
F2 L B' R' F B L'
F2 L B' R' B F L'
D2 L B' F R' D2 L2
D2 L B' F' L' R' F2
D2 L B' F' L' F2 R'
F' L B' F L2 R' B
D2 L B' F' R' L' F2
F' L B' F R' L2 B
F' L B' F R' B L2
F2 L B' F L' R' B
F2 L B' F R' L' B
F2 L B' F R' B L'
L R' U2 F B L R
L R' U2 F B R L
L R' U2 B F L R
L R' U2 B F R L
F L' R F' B' U2 R'
F L' R B' F' U2 R'
R L' F' B' U2 L' R'
R L' F' B' U2 R' L'
D2 L' F R B' U2 R'
R L' B' F' U2 L' R'
R L' B' F' U2 R' L'
D2 L' F B' R U2 R2
F L' B' R U2 R2 B
F L' B' R F' U2 R2
D2 L' B' F R U2 R2
F' L' B2 R' B R' F'
B' L2 R' F' L' F B
B' L2 R' F' L' B F
B' L2 R' F' B L' F
B' L2 R' B F' L' F
R L2 F' U2 L' F R
D2 L2 F' L' F B' R'
D2 L2 F' L' B' R' F
D2 L2 F' L' B' F R'
B' L2 F' L' R' F B
B' L2 F' L' R' B F
B' L2 F' L' F R' B
B' L2 F' R' L' F B
B' L2 F' R' L' B F
B' L2 F' R' B L' F
B R L F' U2 L' F2
F R L' F' B' U2 R'
F R L' B' F' U2 R'
U2 R F' L' B U2 L
B R F' L U2 F L2
F R F' L U2 F R
F R F' L' B' U2 R'
U2 R F' B L' U2 L2
F R F' B L U2 F
F R F' B' U2 R' F'
F R B L F' U2 F2
U2 R B F' L' U2 L2
F R B F' L U2 F
F R B' F' U2 R' F'
B' R' L F' L' F2 B
B' R' L F' L' B F2
B' R' L F' B L' F2
B R' L U2 F B L
B' R' L B F' L' F2
