B U' L B' U L'
B2 L B' L F U F'
U' L B' U D L2 B'
B L B' R2 F' U F
U' L B' D U L2 B'
B' L' R' F B2 U' F'
B' L' R' B2 F U' F'
B' L' U R' F B2 U'
B' L' U R' B2 F U'
B' L' U F R' B2 U'
B L' U' L2 B' U L2
U' L' U2 F B U' B2
U' L' U2 B F U' B2
B L' D' F U' F' B2
B L' D' F U' B2 F'
B L' D2 R2 F U' F'
B L' F U' D' F' B2
B L' F U' D' B2 F'
B L' F U' F' D' B2
B L' F U2 L2 U F'
B L' F D' U' F' B2
B L' F D' U' B2 F'
L' U F B R U' B
B R U' L B' U L'
L' U B R F U' B
L' U B F R U' B
B' R' L' F B2 U' F'
B' R' L' B2 F U' F'
B R' U' L B' U L'
B' R' B2 L' F U' F'
B R2 U' L B' U L'
D2 R2 F' U F R B
D R2 F' U R F B
D R2 F' U R B F
R2 D F' U R F B
R2 D F' U R B F
D' U B R U' B R2
D2 U B R F' U' B
B2 U B' U2 L B' U
B' U B2 U2 L B' U
B2 U' L B' L F U
B U' L D B' U L'
B U' L D' B' U L'
B U' L D2 B' U L'
B U' L B' U L' D
B U' L B' U L' D'
B U' L B' U L' D2
B U' L B' U D L'
B U' L B' U D' L'
B U' L B' U D2 L'
B U' L B' D U L'
B U' L B' D' U L'
B U' L B' D2 U L'
U D' B R U' B R2
B U' F L B' U L'
B U' F' L B' U L'
B U' F2 L B' U L'
B U2 L B' R2 U F'
B U2 L B' U' B U2
U D2 B R F' U' B
L' F B U2 L U F'
F2 D R2 F' U R B
B2 D' R' B R' D L2
B2 D' R' B D L2 R'
B2 D' R' B D R' L2
B2 D' B R' D L2 B
B2 D' B R' D B L2
R2 B L F' B' U F
R2 B L B' F' U F
U2 B L2 U' F R B
D' B R' U' L U L'
U B R U' D' B R'
U B R D' U' B R'
D' B U' L U L' R'
D' B U' L U R' L'
R2 B U' L F' B' U
R2 B U' L B' F' U
R2 B U' F' L B' U
L B U' L B2 U L'
U B D' R U' B R'
L' B F U2 L U F'
U B D2 R F' U' B
F2 B U2 L B' U F2
B F U2 L B' U F'
F B U2 L B' U F'
D' B' R D B2 L2 R'
D' B' R D B2 R' L2
L' B' R' F B2 U' F'
L' B' R' B2 F U' F'
D' B' U R' B2 U' R'
L' B' U R' F B2 U'
L' B' U R' B2 F U'
L' B' U F R' B2 U'
L B' U R' B2 U' R
B F2 U2 L B' U F2
