F L B' R U B L
D' L2 F R U B R'
B' R U' D' B R' F'
B' R D' U' B R' F'
B' R F' L' F U' B
D2 R F' B' L' U' B2
F' R B' L' F U' B2
D' R B' U' B2 R' F'
D2 R B' F' L' U' B2
U' D B' R' U' F' R
F' U B' L' F R U'
R D' B' U' B2 R' F'
D U' B' R' U' F' R
F' U' B' L' R' F U'
F' U' B' L' F R' U'
F' U' B' R' L' F U'
L2 F L' R B' U B2
L2 F L' B' R U B
L2 F R L' B' U B2
L2 F R U B' R' B2
L2 F R B2 U B' R'
F' U2 B' L' F U' B'
L F B' R U B L
R' F' U' B' L' F U'
B' D' R U' B R' F'
R F' B' L' F U' B2
B' D2 R F' L' U' B
U' B' L' R' F U' F2
U' B' L' F R' U' F'
L B' L F R U B
D2 B' R F' L' U' B
U' B' R' L' F U' F2
U' B' R' U' D F' R
U' B' R' D U' F' R
L B' R U B L F
B' F' L' R F U' B
F' B' L' R F U' B
B' F' L' F R U' B
F' B' L' F R U' B
B' F' R L' F U' B
F' B' R L' F U' B
U' B' D R' U' F' R
L B' F R U B L
R B' F' L' F U' B2
