F2 L U2 F' B' L2
F2 L U2 B' L2 F'
F2 L U2 B' F' L2
L2 R B' L' U2 B'
F2 L' F' D2 R2 B2
F2 L' F' D2 B2 R2
R L2 B' L' U2 B'
D2 R F' L U2 F2
L U2 F2 B' L' F
L U2 B' F2 L' F
L D2 R U2 F' B'
L D2 R U2 B' F'
R2 F B2 L R' B'
R2 F B2 R' L B'
R F' L U2 F2 B'
R F' L U2 B' F2
R F2 L U2 F' B'
R F2 L U2 B' F'
L F2 U2 B' L' F
F D2 B2 R' B L
L2 B' L' R U2 B'
L2 B' R L' U2 B'
R2 B2 R' F L B'
R2 B2 F L R' B'
R2 B2 F R' L B'
L R U2 L' F L B'
R L U2 L' F L B'
F2 L R2 B U2 L2 B2
F2 L R2 B U2 B2 L2
L R U2 B' L' F L
R L U2 B' L' F L
L2 R D B' L' U2 B'
F2 L U2 L2 F' D2 B2
L2 R D' B' L' U2 B'
F2 L U2 F B' L2 F2
F' L U2 F2 B L B2
F' L U2 B L F2 B2
F' L U2 B L B2 F2
F2 L U2 F' B L2 B2
F2 L U2 F' B' L2 D
F2 L U2 F' B' L2 D'
F2 L U2 F' B' L2 D2
F2 L U2 F' B2 L2 B
U' L U2 F2 B' L' F
F' L U2 B F2 L B2
U2 L U2 F2 B' L' F
F2 L U2 B L2 F' B2
F2 L U2 B L2 B2 F'
R2 L D2 R' B U2 B2
F2 L U2 B F' L2 B2
F2 L U2 B' L F' L
F2 L U2 B' L2 D F'
F2 L U2 B' L2 D F'
F2 L U2 B' L2 D' F'
F2 L U2 B' L2 D2 F'
F2 L U2 B' L2 F' D
F2 L U2 B' L2 F' D'
F2 L U2 B' L2 F' D2
U' L U2 B' F2 L' F
F2 L U2 B' F L2 F2
U2 L U2 B' F2 L' F
F2 L U2 B' F' L2 D
F2 L U2 B' F' L2 D'
F2 L U2 B' F' L2 D2
F2 L U2 B2 L2 F' B
F2 L U2 B2 L2 B F'
U L U2 F2 B' L' F
F2 L U2 B2 F' L2 B
U L U2 B' F2 L' F
L2 R D2 B' L' U2 B'
L' R F L' B' L' U2
U' L D2 R U2 F' B'
U' L D2 R U2 B' F'
U2 L D2 R U2 F' B'
U2 L D2 R U2 B' F'
F2 L D2 R2 B U2 B2
U L D2 R U2 F' B'
U L D2 R U2 B' F'
F' L D2 B2 U2 B L
F' L F R U2 F B'
F' L F R U2 B' F
L2 R F2 B' U2 R B
F2 L F U2 F2 B' L2
F2 L F U2 B' L2 F2
F2 L F U2 B' F2 L2
L2 R B L' B2 U2 B
F L F U2 B' L' F'
F L F' R U2 F B'
F L F' R U2 B' F
F' L F' U2 B' L' F'
L2 R B' L F L2 U2
L2 R B' L' U2 D B'
L2 R B' L' U2 D' B'
L2 R B' L' U2 D2 B'
L2 R B' L' U2 B' D
L2 R B' L' U2 B' D'
L2 R B' L' U2 B' D2
L2 R B' L' D U2 B'
L2 R B' L' D' U2 B'
L2 R B' L' D2 U2 B'
L2 R B' L' F U2 B'
L2 R B' L' F' U2 B'
L2 R B' L' F2 U2 B'
F2 L F' B' L2 D2 R2
L2 R B' D L' U2 B'
L2 R B' D' L' U2 B'
L2 R B' D2 L' U2 B'
B2 L F2 R' B' L' F
L2 R B' F2 U2 R B
F2 L F2 U2 F B' L2
U' L F2 U2 B' L' F
U2 L F2 U2 B' L' F
F2 L F2 U2 B' F L2
L2 R B2 L' B U2 B2
U L F2 U2 B' L' F
B' L F2 B' L' R' F
B' L F2 B' L' F R'
B' L F2 B' R' L' F
F2 L B U2 L2 F' B2
F2 L B U2 L2 B2 F'
F2 L B U2 F' L2 B2
F2 L B U2 F' B2 L2
F2 L B U2 B2 L2 F'
F2 L B U2 B2 F' L2
F2 L B' L2 D2 F' R2
F2 L B' L2 F' D2 R2
F2 L B' U2 F' L2 B'
F2 L B' F' L2 D2 R2
B' L B' F2 L' R' F
B' L B' F2 L' F R'
B' L B' F2 R' L' F
F' L B2 U2 F2 B L
F' L B2 U2 B L F2
F' L B2 U2 B F2 L
F2 L B2 U2 L2 F' B
F2 L B2 U2 L2 B F'
F2 L B2 U2 F' L2 B
F2 L B2 U2 F' B L2
F2 L B2 U2 B L2 F'
F2 L B2 U2 B F' L2
R L' F L' B' L' U2
F2 L' U2 L2 U2 F' B'
F2 L' U2 L2 U2 B' F'
F2 L' U2 F L2 U2 F2
F L' U2 F L2 U2 L
L2 R' B' L' R2 U2 B'
F L' D2 L2 R2 B' L
L2 R' B' R2 L' U2 B'
F L' D2 L2 B' L R2
F L' D2 L2 B' R2 L
F L' D2 R2 L2 B' L
F2 L' D2 F' R2 D2 B2
F2 L' D2 F2 R2 F B
F2 L' D2 F2 R2 B F
F' L' F L2 R B' U2
F' L' F L2 B' R U2
F' L' F R L2 B' U2
F2 L' F L2 U2 L2 F2
F2 L' F L2 U2 F2 L2
F L' F L2 U2 L F'
F L' F L2 U2 F' L
F2 L' F' R D2 R2 B2
F2 L' F' R D2 B2 R2
F2 L' F' R' D2 R2 B2
F2 L' F' R' D2 B2 R2
F2 L' F' R2 D2 R2 B2
F2 L' F' R2 D2 B2 R2
F2 L' F' U2 L2 F2 U2
F2 L' F' U2 F2 L2 U2
F2 L' F' D2 R B2 R
F2 L' F' D2 R2 B2 D
F2 L' F' D2 R2 B2 D'
F2 L' F' D2 R2 B2 D2
F2 L' F' D2 B' R2 B'
F2 L' F' D2 B2 R2 D
F2 L' F' D2 B2 R2 D'
F2 L' F' D2 B2 R2 D2
F2 L' F' B D2 R2 B2
F2 L' F' B D2 B2 R2
F2 L' F' B' D2 R2 B2
F2 L' F' B' D2 B2 R2
F2 L' F' B2 D2 R2 B2
F2 L' F' B2 D2 B2 R2
F2 L' F2 D2 R2 F B
F2 L' F2 D2 R2 B F
F2 L' B F' D2 R2 B2
F2 L' B F' D2 B2 R2
F2 L' B' F' D2 R2 B2
F2 L' B' F' D2 B2 R2
R L2 D B' L' U2 B'
F2 L' B2 F' D2 R2 B2
F2 L' B2 F' D2 B2 R2
R L2 D' B' L' U2 B'
L R2 D2 R' B U2 B2
D2 L2 R B' L' F' U2
U' L2 R B' L' U2 B'
U2 L2 R B' L' U2 B'
B L2 R B' L F U2
U L2 R B' L' U2 B'
R L2 D2 B' L' U2 B'
R L2 F2 B' U2 R B
R L2 B L' B2 U2 B
R' L2 B' L' R2 U2 B'
R' L2 B' R2 L' U2 B'
F' L2 U2 F2 R B L
L2 R2 B' L' U2 B' L
R2 L2 B' L' U2 B' L
R L2 B' L F L2 U2
R L2 B' L' U2 D B'
R L2 B' L' U2 D' B'
R L2 B' L' U2 D2 B'
R L2 B' L' U2 B' D
R L2 B' L' U2 B' D'
R L2 B' L' U2 B' D2
R L2 B' L' D U2 B'
R L2 B' L' D' U2 B'
R L2 B' L' D2 U2 B'
R L2 B' L' F U2 B'
R L2 B' L' F' U2 B'
R L2 B' L' F2 U2 B'
R L2 B' D L' U2 B'
R L2 B' D' L' U2 B'
R L2 B' D2 L' U2 B'
R L2 B' F2 U2 R B
R L2 B2 L' B U2 B2
F' L2 F' L' F' R B'
F' L2 F' L' F' B' R
F' L2 F' L' B' F' R
D2 L2 B' L' R F' U2
U' L2 B' L' R U2 B'
D2 L2 B' R L' F' U2
