L' R U L B' R'
L2 R B' U L2 B'
R L' U L B' R'
F2 L' F' U' L B'
R L2 B' U L2 B'
R U F U' F' B'
R U F U' B' F'
B' R U F U' F'
U' R U2 F U' B'
B' U F2 L' F' U'
B' U' R U2 F U'
L2 B' R U L2 B'
R B' U F U' F'
F2 B' U L' F' U'
B' F2 U L' F' U'
L' R U L R B' R'
L' R U L R' B' R'
L' R U L R2 B' R'
L' R U L D B' R'
L' R U L D' B' R'
L' R U L D2 B' R'
L' R U L B' R' D
L' R U L B' R' D'
L' R U L B' R' D2
L' R U L B' D R'
L' R U L B' D' R'
L' R U L B' D2 R'
L' R U R L B' R'
L' R U R' L B' R'
L' R U R2 L B' R'
L' R F U L B' R'
L' R F' U L B' R'
L' R F2 U L B' R'
L2 R B' L U L B'
L2 R B' U L2 D B'
L2 R B' U L2 D' B'
L2 R B' U L2 D2 B'
L2 R B' U L2 B' D
L2 R B' U L2 B' D'
L2 R B' U L2 B' D2
L2 R B' U B L2 B'
L2 R B' U B' L2 B'
L2 R B' U B2 L2 B'
L2 R B' U' F U2 L2
U L F2 L' F U' B'
R L' U L R B' R'
R L' U L R' B' R'
R L' U L R2 B' R'
R L' U L D B' R'
R L' U L D' B' R'
R L' U L D2 B' R'
R L' U L B' R' D
R L' U L B' R' D'
R L' U L B' R' D2
R L' U L B' D R'
R L' U L B' D' R'
R L' U L B' D2 R'
R L' U R L B' R'
R L' U R' L B' R'
R L' U R2 L B' R'
D2 L' R U L B' R'
D' L' R U L B' R'
D L' R U L B' R'
F2 L' R U' L B' R'
R L' F U L B' R'
R L' F' U L B' R'
R L' F2 U L B' R'
F2 L' D F' R U' L
L2 R' B' R2 U L2 B'
F2 L' F' R U' L B'
F2 L' F' R' U' L B'
F2 L' F' R2 U' L B'
F2 L' F' U' L D B'
F2 L' F' U' L D' B'
F2 L' F' U' L D2 B'
F2 L' F' U' L B' D
F2 L' F' U' L B' D'
F2 L' F' U' L B' D2
D2 L2 R B' U L2 B'
D' L2 R B' U L2 B'
B' L2 R B' U L2 B
B' L2 R B' U B L2
U' L2 R B' L2 U B'
U' L2 R B' U' F U2
D L2 R B' U L2 B'
B L2 R B' U B' L2
B' L2 U' R B' U L2
B' L2 U' B' R U L2
R' L2 B' R2 U L2 B'
R L2 B' L U L B'
R L2 B' U L2 D B'
R L2 B' U L2 D' B'
R L2 B' U L2 D2 B'
R L2 B' U L2 B' D
R L2 B' U L2 B' D'
R L2 B' U L2 B' D2
R L2 B' U B L2 B'
R L2 B' U B' L2 B'
R L2 B' U B2 L2 B'
R L2 B' U' F U2 L2
L' U L B' R' D' F2
L2 U R B' U L2 B'
R U R F U' F' B'
R U R F U' B' F'
R U R' F U' F' B'
R U R' F U' B' F'
D2 L2 B' R U L2 B'
U' L2 B' L2 R U B'
D' L2 B' R U L2 B'
U' L2 B' R L2 U B'
U' L2 B' R U' F U2
B2 L2 B' R U L2 B2
B2 L2 B' R U B2 L2
D L2 B' R U L2 B'
B L2 B' R U B' L2
R U R2 F U' F' B'
R U R2 F U' B' F'
R U D F U' F' B'
R U D F U' B' F'
R' U D' F U' F B'
R' U D' F U' B' F
R U D' F U' F' B'
R U D' F U' B' F'
D2 R L' U L B' R'
D' R L' U L B' R'
F2 R L' U' L B' R'
D R L' U L B' R'
R U D2 F U' F' B'
R U D2 F U' B' F'
R' U F U' D' F2 B'
R' U F U' D' B' F2
R' U F U' B' D' F2
R' U F U2 R2 U B'
R' U F D' U' F2 B'
R' U F D' U' B' F2
R2 U F U2 R' U B'
R U F U' D F' B'
R U F U' D B' F'
R U F U' D' F' B'
R U F U' D' B' F'
R U F U' D2 F' B'
R U F U' D2 B' F'
R U F U' F' D B'
R U F U' F' D' B'
R U F U' F' D2 B'
R U F U' F' B' D
R U F U' F' B' D'
R U F U' F' B' D2
D2 R L2 B' U L2 B'
R U F U' B' D F'
R U F U' B' D' F'
R U F U' B' D2 F'
R U F U' B' F' D
R U F U' B' F' D'
R U F U' B' F' D2
D' R L2 B' U L2 B'
U' R L2 B' L2 U B'
B' R L2 B' U L2 B
B' R L2 B' U B L2
R U F D U' F' B'
R U F D U' B' F'
U' R L2 B' U' F U2
R U F D' U' F' B'
R U F D' U' B' F'
R U F D2 U' F' B'
R U F D2 U' B' F'
D R L2 B' U L2 B'
B R L2 B' U B' L2
B' R U D F U' F'
B' R U D' F U' F'
D2 R U F U' F' B'
D2 R U F U' B' F'
B' R U D2 F U' F'
D' R U F U' F' B'
B' R U F L U' F'
D' R U F U' B' F'
B' R U F L' U' F'
B' R U F L2 U' F'
B' R U F U' D F'
B' R U F U' D' F'
B' R U F U' D2 F'
B' R U F U' F' D
B' R U F U' F' D'
B' R U F U' F' D2
B' R U F D U' F'
B' R U F D' U' F'
B' R U F D2 U' F'
U' R U B' U F U'
D R U F U' F' B'
D R U F U' B' F'
B R U F U' F' B2
B R U F U' B2 F'
U' R U2 R F U' B'
U' R U2 R' F U' B'
U' R U2 R2 F U' B'
U' R U2 D F U' B'
U' R U2 D' F U' B'
U' R U2 D2 F U' B'
U' R U2 F R U' B'
U' R U2 F R' U' B'
U' R U2 F R2 U' B'
U' R U2 F U' D B'
U' R U2 F U' D' B'
U' R U2 F U' D2 B'
U' R U2 F U' B' D
U' R U2 F U' B' D'
U' R U2 F U' B' D2
U' R U2 F D U' B'
U' R U2 F D' U' B'
U' R U2 F D2 U' B'
L2 U B' R U L2 B'
B' R D U F U' F'
U' R D U2 F U' B'
B R D L2 B' U L2
R U B' U F B U'
R U B' U B F U'
B' R D' U F U' F'
U' R D' U2 F U' B'
B' R D2 U F U' F'
U' R D2 U2 F U' B'
B' R F' U F2 U' F2
B' R F' D R2 D' F2
B' R F2 U F' U' F
L2 U' R B' U L2 B'
U' R B L2 B' U B'
R2 U' R' U2 F U' B'
U' R B U2 F U' B2
U' R B D L2 B' U
R' U' R2 U2 F U' B'
U' R B' L2 B' U B
D' R B' U F U' F'
D2 R B' U F U' F'
D R B' U F U' F'
U' R B2 L2 B' U B2
U' R B2 U2 F U' B
B R B2 U F U' F'
B' R' U D' F U' F
B' R' U D2 F L2 U'
B' R' U F U' D' F2
B' R' U F U2 R2 U
B' R' U F D' U' F2
B' R' U F D2 L2 U'
B' R' U' R2 U2 F U'
L2 U' B' R U L2 B'
B' R' D' U F U' F
B' R' D' F' D F' R2
B' R' D' F2 U F' U'
B' R' D2 U F L2 U'
U R' D' F U' F B'
U R' D' F U' B' F
B' R' D2 F' D R2 F2
B' R' D2 F' D F2 R2
B' R' F U' R2 U R2
B' R' F D' F2 D R2
U R' F U' D' F2 B'
U R' F U' D' B' F2
U R' F U' B' D' F2
U R' F U2 R2 U B'
B' R' F' D R2 D2 F2
U R' F D' U' F2 B'
U R' F D' U' B' F2
B' R' F' D' F2 D2 R2
B' R' F2 U' R2 B U
L2 U2 R B' U L2 B'
B' R2 U F U2 R' U
B' R2 U' R' U2 F U'
L2 U2 B' R U L2 B'
B' R2 F U' R' U R
R D L' U L B' R'
U R2 F U2 R' U B'
R D L2 B' U L2 B'
B R2 B2 U F L U'
R D U F U' F' B'
R D U F U' B' F'
B' U L F2 L' F U'
B' U L' U2 R B U
F2 U L' D F' R U'
B' U L2 U2 R B' U
B' U L2 U2 B' R U
U' D R U2 F U' B'
B' U D F2 L' F' U'
R D B' U F U' F'
B' U D' F2 L' F' U'
B' U D2 F2 L' F' U'
B' U F D' L' U' F
R D' L' U L B' R'
B' U F2 L F' L2 U'
B' U F2 L' D F' U'
B' U F2 L' D' F' U'
B' U F2 L' D2 F' U'
B' U F2 L' F' U' D
B' U F2 L' F' U' D'
B' U F2 L' F' U' D2
B' U F2 L' F' D U'
B' U F2 L' F' D' U'
B' U F2 L' F' D2 U'
B' U F2 L2 F' L U'
B2 U F2 L' F' U' B
B' U F2 D L' F' U'
B' U F2 D' L' F' U'
B' U F2 D2 L' F' U'
R D' L2 B' U L2 B'
B U F2 L' F' U' B2
R' D' U F U' F B'
R' D' U F U' B' F
R D' U F U' F' B'
R D' U F U' B' F'
U' D' R U2 F U' B'
D' U' R U2 F U' B'
D2 U' R U2 F U' B'
D U' R U2 F U' B'
B' U' L2 R B' L2 U
R' D' F' D F' R2 B'
R' D' F' D F' B' R2
R' D' F' D B' F' R2
R' D' F' B' D F' R2
B' U' L2 B' L2 R U
B' U' L2 B' R L2 U
B U' L2 R B' U B'
B2 U' L2 B' R U B2
