R U' R2 U B L
U' R' U B L R2
U' R' U B R2 L
U R' F' U B R2
R' D B2 U B' L
R' B L R2 D' F2
R' B R2 L D' F2
R' B R2 D' L F2
R' B R2 D' F2 L
R' B' U B2 L R2
R' B' U B2 R2 L
R' B2 U R2 B' L
R' B2 U B' L R2
R' B2 U B' R2 L
L' R U' R2 U B L
U' L R' F U B R2
L2 R U' R2 U B L
L R U' R2 U B L
U L R' F' U B R2
R L U' R2 U B L
R' L D B2 U B' L
R' L B L R2 D' F2
R' L B R2 L D' F2
R' L B R2 D' L F2
R' L B R2 D' F2 L
R' L B' U B2 L R2
R' L B' U B2 R2 L
R' L B2 U R2 B' L
R' L B2 U B' L R2
R' L B2 U B' R2 L
R L' U' R2 U B L
R' L' D B2 U B' L
L' R' D B2 U B' L
L R' D B2 U B' L
L2 R' D B2 U B' L
U L' R' F' U B R2
F2 L' U R' F' U B
R' L' B L R2 D' F2
L' R' B L R2 D' F2
L2 R' B L R2 D' F2
R' L' B R2 L D' F2
L R' B L R2 D' F2
R' L' B R2 D' L F2
R' L' B R2 D' F2 L
L' R' B R2 L D' F2
L' R' B R2 D' L F2
L' R' B R2 D' F2 L
L2 R' B R2 L D' F2
L2 R' B R2 D' L F2
L2 R' B R2 D' F2 L
L R' B R2 L D' F2
L R' B R2 D' L F2
L R' B R2 D' F2 L
R' L' B' U B2 L R2
R' L' B' U B2 R2 L
L' R' B' U B2 L R2
L' R' B' U B2 R2 L
L2 R' B' U B2 L R2
L2 R' B' U B2 R2 L
L R' B' U B2 L R2
L R' B' U B2 R2 L
R' L' B2 U R2 B' L
L' R' B2 U R2 B' L
R' L' B2 U B' L R2
R' L' B2 U B' R2 L
L' R' B2 U B' L R2
L' R' B2 U B' R2 L
L2 R' B2 U R2 B' L
L R' B2 U R2 B' L
L2 R' B2 U B' L R2
L2 R' B2 U B' R2 L
L R' B2 U B' L R2
L R' B2 U B' R2 L
R L2 U' R2 U B L
R' L2 D B2 U B' L
U L2 R' F' U B R2
R' L2 B L R2 D' F2
R' L2 B R2 L D' F2
R' L2 B R2 D' L F2
R' L2 B R2 D' F2 L
R' L2 B' U B2 L R2
R' L2 B' U B2 R2 L
R' L2 B2 U R2 B' L
R' L2 B2 U B' L R2
R' L2 B2 U B' R2 L
L' U R' F' U B R2
L2 U R' F' U B R2
L U R' F' U B R2
U R U' R2 F' U B
R' U B2 R2 D B' L
D' R D' F2 B L B'
D' R D' B L F2 B'
D' R D' B L B' F2
D' R D' B F2 L B'
R U' L R2 F U B
L' U' R' U B L R2
L' U' R' U B R2 L
D2 R B L D' F2 B'
D2 R B L D' B' F2
D2 R B L B' D' F2
L2 U' R' U B L R2
L2 U' R' U B R2 L
L U' R' U B L R2
L U' R' U B R2 L
D' R B D' L F2 B'
D' R B D' L B' F2
D' R B D' F2 L B'
R U' R2 L F U B
R U' R2 U L B L
R U' R2 U L' B L
R U' R2 U L2 B L
R U' R2 U D B L
R U' R2 U D' B L
R U' R2 U D2 B L
R U' R2 U B L D
R U' R2 U B L D'
R U' R2 U B L D2
R U' R2 U B D L
R U' R2 U B D' L
R U' R2 U B D2 L
R U' R2 D U B L
R U' R2 D' U B L
R U' R2 D2 U B L
R U' R2 F U B L
R U' R2 F' U B L
