D2 L2 R2 F' U' R
U2 L2 R2 B U R'
B L2 F R2 U R
D2 L2 F' R2 U' R'
U2 L2 B R2 U R
D' R F' U' F' B2
D' R F' U' B2 F'
D2 R2 L2 F' U' R
U2 R2 L2 B U R'
D2 R2 F' L2 U' R
U2 R2 B L2 U R'
D2 F' L2 R2 U' R'
D2 F' R2 L2 U' R'
U2 B L2 R2 U R
R2 B L2 F U R'
U2 B R2 L2 U R
U' B D' R' F2 B2
U' B D' R' B2 F2
U' B D' F2 R' B2
U' B' D' F2 B2 R'
U' B' D' B2 R' F2
U' B' D' B2 F2 R'
D' L R F' U' F' B2
D' L R F' U' B2 F'
U2 L R2 D L B' U
D2 L R2 F' L U' R
B' L U L R2 F' U
B' L U R2 L F' U
B' L U R2 F' L U
D L D L2 R2 F U'
D L D L2 F R2 U'
D L D R2 L2 F U'
D2 L F' L R2 U' R'
D2 L F' R2 L U' R'
D' L' R F' U' F' B2
D' L' R F' U' B2 F'
D2 L' R2 D' L' F U'
U2 L' R2 B L' U R'
D L' D R2 F L2 U'
D L' D F L2 R2 U'
D L' D F R2 L2 U'
D L' D2 F U' F B2
D L' D2 F U' B2 F
D L' F U F B2 U2
D L' F U B2 F U2
D L' F D L2 U' B'
U2 L' B L' R2 U R
U2 L' B R2 L' U R
D2 L2 R D R F' U'
D2 L2 R F' U' R B
D' L2 R F' U' F' B2
D' L2 R F' U' B2 F'
U2 L2 R B R U R2
D2 L2 R' F' R' U' R2
U2 L2 R' D' R' B U
B L2 R' F R' U R
U2 L2 R' B U R' F'
D2 L2 R2 U' F' R F
U2 L2 R2 U B R' B'
D2 L2 R2 F U L' U2
D2 L2 R2 F' U' R D
D2 L2 R2 F' U' R D'
D2 L2 R2 F' U' R D2
D2 L2 R2 F' U' D R
D2 L2 R2 F' U' D' R
D2 L2 R2 F' U' D2 R
D2 L2 R2 F' D U' R
D2 L2 R2 F' D' U' R
D2 L2 R2 F' D2 U' R
U' L2 R2 B U L2 R'
U' L2 R2 B U R' L2
U2 L2 R2 B U R' D
U2 L2 R2 B U R' D'
U2 L2 R2 B U R' D2
U2 L2 R2 B U D R'
U2 L2 R2 B U D' R'
U2 L2 R2 B U D2 R'
U2 L2 R2 B D U R'
U2 L2 R2 B D' U R'
U2 L2 R2 B D2 U R'
U2 L2 R2 B' U' L U2
D2 L2 D R F' U' B2
U2 L2 D' R' B U F2
B L2 D' F U R' F
B L2 D' F U F R'
D2 L2 F R2 U L' U2
D2 L2 F R2 F2 U' R
B L2 F R2 U R D
B L2 F R2 U R D'
B L2 F R2 U R D2
B L2 F R2 U D R
B L2 F R2 U D' R
B L2 F R2 U D2 R
B L2 F R2 D U R
B L2 F R2 D' U R
B L2 F R2 D2 U R
B L2 F R2 B U R
B L2 F R2 B' U R
B L2 F R2 B2 U R
B L2 F U D' R' F2
B L2 F U D' F2 R'
B L2 F D' U R' F2
B L2 F D' U F2 R'
D2 L2 F' R2 U' R' D
D2 L2 F' R2 U' R' D'
D2 L2 F' R2 U' R' D2
D2 L2 F' R2 U' D R'
D2 L2 F' R2 U' D' R'
D2 L2 F' R2 U' D2 R'
D2 L2 F' R2 D U' R'
D2 L2 F' R2 D' U' R'
D2 L2 F' R2 D2 U' R'
D2 L2 F' R2 F U' R'
D2 L2 F' R2 F' U' R'
D2 L2 F' R2 F2 U' R'
B' L2 F' R2 F' U R
D2 L2 F' U' D R B2
D2 L2 F' U' D B2 R
D2 L2 F' D U' R B2
D2 L2 F' D U' B2 R
D2 L2 F2 R2 F U' R
B' L2 F2 R2 F' U R'
U' L2 B R2 U L2 R
U' L2 B R2 U R L2
U2 L2 B R2 U R D
U2 L2 B R2 U R D'
U2 L2 B R2 U R D2
U2 L2 B R2 U D R
U2 L2 B R2 U D' R
U2 L2 B R2 U D2 R
U2 L2 B R2 D U R
U2 L2 B R2 D' U R
U2 L2 B R2 D2 U R
U2 L2 B R2 B U R
U2 L2 B R2 B' U R
U2 L2 B R2 B2 U R
U2 L2 B U D' R' F2
U2 L2 B U D' F2 R'
U2 L2 B D' U R' F2
U2 L2 B D' U F2 R'
U2 L2 B' R2 U' L U2
U2 L2 B' R2 B2 U R'
U2 L2 B2 R2 B' U R'
D' R L F' U' F' B2
D' R L F' U' B2 F'
D' R L' F' U' F' B2
D' R L' F' U' B2 F'
D2 R L2 D R F' U'
D2 R L2 F' U' R B
D' R L2 F' U' F' B2
D' R L2 F' U' B2 F'
U2 R L2 B R U R2
D2 R D R F' U' F'
D' R D' L2 F' R2 U'
D' R D' F' L2 R2 U'
D' R D' F' R2 L2 U'
D' R F' L U' F' B2
D' R F' L U' B2 F'
D' R F' L' U' F' B2
D' R F' L' U' B2 F'
D2 R F' L2 U' R B
D' R F' L2 U' F' B2
D' R F' L2 U' B2 F'
D' R F' U' F' B2 D
D' R F' U' F' B2 D'
D' R F' U' F' B2 D2
D' R F' U' B2 D F'
D' R F' U' B2 D' F'
D' R F' U' B2 D2 F'
D' R F' U' B2 F' D
D' R F' U' B2 F' D'
D' R F' U' B2 F' D2
U' R B R' D' F2 B2
U' R B R' D' B2 F2
U2 R B L2 R U R2
U2 R B R L2 U R2
D2 R' L2 F' R' U' R2
U2 R' L2 D' R' B U
U2 R' L2 B U R' F'
B R' L2 F R' U R
B R' U' L2 R' F U
B R' U' L2 F R' U
B R' U' R' L2 F U
R U' B R' D' F2 B2
R U' B R' D' B2 F2
D' R' U2 B U F2 B
D' R' U2 B U B F2
L U' B D' R' F2 B
L U' B D' R' B F2
L U' B D' F2 R' B
D' R' D' L2 R2 F' U'
D' R' D' R2 L2 F' U'
D' R' D' R2 F' L2 U'
U2 R' D' R' B U B
L U2 L R2 B U R'
L' U2 L' R2 B U R'
L U2 L B R2 U R
L' U2 L' B R2 U R
R' U2 L2 R' B U R'
R' U2 L2 D' R' B U
D2 R' F' L2 R' U' R2
R' U2 L2 B U R' F'
D2 R' F' R' L2 U' R2
R U2 L2 R B U R'
R U2 L2 B R U R2
R' U2 R' L2 B U R'
R U2 R L2 B U R'
R' U2 R' B L2 U R'
R U2 R B L2 U R'
U2 R' B L2 U R' F'
L' U2 R2 L' B U R'
L' U2 R2 B L' U R'
L U2 R2 L B U R'
L U2 R2 D L B' U
R' U2 D' R' B U B
D2 R2 L F' L U' R
U2 R2 L D L B' U
D2 R2 L' D' L' F U'
D2 R2 L2 U' F' R F
U2 R2 L' B L' U R'
D2 R2 L2 F U L' U2
D2 R2 L2 F' U' R D
D2 R2 L2 F' U' R D'
D2 R2 L2 F' U' R D2
D2 R2 L2 F' U' D R
D2 R2 L2 F' U' D' R
D2 R2 L2 F' U' D2 R
U2 R2 L2 U B R' B'
D2 R2 L2 F' D U' R
D2 R2 L2 F' D' U' R
D2 R2 L2 F' D2 U' R
U' R2 L2 B U L2 R'
U' R2 L2 B U R' L2
U2 R2 L2 B U R' D
U2 R2 L2 B U R' D'
U2 R2 L2 B U R' D2
U2 R2 L2 B U D R'
U2 R2 L2 B U D' R'
U2 R2 L2 B U D2 R'
U2 R2 L2 B D U R'
U2 R2 L2 B D' U R'
U2 R2 L2 B D2 U R'
U2 R2 L2 B' U' L U2
U2 R2 U B R' D' B2
U2 R2 U B D' R' B2
U2 R2 U B' D' B2 R'
R' U2 B L2 U R' F'
D2 R2 U' F D F2 R
L' U2 B L' R2 U R
D2 R2 U' F' R D F2
D2 R2 U' F' D R F2
D' R2 U' F2 B' R' B'
D' R2 U' B' R' F2 B'
D' R2 U' B' R' B' F2
L' U2 B R2 L' U R
D' R2 U' B' F2 R' B'
R U2 B L2 R U R2
R U2 B R L2 U R2
B' R2 D' F' U B2 R'
D2 R2 F L2 U L U2
B' R2 F L2 F2 U R
D2 R2 F U' D F2 R
D2 R2 F D U' F2 R
D2 R2 F' L2 U' R D
D2 R2 F' L2 U' R D'
D2 R2 F' L2 U' R D2
D2 R2 F' L2 U' D R
D2 R2 F' L2 U' D' R
D2 R2 F' L2 U' D2 R
D2 R2 F' L2 D U' R
D2 R2 F' L2 D' U' R
D2 R2 F' L2 D2 U' R
B' R2 F' L2 U' L' U2
D2 R2 F' U' R D F2
D2 R2 F' U' D R F2
B' R2 F' U D' B2 R'
D2 R2 F' D U' R F2
B' R2 F' D' U B2 R'
B R2 F' L2 F U R
B' R2 F' B2 L2 U R'
D2 R2 F2 L2 F U' R
U' R2 B L2 U L2 R'
U' R2 B L2 U R' L2
F' R2 B L2 F U R'
F2 R2 B L2 F U R'
U2 R2 B L2 U R' D
U2 R2 B L2 U R' D'
U2 R2 B L2 U R' D2
U2 R2 B L2 U D R'
U2 R2 B L2 U D' R'
U2 R2 B L2 U D2 R'
U2 R2 B L2 D U R'
U2 R2 B L2 D' U R'
U2 R2 B L2 D2 U R'
U2 R2 B U R' D' B2
U2 R2 B U D' R' B2
U2 R2 B D' U R' B2
F R2 B L2 F U R'
B2 R2 B' L2 F U R'
U2 R2 B' L2 U' L' U2
U2 R2 B' U D' B2 R'
U2 R2 B' D' U B2 R'
B' R2 B2 L2 F' U R'
U2 R2 B2 L2 B' U R'
B' R2 B2 F' L2 U R'
B U L2 F R2 U R
R' D' U2 R' B U B
U2 D' R' B U F2 B
U2 D' R' B U B F2
L' D' F2 R F' U' F
B U' L2 F R2 U R
D2 U' F D F2 R B2
D2 U' F D F2 B2 R
D2 U' F D B2 F2 R
D2 U' F' D R F2 B2
D2 U' F' D R B2 F2
D2 U' F' D B2 R F2
U' D' F' B2 D' F' R
D' U' F' B2 D' F' R
D' U' F2 B D B R'
U' D' F2 B D B R'
U' D' B F2 D B R'
D' U' B F2 D B R'
D' U' B2 F' D' F' R
U' D' B2 F' D' F' R
F' U' B D' R' F2 B2
F' U' B D' R' B2 F2
F' U' B D' F2 R' B2
F2 U' B D' R' F2 B2
F2 U' B D' R' B2 F2
F2 U' B D' F2 R' B2
F' U' B' D' F2 B2 R'
F' U' B' D' B2 R' F2
F' U' B' D' B2 F2 R'
F2 U' B' D' F2 B2 R'
F2 U' B' D' B2 R' F2
F2 U' B' D' B2 F2 R'
F U' B D' R' F2 B2
F U' B D' R' B2 F2
F U' B D' F2 R' B2
D' U2 R' B U F2 B
D' U2 R' B U B F2
F U' B' D' F2 B2 R'
F U' B' D' B2 R' F2
F U' B' D' B2 F2 R'
U' D2 F D F2 R B2
U' D2 F D F2 B2 R
U' D2 F D B2 F2 R
F' U2 L2 R2 B U R'
U' D2 F' D R F2 B2
U' D2 F' D R B2 F2
U' D2 F' D B2 R F2
F2 U2 L2 R2 B U R'
F' U2 L2 B R2 U R
F2 U2 L2 B R2 U R
F U2 L2 R2 B U R'
B U2 L2 F R2 U R
R D2 F' R2 U' R' F'
F U2 L2 B R2 U R
F' U2 R2 L2 B U R'
F2 U2 R2 L2 B U R'
F' U2 R2 B L2 U R'
F2 U2 R2 B L2 U R'
F U2 R2 L2 B U R'
F U2 R2 B L2 U R'
D2 F L2 R2 U L U2
D2 F L2 U' D B2 R'
D2 F L2 D U' B2 R'
D' F R F' U' F2 B2
D' F R F' U' B2 F2
F' U2 B L2 R2 U R
F' U2 B R2 L2 U R
D2 F R2 L2 U L U2
F2 U2 B L2 R2 U R
D2 F R2 U' D F2 R
F2 U2 B R2 L2 U R
D2 F R2 D U' F2 R
D2 F R2 F2 L2 U' R
F U2 B L2 R2 U R
F U2 B R2 L2 U R
D2 F U' D F2 R B2
D2 F U' D F2 B2 R
D2 F U' D B2 F2 R
D2 F D U' F2 R B2
D2 F D U' F2 B2 R
D2 F D U' B2 F2 R
U' F B D' R' F2 B2
U' F B D' R' B2 F2
U' F B D' F2 R' B2
R2 F B L2 F U R'
U' F B' D' F2 B2 R'
U' F B' D' B2 R' F2
U' F B' D' B2 F2 R'
D2 F' L2 R2 U' R' D
D2 F' L2 R2 U' R' D'
D2 F' L2 R2 U' R' D2
D2 F' L2 R2 U' D R'
D2 F' L2 R2 U' D' R'
D2 F' L2 R2 U' D2 R'
D2 F' L2 R2 D U' R'
D2 F' L2 R2 D' U' R'
D2 F' L2 R2 D2 U' R'
D2 F' L2 R2 F U' R'
D2 F' L2 R2 F' U' R'
D2 F' L2 R2 F2 U' R'
D2 F' L2 U' D R B2
D2 F' L2 U' D B2 R
D2 F' L2 D U' R B2
D2 F' L2 D U' B2 R
D2 F' R2 L2 U' R' D
D2 F' R2 L2 U' R' D'
D2 F' R2 L2 U' R' D2
D2 F' R2 L2 U' D R'
D2 F' R2 L2 U' D' R'
D2 F' R2 L2 U' D2 R'
D2 F' R2 L2 D U' R'
D2 F' R2 L2 D' U' R'
D2 F' R2 L2 D2 U' R'
D2 F' R2 L2 F U' R'
D2 F' R2 L2 F' U' R'
D2 F' R2 L2 F2 U' R'
D2 F' R2 U' R' D F2
D2 F' R2 U' D R' F2
D2 F' R2 U' D F2 R'
D2 F' R2 D U' R' F2
D2 F' R2 D U' F2 R'
D2 F' R2 F L2 U' R'
