R2 B U F2 L' B'
F' L U' D' F' B2 L
F' L U' D' B2 L F'
F' L U' D' B2 F' L
F' L U' F' D' B2 L
F' L D' U' F' B2 L
F' L D' U' B2 L F'
F' L D' U' B2 F' L
F2 L D' B2 L B' R'
R2 L B U F2 L' B'
F' L' U' R' U2 R F'
R2 L' B U F2 L' B'
L' R2 B U F2 L' B'
L2 R2 B U F2 L' B'
R2 L2 B U F2 L' B'
L R2 B U F2 L' B'
R2 U F2 L' B' D' R2
F R D B2 U' R2 F
F R D B2 U' F R2
R' U' R F' U' F' B
R' U' R F' U' B F'
F R F2 U R2 B U2
F R F2 U' D2 L2 F'
F R F2 U' D2 F' L2
F R F2 U' F' D2 L2
F R F2 D B2 U' F'
F R F2 D2 U' L2 F'
F R F2 D2 U' F' L2
F R' U' R2 F2 U' F'
F R' U2 D R2 F B2
F R' U2 D R2 B2 F
F R' U2 D F R2 B2
F R' U2 D F B2 R2
F R' U2 D B2 R2 F
F R' U2 D B2 F R2
F R' D U2 R2 F B2
F R' D U2 R2 B2 F
F R' D U2 F R2 B2
F R' D U2 F B2 R2
F R' D U2 B2 R2 F
F R' D U2 B2 F R2
F R' D' L2 F2 B' U2
F R' D' L2 B' F2 U2
F R' D' F2 L2 U2 F'
U' R' F' U2 D' F' R
U' R' F' D' U2 F' R
R2 U2 B L U F2 L'
U R2 F2 L' B' D' R2
U2 R2 B L U F2 L'
D R2 B U' R U2 B
F' U' L D' F' B2 L
F' U' L D' B2 L F'
F' U' L D' B2 F' L
F' U' L F' D' B2 L
F' U' F' D' B2 L B'
F' U' F' B2 D' L B'
F' U' B2 L D' F' B2
F' U' B2 L D' B2 F'
F' U' B2 L F' D' B2
F' U' B2 F' D' L B'
B U2 F' U' L' F' B'
B U2 F' U' L' B' F'
R' F U' R F' U' F2
D' F' L2 B2 R' U' L
R2 B L U F2 L' B'
R2 B L' U F2 L' B'
R2 B L2 U F2 L' B'
R2 B U L' F2 B' L'
R2 B U L' B' F2 L'
R2 B U F2 L' D B'
R2 B U F2 L' D' B'
R2 B U F2 L' D2 B'
R2 B U F2 L' B' D
R2 B U F2 L' B' D'
R2 B U F2 L' B' D2
R2 B U F2 D L' B'
R2 B U F2 D' L' B'
R2 B U F2 D2 L' B'
R2 B U F2 B L' B'
R2 B U F2 B' L' B'
R2 B U F2 B2 L' B'
R2 B U B F2 L' B'
R2 B U B' F2 L' B'
R2 B U B2 F2 L' B'
R2 B U' R U2 F2 B
R2 B U' R U2 B F2
B2 F R F2 U' L F'
B2 F R F2 U' F' L
B2 F' L' U' F' L2 B'
B2 F' U' L D' F' B2
B2 F' U' L D' B2 F'
B2 F' U' L F' D' B2
B2 F' U' F' D' L B'
B2 F' U2 L' U L2 F'
B2 F' U2 L' U F' L2
F' B2 L' U' F' L2 B'
F B2 R F2 U' L F'
F B2 R F2 U' F' L
F' B2 U' L D' F' B2
F' B2 U' L D' B2 F'
F' B2 U' L F' D' B2
F' B2 U' F' D' L B'
F' B2 U2 L' U L2 F'
F' B2 U2 L' U F' L2
